Protein_Group	Genes	SAX_vs_RAW_logFC	SAX_vs_RAW_pval	Removed?	Contaminant?
Q99KR7	Ppif	11.8501716625925	8.57164407483548e-21	No	No
Q99LC3	Ndufa10	8.8838445453143	7.2849161613939e-17	No	No
Q99LF4	Rtcb	9.35353602239	2.00041746528419e-14	No	No
Q99MR6	Srrt	9.02666824655743	1.75082165770841e-21	No	No
Q99MS7	Ehbp1l1	9.03801044522585	3.12466076413125e-16	No	No
Q9CPQ8	Atp5mg	8.32625752192458	4.01559605696184e-19	No	No
Q9CQ54	Ndufc2	8.49466604547609	5.09312993196061e-18	No	No
Q9CQ69	Uqcrq	8.44742526342853	2.76585794757622e-12	No	No
Q9CQW9	Ifitm3	9.86147262279637	1.48688457324937e-20	No	No
Q9CQY5	Magt1	9.11919227933779	1.69842952017483e-15	No	No
Q9CQZ5	Ndufa6	8.83962655342077	1.0447532279006e-17	No	No
Q9CR68	Uqcrfs1	8.62841688950504	2.21609920306945e-16	No	No
Q9CRA5	Golph3	11.3321415968935	1.3170029303055501e-23	No	No
Q9CXZ1	Ndufs4	9.5571202853758	3.80031891955962e-15	No	No
Q9CY50	Ssr1	9.55960935945342	9.57067788391483e-20	No	No
Q9CZ69	Cmtm6	8.83602282002319	1.50683450958468e-16	No	No
Q9CZW5	Tomm70	8.35619948498162	9.58466835688533e-15	No	No
Q9D051	Pdhb	9.36726107243947	2.59477377865436e-15	No	No
Q9D0J4	Arl2	9.07426337467455	3.0161569758657004e-10	No	No
Q9D0K2	Oxct1	10.6738099390318	2.3348503614592e-19	No	No
Q9D0M3	Cyc1	9.86667160797812	6.194561135510771e-10	No	No
Q9D1I2	Card19	8.97803194040078	1.35487494060079e-18	No	No
Q9D1N2	Gpihbp1	9.62889548310922	7.71130482548048e-12	No	No
Q9D3D9	Atp5f1d	11.58330619786	2.58948649359676e-19	No	No
Q9DAW9	Cnn3	9.96683227345098	5.3047521453109004e-21	No	No
Q9DAZ9	Zfyve19	10.9211841063121	3.63719520874189e-23	No	No
Q9DBL1	Acadsb	8.47916595595773	1.04045204246261e-13	No	No
Q9DBS5	Klc4	9.30297128165284	3.1522851411208396e-22	No	No
Q9DC22	Dcaf6	9.16259591594151	3.0794296879209397e-18	No	No
Q9DCL8	Ppp1r2	8.62985549632233	6.93136335494984e-15	No	No
Q9EP69	Sacm1l	10.8229163816434	5.0997520737562605e-09	No	No
Q9ESE1	Lrba	9.29148548639079	1.85294262380844e-14	No	No
Q9JI10	Stk3	8.97550369372988	8.067184622708859e-11	No	No
Q9JJV2	Pfn2	9.01539424948733	9.19684808671172e-23	No	No
Q9JKM7	Rab37	10.4640452686077	9.04098915823257e-18	No	No
Q9JL35	Hmgn5	9.68179983954997	3.20854180849388e-22	No	No
Q9JLJ0	Litaf	11.4430845776492	2.2731674924163897e-18	No	No
Q9JM52	Mink1	8.79197435613608	2.35399756181878e-19	No	No
Q9JMH9	Myo18a	8.47758391052357	3.5152079657534594e-11	No	No
Q9QVP9	Ptk2b	8.86296101440802	1.99927932709904e-13	No	No
Q9QXA5	Lsm4	8.3793247555329	1.08403834913281e-17	No	No
Q9QYY7	Esm1	8.82430778464981	9.65840889971417e-22	No	No
Q9QZE7	Tsnax	8.90270684094811	1.4918605853377298e-11	No	No
Q9R0C8	Vav3	9.93956242008912	1.55456090979061e-13	No	No
Q9R0H2	Emcn	9.64184171234318	2.86592529164387e-16	No	No
Q9R0Q1	Sytl4	8.74530313697857	8.414935826913029e-11	No	No
Q9R233	Tapbp	8.291600465213	1.6882738884126902e-15	No	No
Q9WTP7	Ak3	12.4246417715999	8.0748554299959e-15	No	No
Q9Z0H8	Clip2	10.6215072145615	4.13587343530265e-14	No	No
Q9Z0R6	Itsn2	8.3822051006396	1.91653944434148e-14	No	No
Q9Z0W1	Ngfr	8.742407343166	4.920935534525721e-10	No	No
Q9Z0X1	Aifm1	9.70450844429482	2.11447338166181e-14	No	No
Q9Z1F9	Uba2	8.47274912234718	6.01083216116405e-17	No	No
Q9Z1P6	Ndufa7	9.52295301005806	3.70104886053819e-17	No	No
Q9Z1Q2	Abhd16a	8.33500153501442	1.2472983773235602e-09	No	No
Q9Z247	Fkbp9	9.57014527741339	5.988516822002551e-09	No	No
Q9Z2I0	Letm1	9.47966333168503	2.36467070288177e-16	No	No
A0A571BF69	Mgam	-8.51833088514531	9.15127705986953e-16	No	No
O70250	Pgam2	-8.3393919931282	3.7533306589507096e-18	No	No
O89026	Robo1	-9.48243631970572	1.40138150753921e-08	No	No
P01798	gene	-10.3825091451315	3.3880143823500398e-18	No	No
P02088	Hbb-b1	-8.28820802709989	6.4722412537122205e-21	No	No
P02772	Afp	-9.47591168248697	3.75193573820907e-14	No	No
P04444	Hbb-bh1	-10.7988461718895	1.92706096316359e-19	No	No
P14847	Crp	-8.48384835723186	4.40010846780244e-12	No	No
P27931	Il1r2	-9.41868121464475	5.37114728030692e-21	No	No
P32848	Pvalb	-9.94982744324245	1.78389753377822e-21	No	No
P35230	Reg3b	-9.32362896074693	1.61991957220654e-24	No	No
Q11136	Pepd	-8.48764007408674	7.977080128501841e-14	No	No
Q3U0A6	Hbq1b	-9.50069322696812	4.1938435080349404e-17	No	No
Q9DBD0	Ica	-8.46222076672973	7.905542244764049e-16	No	No
Q9DBS9	Osbpl3	-9.20551458129167	2.64796415717694e-05	No	No
Q9QXC1	Fetub	-8.62287930470857	1.4387608817012201e-15	No	No
Q9R097	Spint1	-8.43732337004991	1.26725112939959e-22	No	No
