term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__AMUVATINIB,0.7046701291196659,1.2460524219858402,0.7129451639955364,0.89%,RET,DGIdb_Drug_Targets_2024__AMUVATINIB
DGIdb_Drug_Targets_2024__ASG 5ME,0.6906143692157392,1.240245139672963,0.7204467486175051,4.28%,TUBB6,DGIdb_Drug_Targets_2024__ASG 5ME
DGIdb_Drug_Targets_2024__GILTERITINIB,-0.578214207123003,-1.2400883868694417,0.912067948780094,25.14%,EML4;JAK2;CBL;BRAF,DGIdb_Drug_Targets_2024__GILTERITINIB
DGIdb_Drug_Targets_2024__LEVODOPA,0.6998241533762306,1.2274120740440524,0.7400464676860569,22.55%,MT-CO1;DBH;MTHFR,DGIdb_Drug_Targets_2024__LEVODOPA
DGIdb_Drug_Targets_2024__BARASERTIB,0.6648865738597786,1.2235983341135426,0.7383539786904927,17.09%,RET;PDGFRA;LCK,DGIdb_Drug_Targets_2024__BARASERTIB
DGIdb_Drug_Targets_2024__KENPAULLONE,-0.4463199111509521,-1.219124353117669,0.938630846842716,20.07%,DYRK1A;CDK2;MARK3;CDC42BPA;CDK5;SMN2;LIMK1;RAB9A;LYN,DGIdb_Drug_Targets_2024__KENPAULLONE
DGIdb_Drug_Targets_2024__HYDROCORTISONE,0.6660203441324033,1.2144928000618196,0.7488505876071054,13.27%,ITGAM;ANXA1;ADA,DGIdb_Drug_Targets_2024__HYDROCORTISONE
DGIdb_Drug_Targets_2024__LOVASTATIN,-0.491003351482166,-1.2120438026944031,0.946624512126182,13.01%,CETP;LEP;CDK2;LPL;NT5E;SMN2,DGIdb_Drug_Targets_2024__LOVASTATIN
DGIdb_Drug_Targets_2024__CENISERTIB,-0.363250603112096,-1.2058883930339643,0.9402495376914632,8.02%,EGFR;CSNK1G1;CSNK1D;IRAK4;LTK;CDK2;MINK1;MARK3;PAK4;TNK2;CDC42BPA;KIT;CDK5,DGIdb_Drug_Targets_2024__CENISERTIB
DGIdb_Drug_Targets_2024__PIMASERTIB,0.6985951912615325,1.2036385336749706,0.7663182606485932,21.42%,NF1;MAP2K2;KRAS,DGIdb_Drug_Targets_2024__PIMASERTIB
DGIdb_Drug_Targets_2024__ANG1005,0.6275962426851849,1.1976556368315805,0.7626324743307953,4.28%,TUBB6,DGIdb_Drug_Targets_2024__ANG1005
DGIdb_Drug_Targets_2024__INTERFERON BETA 1A,0.6629264177288438,1.1966943375127923,0.7585018277546803,31.62%,IFNAR1;FHIT;GAPVD1;CD58;MBP,DGIdb_Drug_Targets_2024__INTERFERON BETA 1A
DGIdb_Drug_Targets_2024__RIBOCICLIB,0.6776764669118819,1.1945568662937602,0.7621584657073067,2.06%,CDK6,DGIdb_Drug_Targets_2024__RIBOCICLIB
DGIdb_Drug_Targets_2024__PRAVASTATIN,0.5752879776142809,1.1908791401888903,0.7666990865684158,17.99%,MTTP;MMP2;ABCB1;MMP3;APOE;LDLR,DGIdb_Drug_Targets_2024__PRAVASTATIN
DGIdb_Drug_Targets_2024__LENVATINIB,0.6430806209835346,1.1907792085344855,0.7649568298700705,0.89%,RET,DGIdb_Drug_Targets_2024__LENVATINIB
DGIdb_Drug_Targets_2024__NIFEDIPINE,0.5711814674873805,1.1864849635470902,0.7714529952771897,23.49%,ATXN2;CACNA2D1;NTS;MAPK1;ALDH1A1,DGIdb_Drug_Targets_2024__NIFEDIPINE
DGIdb_Drug_Targets_2024__VINCRISTINE,0.4994569240269397,1.1845104138355025,0.7716481183495483,29.67%,CAPG;TUBB6;RALBP1;TPMT;VWF;BMP7;SRI;COCH;MTHFR;FCGR3A;RAC2;PIK3CA;MTR,DGIdb_Drug_Targets_2024__VINCRISTINE
DGIdb_Drug_Targets_2024__DOLASTATIN 10,0.6406752337360075,1.1832730105378593,0.7624735312063344,4.28%,TUBB6,DGIdb_Drug_Targets_2024__DOLASTATIN 10
DGIdb_Drug_Targets_2024__IXABEPILONE,0.6406752337360075,1.1832730105378593,0.7624735312063344,4.28%,TUBB6,DGIdb_Drug_Targets_2024__IXABEPILONE
DGIdb_Drug_Targets_2024__ABT 751,0.6406752337360075,1.1832730105378593,0.7624735312063344,4.28%,TUBB6,DGIdb_Drug_Targets_2024__ABT 751
DGIdb_Drug_Targets_2024__EPOTHILONE D,0.6406752337360075,1.1832730105378593,0.7624735312063344,4.28%,TUBB6,DGIdb_Drug_Targets_2024__EPOTHILONE D
DGIdb_Drug_Targets_2024__AGS 16C3F,0.6406752337360075,1.1832730105378593,0.7624735312063344,4.28%,TUBB6,DGIdb_Drug_Targets_2024__AGS 16C3F
DGIdb_Drug_Targets_2024__TRASTUZUMAB EMTANSINE,0.6406752337360075,1.1832730105378593,0.7624735312063344,4.28%,TUBB6,DGIdb_Drug_Targets_2024__TRASTUZUMAB EMTANSINE
DGIdb_Drug_Targets_2024__ENFORTUMAB VEDOTIN,0.6406752337360075,1.1832730105378593,0.7624735312063344,4.28%,TUBB6,DGIdb_Drug_Targets_2024__ENFORTUMAB VEDOTIN
DGIdb_Drug_Targets_2024__CABOZANTINIB,0.6390215393967613,1.1793323061093872,0.7668058744558843,0.89%,RET,DGIdb_Drug_Targets_2024__CABOZANTINIB
DGIdb_Drug_Targets_2024__RUCAPARIB,-0.6064541128373896,-1.1785257021569373,0.9572369466009174,27.09%,DYRK1A;YES1;PRKD2;BRAF;PTEN,DGIdb_Drug_Targets_2024__RUCAPARIB
DGIdb_Drug_Targets_2024__ILORASERTIB,-0.3544808748168271,-1.1768728829749633,0.9543505520691156,8.41%,EGFR;CSNK1G1;FGR;CSNK1D;IRAK4;LTK;MINK1;MARK3;TNK2;KIT;TYRO3,DGIdb_Drug_Targets_2024__ILORASERTIB
DGIdb_Drug_Targets_2024__IRINOTECAN,0.5122104817430094,1.1749498867222918,0.7744289649253605,21.42%,RAD50;PLCB1;RALBP1;FGFR3;UBE2I;CD274;PIN1;CSPG4;KRAS,DGIdb_Drug_Targets_2024__IRINOTECAN
DGIdb_Drug_Targets_2024__MITOXANTRONE,0.5758201400127804,1.1733485896845508,0.7744742511281222,21.38%,ATXN2;ABCB1;RPSA;MAPK1,DGIdb_Drug_Targets_2024__MITOXANTRONE
