term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0030198,0.1887545,3.638107,19.02915,TGFB2;CCDC80;ADAMTS1;PXDN;GAS6;TGFBR1;LOXL2,Extracellular Matrix Organization (GO:0030198)
GO:0006954,0.1932156,3.245858,16.84618,MFHAS1;AFAP1L2;VCAM1;CCL20;CCL2;HSPG2;TLR2;TNFRSF1A,Inflammatory Response (GO:0006954)
GO:0016052,0.1961922,4.965761,25.61319,MANBA;HKDC1;NEU1;UCP2;ALDOB,Carbohydrate Catabolic Process (GO:0016052)
GO:0048667,0.1966984,4.092259,21.02951,APLP2;ATL1;TRIM46;TBCD;ANK3;FGFR2,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)
GO:0007409,0.2103611,2.914465,14.72788,ENAH;EPHA4;EPHA7;APLP2;ATL1;TRIM46;ANK3;SEMA4G;FGFR2,Axonogenesis (GO:0007409)
GO:0070934,0.2103611,10.17887,51.29576,IGF2BP1;IGF2BP3;IGF2BP2,CRD-mediated mRNA Stabilization (GO:0070934)
GO:0030334,0.2248565,2.014692,9.986931,PTPRU;EPHA4;JAG1;CSF1;APLP2;SEMA4G;TGFBR1;IGF1R;MYLK;VIL1;SH3RF2;PDGFD;SPATA13;PDPN;PDGFC;AMOTL2;SGK3;ARSB,Regulation Of Cell Migration (GO:0030334)
GO:0007169,0.2334931,2.403693,11.78737,BCAR3;EPHA4;EPHA7;UBASH3B;CSF1;SORT1;PDGFD;PDGFC;NRG1;FGFR2;SULF2;IGF1R,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)
GO:0048762,0.2341064,4.582708,22.30015,TGFB2;TGFBR1;FGFR2;LOXL2;LRP6,Mesenchymal Cell Differentiation (GO:0048762)
GO:0071346,0.2341064,5.947917,28.87986,IFNGR1;CCL20;CCL2;TLR2,Cellular Response To Type II Interferon (GO:0071346)
GO:0060255,0.2341064,2.799927,13.50605,ZNF462;ZNF827;PEG3;SORT1;IGF2BP1;NRG1;IGF2BP3;UTY;IGF2BP2,Regulation Of Macromolecule Metabolic Process (GO:0060255)
GO:0050727,0.2341064,2.606546,12.45756,ACE2;MFHAS1;LGALS2;BCL6;CASP4;IGF2BP1;IFI35;TLR2;TNFRSF1A;SNCA,Regulation Of Inflammatory Response (GO:0050727)
GO:0044331,0.2341064,8.905471,42.31241,CDH10;CDHR2;CDH17,Cell-Cell Adhesion Mediated By Cadherin (GO:0044331)
GO:0014033,0.2341064,8.905471,42.31241,NRG1;KBTBD8;LRP6,Neural Crest Cell Differentiation (GO:0014033)
GO:0120031,0.2341064,2.174452,10.255,DYNC2I2;DYNC2H1;TRAF3IP1;IFT172;ARMC9;RFX3;MYLK;RILPL2;IFT81;SPATA13;HYLS1;IFT27;RAB17;IFT57,Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)
GO:0022407,0.2341064,5.597386,26.17426,MAGI1;EPHA7;TENM3;JAG1,Regulation Of Cell-Cell Adhesion (GO:0022407)
GO:0044782,0.2341064,2.325055,10.86813,DYNC2I2;DYNC2H1;RILPL2;TRAF3IP1;IFT81;IFT172;ARMC9;RFX3;HYLS1;IFT27;RAB17;IFT57,Cilium Organization (GO:0044782)
GO:0010517,0.2341064,23.6989,110.6478,FGFR2;SNCA,Regulation Of Phospholipase Activity (GO:0010517)
GO:0055006,0.2341064,23.6989,110.6478,CXADR;JAG1,Cardiac Cell Development (GO:0055006)
GO:2000035,0.2341064,23.6989,110.6478,NCOA3;PRDM15,Regulation Of Stem Cell Division (GO:2000035)
GO:0097503,0.2341064,23.6989,110.6478,ST6GAL1;ST3GAL4,Sialylation (GO:0097503)
GO:0009134,0.2341064,23.6989,110.6478,ENTPD2;ENTPD5,Nucleoside Diphosphate Catabolic Process (GO:0009134)
GO:0009313,0.2341064,23.6989,110.6478,MANBA;NEU1,Oligosaccharide Catabolic Process (GO:0009313)
GO:1904352,0.2341064,23.6989,110.6478,RNF128;LRP2,Positive Regulation Of Protein Catabolic Process In The Vacuole (GO:1904352)
GO:0034137,0.2341064,23.6989,110.6478,MFHAS1;TIRAP,Positive Regulation Of Toll-Like Receptor 2 Signaling Pathway (GO:0034137)
GO:1902533,0.2434957,1.868097,8.625859,BCAR3;TGFB2;RNF13;KSR1;LRP2;IFI35;TGFBR1;TIRAP;TNFRSF1A;IGF1R;MFHAS1;TCIM;PDGFD;PDGFC;LTBR;GAS6;FGFR2;TMEM106A;WLS;TLR2,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
GO:2000147,0.2459093,2.399717,11.01559,VIL1;EPHA4;SH3RF2;CSF1;PDGFD;PDGFC;PDPN;SEMA4G;TGFBR1;MYLK;IGF1R,Positive Regulation Of Cell Motility (GO:2000147)
GO:0010717,0.2459093,3.578631,16.3712,EPHA4;TGFB2;PDPN;SPRY1;TGFBR1;LOXL2,Regulation Of Epithelial To Mesenchymal Transition (GO:0010717)
GO:0032874,0.2459093,3.155013,14.36745,MFHAS1;MAP4K2;SH3RF2;TGFB2;LTBR;MID1;TIRAP,Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874)
GO:0006898,0.2459093,2.85561,12.90629,CUBN;ACE2;ACKR3;LRP2;WASF1;HSPG2;LRP6;SNCA,Receptor-Mediated Endocytosis (GO:0006898)
GO:0034341,0.2459093,5.285802,23.82548,CCL20;CCL2;TLR2;SNCA,Response To Type II Interferon (GO:0034341)
GO:0043062,0.2459093,5.285802,23.82548,CCDC80;ADAMTS1;PXDN;TGFBR1,Extracellular Structure Organization (GO:0043062)
GO:0035721,0.2459093,7.915051,35.56893,DYNC2H1;DYNC2I2;DYNC2LI1,Intraciliary Retrograde Transport (GO:0035721)
GO:0003148,0.2459093,7.915051,35.56893,TGFB2;LRP2;FGFR2,Outflow Tract Septum Morphogenesis (GO:0003148)
GO:0032735,0.2459093,7.915051,35.56893,MAPK11;TIRAP;TLR2,Positive Regulation Of Interleukin-12 Production (GO:0032735)
GO:0003177,0.2459093,7.915051,35.56893,TGFB2;JAG1;TNFRSF1A,Pulmonary Valve Development (GO:0003177)
GO:0090288,0.2486125,4.107194,18.36822,HHEX;ATP2B4;SPRY1;LRP2;SULF2,Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288)
GO:0048523,0.264789,1.824484,8.025153,PTPRU;EPHA4;TGFB2;CDKN1B;APLP2;EI24;ITGA1;PDE3B;P3H2;NRG1;IFI35;PTPN14;SULT2B1;BCL6;DDAH1;ADAMTS1;PDPN;AGR2;TXNIP;IGFBP7,Negative Regulation Of Cellular Process (GO:0048523)
GO:0007188,0.2727029,5.007018,21.77203,AKAP12;AKAP5;ADCY6;ADGRL2,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)
GO:0062208,0.2727029,5.007018,21.77203,MFHAS1;IFI35;TIRAP;TLR2,Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208)
GO:0032101,0.2810812,2.984944,12.8282,BCL6;APLP2;CASP4;IGF2BP1;NRG1;TIRAP;CD55,Regulation Of Response To External Stimulus (GO:0032101)
GO:0030855,0.2810812,2.984944,12.8282,VIL1;GSTK1;UPK1B;JAG1;CDHR2;HNRNPH3;FGFR2,Epithelial Cell Differentiation (GO:0030855)
GO:0070304,0.2856611,7.122715,30.35444,TGFB2;RNF13;MID1,Positive Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070304)
GO:0010232,0.2856611,3.841315,16.26624,ABCC5;ATP1A4;ATP2B4;LRP2;ABCG2,Vascular Transport (GO:0010232)
GO:0030177,0.2856611,2.932233,12.36279,SCEL;HHEX;PRDM15;FGFR2;WLS;TLR2;SULF2,Positive Regulation Of Wnt Signaling Pathway (GO:0030177)
GO:1905005,0.2856611,15.79742,66.11605,TGFB2;TGFBR1,Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation (GO:1905005)
GO:0071223,0.2856611,15.79742,66.11605,TIRAP;TLR2,Cellular Response To Lipoteichoic Acid (GO:0071223)
GO:0015889,0.2856611,15.79742,66.11605,CUBN;LRP2,Cobalamin Transport (GO:0015889)
GO:0050832,0.2856611,15.79742,66.11605,IGF2BP1;NRG1,Defense Response To Fungus (GO:0050832)
