Protein_Group	Genes	AURKA_dox-_vs_IgG_dox-_logFC	AURKA_dox-_vs_IgG_dox-_pval	Removed?	Contaminant?
P54253	ATXN1	4.34114351853344	5.833134556327651e-10	No	No
P54259	ATN1	3.16527068861977	9.218878946995301e-10	No	No
P54652	HSPA2	2.59448184860303	0.0001373746163044	No	No
P55058	PLTP	2.98386075364203	4.42039224826545e-06	No	No
P55199	ELL	3.99417000311225	7.53094220679355e-07	No	No
P55285	CDH6	4.46873995736333	1.60080067743449e-10	No	No
P56177	DLX1	2.78296899079395	0.0038207057882895	No	No
P56182	RRP1	2.8333098501807	0.0003909966685023	No	No
P57775	FBXW4	1.99394330789386	0.0007151512125576	No	No
P59923	ZNF445	1.83467792997987	8.94039912191094e-05	No	No
P61244	MAX	3.59128264507828	0.0027230126762166	No	No
P61247	RPS3A	1.86654211242109	5.73113622736748e-10	No	No
P61254	RPL26	1.91920675218542	2.48266890854638e-10	No	No
P61964	WDR5	1.92998138480967	3.42928227696413e-06	No	No
P62241	RPS8	1.85191514507544	3.52242258281811e-10	No	No
P62277	RPS13	2.05261590256109	1.72391389216098e-11	No	No
P62314	SNRPD1	1.97571044792052	4.27887817121735e-06	No	No
P62316	SNRPD2	1.97614713653745	3.36907498702083e-07	No	No
P62750	RPL23A	2.3301171895783	2.7853460086268602e-09	No	No
P62753	RPS6	2.17151916119447	4.688252470423629e-11	No	No
P62847	RPS24	2.1933558353109	4.85249235807966e-07	No	No
P62854	RPS26	1.84704405557282	3.6415421436350603e-09	No	No
P62861	FAU	2.26663066690399	0.0002676589187512	No	No
P62899	RPL31	1.96111478118365	6.33377202981352e-08	No	No
P62910	RPL32	2.09937222703691	1.01387913936882e-07	No	No
P67809	YBX1	2.29891661468238	7.251068868472081e-09	No	No
P78312	FAM193A	4.41802542266256	2.04854796961578e-06	No	No
P78316	NOP14	2.46501473161957	0.0002662633485472	No	No
P78332	RBM6	3.2655719595779	5.653671801075229e-13	No	No
P78345	RPP38	1.68392375714545	0.0011061451104754	No	No
P78347	GTF2I	4.71639255839516	6.00858477904088e-14	No	No
P78362	SRPK2	2.58707832105578	1.08296210581015e-07	No	No
P78364	PHC1	6.16586167072614	1.07441961328155e-18	No	No
P78524	DENND2B	5.67060553880157	1.85516528900525e-06	No	No
P78549	NTHL1	1.91079532585688	4.81494033753681e-06	No	No
P82673	MRPS35	5.23866223088451	1.04841119090158e-06	No	No
P82675	MRPS5	2.47288236591143	2.94918544849006e-05	No	No
P82914	MRPS15	2.79726905684443	6.528187465842011e-09	No	No
P82933	MRPS9	1.72925210007362	2.85831020713958e-06	No	No
P83731	RPL24	1.68951599010793	1.49090988319385e-07	No	No
P83881	RPL36A	2.40703859432113	3.9703322893296e-07	No	No
P84022	SMAD3	2.05138404005783	9.49258712082674e-08	No	No
P84098	RPL19	2.00185312496296	1.48250370466813e-08	No	No
P98175	RBM10	7.78974137976853	6.05857439274601e-21	No	No
Q00577	PURA	2.22786857467679	3.61756001408771e-08	No	No
Q00653	NFKB2	2.39557945047027	2.02151858159585e-10	No	No
Q00765	REEP5	4.47043073072275	5.87587064643035e-05	No	No
Q00796	SORD	1.83575128042499	0.0025187581790741	No	No
Q01201	RELB	5.16575619095062	1.3202320668961898e-11	No	No
Q02086	SP2	6.28860430286252	2.78113888740468e-20	No	No
Q03113	GNA12	1.7031383365717	0.0002483632676219	No	No
Q03164	KMT2A	3.8655042547621	0.0007380098004402	No	No
Q03188	CENPC	2.79972674677598	0.0001641569435273	No	No
Q03468	ERCC6	2.06998611309277	0.0005675695200435	No	No
Q03701	CEBPZ	2.07154502302108	0.0051750503320714	No	No
Q06587	RING1	2.74653981072543	1.09982322767251e-05	No	No
Q06787	FMR1	3.06666810449368	9.708484883788699e-12	No	No
Q08AD1	CAMSAP2	6.09026039707366	2.0495641446804702e-20	No	No
Q08AG7	MZT1	5.29279903782729	4.874692031054579e-13	No	No
Q09161	NCBP1	1.80106554662003	1.47153572324676e-09	No	No
Q0PNE2	ELP6	4.06402503486852	1.0798741964014701e-10	No	No
Q12788	TBL3	1.71509260747333	0.0018682878983963	No	No
Q12815	TROAP	2.46714018491678	2.50047267152931e-06	No	No
Q12830	BPTF	1.64389242881022	0.0003827593762002	No	No
Q12857	NFIA	3.07662764156466	0.0007251023123811	No	No
Q12872	SFSWAP	5.33057012882632	6.66826717032324e-13	No	No
Q12874	SF3A3	1.6600964648989	3.7225099136888e-05	No	No
Q12894	IFRD2	4.7056336140172	2.8830041815644097e-12	No	No
Q12899	TRIM26	3.18384904924201	2.06889308912086e-06	No	No
Q12981	BNIP1	5.41410722415201	5.830023678131121e-10	No	No
Q12986	NFX1	4.88510564629027	1.25913278211458e-12	No	No
Q13084	MRPL28	3.19543804446845	2.64344337345316e-07	No	No
Q13114	TRAF3	1.88816301373938	0.0077852498868627	No	No
Q13118	KLF10	6.45288748536991	1.46593982300434e-12	No	No
Q13206	DDX10	2.04809565129561	0.0002486470716664	No	No
Q13243	SRSF5	2.2028760325387	5.67806020513967e-06	No	No
Q13283	G3BP1	3.56989114153272	5.2255629935784804e-15	No	No
Q13310	PABPC4	1.9600529526971	5.92387546397433e-08	No	No
Q13405	MRPL49	4.33534272352035	2.5095276307148097e-11	No	No
Q13435	SF3B2	3.66941941840943	6.03107356570431e-12	No	No
Q13472	TOP3A	2.64265230147459	0.0001346919910693	No	No
Q13492	PICALM	3.62081030346352	1.2142114922191699e-11	No	No
Q13574	DGKZ	5.15064271781595	1.20539547032181e-07	No	No
Q13586	STIM1	3.32679146990588	0.0011455604651452	No	No
Q13601	KRR1	2.32992072955885	4.87567145371695e-05	No	No
Q13610	PWP1	2.49040048156087	5.57180337590037e-07	No	No
Q13823	GNL2	1.98028678933851	0.0046720435660184	No	No
Q13895	BYSL	2.18140617928967	5.4463303622937e-07	No	No
Q13901	C1D	2.53893885298667	2.91154067582168e-06	No	No
Q14004	CDK13	1.90365035957549	7.47110486985559e-06	No	No
Q14135	VGLL4	2.90077063256155	2.70742581760375e-05	No	No
Q14146	URB2	1.74738417101434	0.0081178067554744	No	No
Q14197	MRPL58	2.98415419057443	1.34645370024512e-09	No	No
Q14202	ZMYM3	1.71928172272203	0.0051310506919328	No	No
Q14210	LY6D	1.92978424816125	0.0075395673247591	No	No
Q14241	ELOA	2.32263952485989	1.16785159331117e-05	No	No
Q14444	CAPRIN1	6.57278573437391	1.0267107786192e-21	No	No
Q14574	DSC3	2.13526158434299	0.0011658535660257	No	No
Q14643	ITPR1	2.14725921682899	0.0039524202283321	No	No
Q14644	RASA3	1.87902935913808	0.0020589793572106	No	No
Q14674	ESPL1	2.30144023541808	0.0005619756750494	No	No
Q14684	RRP1B	1.8371196532376	7.23608882058888e-06	No	No
Q14692	BMS1	2.35444293425992	0.0001267405440006	No	No
Q14694	USP10	2.96815076697609	3.42515716804378e-16	No	No
Q14781	CBX2	4.66943396184069	1.29516421426067e-13	No	No
Q15006	EMC2	2.19406792747644	2.4097523507521e-05	No	No
Q15022	SUZ12	2.38829349141295	0.0012282836716738	No	No
Q15024	EXOSC7	2.01397423896654	5.01352708651136e-06	No	No
Q15032	R3HDM1	2.42480898508209	0.0006930142716595	No	No
Q15050	RRS1	1.70173978698086	0.0009632842800336	No	No
Q15067	ACOX1	1.86576132597596	0.0004516553410012	No	No
Q15269	PWP2	2.13647428677259	7.65948165043144e-06	No	No
Q15291	RBBP5	1.99140450741836	5.73011576975342e-05	No	No
Q15361	TTF1	3.93988608141704	2.91884021361106e-05	No	No
Q15393	SF3B3	3.68141812109784	2.18063759497774e-12	No	No
Q15397	PUM3	3.05035457041678	0.0010782308792016	No	No
Q15427	SF3B4	4.25622076288784	1.3388764311473998e-13	No	No
Q15428	SF3A2	2.30071868824086	4.40143656178681e-06	No	No
Q15434	RBMS2	1.89190867590774	0.00239423971502	No	No
Q15435	PPP1R7	2.18890530256437	4.82201444231014e-05	No	No
Q15459	SF3A1	1.95183979427747	0.0001111664949418	No	No
Q15532	SS18	3.56210732399418	0.0041045095262883	No	No
Q15554	TERF2	1.79596061802302	0.0011254382420138	No	No
Q15582	TGFBI	3.11510774690169	0.0056233316979802	No	No
Q15649	ZNHIT3	4.85341033628189	1.09760735689658e-11	No	No
Q15696	ZRSR2	2.9166638067713	0.0002874437834913	No	No
Q15796	SMAD2	2.86236492676408	1.97898463965933e-12	No	No
Q15910	EZH2	3.26775496447658	0.0024275648731124	No	No
Q16363	LAMA4	3.85495978044948	4.34608933088362e-07	No	No
Q16514	TAF12	2.94892890215659	1.0101661329975e-07	No	No
Q16540	MRPL23	2.54653381333157	1.1272005441942602e-09	No	No
Q16670	ZSCAN26	1.74985722848647	0.0003049211388759	No	No
Q1ED39	KNOP1	3.40954134338896	5.810762754497241e-09	No	No
Q2M296	MTHFSD	1.837217718355	0.0001897652305164	No	No
Q2NL82	TSR1	3.29789502016223	0.000943071241903	No	No
Q2TAL8	QRICH1	6.6527835295764	1.55013193312573e-19	No	No
Q2TAZ0	ATG2A	5.64153894770945	9.66770189399754e-11	No	No
Q2TB10	ZNF800	2.65584868060715	8.57094224571896e-07	No	No
Q2V2M9	FHOD3	3.37217429499079	1.16662126947451e-08	No	No
Q32NC0	C18orf21	2.61376376982086	7.96036850530998e-08	No	No
Q3MHD2	LSM12	2.24226303776228	1.33538670549993e-06	No	No
Q49A26	GLYR1	2.44253637079465	5.1189946721134405e-09	No	No
Q4G0F5	VPS26B	2.81196323043843	2.95965162994264e-08	No	No
Q4G0J3	LARP7	3.30577195540846	4.92377911971971e-06	No	No
Q4U2R6	MRPL51	3.22391431377613	6.808375866153761e-09	No	No
Q52LR7	EPC2	3.31965460815073	1.03815947304e-06	No	No
Q53F19	NCBP3	4.03752651138007	9.24618933351634e-07	No	No
Q53GL0	PLEKHO1	2.1236308125832	0.0004921070587888	No	No
Q53HL2	CDCA8	2.06629714335073	0.0005825365080681	No	No
Q562F6	SGO2	1.90241275925241	0.0052402639708536	No	No
Q56NI9	ESCO2	3.26345434861783	7.64399706356056e-06	No	No
Q58A45	PAN3	4.10075424632105	0.0001314460400512	No	No
Q5BJH7	YIF1B	3.37443949530623	0.0001918060412139	No	No
Q5C9Z4	NOM1	2.17050899648814	2.22434579411621e-06	No	No
