Protein_Group	Genes	AURKA_dox+_vs_IgG_dox+_logFC	AURKA_dox+_vs_IgG_dox+_pval	Removed?	Contaminant?
P0C0S8;P20671;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1	H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC7;H2AJ	2.55799749506225	0.0005239410665432	No	No
P0C1Z6	TFPT	2.86325619600221	0.0001695778909207	No	No
P0DPB6	POLR1D	3.1075196829018	1.28418429587489e-06	No	No
P10071	GLI3	4.09849423349295	0.000139482235331	No	No
P10588	NR2F6	4.13698029726621	5.14313751028214e-07	No	No
P10589	NR2F1	4.13181513486883	3.61624229501807e-13	No	No
P10643	C7	5.15661803766187	1.0048565485255e-13	No	No
P11137	MAP2	2.05606163226402	0.0007390753916305	No	No
P11171	EPB41	2.70451095860781	0.0026981029499094	No	No
P11387	TOP1	2.51686074585299	0.000272843913779	No	No
P13994	YJU2B	2.43820799958825	0.0004672985960207	No	No
P14921	ETS1	2.22472585818845	3.64432780217743e-08	No	No
P16989	YBX3	2.47527874448939	4.6423428177171003e-10	No	No
P17480	UBTF	2.27919429829419	0.0002301613408246	No	No
P18583	SON	2.05205998758268	1.97913413256382e-07	No	No
P18615	NELFE	1.92537010277985	0.0013822763353873	No	No
P18621	RPL17	2.03934594581257	2.4998608664241003e-10	No	No
P18850	ATF6	2.4060929846872	0.0006249385654942	No	No
P19022	CDH2	2.43713610786402	8.47958890035021e-05	No	No
P19838	NFKB1	2.74312178292235	1.77896550842496e-06	No	No
P20042	EIF2S2	2.21560152207107	1.63509168164023e-06	No	No
P20338	RAB4A	2.64308250899435	0.0002617105462205	No	No
P22087	FBL	2.70547925053534	1.37091206975819e-07	No	No
P22234	PAICS	1.79167629078197	1.31927643514908e-09	No	No
P23258	TUBG1	2.46319117743723	1.26129545503118e-06	No	No
P24468	NR2F2	3.96796995219158	2.08522715539254e-14	No	No
P25054	APC	2.44254757868779	1.3859713511944e-06	No	No
P27169	PON1	2.01659243753488	5.40338703377131e-06	No	No
P27658	COL8A1	2.51110152155339	3.59041783354843e-06	No	No
