Protein_Group	Genes	AURKA_dox+_vs_AURKA_dox-_logFC	AURKA_dox+_vs_AURKA_dox-_pval	Removed?	Contaminant?
P02774	GC	-3.20060137847864	0.0025370780843453	No	No
P03973	SLPI	-2.37634921461205	3.14908942844086e-05	No	No
P04066	FUCA1	-1.27018083028821	0.0093140240318203	No	No
P05114	HMGN1	-2.26906060303736	0.0009893191592156	No	No
P06746	POLB	-1.49444893138937	5.64504602310816e-05	No	No
P07305	H1-0	-1.56839226353137	5.88393568049378e-05	No	No
P07358	C8B	-1.13931368735114	0.0069785958434105	No	No
P08123	COL1A2	-3.39843997831094	0.0021741514055354	No	No
P08842	STS	-3.83514521826559	0.0021322867260807	No	No
P09601	HMOX1	-1.98106815335063	0.0059811130303512	No	No
P09874	PARP1	-1.34194013565575	0.0014261570267748	No	No
P0DOY2;P0DOY3	IGLC2;IGLC3	-2.18246784138023	0.004733240532646	No	No
P0DP57	SLURP2	-1.13561320918773	0.000415008710901	No	No
P10253	GAA	-4.51275456823158	6.3533406309536e-05	No	No
P10643	C7	-1.14745865745671	0.0083462069921533	No	No
P13284	IFI30	-2.25890646793915	0.000801466315739	No	No
P13671	C6	-1.70856131722046	0.0058741070497882	No	No
P13747	HLA-E	-3.07565410701467	6.18801952195787e-05	No	No
P17096	HMGA1	-2.57926024320936	3.31684068512373e-05	No	No
P17174	GOT1	-3.07180430126513	0.0050634722867052	No	No
P30040	ERP29	-2.05887256757922	0.0024953603082502	No	No
P30084	ECHS1	-1.53698333232345	0.0014226264375889	No	No
P30519	HMOX2	-2.97785562741364	1.02596994323299e-07	No	No
P35326	SPRR2A	-3.29040542249189	5.446850079201361e-09	No	No
P36543	ATP6V1E1	-1.90238580970187	0.0047771890625827	No	No
P40222	TXLNA	-0.956052272037027	0.0082683598659257	No	No
P40306	PSMB10	-1.36759149549844	0.0045245392780236	No	No
P48594	SERPINB4	-2.55223045020163	0.0017362338682401	No	No
P48723	HSPA13	-1.97444488064921	0.0032494937279861	No	No
P49848	TAF6	-2.52115257868238	0.0068255196787084	No	No
P49862	KLK7	-3.57851830009581	0.0052167523609551	No	No
P51608	MECP2	-1.92379851892001	0.0049768987832299	No	No
P51665	PSMD7	-1.13049232045443	0.006394035357443	No	No
P52926	HMGA2	-2.36538757638118	8.70935871134384e-05	No	No
P55058	PLTP	-2.51513793438278	5.31625725275327e-05	No	No
P61769	B2M	-1.71249221125204	0.0009727839986175	No	No
P61916	NPC2	-1.42327780687723	0.0060552655591675	No	No
P78536	ADAM17	-1.16302962678568	0.0054288690213849	No	No
P80108	GPLD1	-3.32677241759181	0.0002366184287125	No	No
Q00796	SORD	-2.85933021851152	1.54302040467993e-05	No	No
Q13586	STIM1	-3.36158230804746	0.0010353582561445	No	No
Q14118	DAG1	-2.32716646543796	0.0033044099713155	No	No
Q14210	LY6D	-2.24902890698408	0.0022464735906206	No	No
Q14624	ITIH4	-2.82716039721018	0.0095676773748685	No	No
Q15785	TOMM34	-1.13586243789652	0.0031765586267353	No	No
Q15828	CST6	-1.50582225443444	0.0065274705235397	No	No
Q15836	VAMP3	-4.31873777845518	0.001172787038544	No	No
Q16363	LAMA4	-1.69694182699214	0.008548669380978	No	No
Q16378	PRR4	-2.67346537699751	0.0082004519610738	No	No
Q16769	QPCT	-2.37097894628467	0.0037042028494003	No	No
Q5XKK7	FAM219B	-1.8542429590028	4.62866581204997e-06	No	No
Q68CZ1	RPGRIP1L	-1.22282552278814	0.0075497092433937	No	No
Q6UW68	TMEM205	-0.973151148831263	0.0021717634338543	No	No
Q7L5L3	GDPD3	-2.17824994101197	0.0029873689332316	No	No
Q7Z2Z2	EFL1	-1.95479580203913	0.0008801457184647	No	No
Q7Z3E5	ARMC9	-2.8013786416476	0.0068086281091045	No	No
Q7Z3J2	VPS35L	-2.85850824165201	0.0015403936299394	No	No
Q7Z6I8	C5orf24	-2.57999082174567	0.0062238297500131	No	No
Q86W56	PARG	-3.98082932016926	0.0001170953798488	No	No
Q8NDV3	SMC1B	-2.23608642008003	0.002746524162131	No	No
Q8TAA9	VANGL1	-1.43210923954787	0.0005821354063456	No	No
Q8TD31	CCHCR1	-1.74914630109255	0.002345778007401	No	No
Q8WWY7	WFDC12	-2.25801862111799	0.0001062519012828	No	No
Q8WYQ9	ZCCHC14	-3.50755966210185	0.0006913286954729	No	No
Q96BP2	CHCHD1	-1.78210946165859	0.0079313528933492	No	No
Q96DR8	MUCL1	-1.61379955024909	0.0044640444062671	No	No
Q96GN5	CDCA7L	-2.42006067362574	0.008004235017034	No	No
Q96HY6	DDRGK1	-3.88039059632507	0.0001116063256608	No	No
Q96PM9	ZNF385A	-1.46736234401847	0.0071841916660413	No	No
Q99550	MPHOSPH9	-3.50315076149717	6.94286291310531e-05	No	No
Q9BTE7	DCUN1D5	-1.70466637362826	1.09048062622444e-05	No	No
Q9BVC6	TMEM109	-1.45846334034616	0.0055601580143094	No	No
Q9H1E3	NUCKS1	-1.723749982199	0.0001167942116344	No	No
Q9H3K2	GHITM	-1.18196873861428	0.0004304871483804	No	No
Q9H3R5	CENPH	-1.90025280040744	0.0008105740367833	No	No
Q9H5V8	CDCP1	-3.73934242718047	0.0038813611704629	No	No
Q9NPJ3	ACOT13	-1.7797211913772	0.0024525855563152	No	No
Q9NQ11	ATP13A2	-1.1889090741377	0.0095409046910953	No	No
Q9NQR1	KMT5A	-2.15452422630493	0.0023738682787214	No	No
Q9NR33	POLE4	-1.00118293883056	0.0069853186695178	No	No
Q9NVW2	RLIM	-1.6047778036604	0.0048887642532205	No	No
Q9NZT1	CALML5	-1.54606175683035	0.0056915130276381	No	No
Q9NZZ3	CHMP5	-2.20942270718895	0.0016810648527974	No	No
Q9UIQ6	LNPEP	-2.0647880574438	0.000297512090787	No	No
Q9Y282	ERGIC3	-1.49911205056182	0.0014280242199738	No	No
Q9Y376	CAB39	-1.18013353468042	0.0025868785836376	No	No
Q9Y3Q8	TSC22D4	-3.30949818549922	9.90278515764501e-07	No	No
Q9Y4G6	TLN2	-2.50844194889868	6.43295571173371e-06	No	No
Q9Y5V0	ZNF706	-1.21781626274518	0.0059417287793329	No	No
Q9Y6M5	SLC30A1	-2.61281977736998	0.0008717234740493	No	No
