term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0007175,0.2168172,26.44151,81.99664,ERRFI1,Negative Regulation of Epidermal Growth Factor-Activated Receptor Activity (GO:0007175)
GO:0007176,0.2168172,26.44151,81.99664,ERRFI1,Regulation of Epidermal Growth Factor-Activated Receptor Activity (GO:0007176)
GO:0032387,0.2168172,26.44151,81.99664,MTMR4,Negative Regulation of Intracellular Transport (GO:0032387)
GO:0002694,0.2168172,26.44151,81.99664,PJA2,Regulation of Leukocyte Activation (GO:0002694)
GO:0030262,0.2168172,26.44151,81.99664,DICER1,Apoptotic Nuclear Changes (GO:0030262)
GO:0060291,0.2168172,26.44151,81.99664,NFATC4,Long-Term Synaptic Potentiation (GO:0060291)
GO:1990776,0.2168172,26.44151,81.99664,NFKB1,Response to Angiotensin (GO:1990776)
GO:0035994,0.2168172,26.44151,81.99664,PIK3CA,Response to Muscle Stretch (GO:0035994)
GO:0032288,0.2168172,26.44151,81.99664,DICER1,Myelin Assembly (GO:0032288)
GO:0030834,0.2168172,26.44151,81.99664,PIK3CA,Regulation of Actin Filament Depolymerization (GO:0030834)
GO:0042753,0.2168172,26.44151,81.99664,BMAL2,Positive Regulation of Circadian Rhythm (GO:0042753)
GO:0000281,0.2168172,5.954701,17.86335,SNX18;SNX9,Mitotic Cytokinesis (GO:0000281)
GO:0090263,0.2168172,5.954701,17.86335,USP47;NFKB1,Positive Regulation of Canonical Wnt Signaling Pathway (GO:0090263)
GO:0045859,0.2168172,5.824415,17.25259,ALS2;SNX9,Regulation of Protein Kinase Activity (GO:0045859)
GO:2001251,0.2168172,22.03145,65.00692,WAPL,Negative Regulation of Chromosome Organization (GO:2001251)
GO:2001135,0.2168172,22.03145,65.00692,MTMR4,Regulation of Endocytic Recycling (GO:2001135)
GO:1904996,0.2168172,22.03145,65.00692,ETS1,Positive Regulation of Leukocyte Adhesion to Vascular Endothelial Cell (GO:1904996)
GO:0032688,0.2168172,22.03145,65.00692,RELB,Negative Regulation of Interferon-Beta Production (GO:0032688)
GO:0033623,0.2168172,22.03145,65.00692,FARP2,Regulation of Integrin Activation (GO:0033623)
GO:0031646,0.2168172,22.03145,65.00692,DICER1,Positive Regulation of Nervous System Process (GO:0031646)
GO:0010743,0.2168172,22.03145,65.00692,NFKB1,Regulation of Macrophage Derived Foam Cell Differentiation (GO:0010743)
GO:0070252,0.2168172,22.03145,65.00692,PIK3CA,Actin-Mediated Cell Contraction (GO:0070252)
GO:2000272,0.2168172,22.03145,65.00692,ERRFI1,Negative Regulation of Signaling Receptor Activity (GO:2000272)
GO:1901838,0.2168172,22.03145,65.00692,NOL11,Positive Regulation of Transcription of Nucleolar Large rRNA by RNA Polymerase I (GO:1901838)
GO:0042551,0.2168172,22.03145,65.00692,FARP2,Neuron Maturation (GO:0042551)
GO:0060048,0.2168172,22.03145,65.00692,PIK3CA,Cardiac Muscle Contraction (GO:0060048)
GO:1904385,0.2168172,22.03145,65.00692,NFKB1,Cellular Response to Angiotensin (GO:1904385)
GO:0036092,0.2168172,22.03145,65.00692,PIK3CA,Phosphatidylinositol-3-Phosphate Biosynthetic Process (GO:0036092)
GO:0010587,0.2168172,22.03145,65.00692,ZSWIM8,miRNA Catabolic Process (GO:0010587)
GO:0001890,0.2168172,22.03145,65.00692,FBN2,Placenta Development (GO:0001890)
GO:0035520,0.2168172,22.03145,65.00692,USP47,Monoubiquitinated Protein Deubiquitination (GO:0035520)
GO:0022011,0.2168172,22.03145,65.00692,DICER1,Myelination in Peripheral Nervous System (GO:0022011)
GO:0110053,0.2168172,22.03145,65.00692,PIK3CA,Regulation of Actin Filament Organization (GO:0110053)
GO:0006939,0.2168172,22.03145,65.00692,APBB2,Smooth Muscle Contraction (GO:0006939)
GO:1901988,0.2168172,22.03145,65.00692,APBB2,Negative Regulation of Cell Cycle Phase Transition (GO:1901988)
GO:0051302,0.2170319,5.699673,16.67292,ENTR1;AURKA,Regulation of Cell Division (GO:0051302)
GO:0032465,0.2170319,5.580128,16.1222,ENTR1;AURKA,Regulation of Cytokinesis (GO:0032465)
GO:1902117,0.2170319,5.580128,16.1222,SNX18;ENTR1,Positive Regulation of Organelle Assembly (GO:1902117)
GO:1902904,0.2170319,5.580128,16.1222,TPX2;PIK3CA,Negative Regulation of Supramolecular Fiber Organization (GO:1902904)
GO:0010468,0.2170319,2.176989,6.235119,ZNF217;BMAL2;APBB2;DICER1;ETS1;NFKB1;AURKA,Regulation of Gene Expression (GO:0010468)
GO:0010629,0.2170319,2.90383,8.251992,DICER1;PAIP2;NFKB1;AURKA,Negative Regulation of Gene Expression (GO:0010629)
GO:0070922,0.2170319,18.8814,53.26146,DICER1,RISC Complex Assembly (GO:0070922)
GO:0061099,0.2170319,18.8814,53.26146,ERRFI1,Negative Regulation of Protein Tyrosine Kinase Activity (GO:0061099)
GO:2000628,0.2170319,18.8814,53.26146,NFKB1,Regulation of miRNA Metabolic Process (GO:2000628)
GO:0010804,0.2170319,18.8814,53.26146,DICER1,Negative Regulation of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010804)
GO:0033173,0.2170319,18.8814,53.26146,NFATC4,calcineurin-NFAT Signaling Cascade (GO:0033173)
GO:0007063,0.2170319,18.8814,53.26146,WAPL,Regulation of Sister Chromatid Cohesion (GO:0007063)
GO:0008156,0.2170319,18.8814,53.26146,WAPL,Negative Regulation of DNA Replication (GO:0008156)
GO:0043589,0.2170319,18.8814,53.26146,ERRFI1,Skin Morphogenesis (GO:0043589)
GO:0006941,0.2170319,18.8814,53.26146,PIK3CA,Striated Muscle Contraction (GO:0006941)
GO:0006275,0.2170319,5.355385,15.09991,WAPL;OBI1,Regulation of DNA Replication (GO:0006275)
GO:0045604,0.2170319,16.51887,44.71304,ERRFI1,Regulation of Epidermal Cell Differentiation (GO:0045604)
GO:0051044,0.2170319,16.51887,44.71304,SNX9,Positive Regulation of Membrane Protein Ectodomain Proteolysis (GO:0051044)
GO:0010883,0.2170319,16.51887,44.71304,NFKB1,Regulation of Lipid Storage (GO:0010883)
GO:1900745,0.2170319,16.51887,44.71304,PJA2,Positive Regulation of p38MAPK Cascade (GO:1900745)
GO:0060047,0.2170319,16.51887,44.71304,PIK3CA,Heart Contraction (GO:0060047)
GO:0031641,0.2170319,16.51887,44.71304,DICER1,Regulation of Myelination (GO:0031641)
GO:0030575,0.2170319,16.51887,44.71304,ETS1,Nuclear Body Organization (GO:0030575)
GO:0097720,0.2170319,16.51887,44.71304,NFATC4,Calcineurin-Mediated Signaling (GO:0097720)
GO:0030324,0.2170319,16.51887,44.71304,ERRFI1,Lung Development (GO:0030324)
GO:0043010,0.2170319,16.51887,44.71304,FBN2,Camera-Type Eye Development (GO:0043010)
GO:0030316,0.2170319,16.51887,44.71304,FARP2,Osteoclast Differentiation (GO:0030316)
GO:0034727,0.2170319,16.51887,44.71304,ATG2B,Piecemeal Microautophagy of the Nucleus (GO:0034727)
GO:0048705,0.2170319,16.51887,44.71304,FBN2,Skeletal System Morphogenesis (GO:0048705)
GO:0160049,0.2170319,16.51887,44.71304,PPP6C,Negative Regulation of cGAS/STING Signaling Pathway (GO:0160049)
GO:1902749,0.2170319,16.51887,44.71304,AURKA,Regulation of Cell Cycle G2/M Phase Transition (GO:1902749)
GO:0006357,0.2170319,1.845076,4.95795,ZNF217;BMAL2;APBB2;DICER1;IKZF2;ETS1;NFKB1;ETV5;RELB;NFATC4,Regulation of Transcription by RNA Polymerase II (GO:0006357)
GO:0016567,0.2170319,2.738894,7.33402,ATG3;ZSWIM8;PJA2;OBI1,Protein Ubiquitination (GO:0016567)
GO:1902905,0.2170319,4.865035,12.93202,CDC42EP3;SNX9,Positive Regulation of Supramolecular Fiber Organization (GO:1902905)
GO:0030177,0.2170319,4.777473,12.55443,USP47;NFKB1,Positive Regulation of Wnt Signaling Pathway (GO:0030177)
GO:1902894,0.2170319,14.68134,38.24707,NFATC4,Negative Regulation of miRNA Transcription (GO:1902894)
GO:0043030,0.2170319,14.68134,38.24707,PJA2,Regulation of Macrophage Activation (GO:0043030)
GO:0006783,0.2170319,14.68134,38.24707,PPOX,Heme Biosynthetic Process (GO:0006783)
GO:0043647,0.2170319,14.68134,38.24707,ITPKC,Inositol Phosphate Metabolic Process (GO:0043647)
GO:0031054,0.2170319,14.68134,38.24707,DICER1,pre-miRNA Processing (GO:0031054)
GO:0006699,0.2170319,14.68134,38.24707,OSBPL6,Bile Acid Biosynthetic Process (GO:0006699)
GO:0090382,0.2170319,14.68134,38.24707,MTMR4,Phagosome Maturation (GO:0090382)
GO:1901836,0.2170319,14.68134,38.24707,NOL11,Regulation of Transcription of Nucleolar Large rRNA by RNA Polymerase I (GO:1901836)
GO:0048015,0.2170319,14.68134,38.24707,PIK3CA,Phosphatidylinositol-Mediated Signaling (GO:0048015)
GO:1901163,0.2170319,14.68134,38.24707,FBN2,Regulation of Trophoblast Cell Migration (GO:1901163)
GO:0046148,0.2170319,14.68134,38.24707,PPOX,Pigment Biosynthetic Process (GO:0046148)
GO:0071354,0.2170319,14.68134,38.24707,NFKB1,Cellular Response to Interleukin-6 (GO:0071354)
GO:0030501,0.2170319,14.68134,38.24707,FBN2,Positive Regulation of Bone Mineralization (GO:0030501)
GO:2000811,0.2170319,14.68134,38.24707,PIK3CA,Negative Regulation of Anoikis (GO:2000811)
GO:0048562,0.2170319,14.68134,38.24707,FBN2,Embryonic Organ Morphogenesis (GO:0048562)
GO:0032374,0.2170319,14.68134,38.24707,OSBPL6,Regulation of Cholesterol Transport (GO:0032374)
GO:0061640,0.2176605,4.611406,11.84666,SNX18;SNX9,Cytoskeleton-Dependent Cytokinesis (GO:0061640)
GO:0044772,0.2176605,4.532595,11.5147,PPP6C;AURKA,Mitotic Cell Cycle Phase Transition (GO:0044772)
GO:0141124,0.2176605,3.138623,7.948568,PIK3CA;NFKB1;RELB,Intracellular Signaling Cassette (GO:0141124)
GO:0007416,0.2176605,13.21132,33.2074,FARP1,Synapse Assembly (GO:0007416)
GO:0048592,0.2176605,13.21132,33.2074,FBN2,Eye Morphogenesis (GO:0048592)
GO:0045778,0.2176605,13.21132,33.2074,FBN2,Positive Regulation of Ossification (GO:0045778)
GO:0051043,0.2176605,13.21132,33.2074,SNX9,Regulation of Membrane Protein Ectodomain Proteolysis (GO:0051043)
GO:0032720,0.2176605,13.21132,33.2074,DICER1,Negative Regulation of Tumor Necrosis Factor Production (GO:0032720)
GO:1903556,0.2176605,13.21132,33.2074,DICER1,Negative Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903556)
GO:0030242,0.2176605,13.21132,33.2074,ATG2B,Autophagy of Peroxisome (GO:0030242)
GO:0000425,0.2176605,13.21132,33.2074,ATG2B,Pexophagy (GO:0000425)
GO:0010586,0.2176605,13.21132,33.2074,DICER1,miRNA Metabolic Process (GO:0010586)
GO:0016237,0.2176605,13.21132,33.2074,ATG2B,Microautophagy (GO:0016237)
GO:0070169,0.2176605,13.21132,33.2074,FBN2,Positive Regulation of Biomineral Tissue Development (GO:0070169)
GO:0010875,0.2176605,13.21132,33.2074,NFKB1,Positive Regulation of Cholesterol Efflux (GO:0010875)
GO:0032376,0.2176605,13.21132,33.2074,NFKB1,Positive Regulation of Cholesterol Transport (GO:0032376)
GO:0000122,0.2176605,2.29097,5.749296,ZNF217;APBB2;DICER1;NFKB1;ETV5,Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)
GO:0022603,0.2219368,4.382724,10.89061,ETS1;CAMSAP1,Regulation of Anatomical Structure Morphogenesis (GO:0022603)
GO:0062197,0.2250707,4.242369,10.31493,PIK3CA;ETV5,Cellular Response to Chemical Stress (GO:0062197)
GO:0006308,0.2250707,12.00858,29.18395,DICER1,DNA Catabolic Process (GO:0006308)
GO:2000629,0.2250707,12.00858,29.18395,NFATC4,Negative Regulation of miRNA Metabolic Process (GO:2000629)
GO:0045947,0.2250707,12.00858,29.18395,PAIP2,Negative Regulation of Translational Initiation (GO:0045947)
GO:0001889,0.2250707,12.00858,29.18395,AURKA,Liver Development (GO:0001889)
GO:0006779,0.2250707,12.00858,29.18395,PPOX,Porphyrin-Containing Compound Biosynthetic Process (GO:0006779)
GO:1901185,0.2250707,12.00858,29.18395,ERRFI1,Negative Regulation of ERBB Signaling Pathway (GO:1901185)
GO:2000209,0.2250707,12.00858,29.18395,PIK3CA,Regulation of Anoikis (GO:2000209)
GO:1902531,0.2278847,2.974048,7.175996,MYO9B;PJA2;AURKA,Regulation of Intracellular Signal Transduction (GO:1902531)
GO:0007026,0.2347484,11.00629,25.90799,TPX2,Negative Regulation of Microtubule Depolymerization (GO:0007026)
GO:0008206,0.2347484,11.00629,25.90799,OSBPL6,Bile Acid Metabolic Process (GO:0008206)
GO:0043328,0.2347484,11.00629,25.90799,UBAP1,Prot Transport to Vacuole Inv in Ub-dep Prot Cat Proc via Multivsiclr Bdy Sorting Pway (GO:0043328)
GO:0061709,0.2347484,11.00629,25.90799,ATG2B,Reticulophagy (GO:0061709)
GO:0030514,0.2347484,11.00629,25.90799,MTMR4,Negative Regulation of BMP Signaling Pathway (GO:0030514)
GO:0010874,0.2347484,11.00629,25.90799,NFKB1,Regulation of Cholesterol Efflux (GO:0010874)
