term,fdr,Odds Ratio,Combined Score,Genes,description
Late Endosomal Microautophagy,0.2939761,5.247699,14.42752,HBB;RNASE1,Late Endosomal Microautophagy
Bacterial Infection Pathways,0.2939761,3.458686,9.50653,MRC1;MET;B2M,Bacterial Infection Pathways
Neurofascin Interactions,0.3068173,18.26389,48.48237,CNTN1,Neurofascin Interactions
Signaling by MST1,0.3068173,18.26389,48.48237,MST1,Signaling by MST1
Prednisone ADME,0.3068173,18.26389,48.48237,SERPINA6,Prednisone ADME
MET Activates PTPN11,0.3068173,18.26389,48.48237,MET,MET Activates PTPN11
Extracellular Matrix Organization,0.3122155,2.009942,5.275462,CEACAM1;COL4A2;PLG;TIMP1;ITGB6;A2M;KLKB1,Extracellular Matrix Organization
DAP12 Interactions,0.3341681,4.589636,11.62778,SIGLEC14;B2M,DAP12 Interactions
AMPK Inhibits chREBP Transcriptional Activation Activity,0.3341681,13.69583,33.42226,ADIPOQ,AMPK Inhibits chREBP Transcriptional Activation Activity
N-glycan Trimming and Elongation in the cis-Golgi,0.3341681,13.69583,33.42226,MAN1A1,N-glycan Trimming and Elongation in the cis-Golgi
Fibronectin Matrix Formation,0.3341681,13.69583,33.42226,CEACAM1,Fibronectin Matrix Formation
Neurotransmitter Clearance,0.3341681,13.69583,33.42226,BCHE,Neurotransmitter Clearance
HDL Assembly,0.3341681,13.69583,33.42226,A2M,HDL Assembly
MET Receptor Activation,0.3341681,13.69583,33.42226,MET,MET Receptor Activation
MET Activates PI3K AKT Signaling,0.3341681,13.69583,33.42226,MET,MET Activates PI3K AKT Signaling
ERBB2 Regulates Cell Motility,0.3341681,13.69583,33.42226,EGFR,ERBB2 Regulates Cell Motility
Vitamin D (Calciferol) Metabolism,0.3341681,13.69583,33.42226,GC,Vitamin D (Calciferol) Metabolism
Cell Junction Organization,0.3542677,2.908564,6.882604,ANG;PVR;NECTIN1,Cell Junction Organization
Gene and Protein Expression by JAK-STAT Signaling After Interleukin-12 Stimulation,0.3542677,4.077809,9.56416,CA1;HNRNPA2B1,Gene and Protein Expression by JAK-STAT Signaling After Interleukin-12 Stimulation
Amyloid Fiber Formation,0.3542677,3.931573,8.994942,CST3;B2M,Amyloid Fiber Formation
Cytoprotection by HMOX1,0.3542677,3.931573,8.994942,FABP1;HBB,Cytoprotection by HMOX1
GRB2 Events in EGFR Signaling,0.3542677,10.955,24.83383,EGFR,GRB2 Events in EGFR Signaling
GRB2 Events in ERBB2 Signaling,0.3542677,10.955,24.83383,EGFR,GRB2 Events in ERBB2 Signaling
PI3K Events in ERBB2 Signaling,0.3542677,10.955,24.83383,EGFR,PI3K Events in ERBB2 Signaling
Butyrophilin (BTN) Family Interactions,0.3542677,10.955,24.83383,CD209,Butyrophilin (BTN) Family Interactions
