Protein_Group	Genes	SAX_Pooled_vs_RAW_Pooled_logFC	SAX_Pooled_vs_RAW_Pooled_pval	Removed?	Contaminant?
Q8IUR0	TRAPPC5	6.93990393247456	5.2332771071126195e-28	No	No
Q8IUX7	AEBP1	12.0195333847874	2.2539434558518803e-44	No	No
Q8IV08	PLD3	3.2041227378505	2.20538198634883e-08	No	No
Q8IV38	ANKMY2	5.16649730347468	2.5644364725627202e-20	No	No
Q8IVB4	SLC9A9	9.6773921920567	3.64988196889873e-42	No	No
Q8IVT5	KSR1	5.85470229461808	1.74986898684031e-22	No	No
Q8IW45	NAXD	2.92202107288125	1.36908077703413e-08	No	No
Q8IWA5	SLC44A2	10.1465992055414	1.08283398686629e-34	No	No
Q8IWB7	WDFY1	5.40456851165911	1.2555071349952201e-23	No	No
Q8IWE2	FAM114A1	6.1881696736864	1.36570981967871e-15	No	No
Q8IWK6	ADGRA3	2.60389447002608	7.25253185508661e-06	No	No
Q8IWT0	ZBTB8OS	5.44402272751316	5.1110381495847197e-26	No	No
Q8IWV7	UBR1	3.94074576598642	3.12611251385277e-14	No	No
Q8IX12	CCAR1	4.62206491860653	2.13574751655358e-17	No	No
Q8IX19	MCEMP1	4.2135826242562	9.22499770151859e-10	No	No
Q8IXI1	RHOT2	6.31846414822509	6.36031995674068e-21	No	No
Q8IXI2	RHOT1	3.37161170054213	1.2027507549799e-15	No	No
Q8IXJ6	SIRT2	7.83890402342369	1.08625745987724e-28	No	No
Q8IXK2	GALNT12	3.23293800040506	1.04126420775536e-12	No	No
Q8IXL6	FAM20C	3.30813473133154	2.03186964193395e-12	No	No
Q8IY17	PNPLA6	3.93555654842422	6.870523044946931e-14	No	No
Q8IY22	CMIP	10.1566384937508	5.890368586316581e-35	No	No
Q8IY33	MICALL2	2.84668344020224	2.60488587249125e-09	No	No
Q8IYB3	SRRM1	1.5548375343287	0.0036862931188441	No	No
Q8IYB7	DIS3L2	5.42568224572376	1.7136486937924e-10	No	No
Q8IYD1	GSPT2	9.02584649764067	9.856423544980929e-34	No	No
Q8IYI6	EXOC8	6.37064949309055	4.210381426218391e-25	No	No
Q8IYU8	MICU2	5.69641679050756	1.9745703323498198e-22	No	No
Q8IZ07	ANKRD13A	7.0275159357233	9.67017129897768e-28	No	No
Q8IZ52	CHPF	2.17873850707491	0.0036452120104329	No	No
Q8IZ83	ALDH16A1	7.38159711493056	3.3476764027976804e-25	No	No
Q8IZD0	SAMD14	5.18070697856412	1.17631714967154e-21	No	No
Q8IZF2	ADGRF5	7.07886996919208	6.887040983218e-30	No	No
Q8IZP0	ABI1	12.4676185097153	4.89717635203133e-46	No	No
Q8IZP7	HS6ST3	7.90525095466423	3.1815521412720403e-31	No	No
Q8IZP9	ADGRG2	5.77214633334909	4.43905995927813e-22	No	No
Q8N0U8	VKORC1L1	4.12514963731404	1.29292767913287e-13	No	No
Q8N0Z6	TTC5	4.70187871525022	2.79422891689139e-14	No	No
Q8N0Z9	VSIG10	1.98510758957532	2.2880592648627103e-09	No	No
Q8N128	FAM177A1	5.37852657119676	7.68585649818592e-26	No	No
Q8N129	CNPY4	5.05866747189002	2.32529295833428e-18	No	No
Q8N163	CCAR2	8.72633965574352	4.30325338984106e-33	No	No
Q8N183	NDUFAF2	4.42248049403735	2.15879496005376e-15	No	No
Q8N1G4	LRRC47	7.27168112609634	3.97157837279979e-21	No	No
Q8N2G8	GHDC	4.18025766434609	5.00711241566183e-16	No	No
Q8N2Q7	NLGN1	6.30725987101638	3.78038092759053e-12	No	No
Q8N2S1	LTBP4	10.5818508887879	8.06010436187334e-46	No	No
Q8N307	MUC20	7.32936836582581	4.27505807568183e-34	No	No
Q8N335	GPD1L	5.37827108504402	1.49834436497611e-21	No	No
Q8N392	ARHGAP18	6.00181174027496	4.50068874763866e-24	No	No
Q8N3D4	EHBP1L1	8.24282842194567	2.81384708492219e-38	No	No
Q8N3F0	MTURN	4.85387456806183	7.13413746045044e-17	No	No
Q8N3T1	GALNT15	10.1996545503432	1.7698827844476898e-36	No	No
Q8N3T6	TMEM132C	4.68323981920318	4.2626377665512e-20	No	No
Q8N423	LILRB2	4.00951017104685	1.55539162707298e-18	No	No
Q8N436	CPXM2	5.96519731793497	4.01679046705526e-25	No	No
Q8N474	SFRP1	3.43846078602424	1.2511720214890602e-09	No	No
Q8N490	PNKD	7.38031332536324	2.66371869754505e-33	No	No
Q8N4C8	MINK1	7.22086124188338	1.5144450112199401e-25	No	No
Q8N4L2	PIP4P2	6.44428703662945	5.53542916750216e-24	No	No
Q8N573	OXR1	8.05191865116136	1.61925804494756e-34	No	No
Q8N5C1	CALHM5	10.0776481600107	1.51293428189821e-27	No	No
Q8N5I2	ARRDC1	4.39270903200229	2.2985866468367697e-13	No	No
Q8N5J2	MINDY1	8.98156937633598	1.75580120029467e-29	No	No
Q8N5K1	CISD2	9.57808542082222	1.0318302958583098e-36	No	No
Q8N5M9	JAGN1	6.38593641836677	1.86207743888116e-30	No	No
Q8N684	CPSF7	5.87999329835091	1.16976809633702e-08	No	No
Q8N699	MYCT1	11.5757250262698	1.06775549582513e-43	No	No
Q8N6H7	ARFGAP2	4.79846646426894	2.43703072215801e-17	No	No
Q8N6L1	KRTCAP2	5.44373253659197	3.3882544024529204e-24	No	No
Q8N6M0	OTUD6B	1.91290234291229	4.39837135070944e-06	No	No
Q8N6T3	ARFGAP1	7.34587610914774	1.76019638962662e-21	No	No
Q8N766	EMC1	7.1211848720847	2.08426829748919e-26	No	No
Q8N7H5	PAF1	5.53721676005038	1.1833261967333398e-22	No	No
Q8N8A2	ANKRD44	0.934151911309213	0.0038880381566115	No	No
Q8N9N7	LRRC57	3.52555688913992	1.41435080257569e-05	No	No
Q8N9N8	EIF1AD	4.06970743226226	7.45879596031581e-15	No	No
Q8N9U0	TC2N	8.98074856939058	7.19755061716035e-31	No	No
Q8NBF2	NHLRC2	7.34157651911361	5.87871379663118e-23	No	No
Q8NBJ4	GOLM1	8.54783390751677	3.8666390732058896e-30	No	No
Q8NBJ5	COLGALT1	5.53899589044983	1.9523901990436801e-10	No	No
