Protein_Group	Genes	SAX_62001_M3_vs_RAW_62001_M3_logFC	SAX_62001_M3_vs_RAW_62001_M3_pval	Removed?	Contaminant?
P12821	ACE	-2.5977563543882	0.0071993361955357	No	No
P12955	PEPD	-1.64263815982925	0.001298913307048	No	No
P13501	CCL5	-3.66268751612275	4.1487102310728404e-14	No	No
P13671	C6	-1.01490602762376	0.0085565141590951	No	No
P13688	CEACAM1	-6.76857206459214	5.23276945983232e-26	No	No
P15090	FABP4	-6.44650231173141	1.55786664886244e-24	No	No
P15692	VEGFA	-1.75048167839705	2.03295211408358e-06	No	No
P16233	PNLIP	-6.03805228635084	1.48316416408769e-24	No	No
P16581	SELE	-2.44195813631783	0.0001291093815408	No	No
P18065	IGFBP2	-2.62131133075462	1.88588946736445e-05	No	No
P18564	ITGB6	-7.61436892026714	5.4777538642945395e-33	No	No
P20023	CR2	-2.4379298257865	5.80001190192554e-05	No	No
P20742	PZP	-1.11224200714241	0.0036943155920881	No	No
P20933	AGA	-5.0296823384375	8.80436482010066e-10	No	No
P21399	ACO1	-3.84578366096511	2.39852137291801e-05	No	No
P22897	MRC1	-2.74191646526558	0.0001559464800575	No	No
P24298	GPT	-1.6916062958975	0.0026732754612319	No	No
P25311	AZGP1	-2.96333229484209	3.1065829598950694e-11	No	No
P27918	CFP	-2.59914635384391	2.73083109547133e-08	No	No
P29323	EPHB2	-2.81624072172482	1.65054289909833e-05	No	No
P30043	BLVRB	-1.41167247559087	0.0008214559171191	No	No
P32754	HPD	-7.7038169150735	1.2489459730100501e-14	No	No
P33908	MAN1A1	-1.17312512502625	0.0076753286982296	No	No
P36222	CHI3L1	-2.63457084255619	1.96313023420128e-05	No	No
P36980	CFHR2	-2.31998013514648	1.28408103586044e-05	No	No
P40199	CEACAM6	-16.0142232384411	2.09334864147421e-47	No	No
P42765	ACAA2	-2.59747157052921	0.0003148687312587	No	No
P43652	AFM	-2.18602511959029	1.37573177350403e-07	No	No
P48637	GSS	-2.28788363639836	6.74117764128693e-05	No	No
P52799	EFNB2	-2.66530988826852	3.1632978405480302e-09	No	No
P54108	CRISP3	-8.210828150839	1.18110025784922e-32	No	No
P54289	CACNA2D1	-4.46979043067498	0.0001221759606813	No	No
P54760	EPHB4	-5.65877212531839	3.41902719367215e-10	No	No
P61769	B2M	-3.08103955456452	6.72512173168721e-07	No	No
P68871	HBB	-2.14983000766393	1.47011460186536e-06	No	No
P69892	HBG2	-6.6972806318276	5.16494500088946e-17	No	No
P69905	HBA2	-1.32192105270715	0.0076643002037492	No	No
Q01459	CTBS	-5.3578076054376	5.593127246319811e-17	No	No
Q02747	GUCA2A	-4.95638855270003	1.28881819685953e-24	No	No
Q03154	ACY1	-2.40723867154891	0.0004478160221648	No	No
Q03591	CFHR1	-8.78842239774299	1.05472532337869e-21	No	No
Q04446	GBE1	-7.05116236030871	7.96687230443789e-13	No	No
Q07654	TFF3	-4.64360251971394	2.0329226685053502e-20	No	No
Q07812	BAX	-2.56605097664507	4.98006896003781e-07	No	No
Q08345	DDR1	-2.32818922593544	7.91338192330764e-08	No	No
Q08ET2	SIGLEC14	-3.89748361050125	1.02314521425317e-14	No	No
Q12860	CNTN1	-2.55050837636752	1.32339339376052e-06	No	No
Q12866	MERTK	-5.64034613889205	0.0002034972202649	No	No
Q13231	CHIT1	-5.80274499259571	3.62491003421081e-06	No	No
Q13508	ART3	-4.79693975922326	7.37851629251253e-12	No	No
Q13822	ENPP2	-3.98790707637338	2.19431173648752e-08	No	No
Q13835	PKP1	-1.4225907619077	0.0067295823427448	No	No
Q14624	ITIH4	-1.55740558702602	6.67309259099345e-05	No	No
Q15223	NECTIN1	-3.80711207946694	2.04790569602756e-08	No	No
Q15465	SHH	-1.70063678454201	1.80633670078922e-06	No	No
Q15828	CST6	-0.993151788435576	0.0067697389865118	No	No
Q15848	ADIPOQ	-4.12130243136933	5.47851855919414e-08	No	No
Q16394	EXT1	-3.57593721061358	1.85966421993166e-14	No	No
Q16627	CCL14	-1.76179099104448	0.0001246658918235	No	No
Q16651	PRSS8	-6.49140470434218	2.9135892275197103e-15	No	No
Q16853	AOC3	-3.2750499435064	2.22021333964481e-05	No	No
Q7Z3B1	NEGR1	-3.47411154638415	6.18451425493808e-10	No	No
Q7Z7M0	MEGF8	-6.82231434745863	5.4047522875701e-06	No	No
Q86VB7	CD163	-1.80807817917159	0.0012350009886246	No	No
Q8IWV2	CNTN4	-5.16952765269321	2.35025147150208e-10	No	No
Q8N465	D2HGDH	-6.348893517224	2.48492302991374e-16	No	No
Q8N6C8	LILRA3	-3.19280044817957	0.0031122632226239	No	No
Q8WVV4	POF1B	-2.01351974451633	8.1616504639227e-05	No	No
Q92484	SMPDL3A	-3.87464452295846	1.63505041710295e-05	No	No
Q92626	PXDN	-4.89950523914391	8.3121688443003e-05	No	No
Q92820	GGH	-1.33047479833755	0.0004200831496812	No	No
Q92835	INPP5D	-8.24741613315472	4.81477584456808e-19	No	No
Q92876	KLK6	-1.33562358088561	0.0025411768267839	No	No
Q93063	EXT2	-2.81917592591497	0.0007941384787253	No	No
Q96IY4	CPB2	-1.5956069112895	0.0001444675247267	No	No
Q99969	RARRES2	-2.38993931104761	0.005700794801889	No	No
Q9BTY2	FUCA2	-2.35119977430082	0.0004130264980149	No	No
Q9BXD5	NPL	-1.41883975655708	0.0042493813754578	No	No
Q9BYZ8	REG4	-1.17333564667998	0.0006817641236734	No	No
Q9GZM5	YIPF3	-2.85940653691831	2.29471404850989e-08	No	No
Q9NQ38	SPINK5	-5.01377117185094	1.6655160359120002e-11	No	No
Q9NS71	GKN1	-2.66553899489922	3.07051874371313e-05	No	No
Q9NSC7	ST6GALNAC1	-3.20205268402924	0.001123916420329	No	No
Q9NZK5	ADA2	-2.77875518733468	7.63717088661214e-05	No	No
Q9P0Z9	PIPOX	-5.0612325432749	6.0718097418293094e-12	No	No
Q9P232	CNTN3	-5.38823073406722	2.89117630096842e-07	No	No
Q9UGM5	FETUB	-1.41639717071082	0.0019765137401431	No	No
Q9UHL4	DPP7	-3.22185587057919	2.63958774201137e-05	No	No
