Protein_Group	Genes	SAX_62001_M3_vs_SAX_62001_B_logFC	SAX_62001_M3_vs_SAX_62001_B_pval	Removed?	Contaminant?
O00487	PSMD14	-1.36066596823211	0.0009396637285526	No	No
O00505	KPNA3	-2.28620851031037	0.0009897137209261	No	No
O00743	PPP6C	-2.37021093082685	5.05175032609027e-05	No	No
O14617	AP3D1	-4.60897903865497	1.71520732034285e-07	No	No
O14880	MGST3	-1.51223428100111	0.0072081782164549	No	No
O14974	PPP1R12A	-1.65432067831124	0.0008703634579203	No	No
O15061	SYNM	-4.60520197708517	3.57533340314171e-08	No	No
O15084	ANKRD28	-2.64532047995569	4.64131581997813e-07	No	No
O15117	FYB1	-2.03990452937113	8.28985998546976e-07	No	No
O15143	ARPC1B	-1.41360183250744	0.0094522440124115	No	No
O15144	ARPC2	-1.43118417922417	0.0013662041337183	No	No
O15145	ARPC3	-1.3461807816153	0.003230433087151	No	No
O15173	PGRMC2	-2.12283429894444	5.49942845698217e-05	No	No
O15212	PFDN6	-1.9939079558929	0.000165373165192	No	No
O15273	TCAP	-6.03082631983555	8.64400374219328e-20	No	No
O15357	INPPL1	-2.6569252176951	7.73237911791977e-08	No	No
O15533	TAPBP	-1.44210990919824	0.0054175670112949	No	No
O15554	KCNN4	-2.71478649760896	7.35966173779003e-08	No	No
O43150	ASAP2	-5.80446447721709	5.2804933618878303e-17	No	No
O43182	ARHGAP6	-1.85951519485618	0.0004514675325191	No	No
O43294	TGFB1I1	-7.71087788234914	2.11009377844573e-24	No	No
O43312	MTSS1	-5.35169002916041	1.47822510152833e-14	No	No
O43639	NCK2	-6.50860491403924	1.26626630694706e-24	No	No
O43665	RGS10	-4.90167394719271	2.43738117288133e-12	No	No
O43681	GET3	-1.2987977987632	0.0097406648859335	No	No
O43765	SGTA	-1.58362000983867	0.0022707984204379	No	No
O60229	KALRN	-7.21004082431746	1.7845471977125102e-20	No	No
O60268	KIAA0513	-2.73472171929505	4.72818063484506e-09	No	No
O60488	ACSL4	-4.83650421305163	4.9467045721489504e-17	No	No
O60496	DOK2	-6.92069463206082	5.5324362824710205e-25	No	No
O60512	B4GALT3	-3.52314870431647	6.80072386315371e-07	No	No
O60610	DIAPH1	-1.96140807764388	3.35590664312466e-06	No	No
O60667	FCMR	-2.21484753800558	0.0003128564792642	No	No
O60684	KPNA6	-5.18891155984377	5.35136318100747e-12	No	No
O60884	DNAJA2	-1.98127536602934	9.67121274694894e-05	No	No
O60925	PFDN1	-4.72598470029201	8.944502970023159e-12	No	No
O75083	WDR1	-1.16644956722348	0.0064141053275575	No	No
O75116	ROCK2	-3.40112126607059	1.0779982420821e-08	No	No
O75170	PPP6R2	-8.8782664729495	3.43573401432419e-11	No	No
O75298	RTN2	-5.0042525795801	3.6114242020563298e-12	No	No
O75351	VPS4B	-2.56262156776501	4.10330831647919e-05	No	No
O75558	STX11	-2.50374171331637	4.60263000437004e-07	No	No
O75563	SKAP2	-2.48061570028402	7.92493012319598e-08	No	No
O75880	SCO1	-2.88109505249169	8.31207868271377e-08	No	No
O75891	ALDH1L1	-4.18148264293441	6.7926163992646e-07	No	No
O75954	TSPAN9	-1.78055626259129	0.0008365811817859	No	No
O75964	ATP5MG	-2.03331214336574	0.000364314001603	No	No
O76031	CLPX	-8.28816777471094	8.61999370252547e-14	No	No
O76074	PDE5A	-7.10881996376224	2.59298915954526e-20	No	No
O94760	DDAH1	-1.57232819586032	0.0003567465822885	No	No
O94855	SEC24D	-4.22226554587634	1.01383360413577e-10	No	No
O94874	UFL1	-2.57047761218591	0.0028564966216961	No	No
O94886	TMEM63A	-6.51910055664878	4.0119104051291397e-22	No	No
O94919	ENDOD1	-1.62732807824786	0.0002063684017016	No	No
O94979	SEC31A	-1.32601271956051	0.0075010873965799	No	No
O95197	RTN3	-1.5216790171946	0.0028683486298412	No	No
O95295	SNAPIN	-1.27144977756652	0.0013075095502212	No	No
O95425	SVIL	-4.37865229327578	2.3866512098006503e-09	No	No
O95456	PSMG1	-3.39603169823999	5.202848579281821e-09	No	No
O95479	H6PD	-1.70119262000229	0.0039228762088537	No	No
O95674	CDS2	-7.00975564496725	5.70736656567598e-23	No	No
O95810	CAVIN2	-2.2450884832549	0.0003294201282466	No	No
O95831	AIFM1	-2.42249483699541	0.0003043854126707	No	No
O95832	CLDN1	-3.0158681870097	0.0053769455704459	No	No
O95834	EML2	-3.37541269648599	0.000204455822746	No	No
O95866	MPIG6B	-3.04969931422906	5.3481631201599806e-09	No	No
P00325	ADH1B	-1.96705461283164	0.0006016579884252	No	No
P00352	ALDH1A1	-2.69012221121201	0.0002573896821097	No	No
P00367	GLUD1	-5.30138177735136	3.5831308570378e-16	No	No
P00387	CYB5R3	-1.77685679497578	0.0022920969300314	No	No
P00480	OTC	-2.68400991396503	4.51105458265147e-05	No	No
P00505	GOT2	-2.10068023225434	0.0029370263265996	No	No
P01127	PDGFB	-4.78205256981448	0.0001561700559887	No	No
P01133	EGF	-2.82306625142149	0.0001274392987779	No	No
P01137	TGFB1	-1.94450292791036	3.18377603124088e-05	No	No
P01709	IGLV2-8	-1.44059146169318	0.0055650615586924	No	No
P01764	IGHV3-23	-1.47887354174629	0.0015917237537052	No	No
P01782	IGHV3-9	-7.35023945564012	2.05030032022443e-27	No	No
P01814	IGHV2-70	-1.68270263192205	0.0093553599008039	No	No
P01871	IGHM	-1.44907942536327	3.04849741699364e-05	No	No
P01880	IGHD	-1.48624948441645	0.0020449171831673	No	No
P02452	COL1A1	-2.13961996268464	0.0015541875224043	No	No
P02549	SPTA1	-1.91691000499876	0.0094359929001508	No	No
P02730	SLC4A1	-1.67405388382668	0.0010587693130863	No	No
P02775	PPBP	-4.95970634113557	1.78917389628702e-09	No	No
P02776	PF4	-2.4470717647695	1.10354095152132e-06	No	No
P04211	IGLV7-43	-2.53794751381191	0.0013263612569293	No	No
P04278	SHBG	-1.23928378433246	0.003685104511226	No	No
P04430	IGKV1-16	-1.25100894793386	0.0039730949924028	No	No
P05062	ALDOB	-1.63619104514439	0.0003679874649975	No	No
P05771	PRKCB	-1.95135737385628	2.00009305985012e-05	No	No
P06132	UROD	-1.45546711626707	0.006279715545744	No	No
P06239	LCK	-2.4255060011747	0.0031999752921723	No	No
P06241	FYN	-6.38738153412787	3.75096710558472e-19	No	No
P06737	PYGL	-2.68841227656137	0.0012310752948124	No	No
P06756	ITGAV	-1.48577028496184	0.0053191753040982	No	No
P07996	THBS1	-1.74083934980096	5.4945552985032e-06	No	No
P08397	HMBS	-5.05343972296584	1.02406200365881e-06	No	No
P08514	ITGA2B	-1.88634533248376	0.0003361949173113	No	No
P08567	PLEK	-2.54132848253494	2.54137276955835e-05	No	No
P08590	MYL3	-4.5682600089134	2.48827885050751e-08	No	No
P09237	MMP7	-1.43321519827677	0.0017347084412535	No	No
P09417	QDPR	-3.77725715601364	3.2721659372374e-05	No	No
P09486	SPARC	-1.23165008504227	0.0033239140941236	No	No
P09912	IFI6	-1.54203297679782	0.0001687837149451	No	No
P09958	FURIN	-2.02847177764836	0.0050993265310989	No	No
P10301	RRAS	-1.57984527800686	0.0046224017174725	No	No
P10644	PRKAR1A	-1.67950339522098	9.78622958060386e-05	No	No
P10720	PF4V1	-2.57870324197901	3.57284402318034e-06	No	No
P10721	KIT	-4.34782358951945	3.0266733360226098e-12	No	No
P10916	MYL2	-2.19086702969232	4.21990953650976e-08	No	No
P11171	EPB41	-2.07431686487474	0.000219737833467	No	No
P11277	SPTB	-2.16959142449948	2.79987760677848e-05	No	No
P11310	ACADM	-1.49347773132089	0.004730996299591	No	No
P11597	CETP	-1.68082295801969	0.0002245463791328	No	No
P11766	ADH5	-1.58578818107977	0.0016554292222357	No	No
P12236	SLC25A6	-5.6368378675979	6.81438975238724e-18	No	No
P12814	ACTN1	-2.00540726129022	0.0002482336967297	No	No
P12882	MYH1	-3.52047791416371	8.163181428725839e-12	No	No
P12883	MYH7	-3.62666920255977	2.0867666099392098e-11	No	No
P12931	SRC	-2.40962181443987	9.55178939862204e-05	No	No
P13224	GP1BB	-2.0798801422579	0.006117293201143	No	No
P13501	CCL5	-3.62912489567055	5.82742211838715e-14	No	No
P13598	ICAM2	-1.35078148309019	0.0019892612198042	No	No
P13674	P4HA1	-1.15445118760064	0.0057289176248471	No	No
P13747	HLA-E	-1.310222802077	0.0082583658781986	No	No
P13797	PLS3	-1.70738365684964	0.0018442128686266	No	No
P13798	APEH	-1.57033075255406	0.0033755993976034	No	No
P13805	TNNT1	-1.48313180859276	0.0002389576172417	No	No
P13807	GYS1	-3.83098325070704	1.6461569576477102e-09	No	No
P13942	COL11A2	-4.43383139047961	5.81699085422048e-11	No	No
P14151	SELL	-1.42000194152785	0.0004854725002053	No	No
P14770	GP9	-1.9917914279201	4.57083650078471e-05	No	No
P15260	IFNGR1	-1.73841285776121	0.001341531977519	No	No
P16109	SELP	-1.67543176861036	0.004928294027502	No	No
P16157	ANK1	-1.9850107842569	3.06981794653636e-05	No	No
P16219	ACADS	-3.61888251626821	4.80124214405915e-06	No	No
P16452	EPB42	-1.89957496975688	0.0032438163620584	No	No
P16662	UGT2B7	-3.1077685078501	5.14869867769926e-05	No	No
P16885	PLCG2	-5.99884216264289	1.12973376990642e-13	No	No
P17050	NAGA	-5.49616822148657	1.33421514508895e-15	No	No
P17096	HMGA1	-2.16500533010839	0.0049429274939144	No	No
P17812	CTPS1	-2.0739795183656	0.0007561551409872	No	No
P17987	TCP1	-2.60210162579184	0.0007244450754269	No	No
P18031	PTPN1	-2.05514749022058	0.0002535098829246	No	No
P18206	VCL	-1.41196783632379	0.0005299128298149	No	No
P18428	LBP	-1.47713708685539	0.0029623573278158	No	No
P19086	GNAZ	-1.36468315026093	0.002618935702411	No	No
P19237	TNNI1	-5.18312730838715	4.96651316113844e-21	No	No
P19404	NDUFV2	-5.81944559540279	4.15057859248549e-22	No	No
P19440	GGT1	-2.28139325187025	0.0002776731026014	No	No
P19634	SLC9A1	-6.11533101728917	1.16328041195183e-19	No	No
P20340	RAB6A	-1.68207822709203	0.0004180177915836	No	No
P20908	COL5A1	-1.52439033961386	0.0026087288443695	No	No
P21333	FLNA	-1.90567432677851	2.76843102042499e-05	No	No
P21399	ACO1	-3.88957292428938	1.99467768209368e-05	No	No
P21731	TBXA2R	-4.14908687478688	8.85926277526128e-13	No	No
P21912	SDHB	-1.4770996360775	0.0009704019949673	No	No
P22059	OSBP	-1.89417894196873	0.0033968683862061	No	No
P23219	PTGS1	-2.57574086252215	7.37232054266596e-06	No	No
P23368	ME2	-2.10579132862026	5.13673709380679e-06	No	No
P24557	TBXAS1	-2.62036490622379	1.16715529934333e-06	No	No
P24844	MYL9	-9.06705473732274	2.7955708876711896e-30	No	No
P25686	DNAJB2	-2.36230907186836	3.48560980521208e-05	No	No
P26196	DDX6	-3.68738021708065	0.0006954530067424	No	No
P28065	PSMB9	-1.26128533548482	0.0034181460536259	No	No
P29122	PCSK6	-1.68468755592906	0.000391612908796	No	No
P29972	AQP1	-1.30749733283031	0.0037465970433967	No	No
P29992	GNA11	-4.24123730696732	8.78682049663419e-08	No	No
P30041	PRDX6	-1.33968150285417	0.0033439513164376	No	No
P30273	FCER1G	-1.70598931553335	0.000155257667086	No	No
P30519	HMOX2	-1.64271437360066	0.0002424962880415	No	No
P30622	CLIP1	-4.89736789220148	1.4255274578696602e-15	No	No
P31323	PRKAR2B	-2.02935084471408	1.06469295489004e-05	No	No
