Protein_Group	Genes	SAX_72001_M3_vs_SAX_72001_B_logFC	SAX_72001_M3_vs_SAX_72001_B_pval	Removed?	Contaminant?
P18433	PTPRA	-1.57742632216863	0.0057335926641648	No	No
P18859	ATP5PF	-1.78156574174741	0.0018068535338592	No	No
P19525	EIF2AK2	-5.20020869338754	9.74996725483106e-12	No	No
P20020	ATP2B1	-3.46580388022749	0.0013703258519237	No	No
P20645	M6PR	-1.97342944701176	4.61744428000522e-05	No	No
P20936	RASA1	-2.07025538064484	0.0017310965327791	No	No
P22001	KCNA3	-1.69547055025814	4.49577699182889e-05	No	No
P22102	GART	-2.24237345868469	0.0012488702176265	No	No
P22392	NME2	-7.29630323977205	1.8927878493184302e-25	No	No
P22681	CBL	-3.02652304082433	7.14329070548725e-06	No	No
P22694	PRKACB	-1.62428206954349	0.0036884470838109	No	No
P23443	RPS6KB1	-2.57753040503614	1.0371598166839e-05	No	No
P23786	CPT2	-1.8025711741261	0.0010282280484213	No	No
P23919	DTYMK	-5.65714352752324	2.36643821338884e-08	No	No
P25116	F2R	-2.73144685879607	0.0004930492711315	No	No
P25398	RPS12	-1.87237356558096	0.0014271252140429	No	No
P26572	MGAT1	-1.88998046550862	0.0003321681941944	No	No
P26927	MST1	-2.301882532307	8.23616922750115e-06	No	No
P30044	PRDX5	-2.33611146593863	0.0009197766834617	No	No
P30085	CMPK1	-1.72058148754138	0.0050272327907066	No	No
P30519	HMOX2	-1.77487120399464	8.4793119159508e-05	No	No
P30536	TSPO	-2.19679090184387	1.10400277815395e-05	No	No
P30837	ALDH1B1	-3.22425844008933	3.54050842349441e-10	No	No
P31321	PRKAR1B	-1.61943866429613	0.00014263832253	No	No
P31645	SLC6A4	-1.75150822869465	0.000139996314823	No	No
P33121	ACSL1	-2.34772662981822	0.0004717006740751	No	No
P33527	ABCC1	-2.51035700641004	4.49648535834429e-05	No	No
P33947	KDELR2	-2.59505167047909	3.81755945342353e-09	No	No
P34913	EPHX2	-3.25185111381272	0.0017933945941906	No	No
P34947	GRK5	-3.79954549154154	0.0002952086992946	No	No
P35568	IRS1	-2.80297968636274	0.000100031565622	No	No
P35749	MYH11	-2.57779843413813	0.0014518578116214	No	No
P36980	CFHR2	-1.6050156937537	0.0016658634454628	No	No
P40238	MPL	-2.3321928278806	5.81228499405708e-05	No	No
P41236	PPP1R2	-9.4904123449871	7.38489374541112e-32	No	No
P42226	STAT6	-3.81748208729551	4.83828145379013e-08	No	No
P42331	ARHGAP25	-4.20342733476443	4.49557858190207e-05	No	No
P42338	PIK3CB	-2.48453975438203	6.41235018306474e-06	No	No
P42345	MTOR	-3.51440214954037	0.0005200946797967	No	No
P42356	PI4KA	-1.77556804039301	0.0003180892538039	No	No
P43250	GRK6	-1.94330167495896	0.0010855493275529	No	No
P46934	NEDD4	-1.58659658223252	0.0006238590525998	No	No
P47985	UQCRFS1	-4.71627115589748	3.34243797383069e-10	No	No
P48163	ME1	-2.37666577145275	0.0049588292638406	No	No
P48553	TRAPPC10	-2.27275931146644	0.0043457425414623	No	No
P49069	CAMLG	-2.56633006125731	0.0001465288258442	No	No
P49137	MAPKAPK2	-2.10457617439566	0.0002521939694416	No	No
P49354	FNTA	-1.60915095455679	0.0051745198576887	No	No
P49754	VPS41	-1.92171269539499	0.0021675641461745	No	No
P49758	RGS6	-2.74060543825809	2.75111944468681e-05	No	No
P49810	PSEN2	-3.92654710686775	5.94770862362048e-16	No	No
P49815	TSC2	-4.19846233362525	2.06876118864083e-06	No	No
P49840	GSK3A	-2.92250592008842	0.0061676551444481	No	No
P50336	PPOX	-1.60874753720692	0.0042110559207437	No	No
P51116	FXR2	-3.08276195200787	2.58283791757327e-05	No	No
P51159	RAB27A	-2.99458170548629	0.000882173676452	No	No
P51398	DAP3	-4.60279304576444	1.2365123093015e-07	No	No
P51553	IDH3G	-1.60345125236321	0.0001797841490548	No	No
P51617	IRAK1	-2.16136116271278	0.0021788712666552	No	No
P51689	ARSD	-2.49313840718214	0.0032170705903282	No	No
P51692	STAT5B	-2.63198134055045	0.0013860676636971	No	No
P51798	CLCN7	-7.48393247707153	2.75946740591603e-24	No	No
P51812	RPS6KA3	-2.17669380155981	0.002782167421156	No	No
P52333	JAK3	-1.58003025892785	0.0028521571199237	No	No
P52630	STAT2	-2.34566439507967	0.0003244397302268	No	No
P53582	METAP1	-1.92567026033662	0.0001249124793877	No	No
P53701	HCCS	-4.04647609912669	4.61479303858031e-12	No	No
P54619	PRKAG1	-2.2614189263118	0.0012918671805854	No	No
P54652	HSPA2	-2.50333571871536	0.0002993592026068	No	No
P54922	ADPRH	-2.15641533971524	1.68312055965816e-05	No	No
P55011	SLC12A2	-2.35622490262685	0.0006813206010204	No	No
P55056	APOC4	-2.01621700322085	3.63441998996243e-05	No	No
P55210	CASP7	-1.89453274920428	0.0004198432461105	No	No
P56134	ATP5MF	-1.75103756830318	0.0002520783748938	No	No
P56202	CTSW	-1.79912197113522	0.0031014676233175	No	No
P57075	UBASH3A	-2.5835930758947	1.25111705717532e-05	No	No
P57088	TMEM33	-2.6186722226439	0.0015411730594791	No	No
P57678	GEMIN4	-7.26239395697515	8.12695547011132e-07	No	No
P57772	EEFSEC	-3.59004175045575	0.0012224755223476	No	No
P58166	INHBE	-1.85963749005538	0.0017739941210246	No	No
P60484	PTEN	-5.29177948249246	1.25107837188416e-05	No	No
P60891	PRPS1	-2.08556241481516	9.93469133181329e-06	No	No
P62072	TIMM10	-3.6855331985688	3.17937885257796e-14	No	No
