Protein_Group	Genes	SAX_62001_B_vs_RAW_62001_B_logFC	SAX_62001_B_vs_RAW_62001_B_pval	Removed?	Contaminant?
O76031	CLPX	8.7785909226879	1.0114952184782301e-14	No	No
O76038	SCGN	4.88171246024238	3.8071982394441603e-19	No	No
O76061	STC2	5.0928005211528	1.14136789910872e-17	No	No
O76070	SNCG	7.65639171328371	2.60469137880011e-12	No	No
O76071	CIAO1	6.12062634420205	4.2401701500587504e-23	No	No
O76074	PDE5A	7.5992431117392	1.2042356220010801e-21	No	No
O94760	DDAH1	2.06275134383728	6.06490026735477e-06	No	No
O94766	B3GAT3	3.13862219628681	0.0003279566645567	No	No
O94769	ECM2	9.35534927537643	3.25432695651902e-23	No	No
O94804	STK10	7.84021144759637	3.9706067144699304e-23	No	No
O94826	TOMM70	6.20093996579289	5.87200724919567e-20	No	No
O94830	DDHD2	3.76752672901665	3.93771125730294e-08	No	No
O94832	MYO1D	2.83544460651546	2.88733392491967e-07	No	No
O94855	SEC24D	4.7126886938533	2.97767108788814e-12	No	No
O94874	UFL1	7.20289850850836	3.4319612897149197e-12	No	No
O94886	TMEM63A	7.00952370462573	1.2558200319184601e-23	No	No
O94905	ERLIN2	5.82286088834897	3.49409090879571e-14	No	No
O94919	ENDOD1	5.46263672252794	2.3987160357458303e-19	No	No
O94923	GLCE	5.72444589006827	1.15380953949119e-16	No	No
O94979	SEC31A	8.64909366089205	1.18405404770138e-25	No	No
O94985	CLSTN1	6.83615505977293	5.140134346699909e-18	No	No
O95084	PRSS23	7.24443113356835	1.81496637664772e-07	No	No
O95182	NDUFA7	5.66803126786617	2.13703699260691e-16	No	No
O95185	UNC5C	4.02625558618347	1.2183373627467e-06	No	No
O95197	RTN3	7.17071441343596	2.73694893678818e-21	No	No
O95202	LETM1	6.4539206709665	1.17504788654781e-16	No	No
O95273	CCNDBP1	1.55530686447762	8.80378712501577e-05	No	No
O95292	VAPB	8.68393457637399	4.87958577626761e-24	No	No
O95295	SNAPIN	9.2086603548281	1.78718969873975e-32	No	No
O95302	FKBP9	10.4903549468754	3.96797189460593e-35	No	No
O95336	PGLS	5.59328182001504	1.91614615647274e-11	No	No
