Protein_Group	Genes	RANKL1_vs_EmptyVector_logFC	RANKL1_vs_EmptyVector_pval	Removed?	Contaminant?
O75197	LRP5	1.88616978617953	2.45695559373783e-05	No	No
O75317	USP12	7.178262841621	2.8373788532378603e-10	No	No
O75379	VAMP4	2.65472983565463	1.80404704511461e-06	No	No
O75386	TULP3	2.80220686292623	1.16521594015872e-08	No	No
O75387	SLC43A1	2.78661826016144	4.24846651877214e-07	No	No
O75396	SEC22B	1.91482192979117	1.10190716077895e-06	No	No
O75695	RP2	2.92779998631261	5.89368463590089e-08	No	No
O75781	PALM	3.49260309672967	6.45724412862178e-07	No	No
O75882	ATRN	2.33154138512949	5.94048953461719e-06	No	No
O75899	GABBR2	2.47083718654324	5.17423783762322e-07	No	No
O75911	DHRS3	1.74931340228652	1.22904251400421e-05	No	No
O75914	PAK3	1.69207039980449	4.59164355629987e-06	No	No
O75915	ARL6IP5	1.41106419912261	3.95015309343663e-06	No	No
O75923	DYSF	1.88223079644075	0.0057374811796429	No	No
O75962	TRIO	1.41310425330787	3.58728977851044e-05	No	No
O76039	CDKL5	1.92962954544918	0.0018844638770535	No	No
O76081	RGS20	2.16891881275749	0.0023614289423768	No	No
O76082	SLC22A5	2.83756351787498	4.66829704806356e-08	No	No
O76083	PDE9A	2.56803356666902	1.74284775775088e-05	No	No
O94804	STK10	2.09904451173815	2.06287498334523e-06	No	No
O94854	KIAA0754	1.61298933118524	4.44352524042725e-05	No	No
O94887	FARP2	1.58774456767108	9.4925533350507e-05	No	No
O94898	LRIG2	1.41006350404981	8.92813839233124e-06	No	No
O94910	ADGRL1	2.20357870107774	3.86575387564112e-07	No	No
O94921	CDK14	2.75096015863631	1.7220165170796e-05	No	No
O94923	GLCE	1.34270990738674	0.0099206138149645	No	No
O94933	SLITRK3	2.33750864311907	1.74303212900132e-05	No	No
O94955	RHOBTB3	1.28816818180974	1.49019210355299e-05	No	No
O94991	SLITRK5	2.20862128233227	8.5343596925122e-06	No	No
O95159	ZFPL1	2.55590914610244	0.0089082219167593	No	No
O95180	CACNA1H	2.92807849664029	0.00099445553359	No	No
O95185	UNC5C	3.10565766926323	1.11286008597945e-06	No	No
O95196	CSPG5	5.78459495764455	2.05538274753463e-10	No	No
O95208	EPN2	1.67937411517892	0.000149863612532	No	No
O95210	STBD1	1.41820899239391	6.93194307632168e-05	No	No
O95248	SBF1	1.99422290816392	4.74753198120366e-07	No	No
O95249	GOSR1	2.53096220600326	1.98159733567683e-06	No	No
O95279	KCNK5	1.52875476448128	0.0003313381841208	No	No
O95295	SNAPIN	2.30314216750748	2.33148663338464e-07	No	No
O95297	MPZL1	3.56388452289973	2.35317980773883e-07	No	No
O95405	ZFYVE9	1.70639067697586	3.33568975302364e-05	No	No
O95450	ADAMTS2	2.18131152738773	0.0078390176407731	No	No
O95477	ABCA1	5.70874148742283	1.28719036164094e-05	No	No
O95487	SEC24B	1.35984522326308	6.48965191824898e-05	No	No
O95490	ADGRL2	1.75235915434415	1.07392426752234e-06	No	No
O95562	SFT2D2	1.84196438829967	0.0002225167397088	No	No
O95620	DUS4L	1.39490491885432	0.0012584825974619	No	No
O95622	ADCY5	1.98091508074861	4.28062586183344e-06	No	No
O95721	SNAP29	1.58141402902445	3.20851871536967e-05	No	No
O95754	SEMA4F	2.15757402027439	1.74462543815382e-05	No	No
O95772	STARD3NL	1.61593005731	2.34179291194735e-06	No	No
O95819	MAP4K4	1.84008215901948	1.50871376568653e-07	No	No
O95835	LATS1	1.29738598624324	2.30727747171805e-05	No	No
O95858	TSPAN15	3.73004449648039	3.8390984429915e-08	No	No
O96013	PAK4	1.63054935029687	2.1155213201106e-06	No	No
P00533	EGFR	2.39625978234703	3.05270277455745e-07	No	No
P01034	CST3	1.65878136672942	0.0058643895105422	No	No
P04156	PRNP	1.52468513410259	0.0053775075057573	No	No
P04439	HLA-A	1.4047290527834	5.83873300919985e-06	No	No
