,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
46,GO:0034374,low-density lipoprotein particle remodeling,GO:0034374,0.2309796,19.84149,86.12829,APOB;PLA2G7,Low-Density Lipoprotein Particle Remodeling (GO:0034374)
47,GO:0003351,epithelial cilium movement involved in extracellular fluid movement,GO:0003351,0.2309796,19.84149,86.12829,SLC9A3R1;RFX3,Epithelial Cilium Movement Involved In Extracellular Fluid Movement (GO:0003351)
48,GO:0061418,regulation of transcription from RNA polymerase II promoter in response to hypoxia,GO:0061418,0.2309796,19.84149,86.12829,VHL;VEGFA,Regulation Of Transcription From RNA Polymerase II Promoter In Response To Hypoxia (GO:0061418)
49,GO:0010517,regulation of phospholipase activity,GO:0010517,0.2309796,19.84149,86.12829,FGFR2;SNCA,Regulation Of Phospholipase Activity (GO:0010517)
50,GO:0010749,regulation of nitric oxide mediated signal transduction,GO:0010749,0.2309796,19.84149,86.12829,EGFR;VEGFA,Regulation Of Nitric Oxide Mediated Signal Transduction (GO:0010749)
51,GO:0070663,regulation of leukocyte proliferation,GO:0070663,0.2309796,19.84149,86.12829,HHEX;IL5RA,Regulation Of Leukocyte Proliferation (GO:0070663)
52,GO:0002295,T-helper cell lineage commitment,GO:0002295,0.2309796,19.84149,86.12829,LY9;ZFPM1,T-helper Cell Lineage Commitment (GO:0002295)
53,GO:0045787,positive regulation of cell cycle,GO:0045787,0.2309796,3.521107,15.71481,APP;CCND2;CHEK1;MARK4;EGFR;FGFR2,Positive Regulation Of Cell Cycle (GO:0045787)
54,GO:0007015,actin filament organization,GO:0007015,0.2309796,2.504157,11.28328,ENAH;MAD2L2;MYO1D;GAS2L3;GSN;MYO5C;MYO7B;ELMO3;LCP1;SERPINB8,Actin Filament Organization (GO:0007015)
55,GO:0090263,positive regulation of canonical Wnt signaling pathway,GO:0090263,0.2309796,3.039171,13.19705,SCEL;HHEX;JUP;CAPRIN2;PRDM15;EGFR;FGFR2,Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263)
56,GO:0014032,neural crest cell development,GO:0014032,0.2312317,4.97541,21.26523,CDH2;SEMA3E;NRG1;KBTBD8,Neural Crest Cell Development (GO:0014032)
