"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0045779","GO:0045779",33,"GO:0045779",0.743639984866359,18,"negative regulation of bone resorption","negative regulation of bone resorption",0.881517006802721,0.5025,0
"GO:0046851","GO:0046851",33,"GO:0045779",0.743639984866359,20,"negative regulation of bone remodeling","negative regulation of bone resorption",0.887108843537415,0.5025,0.995
"GO:0060441","GO:0060441",21,"GO:0048844",0.743639984866359,38,"epithelial tube branching involved in lung morphogenesis","artery morphogenesis",0.847959183673469,0.37775,0.582
"GO:1903078","GO:1903078",7,"GO:0072659",0.743639984866359,63,"positive regulation of protein localization to plasma membrane","protein localization to plasma membrane",0.895959183673469,0.37375,0.869
"GO:0034136","GO:0034136",10,"GO:0032103",0.743639984866359,6,"negative regulation of toll-like receptor 2 signaling pathway","positive regulation of response to external stimulus",0.841897959183673,0.348285714285714,0.647
"GO:0003223","GO:0003223",5,"GO:0055007",0.743639984866359,9,"ventricular compact myocardium morphogenesis","cardiac muscle cell differentiation",0.859918367346939,0.3408,0.713
"GO:0006689","GO:0006689",8,"GO:0001573",0.743639984866359,7,"ganglioside catabolic process","ganglioside metabolic process",0.935952380952381,0.3298,0.943
"GO:0018212","GO:0018212",18,"GO:0033138",0.743639984866359,324,"peptidyl-tyrosine modification","positive regulation of peptidyl-serine phosphorylation",0.945408163265306,0.323,0.705
"GO:0010232","GO:0010232",2,"GO:0086069",0.738930643581429,22,"vascular transport","bundle of His cell to Purkinje myocyte communication",0.908639455782313,0.451166666666667,0.539
"GO:1903140","GO:1903140",37,"GO:1903140",0.714749280575866,19,"regulation of establishment of endothelial barrier","regulation of establishment of endothelial barrier",0.826591836734694,1,0
"GO:0120031","GO:0120031",36,"GO:0120031",0.714749280575866,590,"plasma membrane bounded cell projection assembly","plasma membrane bounded cell projection assembly",0.92952380952381,0.486333333333333,0
"GO:0030324","GO:0030324",21,"GO:0048844",0.714749280575866,243,"lung development","artery morphogenesis",0.857272108843537,0.3895,0.613
"GO:0071331","GO:0071331",38,"GO:0071331",0.710073196134782,160,"cellular response to hexose stimulus","cellular response to hexose stimulus",0.946795918367347,1,0
"GO:0150104","GO:0150104",2,"GO:0086069",0.702644216722542,21,"transport across blood-brain barrier","bundle of His cell to Purkinje myocyte communication",0.908823129251701,0.452166666666667,0.538
"GO:0072001","GO:0072001",27,"GO:0001822",0.674111774944278,352,"renal system development","kidney development",0.877190476190476,0.433666666666667,0.99
"GO:0061564","GO:0061564",11,"GO:0048667",0.654424952481705,563,"axon development","cell morphogenesis involved in neuron differentiation",0.812836734693878,0.3335,0.822
"GO:0035088","GO:0035088",39,"GO:0035088",0.641853390835651,54,"establishment or maintenance of apical/basal cell polarity","establishment or maintenance of apical/basal cell polarity",0.988081632653061,1,0
"GO:0048639","GO:0048639",40,"GO:0048639",0.641853390835651,221,"positive regulation of developmental growth","positive regulation of developmental growth",0.865863945578231,0.569,0
"GO:0033135","GO:0033135",18,"GO:0033138",0.641853390835651,160,"regulation of peptidyl-serine phosphorylation","positive regulation of peptidyl-serine phosphorylation",0.903380952380952,0.3768,0.981
"GO:0018149","GO:0018149",56,"GO:0018149",0.636426375080398,34,"peptide cross-linking","peptide cross-linking",0.96147619047619,1,0
"GO:0060541","GO:0060541",55,"GO:0060541",0.636426375080398,276,"respiratory system development","respiratory system development",0.880734693877551,1,0
"GO:1900746","GO:1900746",54,"GO:1900746",0.636426375080398,23,"regulation of vascular endothelial growth factor signaling pathway","regulation of vascular endothelial growth factor signaling pathway",0.900183673469388,1,0
"GO:0071466","GO:0071466",53,"GO:0071466",0.636426375080398,191,"cellular response to xenobiotic stimulus","cellular response to xenobiotic stimulus",0.946863945578231,1,0
