,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
33,GO:0051005,negative regulation of lipoprotein lipase activity,GO:0051005,0.1654657,79.90323,317.3853,SORT1,Negative Regulation Of Lipoprotein Lipase Activity (GO:0051005)
34,GO:1905209,positive regulation of cardiocyte differentiation,GO:1905209,0.1654657,53.26344,196.4114,EFNB2,Positive Regulation Of Cardiocyte Differentiation (GO:1905209)
35,GO:0061000,negative regulation of dendritic spine development,GO:0061000,0.1654657,159.8226,699.1403,NLGN1,Negative Regulation Of Dendritic Spine Development (GO:0061000)
36,GO:0007608,sensory perception of smell,GO:0007608,0.1654657,79.90323,317.3853,BBS4,Sensory Perception Of Smell (GO:0007608)
37,GO:1905064,negative regulation of vascular associated smooth muscle cell differentiation,GO:1905064,0.1654657,79.90323,317.3853,PDCD4,Negative Regulation Of Vascular Associated Smooth Muscle Cell Differentiation (GO:1905064)
38,GO:0048714,positive regulation of oligodendrocyte differentiation,GO:0048714,0.1654657,53.26344,196.4114,PTPRZ1,Positive Regulation Of Oligodendrocyte Differentiation (GO:0048714)
39,GO:0048854,brain morphogenesis,GO:0048854,0.1750013,39.94355,138.5045,BBS4,Brain Morphogenesis (GO:0048854)
40,GO:1900247,regulation of cytoplasmic translational elongation,GO:1900247,0.1750013,39.94355,138.5045,DPH6,Regulation Of Cytoplasmic Translational Elongation (GO:1900247)
41,GO:0031103,axon regeneration,GO:0031103,0.1750013,39.94355,138.5045,DHFR,Axon Regeneration (GO:0031103)
42,GO:0050818,regulation of coagulation,GO:0050818,0.1750013,39.94355,138.5045,PROCR,Regulation Of Coagulation (GO:0050818)
43,GO:0009155,purine deoxyribonucleotide catabolic process,GO:0009155,0.1750013,39.94355,138.5045,NUDT18,Purine Deoxyribonucleotide Catabolic Process (GO:0009155)
44,GO:0043508,negative regulation of JUN kinase activity,GO:0043508,0.1750013,39.94355,138.5045,PDCD4,Negative Regulation Of JUN Kinase Activity (GO:0043508)
45,GO:0042753,positive regulation of circadian rhythm,GO:0042753,0.1785604,26.62366,83.5246,NLGN1,Positive Regulation Of Circadian Rhythm (GO:0042753)
46,GO:0048227,plasma membrane to endosome transport,GO:0048227,0.1785604,26.62366,83.5246,SORT1,Plasma Membrane To Endosome Transport (GO:0048227)
47,GO:0048520,positive regulation of behavior,GO:0048520,0.1785604,31.95161,105.066,NLGN1,Positive Regulation Of Behavior (GO:0048520)
48,GO:0038065,collagen-activated signaling pathway,GO:0038065,0.1785604,31.95161,105.066,COL4A6,Collagen-Activated Signaling Pathway (GO:0038065)
49,GO:0061548,ganglion development,GO:0061548,0.1785604,31.95161,105.066,UNC5C,Ganglion Development (GO:0061548)
50,GO:0033599,regulation of mammary gland epithelial cell proliferation,GO:0033599,0.1785604,26.62366,83.5246,ROBO1,Regulation Of Mammary Gland Epithelial Cell Proliferation (GO:0033599)
51,GO:0140354,lipid import into cell,GO:0140354,0.1785604,31.95161,105.066,PLPPR4,Lipid Import Into Cell (GO:0140354)
52,GO:0035418,protein localization to synapse,GO:0035418,0.1785604,31.95161,105.066,NLGN1,Protein Localization To Synapse (GO:0035418)
53,GO:0072711,cellular response to hydroxyurea,GO:0072711,0.1785604,26.62366,83.5246,NSMCE3,Cellular Response To Hydroxyurea (GO:0072711)
54,GO:0046323,glucose import,GO:0046323,0.1785604,26.62366,83.5246,SORT1,Glucose Import (GO:0046323)
55,GO:0051782,negative regulation of cell division,GO:0051782,0.1785604,26.62366,83.5246,TXNIP,Negative Regulation Of Cell Division (GO:0051782)
56,GO:2000353,positive regulation of endothelial cell apoptotic process,GO:2000353,0.1785604,26.62366,83.5246,PDCD4,Positive Regulation Of Endothelial Cell Apoptotic Process (GO:2000353)
57,GO:0061387,regulation of extent of cell growth,GO:0061387,0.1785604,31.95161,105.066,NRCAM,Regulation Of Extent Of Cell Growth (GO:0061387)
58,GO:2000310,regulation of NMDA receptor activity,GO:2000310,0.1785604,26.62366,83.5246,NLGN1,Regulation Of NMDA Receptor Activity (GO:2000310)
59,GO:0071824,protein-DNA complex organization,GO:0071824,0.1785604,6.880363,22.46538,TCF4;HDAC8,protein-DNA Complex Organization (GO:0071824)
60,GO:0008333,endosome to lysosome transport,GO:0008333,0.1785604,7.523446,25.73993,HOOK2;SORT1,Endosome To Lysosome Transport (GO:0008333)
61,GO:0034312,diol biosynthetic process,GO:0034312,0.1793823,19.96371,57.73715,DHFR,Diol Biosynthetic Process (GO:0034312)
62,GO:0007218,neuropeptide signaling pathway,GO:0007218,0.1793823,22.81797,68.609,SORT1,Neuropeptide Signaling Pathway (GO:0007218)
63,GO:0051241,negative regulation of multicellular organismal process,GO:0051241,0.1793823,3.821094,11.4667,PROCR;VASN;ROBO1,Negative Regulation Of Multicellular Organismal Process (GO:0051241)
64,GO:0003229,ventricular cardiac muscle tissue development,GO:0003229,0.1793823,22.81797,68.609,DSG2,Ventricular Cardiac Muscle Tissue Development (GO:0003229)
65,GO:0060317,cardiac epithelial to mesenchymal transition,GO:0060317,0.1793823,19.96371,57.73715,PDCD4,Cardiac Epithelial To Mesenchymal Transition (GO:0060317)
66,GO:0043201,response to leucine,GO:0043201,0.1793823,19.96371,57.73715,SESN3,Response To Leucine (GO:0043201)
67,GO:1904706,negative regulation of vascular associated smooth muscle cell proliferation,GO:1904706,0.1793823,22.81797,68.609,PDCD4,Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)
68,GO:0051000,positive regulation of nitric-oxide synthase activity,GO:0051000,0.1793823,22.81797,68.609,DHFR,Positive Regulation Of Nitric-Oxide Synthase Activity (GO:0051000)
69,GO:1990253,cellular response to leucine starvation,GO:1990253,0.1793823,19.96371,57.73715,SESN3,Cellular Response To Leucine Starvation (GO:1990253)
70,GO:0016567,protein ubiquitination,GO:0016567,0.1793823,2.696563,8.262695,ZNF738;ENC1;TRPC4AP;PDZRN3;RNF166,Protein Ubiquitination (GO:0016567)
71,GO:1900016,negative regulation of cytokine production involved in inflammatory response,GO:1900016,0.1923368,17.74373,49.50205,PDCD4,Negative Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900016)
72,GO:2000177,regulation of neural precursor cell proliferation,GO:2000177,0.1974676,15.96774,43.07473,PTPRZ1,Regulation Of Neural Precursor Cell Proliferation (GO:2000177)
73,GO:0071241,cellular response to inorganic substance,GO:0071241,0.1974676,15.96774,43.07473,NSMCE3,Cellular Response To Inorganic Substance (GO:0071241)
74,GO:0010256,endomembrane system organization,GO:0010256,0.203982,3.297973,8.769052,DYNC2H1;HOOK2;SNX10,Endomembrane System Organization (GO:0010256)
75,GO:0097479,synaptic vesicle localization,GO:0097479,0.2047571,14.51466,37.9367,NLGN1,Synaptic Vesicle Localization (GO:0097479)
76,GO:0035721,intraciliary retrograde transport,GO:0035721,0.2047571,14.51466,37.9367,DYNC2H1,Intraciliary Retrograde Transport (GO:0035721)
77,GO:0030316,osteoclast differentiation,GO:0030316,0.20692,13.30376,33.7479,SNX10,Osteoclast Differentiation (GO:0030316)
78,GO:0035025,positive regulation of Rho protein signal transduction,GO:0035025,0.20692,13.30376,33.7479,ROBO1,Positive Regulation Of Rho Protein Signal Transduction (GO:0035025)
79,GO:0010558,negative regulation of macromolecule biosynthetic process,GO:0010558,0.20692,4.479964,11.34806,DHFR;ENC1,Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558)
80,GO:0006895,Golgi to endosome transport,GO:0006895,0.2119242,12.27916,30.27656,SORT1,Golgi To Endosome Transport (GO:0006895)
81,GO:0031641,regulation of myelination,GO:0031641,0.2119242,12.27916,30.27656,PTPRZ1,Regulation Of Myelination (GO:0031641)
82,GO:0048025,"negative regulation of mRNA splicing, via spliceosome",GO:0048025,0.2119242,12.27916,30.27656,PCBP4,"Negative Regulation Of mRNA Splicing, Via Spliceosome (GO:0048025)"
83,GO:0098901,regulation of cardiac muscle cell action potential,GO:0098901,0.2182388,11.40092,27.35957,DSG2,Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901)
84,GO:0035335,peptidyl-tyrosine dephosphorylation,GO:0035335,0.2207536,10.63978,24.87902,PTPRZ1,Peptidyl-Tyrosine Dephosphorylation (GO:0035335)
85,GO:0001895,retina homeostasis,GO:0001895,0.2321103,9.386148,20.89967,BBS4,Retina Homeostasis (GO:0001895)
86,GO:0007286,spermatid development,GO:0007286,0.2321103,9.386148,20.89967,BBS4,Spermatid Development (GO:0007286)
87,GO:0099504,synaptic vesicle cycle,GO:0099504,0.2321103,9.386148,20.89967,NLGN1,Synaptic Vesicle Cycle (GO:0099504)
88,GO:0033119,negative regulation of RNA splicing,GO:0033119,0.2345721,8.863799,19.28448,PCBP4,Negative Regulation Of RNA Splicing (GO:0033119)
89,GO:0045747,positive regulation of Notch signaling pathway,GO:0045747,0.2345721,8.863799,19.28448,ROBO1,Positive Regulation Of Notch Signaling Pathway (GO:0045747)
90,GO:0032469,endoplasmic reticulum calcium ion homeostasis,GO:0032469,0.2345721,8.863799,19.28448,KCTD17,Endoplasmic Reticulum Calcium Ion Homeostasis (GO:0032469)
91,GO:0045022,early endosome to late endosome transport,GO:0045022,0.2345721,8.863799,19.28448,HOOK2,Early Endosome To Late Endosome Transport (GO:0045022)
92,GO:1904262,negative regulation of TORC1 signaling,GO:1904262,0.2345721,8.863799,19.28448,SESN3,Negative Regulation Of TORC1 Signaling (GO:1904262)
93,GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,GO:0008625,0.2398249,8.396435,17.86266,SORT1,Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:0008625)
94,GO:0030258,lipid modification,GO:0030258,0.2398249,8.396435,17.86266,PLPPR4,Lipid Modification (GO:0030258)
95,GO:0030041,actin filament polymerization,GO:0030041,0.2398249,8.396435,17.86266,MSRB2,Actin Filament Polymerization (GO:0030041)
96,GO:0007224,smoothened signaling pathway,GO:0007224,0.2437256,7.975806,16.60304,B9D1,Smoothened Signaling Pathway (GO:0007224)
97,GO:0032509,endosome transport via multivesicular body sorting pathway,GO:0032509,0.2437256,7.975806,16.60304,SORT1,Endosome Transport Via Multivesicular Body Sorting Pathway (GO:0032509)
98,GO:0030865,cortical cytoskeleton organization,GO:0030865,0.2506901,7.249267,14.47538,NLGN1,Cortical Cytoskeleton Organization (GO:0030865)
99,GO:0150063,visual system development,GO:0150063,0.2506901,7.249267,14.47538,FREM2,Visual System Development (GO:0150063)
100,GO:0080090,regulation of primary metabolic process,GO:0080090,0.2506901,7.249267,14.47538,BBS4,Regulation Of Primary Metabolic Process (GO:0080090)
101,GO:0098657,import into cell,GO:0098657,0.2576481,6.643817,12.75291,PLPPR4,Import Into Cell (GO:0098657)
102,GO:0001954,positive regulation of cell-matrix adhesion,GO:0001954,0.2576481,6.643817,12.75291,ENC1,Positive Regulation Of Cell-Matrix Adhesion (GO:0001954)
103,GO:0043506,regulation of JUN kinase activity,GO:0043506,0.2576481,6.643817,12.75291,PDCD4,Regulation Of JUN Kinase Activity (GO:0043506)
104,GO:0080171,lytic vacuole organization,GO:0080171,0.2631975,6.377419,12.01081,HOOK2,Lytic Vacuole Organization (GO:0080171)
105,GO:0051052,regulation of DNA metabolic process,GO:0051052,0.2784993,2.792587,4.970717,NSMCE3;HDAC8,Regulation Of DNA Metabolic Process (GO:0051052)
106,GO:1904029,regulation of cyclin-dependent protein kinase activity,GO:1904029,0.2784993,5.692396,10.1509,CDKN3,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029)
107,GO:0071478,cellular response to radiation,GO:0071478,0.2833012,5.495551,9.630211,NSMCE3,Cellular Response To Radiation (GO:0071478)
108,GO:0007423,sensory organ development,GO:0007423,0.2858837,5.311828,9.150157,FREM2,Sensory Organ Development (GO:0007423)
109,GO:0016575,histone deacetylation,GO:0016575,0.2912333,5.139958,8.706442,HDAC8,Histone Deacetylation (GO:0016575)
110,GO:0006767,water-soluble vitamin metabolic process,GO:0006767,0.29348,4.978831,8.295336,DHFR,Water-Soluble Vitamin Metabolic Process (GO:0006767)
111,GO:0071277,cellular response to calcium ion,GO:0071277,0.29348,4.978831,8.295336,NLGN1,Cellular Response To Calcium Ion (GO:0071277)
112,GO:0070588,calcium ion transmembrane transport,GO:0070588,0.3014113,4.685009,7.558372,TRPC4AP,Calcium Ion Transmembrane Transport (GO:0070588)
113,GO:0015031,protein transport,GO:0015031,0.303665,1.997521,3.201307,IFT22;TXNIP;RABL2B,Protein Transport (GO:0015031)
114,GO:0043648,dicarboxylic acid metabolic process,GO:0043648,0.3204734,4.190153,6.356955,DHFR,Dicarboxylic Acid Metabolic Process (GO:0043648)
115,GO:0006303,double-strand break repair via nonhomologous end joining,GO:0006303,0.3204734,4.190153,6.356955,IFFO1,Double-Strand Break Repair Via Nonhomologous End Joining (GO:0006303)
116,GO:0006644,phospholipid metabolic process,GO:0006644,0.3236735,4.082299,6.102212,PLPPR4,Phospholipid Metabolic Process (GO:0006644)
117,GO:0043588,skin development,GO:0043588,0.3307059,3.882376,5.637186,TXNIP,Skin Development (GO:0043588)
118,GO:0045444,fat cell differentiation,GO:0045444,0.3307059,3.882376,5.637186,BBS4,Fat Cell Differentiation (GO:0045444)
119,GO:0051258,protein polymerization,GO:0051258,0.3382768,3.70105,5.223839,MSRB2,Protein Polymerization (GO:0051258)
120,GO:0016239,positive regulation of macroautophagy,GO:0016239,0.3756077,3.057692,3.828466,SESN3,Positive Regulation Of Macroautophagy (GO:0016239)
121,GO:0071219,cellular response to molecule of bacterial origin,GO:0071219,0.3862337,2.838134,3.380554,PDCD4,Cellular Response To Molecule Of Bacterial Origin (GO:0071219)
122,GO:0001501,skeletal system development,GO:0001501,0.446882,2.173442,2.129349,COL19A1,Skeletal System Development (GO:0001501)
123,GO:0010604,positive regulation of macromolecule metabolic process,GO:0010604,0.7451064,0.8251273,0.2879748,ROBO1,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)
