Protein_Group	Genes	Protein_Names	Ctrl_Piezo1_KO_YODA1-_Avg_Peptide_Count	Ctrl_Piezo1_KO_YODA1+_Avg_Peptide_Count	Piezo1_KO_YODA1-_Avg_Peptide_Count	Piezo1_KO_YODA1+_Avg_Peptide_Count	Ctrl_Piezo1_OE_YODA1-_Avg_Peptide_Count	Ctrl_Piezo1_OE_YODA1+_Avg_Peptide_Count	Piezo1_OE_YODA1-_Avg_Peptide_Count	Piezo1_OE_YODA1+_Avg_Peptide_Count	Species	Intensity_Ctrl_Piezo1_KO_YODA1-_BR1_TR1	Intensity_Ctrl_Piezo1_KO_YODA1+_BR1_TR1	Intensity_Ctrl_Piezo1_KO_YODA1-_BR2_TR1	Intensity_Ctrl_Piezo1_KO_YODA1+_BR2_TR1	Intensity_Ctrl_Piezo1_KO_YODA1-_BR3_TR1	Intensity_Ctrl_Piezo1_KO_YODA1+_BR3_TR1	Intensity_Ctrl_Piezo1_KO_YODA1-_BR4_TR1	Intensity_Ctrl_Piezo1_KO_YODA1+_BR4_TR1	Intensity_Piezo1_KO_YODA1-_BR1_TR1	Intensity_Piezo1_KO_YODA1+_BR1_TR1	Intensity_Piezo1_KO_YODA1-_BR2_TR1	Intensity_Piezo1_KO_YODA1+_BR2_TR1	Intensity_Piezo1_KO_YODA1-_BR3_TR1	Intensity_Piezo1_KO_YODA1+_BR3_TR1	Intensity_Piezo1_KO_YODA1-_BR4_TR1	Intensity_Piezo1_KO_YODA1+_BR4_TR1	Intensity_Piezo1_KO_YODA1-_BR5_TR1	Intensity_Piezo1_KO_YODA1+_BR5_TR1	Intensity_Ctrl_Piezo1_OE_YODA1-_BR1_TR1	Intensity_Ctrl_Piezo1_OE_YODA1+_BR1_TR1	Intensity_Ctrl_Piezo1_OE_YODA1-_BR2_TR1	Intensity_Ctrl_Piezo1_OE_YODA1+_BR2_TR1	Intensity_Ctrl_Piezo1_OE_YODA1-_BR3_TR1	Intensity_Ctrl_Piezo1_OE_YODA1+_BR3_TR1	Intensity_Ctrl_Piezo1_OE_YODA1-_BR4_TR1	Intensity_Ctrl_Piezo1_OE_YODA1+_BR4_TR1	Intensity_Piezo1_OE_YODA1-_BR1_TR1	Intensity_Piezo1_OE_YODA1+_BR1_TR1	Intensity_Piezo1_OE_YODA1-_BR2_TR1	Intensity_Piezo1_OE_YODA1+_BR2_TR1	Intensity_Piezo1_OE_YODA1-_BR3_TR1	Intensity_Piezo1_OE_YODA1+_BR3_TR1	Intensity_Piezo1_OE_YODA1-_BR4_TR1	Intensity_Piezo1_OE_YODA1+_BR4_TR1	Intensity_Ctrl_Piezo1_KO_YODA1-_BR1_TR2	Intensity_Ctrl_Piezo1_KO_YODA1+_BR1_TR2	Intensity_Ctrl_Piezo1_KO_YODA1-_BR2_TR2	Intensity_Ctrl_Piezo1_KO_YODA1+_BR2_TR2	Intensity_Ctrl_Piezo1_KO_YODA1-_BR3_TR2	Intensity_Ctrl_Piezo1_KO_YODA1+_BR3_TR2	Intensity_Ctrl_Piezo1_KO_YODA1-_BR4_TR2	Intensity_Ctrl_Piezo1_KO_YODA1+_BR4_TR2	Intensity_Piezo1_KO_YODA1-_BR1_TR2	Intensity_Piezo1_KO_YODA1+_BR1_TR2	Intensity_Piezo1_KO_YODA1-_BR2_TR2	Intensity_Piezo1_KO_YODA1+_BR2_TR2	Intensity_Piezo1_KO_YODA1-_BR3_TR2	Intensity_Piezo1_KO_YODA1+_BR3_TR2	Intensity_Piezo1_KO_YODA1-_BR4_TR2	Intensity_Piezo1_KO_YODA1+_BR4_TR2	Intensity_Piezo1_KO_YODA1-_BR5_TR2	Intensity_Piezo1_KO_YODA1+_BR5_TR2	Intensity_Ctrl_Piezo1_OE_YODA1-_BR1_TR2	Intensity_Ctrl_Piezo1_OE_YODA1+_BR1_TR2	Intensity_Ctrl_Piezo1_OE_YODA1-_BR2_TR2	Intensity_Ctrl_Piezo1_OE_YODA1+_BR2_TR2	Intensity_Ctrl_Piezo1_OE_YODA1-_BR3_TR2	Intensity_Ctrl_Piezo1_OE_YODA1+_BR3_TR2	Intensity_Ctrl_Piezo1_OE_YODA1-_BR4_TR2	Intensity_Ctrl_Piezo1_OE_YODA1+_BR4_TR2	Intensity_Piezo1_OE_YODA1-_BR1_TR2	Intensity_Piezo1_OE_YODA1+_BR1_TR2	Intensity_Piezo1_OE_YODA1-_BR2_TR2	Intensity_Piezo1_OE_YODA1+_BR2_TR2	Intensity_Piezo1_OE_YODA1-_BR3_TR2	Intensity_Piezo1_OE_YODA1+_BR3_TR2	Intensity_Piezo1_OE_YODA1-_BR4_TR2	Intensity_Piezo1_OE_YODA1+_BR4_TR2
Q9Y3U8	RPL36	RL36_HUMAN	15.25	15.375	15.5	15.5	15.875	15.625	15.875	15.875	HUMAN	2900001000.0	1574234000.0	2187927000.0	2757467400.0	2111742700.0	2556154000.0	2825113000.0	3081824800.0	2442415400.0	2872667100.0	2850566700.0	2565368800.0	2439105500.0	2706819600.0	2279982600.0	2560961500.0	2911670000.0	2903620000.0	2950659000.0	3147992000.0	2734194200.0	3244501800.0	3133754400.0	3022812200.0	2992948500.0	3056419000.0	2070804000.0	3926601500.0	2112231400.0	3209042000.0	3182260500.0	2716237300.0	3082873600.0	2941837800.0	2379205000.0	2133379600.0	2262248200.0	2640657400.0	2207753000.0	2352566800.0	2701672400.0	2675728400.0	2124707300.0	2297238800.0	2285758700.0	2073393400.0	2117536300.0	2448886300.0	2043117800.0	2251236400.0	2358524700.0	2447848000.0	2917508600.0	2985010700.0	2988309800.0	2759853800.0	2679489500.0	2644782000.0	2653265000.0	2662785500.0	2032526500.0	2717188000.0	2099358500.0	2921772500.0	2691903200.0	2772180500.0	2659970800.0	2497654800.0
Q9Y3V2	RWDD3	RWDD3_HUMAN	2.6	2.0	2.0	2.0	2.0	2.25	2.4285714285714284	2.1666666666666665	HUMAN			22051.629		47784.41		145036.9			93523.31	83511.37	90828.695					141367.81		11500.816	99106.66	137190.58	106134.766					100909.74	124943.984	97812.61	124808.89	93922.29	126865.375	136559.56		171626.0				92200.61			63612.86	14459.793		66337.55							119367.83	104202.79	83630.52			152208.48			134130.5	63957.9		110009.67	66092.98		93952.0	123222.734	122363.26
Q9Y3X0	CCDC9	CCDC9_HUMAN	21.125	20.75	20.5	20.6	20.875	21.375	20.375	21.125	HUMAN	25926244.0	16049779.0	17494254.0	23864914.0	19578262.0	23170448.0	28301560.0	26011442.0	22741820.0	21752686.0	26656956.0	22989368.0	23468440.0	26059432.0	23763068.0	22035936.0	25856120.0	27293990.0	32466954.0	34105620.0	30906234.0	29782602.0	34809536.0	30968514.0	23587676.0	33942256.0	24287006.0	41595556.0	25775978.0	34400170.0	31455578.0	28053102.0	32788282.0	23273276.0	28668194.0	22492000.0	22801502.0	23407728.0	22255740.0	22672842.0	21443946.0	25836198.0	15455346.0	15891825.0	24440490.0	21620574.0	17685952.0	25046424.0	21187318.0	19798730.0	22385548.0	21593796.0	32816284.0	31344722.0	28944122.0	30593028.0	32588762.0	28182010.0	28663916.0	30994762.0	25728584.0	29262596.0	25197218.0	32423514.0	29987280.0	30717372.0	30507592.0	26207596.0
Q9Y3Y2	CHTOP	CHTOP_HUMAN	16.625	16.375	16.3	16.7	17.0	15.875	16.625	16.375	HUMAN	309461060.0	308477200.0	330351900.0	508105060.0	391663200.0	566295200.0	443383650.0	455431420.0	457896320.0	492249150.0	507068670.0	504491100.0	451340100.0	510863700.0	442317660.0	506032640.0	495547040.0	624999000.0	358648640.0	427753280.0	406663940.0	495479460.0	441172260.0	577611300.0	415061660.0	479377000.0	339135840.0	575284160.0	379465540.0	430232900.0	451048260.0	388110750.0	378984580.0	475969340.0	320864700.0	485609150.0	425116640.0	509229120.0	471583900.0	518280700.0	427880320.0	417246700.0	406791230.0	405046270.0	443802660.0	417501820.0	404193060.0	418719200.0	366580540.0	431558140.0	424900100.0	513150800.0	389565060.0	442128960.0	401658880.0	475081540.0	374856200.0	501120900.0	362012260.0	400103360.0	334685540.0	350855000.0	362668670.0	437113600.0	392123460.0	392331970.0	385510270.0	435067620.0
Q9Y3Y4	PYGO1	PYGO1_HUMAN	2.25	2.2	2.3333333333333335	2.0	2.0	2.0	2.0	2.25	HUMAN	3279457.0		28343.94			70950.08	39906.81	63109.406		10847319.0	29180.16									7262977.0	72635.84	54853.094	9277121.0				32376.84		44545.953					29250.225	3433646.5	64661.137				54766.297		5716166.5	6221976.5	94186.266			31800.738			51650.477		53087.15			77190.016		3816836.2	37798.11	63986.348			7188262.5		94711.33	4630468.5	1473927.2		
Q9Y3Z3	SAMHD1	SAMH1_HUMAN	48.375	45.375	44.8	46.1	52.875	49.25	52.875	50.375	HUMAN	197135950.0	60775268.0	131535920.0	133350940.0	174918050.0	190449780.0	189099260.0	173200860.0	106792010.0	241090880.0	103411370.0	104204420.0	184095760.0	196907840.0	121541370.0	148927650.0	197066020.0	201198720.0	205140930.0	209363070.0	242948830.0	147767800.0	292525950.0	168245280.0	225706530.0	228637230.0	170364350.0	368560770.0	186218880.0	268173500.0	249164380.0	202696020.0	293180300.0	177533120.0	189557730.0	98167440.0	117663450.0	134662350.0	162655460.0	167054580.0	174061710.0	146046830.0	89235550.0	166000980.0	79594690.0	74437120.0	137452110.0	165211800.0	94005460.0	113971200.0	158892260.0	127139900.0	251028340.0	210388020.0	200164690.0	134123350.0	247770340.0	167280080.0	192336370.0	194299310.0	191093330.0	257898050.0	189419380.0	246013520.0	225585580.0	205797660.0	257382960.0	149248640.0
Q9Y421	FAM32A	FA32A_HUMAN	6.125	5.875	6.1	6.5	6.375	6.125	5.75	6.125	HUMAN	39877864.0	29774172.0	24178798.0	46955332.0	41665424.0	53822788.0	49149930.0	46178284.0	40862610.0	52702836.0	44469132.0	45364124.0	39326820.0	46539976.0	40822908.0	53276052.0	54014612.0	53656190.0	46491584.0	50547052.0	49346160.0	56940210.0	54663724.0	54496790.0	48337120.0	32045478.0	27987826.0	64917670.0	37260004.0	52269292.0	50484980.0	49095820.0	57094784.0	50657924.0	39869444.0	26436834.0	39248256.0	49554504.0	52415264.0	53669044.0	52135184.0	49727990.0	43035640.0	51132696.0	45002430.0	44912784.0	41557640.0	45233510.0	38282108.0	46916160.0	47522784.0	53558604.0	47845812.0	53603636.0	49586736.0	58621356.0	48738148.0	41441620.0	53117170.0	41539116.0	41102876.0	28787698.0	26895840.0	32265592.0	36572710.0	47431690.0	51491240.0	43057176.0
Q9Y426	C2CD2	C2CD2_HUMAN	23.75	24.75	24.7	25.9	24.25	26.25	25.5	25.75	HUMAN	24514214.0	49972332.0	12960654.0	15400099.0	15774495.0	22887342.0	38794356.0	20666040.0	96116990.0	56707850.0	71031790.0	39400016.0	15738228.0	109182670.0	54914324.0	20373566.0	24463538.0	108382330.0	35719000.0	56259764.0	21427554.0	83311930.0	49325920.0	32352486.0	19648568.0	30379148.0	49144080.0	63370764.0	57009372.0	44845990.0	25672838.0	37810770.0	17573356.0	25946560.0	37182336.0	107736104.0	19951726.0	20860772.0	17627816.0	24618418.0	14088513.0	18410220.0	22037700.0	79907570.0	70269770.0	36409816.0	67225140.0	109586890.0	13998112.0	37129104.0	23228432.0	26563900.0	49274816.0	63339170.0	26052698.0	58376584.0	19481382.0	32581724.0	43069876.0	28902658.0	44930576.0	37005652.0	25372680.0	38273556.0	44868856.0	23178854.0	14901784.0	28113656.0
Q9Y446	PKP3	PKP3_HUMAN	35.875	34.0	34.7	35.1	34.375	32.25	32.375	31.5	HUMAN	20574896.0	11692150.0	24457546.0	19083842.0	27131196.0	21212060.0	33567820.0	26384480.0	24259604.0	26675944.0	17789668.0	11282743.0	43336450.0	42629810.0	29821638.0	29419746.0	34083828.0	30768586.0	25355508.0	21181574.0	21126328.0	17335600.0	23833474.0	16643089.0	20249590.0	14119076.0	17217272.0	25301598.0	17416826.0	19051940.0	26437384.0	18735574.0	25397620.0	17292122.0	23488992.0	15999016.0	24743480.0	20777824.0	30337608.0	25209654.0	33686480.0	26654468.0	24277702.0	25070474.0	13004548.0	12524708.0	40080236.0	38833004.0	27535818.0	23825262.0	31453374.0	26898778.0	21947386.0	16093210.0	20581340.0	11111144.0	22856162.0	18041876.0	19639816.0	15723554.0	17643804.0	15884232.0	17509480.0	17890718.0	20943118.0	21732710.0	25953322.0	15961276.0
Q9Y448	KNSTRN	SKAP_HUMAN	12.5	11.625	11.6	11.9	12.375	12.375	12.0	12.375	HUMAN	70825064.0	21748756.0	27658504.0	31477270.0	34905548.0	38766120.0	54084250.0	51235144.0	39123852.0	51244344.0	41202908.0	28439822.0	40329300.0	41828636.0	33120168.0	39660836.0	60394080.0	38376356.0	63889004.0	55254724.0	59092884.0	46956096.0	70501700.0	39953804.0	63281936.0	46448470.0	35851224.0	65073104.0	37011016.0	44541016.0	65993612.0	59317732.0	75443210.0	50935870.0	74002744.0	35864840.0	36790764.0	30941408.0	44269620.0	41955348.0	58380744.0	41010240.0	35474864.0	52758884.0	31486974.0	29631538.0	36987544.0	36339120.0	30550058.0	35205250.0	53804944.0	36787370.0	65629052.0	53693012.0	56634276.0	46116570.0	65771850.0	44853790.0	52769520.0	45476460.0	45760336.0	43193812.0	38810364.0	45541176.0	67265970.0	53429250.0	68818424.0	43059948.0
Q9Y450	HBS1L	HBS1L_HUMAN	47.625	45.5	45.9	46.5	48.5	46.375	47.75	46.5	HUMAN	290563650.0	132272536.0	202834880.0	281901920.0	220828220.0	284107800.0	327012060.0	363764580.0	139835820.0	302598820.0	151914620.0	278590460.0	150671440.0	386156350.0	272454460.0	262250660.0	327379200.0	300754850.0	411233470.0	452002020.0	222102220.0	181837010.0	257627740.0	276332300.0	213136670.0	366034750.0	259041420.0	533276480.0	298765860.0	378182270.0	379812900.0	358709280.0	370040000.0	334195330.0	296096160.0	165304020.0	266167790.0	292683700.0	225913950.0	219294720.0	294507780.0	334927650.0	200864080.0	115976960.0	253724350.0	175207040.0	219497090.0	306580160.0	242401170.0	238828740.0	219683300.0	213055280.0	386289380.0	383928600.0	394178460.0	349052640.0	354859780.0	267214030.0	348281800.0	292550940.0	261312850.0	177581810.0	269840600.0	312547500.0	349255040.0	170051550.0	363484060.0	269627200.0
Q9Y466	NR2E1	NR2E1_HUMAN	8.125	8.375	8.1	8.2	8.125	7.5	8.25	6.25	HUMAN	489541.94	453642.03	3489808.0	2159194.0	999349.2	6334201.0	993674.9	4960689.5	1147719.0	3514576.5	689081.94	958914.56	612249.06	701203.3	809325.44	3307522.0	1452873.0	1169698.8	1048076.4	918943.8	974367.0	2100492.0	975826.4	736511.0	935475.9	483247.84	2346144.5	563830.94	843236.75	253574.03	6390932.0	696024.9	1159601.9	1029374.2	4473967.0	470967.0	928428.4	779210.7	1115840.8	1182246.4	9409295.0	830708.25	7898860.5	823535.94	576602.25	710201.3	619159.56	500125.34	725821.7	826090.1	1053835.2	1016667.0	1135922.0	947558.7	1194707.0	1032554.44	808445.94	909036.7	1207612.0	722510.1	585421.0	457988.5	545529.0	413365.88	1140701.8	695951.94	4313449.5	1841656.5
Q9Y467	SALL2	SALL2_HUMAN	5.125	4.857142857142857	5.0	5.0	2.4	3.0	2.6	3.0	HUMAN	107535.69		2618859.5	2072808.9	443694.62	589829.56	1072731.6	651427.7	1024119.94	918928.44			552630.06	546987.75	550374.06	633258.0	943508.3	783139.25	425104.22				384284.03	256692.53			475137.56	260451.83	828627.44		610380.5			129001.05	507027.4	459396.16	2827562.2	2735342.5	490823.66	112649.39	1242766.9	747988.0	225480.7	437232.94			1461783.5	1029991.5	1103652.1	906690.25	674762.8	1375631.9	102070.88	197200.02	142571.16		304473.66	392448.38				162228.05	128032.05	165477.22		36243.016	89211.055	
