Protein_Group	Genes	SAX_22001_M1_vs_RAW_22001_M1_logFC	SAX_22001_M1_vs_RAW_22001_M1_pval	Removed?	Contaminant?
Q5SZK8	FREM2	3.70493111625745	0.0002318064722847	No	No
Q5T0F9	CC2D1B	4.76365277687217	2.11617951120074e-07	No	No
Q5T0N5	FNBP1L	6.4372445714466	8.51025804183518e-07	No	No
Q5T1M5	FKBP15	7.74752666135435	1.24833538101466e-10	No	No
Q5T2D2	TREML2	2.9403379369477	0.0026675199333872	No	No
Q5T2T1	MPP7	6.86021082120561	1.22680596080418e-05	No	No
Q5T3F8	TMEM63B	6.14208008199095	4.527091531141e-07	No	No
Q5T447	HECTD3	7.07095004775839	1.38227558105945e-07	No	No
Q5T4S7	UBR4	7.81409656391283	6.2799398615788095e-12	No	No
Q5T5C0	STXBP5	7.54381771730758	1.37525318125999e-12	No	No
Q5T5U3	ARHGAP21	3.98671984418654	0.003595245151889	No	No
Q5TCZ1	SH3PXD2A	4.94040559536406	1.37287960062972e-06	No	No
Q5TDH0	DDI2	5.40257091103672	1.62336672786635e-07	No	No
Q5U3C3	TMEM164	4.58059080046683	0.0002081418079627	No	No
Q5UCC4	EMC10	5.44720313768507	6.8078870098529e-07	No	No
Q5VV43	KIAA0319	2.72044124230016	0.0024675589246007	No	No
Q5VVQ6	YOD1	5.93647733466735	2.3883005193168e-07	No	No
Q5VWC8	HACD4	6.37177157455467	2.60934730536139e-06	No	No
Q5VWZ2	LYPLAL1	4.37478044191235	0.0004315570421978	No	No
Q5VY43	PEAR1	7.82354902417412	6.5559950015492e-08	No	No
Q5VZ89	DENND4C	4.92791780999167	0.0002262707466484	No	No
Q5VZK9	CARMIL1	6.56177765040363	7.08950772632617e-10	No	No
Q5W0V3	FAM160B1	4.90197107778455	9.89126205571307e-07	No	No
Q629K1	TRIQK	5.28869994232024	1.99643959505083e-06	No	No
Q63HN8	RNF213	4.81541500027909	1.20888310501952e-05	No	No
Q63ZY3	KANK2	3.8433081700104	0.0001765090383972	No	No
Q641Q2	WASHC2A	5.97576601762372	3.41893921719855e-07	No	No
Q658P3	STEAP3	8.38925100575119	6.966790265931901e-10	No	No
Q66K74	MAP1S	6.38425784851167	2.60097456089794e-07	No	No
Q676U5	ATG16L1	7.20194913388757	8.03553934850276e-07	No	No
Q684P5	RAP1GAP2	8.16493525561811	2.45454132634707e-13	No	No
