Protein_Group	Genes	SAX_72001_B_vs_RAW_72001_B_logFC	SAX_72001_B_vs_RAW_72001_B_pval	Removed?	Contaminant?
Q8IY22	CMIP	5.04417544317529	1.29998638641762e-07	No	No
Q8IZP0	ABI1	6.48588999877279	1.40314200705273e-07	No	No
Q8N5K1	CISD2	4.62794555886839	0.0001174578805542	No	No
Q8NBM8	PCYOX1L	5.29624293855716	0.0001320554716869	No	No
Q8NBX0	SCCPDH	5.60329957740388	1.8629233708742e-09	No	No
Q8NDB2	BANK1	5.10786828069952	0.0011163436747861	No	No
Q8NE86	MCU	5.66058678768734	1.32611196401584e-05	No	No
Q8NF50	DOCK8	5.94574893593886	3.10358149001194e-08	No	No
Q8TC12	RDH11	6.13906473048478	1.19855444334278e-07	No	No
Q8TF42	UBASH3B	5.31164500637183	2.32629598140732e-06	No	No
Q8WUD1	RAB2B	4.7662472889714	4.0403989220818e-08	No	No
Q8WUM4	PDCD6IP	5.55256229832351	3.74666976725669e-08	No	No
Q8WWI5	SLC44A1	5.13994323773116	3.70407099784459e-07	No	No
Q92187	ST8SIA4	5.24625754787075	8.979870047661541e-09	No	No
Q92538	GBF1	4.61041303469217	1.04794730734876e-06	No	No
Q92614	MYO18A	5.13155471567677	3.2964137732426e-06	No	No
Q92619	ARHGAP45	7.62117849579939	2.09014636716325e-14	No	No
Q92673	SORL1	7.68739308953649	7.59536422772407e-08	No	No
Q92845	KIFAP3	5.24988486373955	0.0028947930816194	No	No
Q92882	OSTF1	5.78477438527503	2.84926363262893e-08	No	No
Q92905	COPS5	5.28122596652977	3.43985529518341e-07	No	No
Q96AG4	LRRC59	5.8749500235277	2.68499645156968e-06	No	No
Q96AX2	RAB37	4.94964712919309	2.89674224858534e-08	No	No
Q96C24	SYTL4	7.11875341949896	8.68690383171257e-08	No	No
Q96DZ9	CMTM5	7.58217483030446	7.02553308077632e-13	No	No
Q96HN2	AHCYL2	4.69401460712162	1.12673813576674e-06	No	No
Q96K76	USP47	4.91314174404991	9.03294973443717e-07	No	No
