,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
66,GO:0006954,inflammatory response,GO:0006954,0.07616926,10.15638,40.05355,CCL2;RELB,Inflammatory Response (GO:0006954)
67,GO:0002053,positive regulation of mesenchymal cell proliferation,GO:0002053,0.07616926,59.15476,230.8727,MYC,Positive Regulation Of Mesenchymal Cell Proliferation (GO:0002053)
68,GO:0032688,negative regulation of interferon-beta production,GO:0032688,0.07616926,59.15476,230.8727,RELB,Negative Regulation Of Interferon-Beta Production (GO:0032688)
69,GO:0001658,branching involved in ureteric bud morphogenesis,GO:0001658,0.07616926,59.15476,230.8727,MYC,Branching Involved In Ureteric Bud Morphogenesis (GO:0001658)
70,GO:0070206,protein trimerization,GO:0070206,0.07616926,59.15476,230.8727,AMH,Protein Trimerization (GO:0070206)
71,GO:0071407,cellular response to organic cyclic compound,GO:0071407,0.07821924,9.74716,37.71204,EGR1;CCL2,Cellular Response To Organic Cyclic Compound (GO:0071407)
72,GO:0043618,regulation of transcription from RNA polymerase II promoter in response to stress,GO:0043618,0.07886909,50.69898,191.1721,KLF2,Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0043618)
73,GO:0001890,placenta development,GO:0001890,0.07981133,39.4246,139.9726,E2F7,Placenta Development (GO:0001890)
74,GO:0042744,hydrogen peroxide catabolic process,GO:0042744,0.07981133,39.4246,139.9726,GPX3,Hydrogen Peroxide Catabolic Process (GO:0042744)
75,GO:0007010,cytoskeleton organization,GO:0007010,0.07981133,8.800535,32.42448,CCL2;TNFAIP3,Cytoskeleton Organization (GO:0007010)
76,GO:0006285,"base-excision repair, AP site formation",GO:0006285,0.07981133,39.4246,139.9726,NEIL3,"Base-Excision Repair, AP Site Formation (GO:0006285)"
77,GO:0001516,prostaglandin biosynthetic process,GO:0001516,0.07981133,39.4246,139.9726,AMH,Prostaglandin Biosynthetic Process (GO:0001516)
78,GO:0035825,homologous recombination,GO:0035825,0.07981133,44.35714,162.0964,RBBP8,Homologous Recombination (GO:0035825)
79,GO:2000773,negative regulation of cellular senescence,GO:2000773,0.09328909,29.55952,97.31642,AMH,Negative Regulation Of Cellular Senescence (GO:2000773)
