Protein_Group	Genes	PTEN_sg_#6_Tr_vs_PTEN_sg_#6_logFC	PTEN_sg_#6_Tr_vs_PTEN_sg_#6_pval	Removed?	Contaminant?
O75355	ENTPD3	1.31750090465537	0.0027742666279398	No	No
O75363	BCAS1	2.79869264620876	5.0180783280357804e-54	No	No
O75888	TNFSF13	3.66672374111683	2.00772074742787e-08	No	No
O76039	CDKL5	1.3093751587451	0.0025587361841308	No	No
O76074	PDE5A	1.04080814606214	8.47568229941913e-05	No	No
O94827	PLEKHG5	1.0302044112506	6.58613002912434e-07	No	No
O95255	ABCC6	1.88147512918705	6.18606025503494e-26	No	No
O95263	PDE8B	1.4904293018089	9.54955791968064e-05	No	No
O95490	ADGRL2	1.1082374319643	1.53139003748635e-05	No	No
O95633	FSTL3	1.5843040826372	0.0037498476314515	No	No
O95671	ASMTL	1.22333279327325	2.6294893015011e-08	No	No
O95833	CLIC3	1.09246517965363	2.69529908587258e-26	No	No
P00747	PLG	1.24864139249192	0.0004851835663431	No	No
P01920	HLA-DQB1	2.41103787677462	8.96638811054333e-09	No	No
P04083	ANXA1	1.58602814570949	9.574411592923131e-19	No	No
P05981	HPN	1.44184637494077	8.64214674405674e-14	No	No
P07476	IVL	1.97476393046202	1.44345197682175e-25	No	No
P08294	SOD3	1.27176383296776	3.20044939673815e-07	No	No
P08648	ITGA5	1.50465130605449	9.07873203949411e-28	No	No
P09493	TPM1	1.00548449778794	1.6250147299733998e-13	No	No
P09529	INHBB	1.0496450743924	9.07030627023232e-05	No	No
P0CG41;Q8IX94	CTAGE8;CTAGE4	1.68752049545659	0.0082405042928111	No	No
P0DPH7;P0DPH8	TUBA3C;TUBA3D	1.85777116440211	1.01469000008417e-06	No	No
P10909	CLU	1.64350900096281	3.9469675114964805e-09	No	No
P10912	GHR	1.06314668874813	0.0035848857709604	No	No
P11137	MAP2	1.13598006180018	8.146662004373451e-09	No	No
P11464	PSG1	1.70363638766034	4.24121006673834e-06	No	No
P12273	PIP	2.87052086678979	6.29083481066449e-10	No	No
P12429	ANXA3	1.0238621839899	1.48312634628076e-07	No	No
P12882	MYH1	2.43199183946831	0.0070058682627064	No	No
P14061	HSD17B1	2.65153944536123	3.99137955552231e-08	No	No
P14621	ACYP2	1.16042839867472	6.90339135209013e-12	No	No
P15289	ARSA	1.18176321348691	1.0334169376932901e-23	No	No
P15408	FOSL2	1.38593774569548	9.14922173598908e-07	No	No
P17040	ZSCAN20	1.67712678197953	9.0565851309207e-05	No	No
P17342	NPR3	1.37062682036717	3.17608825842693e-05	No	No
P17540	CKMT2	1.46643544797977	5.9236132784967404e-21	No	No
P17600	SYN1	1.3905136266429	1.80083095514686e-05	No	No
P17813	ENG	1.49164065113905	1.51928703518814e-18	No	No
P19971	TYMP	1.01642265141946	7.64217870429431e-12	No	No
P21695	GPD1	1.20112588404417	2.66338715422413e-16	No	No
P21953	BCKDHB	1.04841580628675	5.40012168581223e-10	No	No
P21980	TGM2	1.33864249028653	0.0062335302178581	No	No
P22304	IDS	2.21359988010161	1.56127106102226e-10	No	No
P22674	CCNO	1.59610149983185	0.0048026260833104	No	No
P23297	S100A1	1.04136704062785	3.44145071145882e-05	No	No
P23497	SP100	1.0455828534092	5.6132417554308e-13	No	No
P24385	CCND1	1.58460207145621	8.478608513862281e-25	No	No
P24593	IGFBP5	1.78845025550559	2.52821435550171e-31	No	No
P28799	GRN	1.07863162985579	2.50780898322727e-19	No	No
P29034	S100A2	1.42465210931249	0.0004741313394611	No	No
P30039	PBLD	1.10492117494575	3.0328813744012e-14	No	No
P31512	FMO4	1.30963514114595	2.1271722459899799e-13	No	No
P31513	FMO3	1.12101890615683	0.0037397573947326	No	No
P32004	L1CAM	1.66362589874715	6.53588043289183e-22	No	No
P32455	GBP1	1.24885078778343	1.30333123190544e-05	No	No
P32456	GBP2	2.31377620252442	9.840615239086629e-11	No	No
P32929	CTH	1.10002393041598	1.68694638587071e-16	No	No
P33897	ABCD1	1.15867380536648	2.94312488278891e-27	No	No
P34741	SDC2	1.20454030557616	2.62869499684616e-22	No	No
P35408	PTGER4	1.32762882944315	6.68678492489577e-06	No	No
P35475	IDUA	1.10980829812712	8.29947653611648e-13	No	No
P35711	SOX5	1.09178187230134	0.005921716159014	No	No
P35754	GLRX	1.1468807180981	6.99685519729785e-10	No	No
P35869	AHR	1.09958834990703	4.98791240723616e-16	No	No
P41247	PNPLA4	1.33676558802858	1.39672122656685e-10	No	No
P42772	CDKN2B	2.46718153006762	3.16127507377188e-17	No	No
P43115	PTGER3	1.62216299142294	5.97147623822203e-10	No	No
P43234	CTSO	1.49096889440511	3.8227370195209805e-09	No	No
P47974	ZFP36L2	1.78292147275051	3.88850456800208e-19	No	No
P48960	ADGRE5	1.09219479846966	1.1627562250284001e-10	No	No
P49703	ARL4D	2.39931830680682	1.07421959793491e-08	No	No
P49716	CEBPD	1.20664398606209	4.27093208163572e-08	No	No
P49789	FHIT	1.03885880724913	7.70246416725531e-13	No	No
P50225	SULT1A1	1.16914290588605	1.8664087128342402e-23	No	No
P50226	SULT1A2	1.17404102514899	4.42355551405967e-05	No	No
P50461	CSRP3	1.37679390309023	0.0001883157179576	No	No
P51161	FABP6	1.24380298299479	0.000518960731285	No	No
P51178	PLCD1	1.10567968507387	2.1406068726433598e-16	No	No
P51688	SGSH	1.13519425025186	2.48718149070769e-22	No	No
P51805	PLXNA3	1.2681406239659	5.26348275099408e-23	No	No
P52799	EFNB2	1.0120340034797	0.0030137014090068	No	No
P54289	CACNA2D1	1.14581322228954	1.92225019726783e-24	No	No
P54868	HMGCS2	2.17032038729417	4.6815050366114e-10	No	No
P54922	ADPRH	1.30768098356445	4.6292260143329104e-14	No	No
P55808	XG	1.41089301095696	1.23128739843097e-09	No	No
P57078	RIPK4	1.12873549123999	0.0013529888499865	No	No
P60606	CTXN1	1.14157405688894	0.0007841211006222	No	No
P61587	RND3	1.25134754226902	3.6112080146942803e-10	No	No
P61601	NCALD	1.24954348116359	1.74671125319639e-06	No	No
P61812	TGFB2	2.13448053049474	0.0002423081467954	No	No
P62699	YPEL5	1.05420454447589	3.6713512986381e-22	No	No
P63261	ACTG1	1.09842316671464	0.0020304426576029	No	No
P78380	OLR1	1.16887448528635	0.0070415466457398	No	No
P78410	BTN3A2	1.53276002160297	2.85783475661438e-06	No	No
P80404	ABAT	1.1903338122397	3.73602739338332e-29	No	No
P86452	ZBED6	1.24739331609368	0.0001855922853954	No	No
P98082	DAB2	2.03047086686281	1.13875012430434e-10	No	No
Q00534	CDK6	1.30524971814798	3.49670796126951e-09	No	No
Q00887	PSG9	1.48868235152672	6.82806533458543e-06	No	No
Q00G26	PLIN5	1.35986235140962	1.24072242896699e-05	No	No
Q01201	RELB	1.42665834041217	1.93908231892055e-05	No	No
Q03167	TGFBR3	1.07788882442284	0.0011025341906014	No	No
Q04828	AKR1C1	1.48210087115051	2.31805144363907e-07	No	No
Q05682	CALD1	2.07167537258548	1.27094501566417e-12	No	No
Q09328	MGAT5	1.09869924086919	3.66223584489202e-15	No	No
Q0IIM8	TBC1D8B	1.37567894033218	3.00078608246501e-11	No	No
Q12791	KCNMA1	1.17000951840329	1.57929552199936e-12	No	No
Q12841	FSTL1	1.09075171983781	0.000523530367805	No	No
Q13018	PLA2R1	1.69375777936806	3.73442043214212e-05	No	No
Q13569	TDG	1.03802176756725	1.0763124926487198e-11	No	No
Q14031	COL4A6	1.05883626299405	0.0090228531968859	No	No
Q14188	TFDP2	1.34418491630272	1.53289743900747e-08	No	No
Q14721	KCNB1	1.51704692244192	7.4579461343431e-08	No	No
Q14749	GNMT	1.30648935671698	0.0006108783917222	No	No
Q14764	MVP	2.00515036584971	7.55091404030847e-47	No	No
Q14766	LTBP1	1.09416400537904	9.53409279100101e-06	No	No
Q15067	ACOX1	1.09211349377447	5.325417384162149e-30	No	No
Q15173	PPP2R5B	1.04195086230247	1.24328999161724e-13	No	No
Q15303	ERBB4	1.05086914638411	7.737074840212069e-12	No	No
Q15700	DLG2	1.24753056581353	4.0483676013017905e-14	No	No
Q15746	MYLK	1.67837838408213	2.6512587354960404e-09	No	No
Q1RMZ1	BMT2	1.07729513892753	0.0053605933132254	No	No
Q3BBV2	NBPF8	1.30059240089649	2.49493009065083e-08	No	No
Q49AM1	MTERF2	1.04135154253585	0.0001460925209049	No	No
Q53FZ2	ACSM3	1.52107546887483	9.68381460631606e-17	No	No
Q5SWH9	TMEM69	1.10096874429585	0.0042818686566326	No	No
Q5T0T0	MARCHF8	1.28512488383891	0.0018317648473367	No	No
Q5VT25	CDC42BPA	1.07322907225812	4.05013882978548e-16	No	No
Q5VUE5	C1orf53	1.38332995083389	0.0017777942809039	No	No
Q5VXT5	SYPL2	1.3534669205822	3.21305433290028e-06	No	No
Q5VZF2	MBNL2	1.01311578672619	1.2031408758860702e-09	No	No
Q60I27	ALS2CL	1.24093304626649	2.25583678253513e-10	No	No
Q63HM1	AFMID	1.13300262688656	6.34627829422615e-08	No	No
Q68DD2	PLA2G4F	1.17952402570198	2.18823082952459e-14	No	No
Q6GMR7	FAAH2	1.60602640868301	4.00864953235985e-17	No	No
Q6P2H8	TMEM53	1.05427862261644	0.00086669731965	No	No
Q6P3S1	DENND1B	1.09874131444011	0.0051333420951884	No	No
Q6PCE3	PGM2L1	1.13091879660218	9.72565634561001e-14	No	No
Q6PHW0	IYD	1.19790065550835	0.0030234236554126	No	No
Q6UWH4	GASK1B	1.98344177705127	8.50323563086156e-10	No	No
Q6UWJ1	TMCO3	1.03095036880618	0.0001131753599972	No	No
Q6UWU2	GLB1L	1.25399472635173	7.386471097068e-12	No	No
Q6UX71	PLXDC2	1.82061363186745	1.3574377351216701e-17	No	No
Q6UXK5	LRRN1	2.153710433936	7.73745443664372e-07	No	No
Q6ZT07	TBC1D9	1.19686610578318	1.08702924453031e-06	No	No
Q6ZUT6	CCDC9B	1.01909356484041	0.0001918062444771	No	No
Q6ZV29	PNPLA7	1.64799292696573	9.9340925218147e-13	No	No
Q6ZVM7	TOM1L2	1.25405154852958	2.1311697828560198e-36	No	No
Q709F0	ACAD11	1.01249564823229	8.9337370297001e-29	No	No
Q70IA8	MOB3C	1.30740254294882	4.29913156622743e-05	No	No
Q76KP1	B4GALNT4	1.02058971601046	0.0005431892010616	No	No
Q76N32	CEP68	1.05539134597007	0.000216289854743	No	No
Q7L311	ARMCX2	1.6930742033701	2.2449017977119598e-18	No	No
Q7Z3G6	PRICKLE2	1.13984306241313	2.52218806704063e-05	No	No
Q7Z402	TMC7	1.67402919975881	2.58012836851914e-05	No	No
Q7Z404	TMC4	1.24317861162974	1.36692864265431e-15	No	No
Q7Z465	BNIPL	1.28714502400186	1.10447158764689e-34	No	No
Q7Z6B7	SRGAP1	1.01289531921868	6.29940358943494e-20	No	No
Q7Z6Z6	PNPLA5	1.12448146650321	4.2852006634106e-06	No	No
Q7Z7D3	VTCN1	1.20118467968562	2.31078306053119e-07	No	No
Q7Z7M9	GALNT5	2.02493997944799	0.0019132722808862	No	No
Q86SQ0	PHLDB2	1.28401597310809	2.93886239280544e-11	No	No
Q86UK0	ABCA12	1.42175087558215	6.418913687334511e-09	No	No
Q86V24	ADIPOR2	1.58025387414129	9.40847363624612e-05	No	No
Q86VV4	RANBP3L	1.07186327913991	8.84569835908362e-05	No	No
Q86VZ6	JAZF1	1.75862328086017	0.0027700166124855	No	No
Q86W11	ZSCAN30	1.44398300775744	0.0002606735498494	No	No
Q86WU2	LDHD	1.16003378054608	2.3698082662681298e-33	No	No
Q86WV6	STING1	1.03452114984193	0.0050450290971575	No	No
Q86XT2	VPS37D	1.7272980286561	2.52884632848711e-05	No	No
Q86YB7	ECHDC2	1.23012323282611	6.97717964950698e-05	No	No
Q8IUY3	GRAMD2A	1.28212053267687	4.19797692042371e-08	No	No
Q8IUZ5	PHYKPL	1.05906515152546	8.25098842172336e-11	No	No
Q8IV31	TMEM139	1.9000062155252	7.094273822566919e-12	No	No
Q8IV56	PRR15	2.22403518212854	2.70963553175444e-13	No	No
Q8IVT2	MISP	1.0343709554766	1.63544581430883e-18	No	No
Q8IWP9	CCDC28A	1.92992231710657	3.94269541275547e-08	No	No
Q8IWW8	ADHFE1	1.49530299245922	3.63881292960217e-12	No	No
Q8IYK8	REM2	2.19313731960616	4.67330208279392e-05	No	No
Q8IYS4	C16orf71	1.47599784482078	0.0001434301669103	No	No
Q8IZJ3	CPAMD8	1.47053468387659	3.51443454601372e-10	No	No
Q8N1L4	CYP4Z2P	1.81761879762172	1.70687682525168e-06	No	No
Q8N370	SLC43A2	1.39937530633251	2.4820296802024204e-15	No	No
Q8N3J5	PPM1K	1.86532247392462	1.21103387094319e-12	No	No
Q8N3V7	SYNPO	1.58686383395216	1.1705589735537e-05	No	No
Q8N4C0	C9orf62	1.66132178846878	0.0080312004040588	No	No
Q8N5J2	MINDY1	1.32194313384369	7.476468920063e-29	No	No
Q8N6N6	NATD1	1.23023607391362	3.57924730261514e-14	No	No
Q8N755	SLC66A3	1.04255268566489	5.9093237567152e-05	No	No
Q8N7X4	MAGEB6	1.24492257270899	0.001830398682575	No	No
Q8N8I0	SAMD12	1.46801168714424	0.0001227279425619	No	No
Q8NBI2	CYB561A3	1.0905168472193	2.84562184630855e-07	No	No
Q8NBJ9	SIDT2	1.03510201046377	6.08962135938496e-19	No	No
Q8NBV8	SYT8	1.05116177178834	0.0003768499056286	No	No
Q8NEG7	DENND6B	1.39484965001256	7.11279571575847e-07	No	No
Q8NF99	ZNF397	1.49055166023152	0.0066142868572147	No	No
Q8NFP9	NBEA	1.03523549396238	9.59358881782862e-14	No	No
Q8NFW9	MYRIP	1.81020782106803	1.3897160860598e-05	No	No
Q8NG27	PJA1	1.14252207237333	0.0007268696792477	No	No
Q8NG66	NEK11	1.09659834913173	0.0015202284552601	No	No
Q8NI37	PPTC7	1.01908722760759	2.06293594075979e-10	No	No
Q8TAC2	JOSD2	1.05817770506964	7.59390646143795e-10	No	No
Q8TB05	UBALD1	1.14665172192799	0.0051980159374761	No	No
Q8TB45	DEPTOR	2.02854783583522	1.03178793056508e-22	No	No
Q8TC76	FAM110B	1.38446161883522	2.03862486793595e-07	No	No
Q8TF21	ANKRD24	3.79773725100547	4.00696700015733e-11	No	No
Q8WUH6	TMEM263	1.22579543496856	3.09019348421893e-05	No	No
Q8WUP2	FBLIM1	1.16008665803821	3.6385951431726405e-15	No	No
Q8WVV4	POF1B	2.17735409109243	8.08164216712261e-24	No	No
Q8WWZ7	ABCA5	1.05827762918927	8.22387173293653e-05	No	No
Q8WXD9	CASKIN1	1.12354740677742	1.26670195951222e-05	No	No
Q8WYR4	RSPH1	1.20448785720396	0.002473609950861	No	No
Q92478	CLEC2B	1.194185924813	9.49976598567352e-06	No	No
Q92508	PIEZO1	1.32875371474109	8.128471272801801e-21	No	No
Q92537	SUSD6	1.36906982519955	0.0015141106617086	No	No
Q92597	NDRG1	1.9770245761819	3.72179409713564e-13	No	No
Q92730	RND1	1.3377324449076	6.39259702946473e-06	No	No
Q95460	MR1	1.33998374847939	9.6876025155734e-06	No	No
Q969W1	ZDHHC16	1.96599983149049	2.05948087350256e-06	No	No
Q969W9	PMEPA1	1.46110371158139	3.83415457137033e-07	No	No
Q96AZ6	ISG20	1.11877946265321	0.0043816610068128	No	No
Q96C10	DHX58	1.31573729964112	7.1633194941195e-16	No	No
Q96C11	FGGY	1.17628334804103	3.24089075114931e-09	No	No
Q96CD0	FBXL8	1.18995300399258	5.40138781411064e-09	No	No
Q96D70	R3HDM4	1.56624040207921	5.77393917719665e-06	No	No
Q96EG1	ARSG	1.09562610639959	1.90909043925609e-06	No	No
Q96FE7	PIK3IP1	1.03295174512996	0.0059162590605202	No	No
Q96M94	KLHL15	1.21146838499626	0.0052273097338418	No	No
Q96MF6	COQ10A	1.35910437066803	2.03995100563974e-06	No	No
Q96MG8	PCMTD1	1.17509560248094	9.999989944526901e-16	No	No
Q96MY1	NOL4L	1.17683875051559	3.18117907747023e-13	No	No
Q96NY7	CLIC6	1.81622042699636	7.58434954296976e-11	No	No
Q96P15	SERPINB11	1.74030975157686	5.47167714393032e-06	No	No
Q96PX6	CCDC85A	1.92856291265048	2.97495759489301e-05	No	No
Q96QE2	SLC2A13	1.00277794517099	0.0004282175465676	No	No
Q99489	DDO	1.72032442840817	7.88335826260307e-05	No	No
Q99538	LGMN	1.03555940826369	7.21654656257894e-16	No	No
Q99574	SERPINI1	2.81072737675929	1.0380488449736101e-35	No	No
Q99715	COL12A1	1.13931314575304	0.0005869134329024	No	No
Q99828	CIB1	1.17168669420231	6.28316160960246e-16	No	No
Q99967	CITED2	1.07643815846505	0.0050797172491559	No	No
Q99990	VGLL1	2.39153192907351	3.09761022554387e-08	No	No
Q9BQT9	CLSTN3	1.08986386784354	0.000347621862777	No	No
Q9BW04	SARG	2.61138357192601	6.2570095306486e-11	No	No
Q9BXD5	NPL	1.35412453635345	0.0016947575122348	No	No
Q9BXI9	C1QTNF6	1.53610859485081	9.97314339232954e-07	No	No
Q9BXL6	CARD14	1.01077641787152	4.50066689126413e-24	No	No
Q9BY76	ANGPTL4	2.18564866693696	2.59697777095912e-07	No	No
Q9BZD2	SLC29A3	1.82834950039433	3.44889797122252e-05	No	No
Q9BZQ4	NMNAT2	1.78935545588039	0.0002884446229934	No	No
Q9C010	PKIB	1.03241072986918	7.92494003508375e-05	No	No
Q9C035	TRIM5	1.58129230582704	3.71473483166922e-17	No	No
Q9C099	LRRCC1	1.43065207293638	0.0016996069310987	No	No
Q9H009	NACA2	2.58108248635656	0.0001997607327346	No	No
Q9H0Q0	CYRIA	1.71742128948793	1.73144810293694e-07	No	No
Q9H0R8	GABARAPL1	1.23944534943025	5.886275810703691e-09	No	No
Q9H115	NAPB	1.06820174414138	4.49384640702302e-06	No	No
Q9H3M7	TXNIP	1.04996451847584	7.78513388597582e-05	No	No
Q9H3S4	TPK1	1.35522328728517	0.0004027088346148	No	No
Q9H841	NIPAL2	1.52398091322999	7.05077579329952e-05	No	No
Q9H9R9	DBNDD1	1.1370173252222	0.000237504690755	No	No
Q9HAH1	ZNF556	1.36579179258726	2.45667910694517e-10	No	No
Q9HB63	NTN4	2.06992873119358	2.51187041113749e-08	No	No
Q9HBH9	MKNK2	1.31061001030984	1.09681858434804e-08	No	No
Q9HCK4	ROBO2	1.15402195008191	8.98295671242068e-13	No	No
Q9NNX1	TUFT1	1.28529645268194	1.12425344455947e-20	No	No
Q9NP74	PALMD	1.28360127225638	1.28372076012631e-06	No	No
Q9NPA3	MID1IP1	1.00720539039322	7.99664443438344e-07	No	No
Q9NQ36	SCUBE2	1.03883360438598	2.05022876036807e-10	No	No
Q9NRH3	TUBG2	1.17882672313466	1.87364837358174e-06	No	No
Q9NRR3	CDC42SE2	1.49255168551577	3.42824979417366e-07	No	No
Q9NSY2	STARD5	1.12395659522565	5.30516619586822e-16	No	No
Q9NUV7	SPTLC3	1.06536932088724	2.06734455590026e-07	No	No
Q9NVH6	TMLHE	1.06066237424072	3.35462192319498e-11	No	No
Q9NX95	SYBU	1.83485560788401	0.0003570924279232	No	No
Q9NZJ4	SACS	3.93435695519396	2.14979525503517e-06	No	No
Q9UBE8	NLK	1.01245142816388	1.8677788911042503e-09	No	No
Q9UBN1	CACNG4	1.73637632969584	1.14920580021253e-06	No	No
Q9UBS3	DNAJB9	1.43116231589139	5.79024728231583e-09	No	No
Q9UDR5	AASS	1.14512094261373	2.31067732339568e-05	No	No
Q9UHF1	EGFL7	1.247486223669	1.32648533214054e-06	No	No
Q9UJA2	CRLS1	1.08533138412217	0.0015455341378951	No	No
Q9UJC5	SH3BGRL2	1.00157282213648	0.0001908662668509	No	No
Q9UJY1	HSPB8	1.04929892051778	2.59971296683626e-10	No	No
Q9UKI2	CDC42EP3	1.19631656998267	0.0017436463952544	No	No
Q9ULL4	PLXNB3	1.34823829325894	2.5789867594423102e-17	No	No
Q9UNA1	ARHGAP26	1.42945144468539	5.90842559339507e-05	No	No
Q9UPI3	FLVCR2	1.14233551516654	6.38392694844881e-05	No	No
Q9UPQ0	LIMCH1	1.26398574212743	2.13153519952793e-23	No	No
Q9UPT6	MAPK8IP3	1.43619751469946	3.08965084244175e-18	No	No
Q9Y234	LIPT1	1.23463147646139	4.38491591214769e-06	No	No
Q9Y2D0	CA5B	1.24101305771043	5.4763015475844904e-14	No	No
Q9Y2D5	AKAP2	1.55793792677744	1.01409281653003e-08	No	No
Q9Y2J2	EPB41L3	1.68942057738523	3.97165708406819e-05	No	No
Q9Y2Q0	ATP8A1	1.08814806922708	1.36713648476255e-13	No	No
Q9Y2Q5	LAMTOR2	1.28262297012479	2.1740787769212502e-09	No	No
Q9Y2Y9	KLF13	1.43779988087295	3.4057635758667e-05	No	No
Q9Y3C5	RNF11	1.22305478870523	4.26673954923751e-10	No	No
Q9Y3D2	MSRB2	1.00147071980696	7.41609043778289e-15	No	No
Q9Y519	TMEM184B	1.06507436228099	1.37320836737731e-05	No	No
Q9Y5F2	PCDHB11	1.45009034516245	0.000117073319777	No	No
Q9Y5I1	PCDHA11	1.18263120915795	0.0063525622187992	No	No
Q9Y5L2	HILPDA	1.01736188786236	0.0062471505503074	No	No
Q9Y5V3	MAGED1	1.15487088746707	4.93581224716407e-28	No	No
Q9Y600	CSAD	1.07527082966577	6.42219461262492e-10	No	No
Q9Y6N8	CDH10	3.24091098945249	1.7957832767305e-09	No	No
A6NKF1	SAC3D1	-1.07273252242683	1.79961735536235e-13	No	No
A8MT69	CENPX	-1.23745115282178	1.0104485497153e-07	No	No
B4DXR9	ZNF732	-1.87148365925728	4.05815930749592e-05	No	No
H0Y354;Q6L9T8	FAM72C;FAM72D	-2.45785877247679	6.717738355580239e-11	No	No
O00165	HAX1	-1.02084107324221	1.8217590791418201e-25	No	No
O00311	CDC7	-1.94197350853156	8.88123569299865e-15	No	No
O00458	IFRD1	-1.45433282366619	5.78991255213127e-05	No	No
O00762	UBE2C	-2.12618520795576	1.27346985123101e-07	No	No
O14578	CIT	-1.79722412309694	2.84218901512146e-16	No	No
O14732	IMPA2	-1.88531617357511	1.0157182501201301e-20	No	No
O14757	CHEK1	-2.24556640439063	3.5710805689673603e-19	No	No
O14777	NDC80	-2.34567855336226	4.0968750021377003e-10	No	No
O14965	AURKA	-2.07030635450085	2.1077206033757998e-12	No	No
O15162	PLSCR1	-1.00192014696216	2.5217209017517904e-09	No	No
O15287	FANCG	-1.65451778898533	5.12004777906002e-10	No	No
O15297	PPM1D	-1.16677950867207	0.0001398179661386	No	No
O15304	SIVA1	-1.43905660331683	1.51383856453421e-05	No	No
O15315	RAD51B	-1.10459698087772	4.4321392648844e-07	No	No
O15350	TP73	-2.39440973481098	1.1066423205334102e-25	No	No
O15360	FANCA	-2.21070721975958	3.58132942708232e-12	No	No
O15392	BIRC5	-2.20705491989834	1.05116353816963e-05	No	No
O15527	OGG1	-1.27192556916911	2.09165012565256e-13	No	No
O43379	WDR62	-2.21429331395338	2.88251842040401e-17	No	No
O43463	SUV39H1	-1.89921186033211	1.30723372232984e-18	No	No
O43482	OIP5	-1.30727714314089	1.18302533486574e-12	No	No
O43502	RAD51C	-1.63313492486002	1.38555983999047e-14	No	No
O43542	XRCC3	-1.70744282505797	9.680204668253841e-14	No	No
O43663	PRC1	-2.33125277629297	6.260317683029439e-12	No	No
O43683	BUB1	-1.69457367124259	4.3469191208283704e-09	No	No
O60259	KLK8	-2.0721810354045	0.0005887682342099	No	No
O60266	ADCY3	-1.26632170009996	2.91712315909122e-06	No	No
O60381	HBP1	-3.53352168850258	6.60510625065307e-10	No	No
O60427	FADS1	-1.28193889533497	2.71721848347246e-18	No	No
O75330	HMMR	-2.26499260606172	6.38187009205137e-10	No	No
O75419	CDC45	-2.50094168764032	2.6315672938037297e-12	No	No
O75461	E2F6	-1.28658943626699	1.16312072742325e-06	No	No
O75475	PSIP1	-1.15715300723916	8.01330555283974e-34	No	No
O75496	GMNN	-2.24657640728674	4.24388976141754e-13	No	No
O75717	WDHD1	-1.70916524140214	9.11834838984914e-24	No	No
O75764	TCEA3	-2.67180310473407	4.61865788013392e-42	No	No
O75792	RNASEH2A	-1.04514565202873	8.15550733582341e-19	No	No
O94761	RECQL4	-1.78140807118946	1.0364369494349401e-20	No	No
O94782	USP1	-1.28487804412533	2.47079451783091e-13	No	No
O94921	CDK14	-1.26146496488207	0.0053615243229662	No	No
O95067	CCNB2	-2.05951487180454	1.4006702317901401e-09	No	No
O95229	ZWINT	-1.32872980148259	1.85878077017217e-08	No	No
O95235	KIF20A	-2.7783120644451	3.3279245119451095e-11	No	No
O95239	KIF4A	-2.69041336037892	1.32279186212564e-18	No	No
O95347	SMC2	-1.30078214490003	1.55918508814749e-24	No	No
O95445	APOM	-1.08785943433192	0.0008284293291781	No	No
O95864	FADS2	-1.09012895045657	3.87503259772899e-09	No	No
O95997	PTTG1	-2.39579832745787	2.3503909887446897e-16	No	No
O96020	CCNE2	-2.4875457140997	4.53821407086156e-14	No	No
O96028	NSD2	-1.96417477255124	1.1061130223066201e-23	No	No
P00374	DHFR	-2.51864688106755	1.81048030968808e-08	No	No
P00973	OAS1	-2.78930509367311	1.12410833432318e-08	No	No
P02763	ORM1	-2.14201086085565	1.5669313693238501e-10	No	No
P03372	ESR1	-1.02548961197217	4.6413578634155795e-11	No	No
P04183	TK1	-2.33688261687505	8.104213805284e-10	No	No
P04637	TP53	-1.06153413124714	1.4295101570371101e-19	No	No
P04818	TYMS	-2.88889737358252	1.3206603818314801e-10	No	No
P06493	CDK1	-1.8125014748935	8.540519955535639e-18	No	No
P06870	KLK1	-1.52245609436632	6.27186284432073e-05	No	No
