Protein_Group	Genes	PTEN_sg_#6_vs_LCv2_EV_Blast_logFC	PTEN_sg_#6_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
Q86YQ8	CPNE8	1.46190985172147	1.9166623262539503e-15	No	No
Q8IVG5	SAMD9L	1.11281588668956	0.0003068617820048	No	No
Q8IWU6	SULF1	1.50169532702705	6.95264040118258e-05	No	No
Q8N1W2	ZNF710	1.16705610859698	0.0046611512540278	No	No
Q8N283	ANKRD35	2.18541473637166	0.001376161352971	No	No
Q8NFX7	STXBP6	2.26279298642861	3.20938755553314e-05	No	No
Q92478	CLEC2B	3.39757484361053	8.43012390144913e-27	No	No
Q92619	ARHGAP45	1.56198494088073	3.34704536495866e-22	No	No
Q96DA2	RAB39B	1.04142352556351	0.0027863582107136	No	No
Q96GT9	XAGE2	1.43849708921999	0.000603726370796	No	No
Q96GY0	ZC2HC1A	1.78435262174076	1.01659162237802e-25	No	No
Q96JM7	L3MBTL3	1.14370040687885	1.3721506258515e-09	No	No
Q96RV3	PCNX1	1.00634708798887	0.0066455791111662	No	No
Q96S99	PLEKHF1	1.18313382732726	1.22866227161883e-07	No	No
Q99500	S1PR3	1.19450072488586	5.95608047790317e-06	No	No
Q99576	TSC22D3	1.05126900069608	6.00949797991165e-05	No	No
Q99715	COL12A1	2.21587236375815	1.58431207988511e-12	No	No
Q9BR39	JPH2	1.18649084423263	1.41317205053998e-21	No	No
Q9BZQ4	NMNAT2	1.30353567069196	0.0013353976760225	No	No
Q9C026	TRIM9	1.71319168034719	1.63614428377017e-10	No	No
Q9HCE9	ANO8	1.10127366779483	4.4944379384330804e-09	No	No
Q9HCK4	ROBO2	1.3128981534189	8.209098337981291e-19	No	No
Q9HCM3	KIAA1549	1.03999979947509	4.99868222648399e-10	No	No
Q9NP72	RAB18	1.05276043976012	1.01170675319129e-10	No	No
Q9NUA8	ZBTB40	1.03224699428121	1.69012662461385e-18	No	No
Q9NW07	ZNF358	1.23184826710876	0.0001146091809056	No	No
Q9NX95	SYBU	1.24541747927473	0.003131009947513	No	No
Q9NZQ0	DNAJC27	1.15306177220964	5.12073039730464e-06	No	No
Q9P212	PLCE1	1.94820749701718	4.15107111142838e-09	No	No
Q9P232	CNTN3	1.82902318949391	2.2443847670317704e-15	No	No
Q9UJC5	SH3BGRL2	1.30667529538219	3.05571007669812e-08	No	No
Q9UKI2	CDC42EP3	1.15601486178308	0.0003145025531437	No	No
Q9UKV0	HDAC9	3.10289624100815	8.84096791078354e-38	No	No
Q9ULD0	OGDHL	1.15347926127931	7.921036801564031e-19	No	No
Q9ULD9	ZNF608	1.44042448644814	2.55959445491979e-10	No	No
Q9UN67	PCDHB10	1.23096608629536	3.38661179330881e-08	No	No
Q9Y6G1	TMEM14A	2.17955647785077	0.0039835241543937	No	No
Q9Y6K0	CEPT1	1.17516553390447	1.88340014646699e-13	No	No
Q9Y6R9	CCDC61	1.00562135111972	5.69844878467926e-09	No	No
A1A4S6	ARHGAP10	-2.07457821946722	1.46368168748383e-19	No	No
A1IGU5	ARHGEF37	-1.15520661368194	2.7593934615971903e-09	No	No
A1L170	C1orf226	-2.21811778908954	1.22358844743405e-29	No	No
A1X283	SH3PXD2B	-1.59159779214515	3.89223860598123e-17	No	No
A6NDB9	PALM3	-1.57314550401201	4.66069083411811e-13	No	No
A6NMD0	IFITM10	-1.31853141996655	1.32490749151069e-05	No	No
A6NMX2	EIF4E1B	-1.14072138949709	1.15572050825444e-07	No	No
B2RUZ4	SMIM1	-1.32525262317613	1.0094590518276999e-17	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	-3.26334227468848	2.0480623477939e-28	No	No
O00151	PDLIM1	-1.05058714695754	3.95169489893143e-33	No	No
O00391	QSOX1	-1.13692450034319	2.7082944295395e-28	No	No
O00423	EML1	-1.26112907730399	1.56492852719934e-21	No	No
O00515	LAD1	-1.36497813645371	5.414907172311401e-26	No	No
O00526	UPK2	-1.48449919548913	8.51011243913302e-05	No	No
O00562	PITPNM1	-1.62132418959151	3.84253685797283e-22	No	No
O00592	PODXL	-1.35705787589691	4.86243397621997e-25	No	No
O14495	PLPP3	-2.14400374035263	1.11151260854571e-12	No	No
O14613	CDC42EP2	-1.18468427099187	0.0015787921769473	No	No
O14639	ABLIM1	-1.11570525767732	2.00060545986781e-37	No	No
O14684	PTGES	-1.8251872577542	5.64454654628301e-25	No	No
O14798	TNFRSF10C	-1.1859802777147	8.05245018741521e-06	No	No
O14904	WNT9A	-1.02072923324562	3.97026515194266e-06	No	No
O14975	SLC27A2	-1.5107528125432	4.19530482700319e-16	No	No
O15327	INPP4B	-1.1282213830762	3.30261202335179e-29	No	No
O15438	ABCC3	-1.49272541841956	5.12590422306064e-07	No	No
O43272	PRODH	-1.57006349978545	1.00965033707586e-48	No	No
O43593	HR	-1.25522594132444	3.42895455227081e-05	No	No
O43731	KDELR3	-1.53117252132538	5.2634000337336e-19	No	No
O43795	MYO1B	-2.0819659716554	5.0452614379695706e-67	No	No
O60262	GNG7	-1.71359818329073	5.51208048939639e-06	No	No
O60488	ACSL4	-1.49160680187755	7.3448285612781e-09	No	No
O60663	LMX1B	-1.46643443632799	5.65680563096451e-07	No	No
O75052	NOS1AP	-1.95595189355241	4.85432714119594e-37	No	No
O75056	SDC3	-1.37086686088625	6.72061043970841e-05	No	No
O75081	CBFA2T3	-1.6679669084718	1.9475193454495601e-10	No	No
O75355	ENTPD3	-1.08331898214706	0.0030555560282537	No	No
O75363	BCAS1	-3.2519893798666	4.33830431425421e-65	No	No
O75373	ZNF737	-1.07787499568289	0.001575389772085	No	No
O75452	RDH16	-2.67151703530041	3.14645071562235e-26	No	No
O75462	CRLF1	-1.87519408803925	4.02243958360237e-07	No	No
O75781	PALM	-2.44390108870432	1.61667830239475e-24	No	No
O75888	TNFSF13	-3.07741756502385	1.53544506152632e-08	No	No
O75952	CABYR	-1.5922188784429	7.90334913685267e-06	No	No
O76070	SNCG	-1.99445879095517	1.4386171868845499e-49	No	No
O94919	ENDOD1	-1.2426857151249	5.1805765996035796e-40	No	No
O94955	RHOBTB3	-1.24524182026383	7.36206907976504e-09	No	No
O95057	DIRAS1	-1.66772626763644	5.0180468412952595e-11	No	No
O95294	RASAL1	-1.49600792220361	7.55976801455482e-10	No	No
O95398	RAPGEF3	-1.49796750551517	0.0001067445775242	No	No
O95502	NPTXR	-2.11450223466592	2.6876701174108502e-20	No	No
O95528	SLC2A10	-2.56226035186207	9.48420255537499e-13	No	No
O95817	BAG3	-1.28729500193781	3.08050993287292e-32	No	No
O95864	FADS2	-1.86238424535576	2.11033054654902e-22	No	No
O95994	AGR2	-1.38023808039537	5.04410614964915e-41	No	No
P00367	GLUD1	-1.11166779259642	8.84794095789774e-48	No	No
P00966	ASS1	-1.08190827162038	2.59794383099842e-29	No	No
P01034	CST3	-1.07720114199993	5.94313445373535e-22	No	No
P01911	HLA-DRB1	-1.14161570391536	2.84474028553705e-06	No	No
P01920	HLA-DQB1	-2.43637354150586	1.9665319368832698e-11	No	No
P02511	CRYAB	-2.39050733474592	6.7087657944385e-28	No	No
P02751	FN1	-1.04161479693267	0.0001183865438984	No	No
P04083	ANXA1	-3.04785109927338	2.19504428286674e-41	No	No
P05089	ARG1	-1.94397863727268	7.99648908502081e-07	No	No
P05091	ALDH2	-1.46701308832973	1.74339613598291e-32	No	No
P05161	ISG15	-1.13988509593064	5.13340182952984e-09	No	No
P05362	ICAM1	-1.69257474609035	9.99129524107243e-13	No	No
P05981	HPN	-1.39507065885416	1.15755669480268e-16	No	No
P06276	BCHE	-2.11640415724455	1.2698902441049e-05	No	No
P06401	PGR	-1.17830945133472	1.38114579503914e-34	No	No
P06731	CEACAM5	-1.24440849262365	7.15149325506291e-06	No	No
P07099	EPHX1	-1.09362137555282	4.16795911703809e-28	No	No
P07948	LYN	-1.22645673926073	1.69216721106165e-24	No	No
P07996	THBS1	-1.15846573920296	2.76753918953047e-37	No	No
P08582	MELTF	-2.03058333777519	4.5108906842365595e-11	No	No
P08648	ITGA5	-1.54948346879203	9.14340957627927e-34	No	No
P09603	CSF1	-1.21821808257566	0.0012172842498657	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-2.46469025919552	9.698226302861529e-18	No	No
P10070	GLI2	-1.35507372638426	1.74264845060491e-05	No	No
P10636	MAPT	-2.64329026664368	6.76312616613901e-28	No	No
P11532	DMD	-1.24390985835457	0.0007331710820332	No	No
P12273	PIP	-3.24825621446104	7.12922404397118e-15	No	No
P13284	IFI30	-1.66883459164116	1.6583132661289502e-14	No	No
P15153	RAC2	-2.43641042606984	1.7614892540213699e-34	No	No
P15328	FOLR1	-2.66939939467637	5.62093359276668e-43	No	No
P16035	TIMP2	-1.22934700497773	3.63998814131278e-13	No	No
P16070	CD44	-3.45231723366209	1.79818465640786e-47	No	No
P16219	ACADS	-2.85230053279386	5.48334969067413e-58	No	No
P17302	GJA1	-2.79378267162379	3.48943736373854e-29	No	No
P17540	CKMT2	-1.10049652643436	1.15245590562556e-18	No	No
P17600	SYN1	-2.28041171153191	9.444089558352551e-14	No	No
P17813	ENG	-2.10969389870633	5.36594908407761e-32	No	No
P18564	ITGB6	-1.01016355268963	3.44053007896335e-05	No	No
P19544	WT1	-1.69887321958556	1.32764201789413e-05	No	No
P20591	MX1	-1.41738395487063	2.33210425444715e-06	No	No
P21583	KITLG	-1.32644760897031	2.6948174298431798e-12	No	No
P21695	GPD1	-1.15456039493656	2.30971359564739e-19	No	No
P21926	CD9	-1.58206430003309	2.65730151813292e-43	No	No
P22304	IDS	-2.20641553753045	2.19086941488068e-13	No	No
P22692	IGFBP4	-1.04885561825652	4.5633366416324703e-14	No	No
P23297	S100A1	-1.433397673625	2.22852173240667e-10	No	No
P25311	AZGP1	-2.09688024543684	6.10349008008019e-10	No	No
P25942	CD40	-1.33760133076967	8.70427062634082e-12	No	No
P26447	S100A4	-1.32278679328845	6.329396182225769e-26	No	No
P29034	S100A2	-2.0740933986709	1.07970997145467e-08	No	No
P29728	OAS2	-2.99686279151928	2.9248365590535698e-30	No	No
P29762	CRABP1	-2.73547763865128	1.4757627271065898e-12	No	No
P30837	ALDH1B1	-1.39690617319724	1.11806603714171e-39	No	No
P31512	FMO4	-1.16760042850537	1.1855491994333e-14	No	No
P32456	GBP2	-1.37193074989487	9.3100123360847e-07	No	No
P35219	CA8	-1.01229312248952	1.19491625276299e-08	No	No
P35568	IRS1	-2.43569727776193	9.85062951948062e-14	No	No
P38936	CDKN1A	-1.77905827109194	1.95648319082302e-19	No	No
P39060	COL18A1	-1.53345663283283	1.0550765036481502e-15	No	No
P41271	NBL1	-1.23469701595095	6.396055723714951e-09	No	No
P42226	STAT6	-1.0543555857409	1.68550351971917e-30	No	No
P42229	STAT5A	-1.29037547420303	0.0009138372927293	No	No
P42330	AKR1C3	-1.14453540025383	0.0008597586666266	No	No
P42685	FRK	-2.00100230422233	9.01873313899956e-22	No	No
P42785	PRCP	-1.77715197652551	7.03256073885993e-50	No	No
P43234	CTSO	-1.11260027086942	6.91274322937085e-08	No	No
P43353	ALDH3B1	-1.00660909839337	4.69222101172462e-19	No	No
P43405	SYK	-1.11375568425884	3.1145444731219503e-19	No	No
P45844	ABCG1	-1.73561211990461	4.50614475061021e-09	No	No
P47736	RAP1GAP	-1.06372363586668	3.03014191764241e-05	No	No
P48066	SLC6A11	-2.36408226758253	4.84926961463444e-10	No	No
P48552	NRIP1	-1.06045106831814	5.65706949709991e-09	No	No
P49407	ARRB1	-1.51669970294649	7.27558144508496e-35	No	No
P50226	SULT1A2	-1.74889238313657	2.6832424208736898e-11	No	No
P50461	CSRP3	-1.76322892475786	4.80866201495689e-08	No	No
P52566	ARHGDIB	-1.81650536788087	1.85437259396829e-23	No	No
P52735	VAV2	-2.04090936379541	6.05579744156765e-39	No	No
P52741	ZNF134	-2.67736720567504	1.82848696385681e-14	No	No
P52823	STC1	-1.88163241660442	1.16293875412497e-07	No	No
P53634	CTSC	-1.70952024075294	2.13005802388395e-30	No	No
P53985	SLC16A1	-1.4876028152886	1.38251297797641e-17	No	No
P54108	CRISP3	-1.47106553755989	4.17674359824142e-06	No	No
P54646	PRKAA2	-1.10609800668064	1.03955999263253e-15	No	No
P54922	ADPRH	-1.49131919096719	1.53684727789828e-20	No	No
P57729	RAB38	-1.19781931167999	2.77229742866719e-13	No	No
P61457	PCBD1	-1.00890693600841	7.09547950413471e-15	No	No
P61764	STXBP1	-1.86747689935143	2.00929735364747e-27	No	No
P63096	GNAI1	-2.43902683492825	3.3262083812450903e-15	No	No
P78357	CNTNAP1	-1.20753763106979	1.1531894045619499e-12	No	No
P78415	IRX3	-1.32549300592837	0.0001019510367077	No	No
P80365	HSD11B2	-1.21530089030717	2.33472745554007e-09	No	No
P98155	VLDLR	-1.23431831834236	0.001076845142247	No	No
Q01201	RELB	-1.57952683631872	4.43898783022231e-08	No	No
Q07002	CDK18	-1.30596761228453	8.772322078215411e-19	No	No
Q07654	TFF3	-1.36230548836389	7.43069715023494e-11	No	No
Q07954	LRP1	-1.44441189930419	1.8427680408640098e-33	No	No
Q08495	DMTN	-1.95318666242801	8.29459876936209e-18	No	No
Q08AI8	MAB21L4	-1.54490437573514	0.0001912572818555	No	No
Q12805	EFEMP1	-1.25813602063001	1.5869015307893602e-19	No	No
Q13009	TIAM1	-2.30746907932449	1.16810253205177e-17	No	No
Q13069	GAGE5	-2.55157719922247	1.59364719358706e-16	No	No
Q13469	NFATC2	-2.88801887981011	1.5905207151835499e-49	No	No
Q13636	RAB31	-2.37576873089685	1.14358511662777e-27	No	No
Q13671	RIN1	-1.94558658754809	9.86136845316185e-26	No	No
Q13938	CAPS	-1.05721204896608	0.0025119776013034	No	No
Q14449	GRB14	-1.1927728106323	0.0052057926623846	No	No
Q14802	FXYD3	-1.46979013124701	6.12059318151497e-16	No	No
Q15742	NAB2	-1.23307211232562	1.58536905757557e-19	No	No
Q15746	MYLK	-1.13565641108957	5.21313402904777e-07	No	No
Q15847	ADIRF	-1.79878809514109	1.15175051758616e-10	No	No
Q16143	SNCB	-1.88778016641193	1.54254295058293e-10	No	No
Q16553	LY6E	-2.14000842504253	2.61584905663658e-29	No	No
Q16555	DPYSL2	-2.6183659226922	1.68449960666339e-32	No	No
Q16658	FSCN1	-1.54669671065828	1.93136775352401e-28	No	No
Q18PE1	DOK7	-2.35874225148877	2.54845386368095e-13	No	No
Q2M3G4	SHROOM1	-1.3153400544951	3.45028708818896e-08	No	No
Q32M88	PGGHG	-1.33510273636525	8.35457443470339e-06	No	No
Q3MIP1	ITPRIPL2	-1.57096691786789	3.92597189747523e-20	No	No
Q3SY77	UGT3A2	-4.12040509147172	1.14524150030358e-26	No	No
Q4V321	GAGE13	-1.23977184605522	4.69494345949236e-08	No	No
Q53FZ2	ACSM3	-1.68555796118069	3.32575024859677e-23	No	No
Q53GA4	PHLDA2	-1.22059682610406	2.40411915400834e-07	No	No
Q53GG5	PDLIM3	-1.42426300230261	0.0001203220667554	No	No
Q53LP3	SOWAHC	-1.14033306714764	4.5923022493619795e-22	No	No
Q58DX5	NAALADL2	-2.08635950567021	5.84922115526995e-28	No	No
Q5SRE7	PHYHD1	-2.42973884685509	5.3842937311337595e-12	No	No
Q5SZD1	C6orf141	-1.91475444306174	5.772534063798299e-13	No	No
Q5T2W1	PDZK1	-3.40139482485236	1.33769751363019e-51	No	No
Q5T848	GPR158	-1.26341488532403	3.01328708355942e-05	No	No
Q5U3C3	TMEM164	-1.7464994284129	5.89232114667054e-20	No	No
Q5U649	C12orf60	-1.07490101557211	0.0002179788436446	No	No
Q5VT66	MTARC1	-1.28606359791929	3.8594204239689596e-33	No	No
Q5VWC8	HACD4	-1.24880444461042	1.27238558604009e-07	No	No
Q68DD2	PLA2G4F	-1.12875094646306	4.06887021484189e-17	No	No
Q6BCY4	CYB5R2	-1.42325064312147	1.63446118853385e-18	No	No
Q6F5E8	CARMIL2	-1.19472972201059	1.03369218697027e-10	No	No
Q6ICC9	RTL6	-1.24773317282968	0.0009128251388326	No	No
Q6JQN1	ACAD10	-1.10594842542431	1.0989841351545e-40	No	No
Q6P1K1	SLC48A1	-1.51989535767972	0.00454122809895	No	No
Q6T4P5	PLPPR3	-1.59597248914608	2.11148759668132e-10	No	No
Q6UWI4	SHISA2	-3.14679687072369	1.79976399198926e-27	No	No
Q6UWW8	CES3	-1.01574490991623	2.91957462437931e-09	No	No
Q6UX53	METTL7B	-2.56556140205231	9.949302212724231e-23	No	No
Q6UX71	PLXDC2	-1.82393949998572	9.019831091843959e-22	No	No
Q6UXG2	ELAPOR1	-1.08693613278801	2.90509593308947e-26	No	No
Q6XZF7	DNMBP	-1.32289569599531	4.65429453682688e-08	No	No
Q6YHK3	CD109	-1.16752700659613	0.0005378765400611	No	No
Q76EJ3	SLC35D2	-1.7421726012095	9.4818542460847e-08	No	No
Q7L266	ASRGL1	-1.49885126807743	2.02726408094857e-05	No	No
Q7L5L3	GDPD3	-2.01259471195273	1.5301164421089099e-33	No	No
Q7L5N7	LPCAT2	-1.05330240983221	7.18476875310129e-17	No	No
Q7L9B9	EEPD1	-1.09886162086667	7.856190925764521e-15	No	No
Q7Z402	TMC7	-2.00747327250584	8.248487148353571e-09	No	No
Q7Z406	MYH14	-1.95146524524342	4.39855962130556e-54	No	No
Q7Z7K6	CENPV	-1.428631740916	3.82202404101557e-09	No	No
Q7Z7M9	GALNT5	-2.37211920009633	2.09211309162917e-05	No	No
Q86SF2	GALNT7	-1.39434830688425	1.15141800897715e-14	No	No
Q86SJ2	AMIGO2	-1.80297863959225	1.9272085678310403e-09	No	No
Q86SQ0	PHLDB2	-1.66468093648267	1.4070385337619501e-19	No	No
Q86UK0	ABCA12	-3.412890100224	7.649676699334e-31	No	No
Q86UX6	STK32C	-2.02080678749581	2.1179877247584402e-19	No	No
Q86V21	AACS	-1.01957087804104	5.48284930077044e-12	No	No
Q86VR7	VSIG10L	-1.93824290401993	2.33710328948769e-24	No	No
Q86WV6	STING1	-2.52621565956666	1.04505634891383e-12	No	No
Q8IUX4	APOBEC3F	-1.53291850005625	2.96791443831228e-13	No	No
Q8IV31	TMEM139	-1.20057932293192	3.39184528022293e-08	No	No
Q8IV56	PRR15	-2.43315212171053	1.23958837482925e-18	No	No
Q8IVF2	AHNAK2	-2.43362181852923	1.25287125752089e-48	No	No
Q8IVF7	FMNL3	-1.31779716925532	0.0003263165178342	No	No
Q8IVT2	MISP	-2.85950170769397	1.4002335971601601e-52	No	No
Q8IXL7	MSRB3	-1.14225036743723	5.98255416483065e-18	No	No
Q8IXM2	BAP18	-1.00109601914589	1.07365265815191e-22	No	No
Q8IXU6	SLC35F2	-1.00316645688005	1.30054696097053e-08	No	No
Q8IZV2	CMTM8	-2.25697713822268	6.11524902370105e-16	No	No
Q8N394	TMTC2	-1.05320572484277	3.04533166555872e-10	No	No
Q8N3J9	ZNF664	-1.57551111767159	1.7686636462525e-05	No	No
Q8N3Y7	SDR16C5	-2.16467280277391	5.00490141235118e-38	No	No
Q8N4W6	DNAJC22	-1.69920868594171	7.0436565357433595e-12	No	No
Q8N720	ZNF655	-2.07361374629027	0.0004141060408051	No	No
Q8NBI5	SLC43A3	-2.81304214865518	2.3738391167610097e-22	No	No
Q8NET8	TRPV3	-1.65811332348448	3.62795098478767e-23	No	No
Q8NF99	ZNF397	-1.47766883087534	0.0013310021649367	No	No
Q8NFW9	MYRIP	-2.6483132768777	4.32490863750848e-12	No	No
Q8TAD7	OCC1	-1.09886946244786	3.1392792731661e-09	No	No
Q8TB45	DEPTOR	-1.38952195903308	2.71819531380546e-18	No	No
Q8TBN0	RAB3IL1	-1.30781061076776	4.55195490890868e-06	No	No
Q8TD06	AGR3	-1.29225067027044	1.5069640969543699e-28	No	No
Q8TDN7	ACER1	-1.66907617287768	8.52200590414563e-05	No	No
Q8TDZ2	MICAL1	-1.15596725003616	3.0814812323002102e-15	No	No
Q8TE58	ADAMTS15	-3.10920712200694	5.10700966673622e-10	No	No
Q8WTP8	AEN	-1.80350203483497	4.98465940422626e-08	No	No
Q8WU20	FRS2	-1.07716474278187	2.32363060990223e-16	No	No
Q8WUA8	TSKU	-1.64473857643321	6.28632957791447e-16	No	No
Q8WVV4	POF1B	-2.75459242419807	2.54182533343906e-35	No	No
Q8WWA1	TMEM40	-2.60272915150832	6.37822366863237e-39	No	No
Q8WWZ3	EDARADD	-1.42048724789445	2.64586885374176e-07	No	No
Q8WXD9	CASKIN1	-1.18270356532502	8.55813315493766e-08	No	No
Q8WXE9	STON2	-1.78540626762499	1.449482405028e-08	No	No
Q8WXK3	ASB13	-1.81864485378411	9.352003989824431e-10	No	No
Q92537	SUSD6	-1.35908567242469	0.0001833476965735	No	No
Q92633	LPAR1	-1.06158372198533	0.0006869917255049	No	No
Q92729	PTPRU	-2.03487289684567	2.6949434075449998e-14	No	No
Q92870	APBB2	-1.2145262482398	1.61950711186419e-31	No	No
Q969Q4	ARL11	-1.03060489705201	7.52596323925468e-06	No	No
Q969X0	RILPL2	-1.30325302818868	9.426046972225599e-12	No	No
Q96A58	RERG	-2.24977133794344	2.89322168363452e-20	No	No
Q96AH8	RAB7B	-1.72587138596671	2.70374754683572e-08	No	No
Q96AP7	ESAM	-1.04945024754814	0.0050305628630207	No	No
Q96AY3	FKBP10	-1.49605792178166	1.5077392660797899e-49	No	No
Q96C19	EFHD2	-1.18141204915123	7.268341988534159e-18	No	No
Q96EG1	ARSG	-1.0278410118521	1.2685137213228e-07	No	No
Q96FF7	MISP3	-1.02302509180793	1.05478030565586e-14	No	No
Q96FZ5	CMTM7	-2.3690983671977	4.11259197215111e-07	No	No
Q96G01	BICD1	-1.42423647728351	6.89278037151724e-17	No	No
Q96J84	KIRREL1	-1.26542684531655	6.56560805333163e-27	No	No
Q96M94	KLHL15	-1.16099590987858	0.0013953609827215	No	No
Q96MY1	NOL4L	-1.52603282923498	1.95290537368367e-22	No	No
Q96PM9	ZNF385A	-1.0037316772596	1.79579634058258e-37	No	No
Q96PX6	CCDC85A	-1.62638672662068	2.32700146591704e-05	No	No
Q96PY5	FMNL2	-1.62146048037135	1.005091735903e-06	No	No
Q99489	DDO	-1.39309066599371	0.0001150543775776	No	No
Q99608	NDN	-1.41363438868409	0.0058380216769953	No	No
Q99685	MGLL	-1.73525417173849	2.33979552339148e-12	No	No
Q99708	RBBP8	-1.95747406431692	1.29601018193534e-19	No	No
Q99784	OLFM1	-1.12007373362304	5.74006983681218e-07	No	No
Q99808	SLC29A1	-1.07190951141609	2.2248375494332804e-09	No	No
Q99856	ARID3A	-1.3236903864147	4.69516516629657e-12	No	No
Q99990	VGLL1	-2.65359121838488	3.57970658024935e-12	No	No
Q9BSK0	MARVELD1	-1.64165262425236	5.4158789872852494e-11	No	No
Q9BX66	SORBS1	-1.30253820852272	1.8466451806454298e-12	No	No
Q9BXI9	C1QTNF6	-3.40753201023739	2.33878531333397e-23	No	No
Q9BY67	CADM1	-1.59178181589898	2.99890700168647e-31	No	No
Q9BYK8	HELZ2	-1.1403537878411	5.646610688878461e-25	No	No
Q9C035	TRIM5	-1.14861352464182	1.52409500758529e-14	No	No
