Protein_Group	Genes	T47D_ResA_p36_vs_T47D_logFC	T47D_ResA_p36_vs_T47D_pval	Removed?	Contaminant?
Q3ZAQ7	VMA21	1.52035223925967	1.53749520977648e-24	No	No
Q4V321	GAGE13	1.41951472969719	9.626251818546361e-09	No	No
Q4V339	CBWD6	1.11053464846384	0.0027712408507839	No	No
Q53FV1	ORMDL2	1.21475527842314	8.207755015941771e-19	No	No
Q53H80	AKIRIN2	1.02908435460579	0.0001016716068714	No	No
Q562F6	SGO2	1.20382655353189	7.972135687692691e-09	No	No
Q56A73	SPIN4	1.14667951172218	1.8881231783096498e-13	No	No
Q5T6S3	PHF19	1.1223730125593	2.39752501292094e-07	No	No
Q5T848	GPR158	2.54609877078566	2.60923514082502e-12	No	No
Q6IQ19	CCSAP	1.13739507740432	0.001068316553011	No	No
Q6P0N0	MIS18BP1	1.1409729986788	2.11783548565465e-09	No	No
Q6P9A2	GALNT18	1.21970916956011	0.0003214609090503	No	No
Q6PEV8	FAM199X	1.07079496307658	0.0076746143788125	No	No
Q6PGN9	PSRC1	1.09175790858501	0.0007118279860342	No	No
Q6PJP8	DCLRE1A	1.69733590908972	4.47689800910732e-05	No	No
Q6PL18	ATAD2	1.13399097892517	2.1657114800481e-18	No	No
Q6SJ93	FAM111B	1.23561195798793	8.28160022208967e-05	No	No
Q6TFL3	CCDC171	1.30869421212577	0.0003082236613852	No	No
Q6UWI4	SHISA2	3.56016084665603	9.385091387800199e-29	No	No
Q7L266	ASRGL1	1.12587216653778	0.0022510148416347	No	No
Q7Z7J9	CAMK2N1	1.58222471344546	0.0017325349112132	No	No
Q86SJ2	AMIGO2	1.49679399243539	1.4007769787581e-06	No	No
Q86UN3	RTN4RL2	1.45242075445353	4.24278388314621e-06	No	No
Q86VI3	IQGAP3	1.21943010888415	8.07719987618844e-05	No	No
Q86XI2	NCAPG2	1.06082470778181	2.44414016992949e-14	No	No
Q8IWR1	TRIM59	1.00256812851061	1.05857783014724e-23	No	No
Q8IX21	SLF2	1.15819874974275	4.56397498368718e-06	No	No
Q8IYB9	ZNF595	1.3127207327834	1.65782393397451e-05	No	No
Q8IYW5	RNF168	1.18798308846079	2.0881462084093e-08	No	No
Q8IZC4	RTKN2	1.17821510085597	1.083117496546e-07	No	No
Q8N5V2	NGEF	1.42703770856501	6.13658289510061e-05	No	No
Q8N8J7	FAM241A	1.1170583614199	6.37571976390629e-21	No	No
Q8NA72	POC5	1.08186577112451	8.16617022127422e-15	No	No
Q8NB91	FANCB	1.07110325499695	3.46127327134395e-06	No	No
Q8NBQ7	AQP11	1.11934776713031	9.4480541858039e-06	No	No
Q8NFW9	MYRIP	1.28184844082781	0.0004514591739311	No	No
Q8NFX7	STXBP6	1.5927891363366	0.0051324659517619	No	No
Q8TC76	FAM110B	1.34751574919716	2.60958770287286e-08	No	No
Q8TCZ2	CD99L2	1.98449958755934	2.44937439965527e-32	No	No
Q8TDN7	ACER1	1.49209389815709	0.0009507549451393	No	No
Q8TE69;Q96DE9	EOLA1;EOLA2	1.4179179800077	5.440350535782239e-12	No	No
Q8TF39	ZNF483	1.05933632473831	0.00078511979466	No	No
Q8TF71	SLC16A10	1.76571304795292	3.3503572761546005e-10	No	No
Q92522	H1-10	1.00793842037169	3.27987335508125e-17	No	No
Q92674	CENPI	1.05306581305161	8.028572436968319e-12	No	No
Q969H6	POP5	1.12397652861154	3.63132382533093e-05	No	No
Q96A09	TENT5B	1.21513003805107	0.0002340063247815	No	No
Q96A46	SLC25A28	1.03411487675296	3.85671649489912e-14	No	No
Q96BY6	DOCK10	1.31511327287724	3.9377737261374806e-09	No	No
Q96E22	NUS1	1.09361697441281	0.0014137185668627	No	No
Q96FF9	CDCA5	1.18610096934087	0.0002659001578787	No	No
Q96GD4	AURKB	1.15753449390547	0.000109444453828	No	No
Q96GN5	CDCA7L	1.12365243009814	8.7739193154017e-08	No	No
Q96GY0	ZC2HC1A	3.12531805278059	1.72692233020548e-39	No	No
Q96HM7	PCED1B	1.61308893024901	0.0024294026738575	No	No
Q96L50	LRR1	1.28403332688949	7.739089779126e-10	No	No
Q96N19	GPR137	1.55775678276271	0.0012353231923146	No	No
Q96NE9	FRMD6	1.17592951143302	1.83393858210614e-06	No	No
Q96PM9	ZNF385A	1.10620777368671	4.08879723918188e-38	No	No
Q96R08	OR5B12	1.38428058623313	1.96285072616778e-06	No	No
Q96T88	UHRF1	1.13712998388392	4.35662131099062e-06	No	No
Q99424	ACOX2	1.81144723232769	1.31848578651963e-10	No	No
Q99608	NDN	4.57768526994846	9.21096234398503e-13	No	No
Q99661	KIF2C	1.08078204065889	1.8737620176469e-05	No	No
Q99784	OLFM1	1.63662230672821	1.45862010029893e-10	No	No
Q99856	ARID3A	1.08148642089007	2.80150819039135e-08	No	No
Q99985	SEMA3C	1.93289562451218	5.65346853562222e-21	No	No
Q9BQI6	SLF1	1.13827451298879	0.0010716486203489	No	No
Q9BUY7	EFCAB11	1.37531087187637	2.84314944216697e-05	No	No
Q9BVX2	TMEM106C	1.31106227246324	1.84496546187694e-06	No	No
Q9BW11	MXD3	1.3424630274902	5.0241635140534405e-09	No	No
Q9BY50	SEC11C	1.36193609613385	3.1016088375126804e-25	No	No
Q9BZI1	IRX2	1.6785268627573	8.79004289501581e-12	No	No
Q9BZQ8	NIBAN1	1.0964679291688	7.24057317395163e-14	No	No
Q9C099	LRRCC1	1.28555576162265	0.0016588905280749	No	No
Q9C0K1	SLC39A8	3.08138328771407	2.59664829990124e-14	No	No
Q9H015	SLC22A4	1.3790995826552	0.0004899907020747	No	No
Q9H320;Q9H321;Q9H322;Q9NNX9	VCX;VCX3B;VCX2;VCX3A	2.9777100213727	4.9082345873880196e-11	No	No
Q9H6L5	RETREG1	1.37560090521302	7.31168971092274e-06	No	No
Q9H6R6	ZDHHC6	1.03827108646015	1.40636284279205e-15	No	No
Q9H7S9	ZNF703	1.10307397377853	3.41815060572775e-09	No	No
Q9H816	DCLRE1B	1.04100035113201	0.0002303337178092	No	No
Q9H898	ZMAT4	2.07009713517339	3.25404340505642e-08	No	No
Q9NQ31	AKIP1	1.07424235179707	0.0007888742935123	No	No
Q9NQ36	SCUBE2	1.21092846520483	1.12798309338921e-14	No	No
Q9NY35	CLDND1	1.01339133173516	1.93965872201646e-15	No	No
Q9NZV5	SELENON	1.17206482355449	1.38099987845881e-09	No	No
Q9P2J2	IGSF9	1.1184581739157	6.552216140740219e-11	No	No
Q9P2K2	TXNDC16	1.15314991385568	1.39956119020935e-30	No	No
Q9UHI5	SLC7A8	1.71960384723619	7.642551605229009e-22	No	No
Q9UII4	HERC5	1.46865123385338	9.02700314922632e-05	No	No
Q9UJG1	MOSPD1	1.16365653493535	3.35840390378851e-07	No	No
Q9ULW0	TPX2	1.22122739489502	2.64650007529542e-05	No	No
Q9UPW6	SATB2	1.10845513608651	0.0053800258506523	No	No
Q9Y242	TCF19	1.00839752784923	0.000285469314454	No	No
Q9Y255	PRELID1	1.20697565871328	7.758664462358549e-12	No	No
Q9Y2D0	CA5B	1.70445117748217	4.68293358505805e-23	No	No
Q9Y3L5	RAP2C	1.04242261267115	3.62993912933471e-13	No	No
Q9Y6K0	CEPT1	1.28506582206118	1.09448974658183e-13	No	No
Q9Y6R9	CCDC61	1.00969972798503	3.9732850507492e-08	No	No
A1IGU5	ARHGEF37	-2.04519138087053	1.3770091167034701e-17	No	No
A3KMH1	VWA8	-1.23222179737072	1.09716934517959e-53	No	No
A4D126	CRPPA	-1.42895616592477	2.19321596212072e-09	No	No
A4D1S0	KLRG2	-2.13461140761154	1.46447045157763e-45	No	No
A6NKF1	SAC3D1	-1.4118159078329	2.51310235328313e-21	No	No
A6NMD0	IFITM10	-1.38687914586834	2.05423273578229e-05	No	No
B2RBV5		-1.29001894169304	1.88981456437062e-05	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	-2.51411593365793	5.2173276240574605e-20	No	No
B5MCN3	SEC14L6	-2.03520127323727	7.14962523434675e-08	No	No
C9JA33	PALM2AKAP2	-1.672461635571	3.1702662817523904e-23	No	No
O00534	VWA5A	-1.5059348944572	8.464320279081921e-09	No	No
O00560	SDCBP	-1.04741968998688	1.15784468515409e-23	No	No
O00562	PITPNM1	-1.22915515591859	1.21310907607799e-14	No	No
O00635	TRIM38	-1.10249560078869	2.68384128906415e-05	No	No
O14497	ARID1A	-2.37412728784016	8.56499679108094e-05	No	No
O14798	TNFRSF10C	-1.80093537440393	2.51746724849104e-09	No	No
O14975	SLC27A2	-1.83414751110928	1.5287101357583098e-18	No	No
O15021	MAST4	-1.06693045620299	3.2537516810091904e-09	No	No
O15068	MCF2L	-1.29190795766639	5.6305865594572094e-18	No	No
O15427	SLC16A3	-1.14656511227424	1.3166947552328798e-26	No	No
O43237	DYNC1LI2	-1.25952107648106	4.3611699680903896e-42	No	No
O43529	CHST10	-1.03492849271423	1.01606190837176e-07	No	No
O60268	KIAA0513	-1.46317640105482	6.32205984554139e-34	No	No
O60279	SUSD5	-1.40144670520101	8.09622479157507e-07	No	No
O60343	TBC1D4	-1.07559812329361	1.84970352778383e-22	No	No
O60356	NUPR1	-1.37332625511105	1.02621911451402e-05	No	No
O60381	HBP1	-1.19486170485846	0.0096567239129569	No	No
O60443	GSDME	-1.29808438009823	3.6894804181463696e-12	No	No
O60504	SORBS3	-1.28955030438301	2.0803219671078401e-35	No	No
O60879	DIAPH2	-1.71474082814383	4.85677595298274e-05	No	No
O75056	SDC3	-1.06441658808298	0.0033040057379769	No	No
O75084	FZD7	-1.79710343283473	6.52365888376567e-10	No	No
O75113	N4BP1	-1.34445263498644	8.21188577181022e-33	No	No
O75293	GADD45B	-1.08957109858918	0.0004388896841903	No	No
O75325	LRRN2	-1.08198692180969	0.0010614794564218	No	No
O75363	BCAS1	-1.02135018223356	6.68522479760891e-27	No	No
O75368	SH3BGRL	-1.32988164405879	2.62162947207799e-13	No	No
O75436	VPS26A	-1.33196979828942	2.54415639883334e-55	No	No
O75487	GPC4	-1.10031167841957	3.64296768676829e-08	No	No
O75503	CLN5	-1.33541398355743	1.2990603964910101e-23	No	No
O75971	SNAPC5	-2.21727561939032	6.27466104015835e-08	No	No
O76054	SEC14L2	-1.07295221513638	0.0005268713470566	No	No
O76070	SNCG	-3.58458468486902	2.46151561705839e-66	No	No
O94889	KLHL18	-1.11369316108314	4.68575912078421e-08	No	No
O95057	DIRAS1	-1.55736281950113	4.54500413248406e-09	No	No
O95164	UBL3	-1.44972544631532	7.86926153134796e-14	No	No
O95255	ABCC6	-1.09766272976695	4.54983252434778e-16	No	No
O95259	KCNH1	-1.04558048728957	0.0003238016320947	No	No
O95273	CCNDBP1	-1.58727947380037	2.60364584027972e-32	No	No
O95361	TRIM16	-1.15702926330077	6.63559210054382e-06	No	No
O95633	FSTL3	-1.63073322667515	0.0009628671082167	No	No
O95817	BAG3	-1.20505624968877	2.70038121469174e-28	No	No
P00813	ADA	-1.72979507215756	1.02651711490583e-15	No	No
P00966	ASS1	-2.84682041167532	1.0156018404618099e-56	No	No
P01009	SERPINA1	-1.56601787909577	7.877865978135671e-32	No	No
P02511	CRYAB	-2.82726763328134	2.0351410721528198e-30	No	No
P02649	APOE	-1.9201386749328	1.42370635356958e-21	No	No
P04083	ANXA1	-4.24997061295373	1.79206403011628e-49	No	No
P04216	THY1	-3.12236830336754	9.996333731271129e-30	No	No
P04233	CD74	-3.22847067938457	7.51835053778878e-27	No	No
P04632	CAPNS1	-1.32853554922195	6.19320214895577e-41	No	No
P05091	ALDH2	-1.89452886388664	9.12055779079805e-38	No	No
P05161	ISG15	-1.34859904393287	3.18902544402198e-10	No	No
P05165	PCCA	-1.26628528015156	5.29431766202335e-39	No	No
P05362	ICAM1	-1.28171878850369	6.79157582919357e-08	No	No
P05981	HPN	-1.10890474278925	2.7242685754982e-11	No	No
P06396	GSN	-1.40240371651064	6.973432899992649e-36	No	No
P06400	RB1	-3.07953226028607	2.74716199637745e-13	No	No
P06731	CEACAM5	-1.44927382393944	1.58816469496502e-06	No	No
P07195	LDHB	-2.19199759571816	2.14005963779397e-10	No	No
P07355	ANXA2	-1.31479967551868	5.1303439494725796e-27	No	No
P07384	CAPN1	-1.97676768967933	3.3666350456396e-52	No	No
P07476	IVL	-2.28959115343378	1.37880699427116e-32	No	No
P08842	STS	-2.05803585640217	1.15430577391779e-25	No	No
P09493	TPM1	-1.31431802748833	3.16257492165692e-21	No	No
P09603	CSF1	-1.4364310841439	0.0004415434149884	No	No
P09914	IFIT1	-1.14103409165276	2.61260697997767e-05	No	No
P09972	ALDOC	-1.05871988095873	3.6511853768966e-28	No	No
P0C869	PLA2G4B	-1.33661918546054	2.15559037243298e-10	No	No
P0C870	JMJD7	-1.03499450441965	5.0622032731721004e-20	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-1.22135547352646	2.36853965745352e-06	No	No
P10176	COX8A	-1.12619361602641	0.0023626611401764	No	No
P10768	ESD	-1.20139425870053	7.6522951449111205e-25	No	No
P10909	CLU	-2.30879195938584	2.14751659212429e-16	No	No
P12429	ANXA3	-2.66684287736894	1.0626813109926999e-27	No	No
P13693	TPT1	-1.45881967489547	2.49218697010963e-24	No	No
P13797	PLS3	-1.14999162358387	1.09663897094646e-36	No	No
P14061	HSD17B1	-2.7182693456598	9.13250619399438e-10	No	No
P14618	PKM	-1.21109183562006	2.7588975244304e-34	No	No
P14621	ACYP2	-1.35613172552968	1.23407391017375e-16	No	No
P15104	GLUL	-1.28926006252118	1.41938837211611e-24	No	No
P15374	UCHL3	-1.27477540669218	6.57867438913272e-28	No	No
P15408	FOSL2	-1.42547379205018	3.51068032318579e-08	No	No
P15559	NQO1	-1.95191008799145	2.49724159949475e-50	No	No
P17252	PRKCA	-1.87170467271913	4.72871540605511e-12	No	No
P17302	GJA1	-2.09279591671807	5.17820234098729e-20	No	No
P17540	CKMT2	-1.02495683373614	1.18555613600802e-15	No	No
P17813	ENG	-1.5475285506072	7.28629662779175e-22	No	No
P18564	ITGB6	-4.54386032379698	4.1490284896041095e-30	No	No
P19440	GGT1	-1.13319407663086	5.4795486825461594e-33	No	No
P19474	TRIM21	-1.04295925150672	7.86298585446231e-21	No	No
P19971	TYMP	-1.06934393229542	1.46502839158174e-14	No	No
P20591	MX1	-1.68408420032044	2.88012437672943e-07	No	No
P20929	NEB	-1.09526335919729	0.0021876405972721	No	No
P21291	CSRP1	-1.08790501537793	2.7287990400687398e-30	No	No
P23297	S100A1	-1.3446280057577	1.40718031057166e-08	No	No
P23497	SP100	-1.68716307746743	1.21279764339129e-25	No	No
P25445	FAS	-2.15638803977283	2.92832167433527e-29	No	No
P25815	S100P	-2.43885295568656	7.37579012270473e-19	No	No
P26447	S100A4	-2.645853500503	7.778828263551399e-44	No	No
P27482	CALML3	-1.38496580847071	2.4226183010709e-06	No	No
P28062	PSMB8	-1.9555164349553	3.5067468628020004e-49	No	No
P29373	CRABP2	-1.04878170822549	1.51633490036616e-15	No	No
P29590	PML	-1.35804276663575	5.494708996932899e-43	No	No
P29728	OAS2	-1.54022755350533	2.75342037054932e-13	No	No
P29762	CRABP1	-1.45501541354627	8.57494281226546e-05	No	No
P30039	PBLD	-2.01303033473167	6.98996762248827e-31	No	No
P30047	GCHFR	-2.03737659635708	8.316344145953741e-15	No	No
P32456	GBP2	-2.71067770527941	3.4686759725411404e-15	No	No
P34059	GALNS	-1.60334564649918	2.72061517605504e-38	No	No
P35080	PFN2	-1.42590447517385	9.026842056286411e-25	No	No
P35269	GTF2F1	-1.09109332387393	2.63764445369479e-36	No	No
P35568	IRS1	-1.25209997182758	5.01734197247655e-05	No	No
P35638	DDIT3	-3.11433387461121	1.59824859987607e-18	No	No
P35754	GLRX	-1.01675570393154	9.82956905024627e-10	No	No
P36871	PGM1	-1.93065615045821	9.53126527405835e-38	No	No
P36959	GMPR	-1.88691404435313	1.86489156036215e-12	No	No
P38936	CDKN1A	-2.78442857346685	1.10696573555194e-28	No	No
P39060	COL18A1	-1.54286757668194	2.1426933506145602e-14	No	No
P40818	USP8	-1.01581498880422	5.7767614191391095e-36	No	No
P41226	UBA7	-1.98806128694443	1.4608169632577e-09	No	No
P41247	PNPLA4	-2.28105164723998	3.70942279901606e-23	No	No
P42685	FRK	-1.51337777252819	2.57560091519203e-14	No	No
P43121	MCAM	-2.95990019151838	1.1849416023879699e-29	No	No
P43353	ALDH3B1	-1.66201828458946	1.12161565607211e-29	No	No
P46020	PHKA1	-1.47918355337378	6.36787004999582e-18	No	No
P46527	CDKN1B	-1.14539356223285	2.2883662754019102e-14	No	No
P47712	PLA2G4A	-1.54052610613758	2.5439684540150297e-11	No	No
P47736	RAP1GAP	-1.01397632083262	0.0001926200559857	No	No
P47895	ALDH1A3	-1.93528688082495	3.0740180970233e-09	No	No
P48960	ADGRE5	-2.01451858551185	2.9878501144835303e-25	No	No
P49448	GLUD2	-1.08725368495722	7.33287351689573e-09	No	No
P49703	ARL4D	-2.37747332604398	5.70684093256638e-10	No	No
P49789	FHIT	-1.45321609732316	6.88059218925445e-22	No	No
P49917	LIG4	-1.3083664872999	4.3502705969005495e-34	No	No
P50225	SULT1A1	-3.48506298383535	1.51499449158939e-59	No	No
P50226	SULT1A2	-2.98460392449705	6.012264855814371e-20	No	No
P50238	CRIP1	-1.07939049426267	3.19857504681977e-18	No	No
P51397	DAP	-1.16501122809148	1.42195806352228e-07	No	No
P52797	EFNA3	-1.75995484212385	3.0950729645114e-10	No	No
P52799	EFNB2	-1.01396899526843	0.0009900044252032	No	No
P53602	MVD	-1.16496446129863	1.41678720710002e-24	No	No
P53990	IST1	-1.05997248221082	5.62920664104908e-38	No	No
P54868	HMGCS2	-1.11009396680536	0.000116268884654	No	No
P54922	ADPRH	-1.39614104331006	1.94429290484457e-17	No	No
P55211	CASP9	-1.4685772132747	2.35941258903003e-15	No	No
P55899	FCGRT	-1.08526626807262	8.78778645607809e-15	No	No
P56159	GFRA1	-1.10762971296964	0.000140382306559	No	No
P57729	RAB38	-2.37527883629655	1.16337026390313e-26	No	No
P60903	S100A10	-1.60838164636838	4.76268670580011e-27	No	No
P61601	NCALD	-1.05000246077489	6.23760791551488e-06	No	No
P61647	ST8SIA6	-1.38065668656157	4.96295760405392e-08	No	No
P61812	TGFB2	-1.51818136710047	0.0031014310459918	No	No
P63316	TNNC1	-1.50633858919565	0.0004360110963872	No	No
P67936	TPM4	-5.06104853368051	1.50445430240151e-25	No	No
P78324	SIRPA	-1.5082150623395	7.917849640057851e-14	No	No
P78357	CNTNAP1	-1.15038704243736	9.59537539320649e-11	No	No
P78380	OLR1	-1.34137258031661	0.000669456331276	No	No
P86452	ZBED6	-1.10469724086337	0.0002185971742394	No	No
P98082	DAB2	-1.66987911240377	1.7022136615441e-09	No	No
Q00978	IRF9	-1.17037587231171	0.0017323658048623	No	No
Q01415	GALK2	-1.32400741618478	2.20736453106077e-22	No	No
Q01628	IFITM3	-1.07865026644001	7.11671524460232e-06	No	No
Q02535	ID3	-1.14662374249681	0.0047802266483616	No	No
Q03014	HHEX	-1.23440883096244	0.0085104849949857	No	No
Q05639	EEF1A2	-1.19779981880354	5.186237098046129e-30	No	No
Q05682	CALD1	-2.93914494775189	6.5258763391355e-22	No	No
Q05823	RNASEL	-1.27076769646715	9.417899194577381e-32	No	No
Q07002	CDK18	-1.0114103327803	1.81583124599629e-12	No	No
Q08380	LGALS3BP	-2.61941195179193	6.87469475901018e-52	No	No
Q08495	DMTN	-1.18647668182308	1.87417053742548e-08	No	No
Q08999	RBL2	-1.15262228462761	1.0714278963012399e-18	No	No
Q08AF3	SLFN5	-1.22875693389258	1.4553396881225e-29	No	No
Q08AG7	MZT1	-1.16009331159492	4.91817903345594e-07	No	No
Q09013	DMPK	-1.02838591467426	4.8533407830562e-07	No	No
Q0IIM8	TBC1D8B	-1.06862095352652	2.85452053534574e-09	No	No
Q12983	BNIP3	-1.00336747234169	1.39395557901508e-07	No	No
Q13015	MLLT11	-1.09233505197379	1.2519900914784e-05	No	No
Q13085	ACACA	-1.02236747395832	1.31363672606774e-34	No	No
Q13325	IFIT5	-1.37274893682677	1.3943766277827e-24	No	No
Q13619	CUL4A	-1.05167907318452	1.19776696694685e-45	No	No
Q13636	RAB31	-1.66056879612186	2.6579167450848102e-17	No	No
Q14116	IL18	-1.01795237303777	4.5372695187036694e-12	No	No
Q14153	FAM53B	-1.08542069334099	0.0009716616954988	No	No
Q14155	ARHGEF7	-1.15704771962552	3.53828337173677e-41	No	No
Q14168	MPP2	-1.80474282510301	2.3164530800856303e-15	No	No
Q14186	TFDP1	-1.04113674728077	1.22030334569781e-14	No	No
Q14746	COG2	-1.22369854731762	2.89810263208837e-45	No	No
Q14749	GNMT	-1.17752213992172	0.0005731755104477	No	No
Q14764	MVP	-1.49353119740578	4.72381959322276e-41	No	No
Q14790	CASP8	-1.10222545978585	4.26410219393995e-30	No	No
Q14956	GPNMB	-4.11790947914122	5.6705683526463005e-36	No	No
Q15011	HERPUD1	-1.33508585555437	3.84650699616735e-12	No	No
Q15052	ARHGEF6	-1.27160374800066	2.6095854762597502e-17	No	No
Q15847	ADIRF	-1.7180670545859	4.85134851309951e-09	No	No
Q16254	E2F4	-1.01866103830826	3.38930362016389e-20	No	No
Q16773	KYAT1	-1.0479496446046	7.3888487646152e-10	No	No
Q16842	ST3GAL2	-1.90122088206357	8.47007702351236e-08	No	No
Q16875	PFKFB3	-1.00321691929855	6.87077343233436e-13	No	No
Q1RMZ1	BMT2	-1.97463880748971	1.04487018867348e-07	No	No
Q3LIE5	ADPRM	-1.19174911657334	2.6591410453359e-05	No	No
Q3SY77	UGT3A2	-4.77543853432014	1.3838064478588899e-28	No	No
Q400G9	AMZ1	-1.45367901899925	2.00615346817354e-32	No	No
Q460N5	PARP14	-1.84997600478762	9.38216327260675e-35	No	No
Q495B1	ANKDD1A	-1.69453826025442	4.57059425589298e-08	No	No
Q4G0X4	KCTD21	-1.03478505478994	1.64337757908923e-08	No	No
Q53FA7	TP53I3	-1.60778011755831	3.09513422758167e-31	No	No
Q53GL7	PARP10	-1.09341716683643	6.391536885532291e-23	No	No
Q5JR12	PPM1J	-1.14061080852241	5.65509583530335e-08	No	No
Q5JS37	NHLRC3	-1.0420971696056	5.96350964703922e-23	No	No
Q5JSP0	FGD3	-1.70264316847174	1.01925423239028e-09	No	No
Q5JUX0	SPIN3	-1.30527605377175	3.10321480757933e-13	No	No
Q5SRE7	PHYHD1	-1.44789530059059	2.48365411611411e-05	No	No
