Protein_Group	Genes	TP53_sg_#3_vs_LCv2_EV_Blast_logFC	TP53_sg_#3_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
Q92581	SLC9A6	-1.06840965416242	3.7161335873418803e-17	No	No
Q92777	SYN2	-1.28029220432451	0.001605209536015	No	No
Q96A54	ADIPOR1	-1.50270628772901	2.78472444080598e-17	No	No
Q96A58	RERG	-1.0434131347932	1.50198473834903e-07	No	No
Q96AP7	ESAM	-1.58567985981224	3.88349116785866e-05	No	No
Q96CX2	KCTD12	-2.03227955707432	1.39172083680218e-08	No	No
Q96FL8	SLC47A1	-1.00796987048853	5.78387291590594e-06	No	No
Q96FL9	GALNT14	-2.10399967165995	9.24710266873116e-06	No	No
Q96FS4	SIPA1	-1.90564653121991	8.54729564650871e-18	No	No
Q96IK0	TMEM101	-1.10630266665763	0.0001481616938865	No	No
Q96ME7	ZNF512	-1.08696717642801	1.1294947892943901e-20	No	No
Q96MK2	RIPOR3	-2.95762139525487	0.0037905704132029	No	No
Q96NR8	RDH12	-1.87018959140213	1.76391671676753e-09	No	No
Q96NY7	CLIC6	-1.7536851411221	3.24161027628533e-13	No	No
Q96PM9	ZNF385A	-1.03759687810606	1.79885063218546e-38	No	No
Q96QE2	SLC2A13	-2.48705350038364	1.5468335468973e-17	No	No
Q96QP1	ALPK1	-1.98838842854273	2.56392380191346e-14	No	No
Q96R05	RBP7	-1.75513719484967	8.08325863912149e-25	No	No
Q99574	SERPINI1	-1.62550185654251	1.2674294341991901e-25	No	No
Q99856	ARID3A	-1.83098169128838	4.42836464032879e-18	No	No
Q99959	PKP2	-1.43419235193997	3.0916439565638895e-36	No	No
Q99985	SEMA3C	-1.31931049562095	1.3637224032986601e-14	No	No
Q9BQT8	SLC25A21	-1.69594819486493	5.6738717868337294e-36	No	No
Q9BRK3	MXRA8	-2.39809926698123	2.82878974307123e-45	No	No
Q9BSE5	AGMAT	-1.10972984693604	6.59314224631503e-10	No	No
Q9BSK0	MARVELD1	-1.13640141441346	1.21631524241635e-06	No	No
Q9BT76	UPK3B	-1.06012064440704	0.001189206879545	No	No
Q9BVG8	KIFC3	-1.14420880339437	1.79710340308364e-15	No	No
Q9BX46	RBM24	-1.65803249479237	1.10715444279995e-09	No	No
Q9BXC0	HCAR1	-1.12590641937696	5.35223286290449e-05	No	No
Q9BY50	SEC11C	-1.01685369756098	5.2753399675171304e-20	No	No
Q9BY67	CADM1	-2.33720180900178	1.10640857087586e-42	No	No
Q9BYJ1	ALOXE3	-1.5599308334495	1.05373336621606e-12	No	No
Q9BYK8	HELZ2	-1.21867683947861	1.06888603037e-26	No	No
Q9BZD2	SLC29A3	-1.09593755161486	0.0021786842060153	No	No
Q9BZM5	ULBP2	-2.08631803465397	1.6878942605973202e-25	No	No
Q9BZM6	ULBP1	-1.23636751407313	3.86315185942747e-06	No	No
Q9C004	SPRY4	-1.52625616247939	9.83815669084491e-06	No	No
Q9C0K1	SLC39A8	-2.20896742824348	3.2328114953092004e-10	No	No
Q9GZY6	LAT2	-1.3230990854995	1.26262638937093e-06	No	No
Q9H2X8	IFI27L2	-1.18581260983871	7.89563096944537e-16	No	No
Q9H3G5	CPVL	-4.70711896441976	7.35456747803388e-67	No	No
Q9H4F1	ST6GALNAC4	-1.37453955125002	2.56577318194767e-05	No	No
Q9H4G4	GLIPR2	-2.9111979277457	6.12274077172191e-20	No	No
Q9H6L2	TMEM231	-1.01750716274208	1.9021011358094e-06	No	No
Q9H6R3	ACSS3	-1.0262931869748	9.38301370966746e-39	No	No
Q9H902	REEP1	-2.03116395956785	6.68066062438902e-10	No	No
Q9H930	SP140L	-1.06718858904453	2.51298839956629e-14	No	No
Q9HA38	ZMAT3	-1.00037140422408	0.0001444342770807	No	No
Q9NP74	PALMD	-1.39262117997345	1.4779740365928402e-09	No	No
Q9NQ88	TIGAR	-1.01224996555299	3.59220523070161e-17	No	No
Q9NQV5	PRDM11	-3.22075925513177	8.58492664211976e-41	No	No
Q9NQX7	ITM2C	-1.33581236513364	1.8320185327017e-08	No	No
Q9NR34	MAN1C1	-1.80647174567997	1.28444934252112e-15	No	No
Q9NS37	CREBZF	-1.54953789382428	2.03836917700177e-05	No	No
Q9NUU6	OTULINL	-1.06684000364757	1.17080288195575e-10	No	No
Q9NW97	TMEM51	-1.34095629770057	1.83014513590256e-05	No	No
Q9NYA1	SPHK1	-1.6175470867976	3.01395074658926e-08	No	No
Q9NYT0	PLEK2	-2.24791922443958	3.66909516256915e-11	No	No
Q9NZQ0	DNAJC27	-1.63944590740759	9.03977781911078e-10	No	No
Q9P291	ARMCX1	-3.13840360936221	5.56802200701342e-26	No	No
Q9UEY8	ADD3	-2.06158178042925	3.97972238470875e-52	No	No
Q9UHW9	SLC12A6	-1.9053928679436	7.642964027315589e-16	No	No
Q9UI08	EVL	-1.0203497386482	3.93382330843006e-10	No	No
Q9UJC5	SH3BGRL2	-2.37620793307071	6.43227913036196e-18	No	No
Q9UJX0	OSGIN1	-1.0483116757108	1.73147360584354e-06	No	No
Q9UKF7	PITPNC1	-1.49567608993396	4.77125890078604e-15	No	No
Q9UL12	SARDH	-1.36059368748492	1.02856209300258e-12	No	No
Q9ULM2	ZNF490	-1.87699062058407	0.0020360616104772	No	No
Q9UN66	PCDHB8	-1.15971366722594	5.29100453480001e-28	No	No
Q9UNA1	ARHGAP26	-1.13247437691286	0.0001199159824257	No	No
Q9UNN8	PROCR	-4.89783333972027	2.40427697122267e-60	No	No
Q9Y2A9	B3GNT3	-1.30720783740009	6.11974765819638e-05	No	No
Q9Y2C2	UST	-1.70660016448998	2.95860144218048e-17	No	No
Q9Y2J2	EPB41L3	-1.44217368152493	2.55712191009479e-05	No	No
Q9Y2Q0	ATP8A1	-1.13638175160249	5.2558409697903e-18	No	No
Q9Y2Y6	TMEM98	-1.26400978880256	1.13334523203848e-06	No	No
Q9Y3E1	HDGFL3	-2.60780720726474	2.2382050540514502e-35	No	No
Q9Y572	RIPK3	-2.53142727040018	5.13170341578716e-13	No	No
Q9Y5E3	PCDHB6	-1.19954129996061	0.0002378554170272	No	No
Q9Y5E9	PCDHB14	-1.78008017008261	1.67490287823988e-05	No	No
Q9Y5F0	PCDHB13	-1.71350662845508	1.8607980499647802e-25	No	No
Q9Y5H3	PCDHGA10	-1.13474582406495	3.16334916653457e-17	No	No
Q9Y5H4	PCDHGA1	-1.27359991348356	3.40233502857952e-07	No	No
Q9Y617	PSAT1	-6.08972365571308	1.40820511656143e-60	No	No
