Protein_Group	Genes	pLVX_EV_Tr_vs_pLVX_EV_logFC	pLVX_EV_Tr_vs_pLVX_EV_pval	Removed?	Contaminant?
P52292	KPNA2	-1.1020451464245	1.02667614230117e-15	No	No
P52732	KIF11	-2.01884485876733	1.32067475379095e-10	No	No
P52741	ZNF134	-2.04872788950235	6.62355095162329e-08	No	No
P52823	STC1	-1.25118027386426	0.0018547738996087	No	No
P53350	PLK1	-2.20887366011773	3.9201006588072596e-11	No	No
P54132	BLM	-1.55947897185273	7.09236934842795e-16	No	No
P55273	CDKN2D	-2.00173676682113	0.0006319091619144	No	No
P55851	UCP2	-1.01456626087415	0.0001983575979969	No	No
P56159	GFRA1	-2.39624742155553	2.56809634911144e-11	No	No
P56270	MAZ	-1.17460969582741	1.77644990208254e-14	No	No
P56282	POLE2	-1.67827082004732	3.9023080019951598e-16	No	No
P57086	SCAND1	-1.13827708037054	0.0001905523609025	No	No
P59796	GPX6	-2.87489500878917	2.20051179100442e-16	No	No
P61024	CKS1B	-1.5707597099216	8.0260094351591e-10	No	No
P78415	IRX3	-2.31050076519989	7.66301070737572e-08	No	No
P78549	NTHL1	-1.17860274062907	7.68783865683792e-07	No	No
P81274	GPSM2	-1.74838315056945	2.91085537445405e-06	No	No
Q00987	MDM2	-1.01599285967459	0.0002393401421991	No	No
Q01664	TFAP4	-1.63047435347216	1.21327484085232e-05	No	No
Q02224	CENPE	-1.3051205751846	2.3863720392022e-10	No	No
Q02241	KIF23	-1.74755666386721	1.85869383713728e-17	No	No
Q05D32	CTDSPL2	-1.45935652400624	2.0231641377775297e-40	No	No
Q06609	RAD51	-1.77923828815092	7.52688055837851e-08	No	No
Q07864	POLE	-1.19826870690922	7.250900800989861e-21	No	No
Q08050	FOXM1	-1.03321171861603	0.0036223739477233	No	No
Q12815	TROAP	-1.71576518816167	7.83555734028569e-06	No	No
Q12834	CDC20	-2.44002363571959	1.9430400818088802e-10	No	No
Q12948	FOXC1	-1.99250932244831	2.23357307343759e-05	No	No
Q13111	CHAF1A	-1.32465021736532	7.74341272822092e-18	No	No
Q13112	CHAF1B	-1.46510472203072	3.1318657161817303e-15	No	No
Q13257	MAD2L1	-1.12135279175642	4.05423498464842e-08	No	No
Q13309	SKP2	-1.60845693550837	8.845009129485831e-09	No	No
Q14181	POLA2	-1.07214548385102	1.20692690769302e-12	No	No
Q14674	ESPL1	-2.27611968981563	1.5026311771300302e-09	No	No
Q14679	TTLL4	-1.87576465505474	2.36179295760705e-05	No	No
Q14691	GINS1	-1.14271894289177	6.85393809835138e-10	No	No
Q14781	CBX2	-1.10986436583427	3.35390983979149e-13	No	No
Q14807	KIF22	-2.44637665444936	4.13329838362367e-14	No	No
Q14CB8	ARHGAP19	-1.66519877342879	1.4390605866570899e-12	No	No
Q14CZ0	C16orf72	-1.40409253204894	0.0084981494690065	No	No
Q15003	NCAPH	-1.51889124427867	8.639706383496559e-18	No	No
Q15004	PCLAF	-2.55399830384724	2.02090477717636e-08	No	No
Q15021	NCAPD2	-1.62247023670975	6.602108409083921e-19	No	No
Q15054	POLD3	-1.11028605488627	5.58104201477765e-17	No	No
Q15058	KIF14	-1.71395423026613	1.61826696966393e-13	No	No
Q15398	DLGAP5	-1.62110930946544	2.52982746906773e-09	No	No
Q15468	STIL	-1.77893572779032	5.56284408042478e-10	No	No
Q16667	CDKN3	-1.94070767858518	2.05214887876954e-07	No	No
Q16763	UBE2S	-2.08416584340668	6.1558968207168994e-12	No	No
Q1ZZU3	SWI5	-2.04799468028801	3.92301683160709e-07	No	No
Q2I0M4	LRRC26	-1.0576146528751	0.0023706254035122	No	No
Q2KHR3	QSER1	-1.02657974018746	5.542959126493991e-19	No	No
Q53EZ4	CEP55	-1.5134476770798	9.71065498259205e-08	No	No
Q53HL2	CDCA8	-2.27927086126355	5.70708909339995e-09	No	No
Q562F6	SGO2	-1.8701807735865	1.01859603389539e-13	No	No
Q56A73	SPIN4	-1.31021977550245	7.19500410300835e-14	No	No
Q56NI9	ESCO2	-1.98206696324872	7.59514118088677e-07	No	No
Q5FBB7	SGO1	-2.53460925407968	2.17150663885539e-19	No	No
Q5JUR7	TEX30	-1.06007578395926	1.44742103476362e-07	No	No
Q5T6S3	PHF19	-1.76056528671233	1.0984119860848599e-11	No	No
Q5UIP0	RIF1	-1.10568497787489	3.68393111668642e-30	No	No
Q674X7	KAZN	-1.68521381582009	0.0008260254871966	No	No
Q68D06	SLFN13	-1.09456979448056	6.85079863773488e-07	No	No
Q68D85	NCR3LG1	-1.21345114321403	2.21744015356397e-12	No	No
Q69YH5	CDCA2	-1.70986273050688	2.6887288265164203e-09	No	No
Q6IBW4	NCAPH2	-1.39961566470485	3.2498451677604002e-21	No	No
Q6IPU0	CENPP	-1.02572798653914	0.0002664097280084	No	No
Q6P0N0	MIS18BP1	-1.85483580603182	2.1488661022824803e-15	No	No
Q6P4F7	ARHGAP11A	-1.80206800612462	3.3893799610579e-07	No	No
Q6PGN9	PSRC1	-1.63862140340712	9.30122745268523e-06	No	No
Q6PJP8	DCLRE1A	-1.72871403016358	0.0001715456361933	No	No
Q6PL18	ATAD2	-1.38469635305054	2.13947352983165e-20	No	No
Q6SJ93	FAM111B	-1.8580213921967	3.06466914444994e-07	No	No
Q6YHK3	CD109	-1.25236321026158	0.0018805838939419	No	No
Q6ZRQ5	MMS22L	-1.39875356525284	8.765439171213639e-16	No	No
Q71F23	CENPU	-1.42622449492245	2.36586584453828e-11	No	No
Q7L266	ASRGL1	-1.14707648420836	0.0050551445507756	No	No
Q7L590	MCM10	-1.98769074082034	6.6869009809639805e-09	No	No
Q7Z628	NET1	-1.12242365081555	7.12611941734417e-05	No	No
Q7Z7L1	SLFN11	-1.22471557075777	4.12577523025748e-13	No	No
Q86T82	USP37	-1.26839868313298	1.02003604049499e-05	No	No
Q86UD0	SAPCD2	-1.1870256207433	7.51942730561869e-11	No	No
Q86VI3	IQGAP3	-2.2955858698222	6.99754429583998e-10	No	No
Q86XI2	NCAPG2	-1.60054909185649	1.4744046157788102e-20	No	No
Q86XJ1	GAS2L3	-1.05863097650451	3.3559012674194e-14	No	No
Q86XK3	SFR1	-1.32269360691512	1.89148046459521e-06	No	No
Q86Y91	KIF18B	-1.88118201757859	3.5387266416931004e-10	No	No
Q86Y97	KMT5C	-1.05995649552832	3.2565988988886e-12	No	No
Q86YI8	PHF13	-1.31240110886839	4.59095880738254e-06	No	No
Q8IUE6	H2AC21	-1.08796782778206	9.66911784264626e-05	No	No
Q8IX90	SKA3	-1.91319092538018	6.91925567736177e-08	No	No
Q8IYA6	CKAP2L	-1.5396860430956	0.0005112870293362	No	No
Q8IYW5	RNF168	-2.07417027821354	3.3429807302438002e-15	No	No
Q8IZT6	ASPM	-1.06484213397122	4.58596832538798e-13	No	No
Q8N2H9	PELI3	-1.08304794437373	2.54361102210771e-05	No	No
Q8N2Z9	CENPS	-1.13917448394874	2.02962289062455e-10	No	No
Q8N3J2	METTL4	-1.10826976699893	0.0001118229754239	No	No
Q8N5V2	NGEF	-1.6114073255953	5.08347145439749e-05	No	No
Q8NB91	FANCB	-1.09001432432329	1.87065608531573e-05	No	No
Q8NBI5	SLC43A3	-1.43385832017147	1.56792927724791e-07	No	No
Q8NBT2	SPC24	-2.30143890846869	6.04998648075438e-10	No	No
Q8NEM2	SHCBP1	-1.62168801686053	3.17648631693446e-09	No	No
Q8NG31	KNL1	-1.58924856161598	8.05534310516297e-12	No	No
Q8NI77	KIF18A	-2.15385434117965	9.98765005232474e-26	No	No
Q8TA94	ZNF563	-1.15721409200633	0.0090276523481731	No	No
Q8TAT5	NEIL3	-1.84457692048562	6.25976431114847e-10	No	No
Q8TCG1	CIP2A	-1.53876470496093	1.80861013922321e-14	No	No
Q8TF42	UBASH3B	-1.53535290169623	2.31160860775308e-05	No	No
Q8WUU4	ZNF296	-1.52702578080129	0.0005307070708584	No	No
Q8WVK7	SKA2	-1.84043999194018	1.5104322268055e-09	No	No
Q8WVP5	TNFAIP8L1	-2.25740453326799	3.18078290908682e-11	No	No
Q8WWK9	CKAP2	-2.25491198125536	3.33794875193916e-11	No	No
Q8WY54	PPM1E	-1.8919501150682	6.927861978366469e-16	No	No
Q92522	H1-10	-1.04301921339229	1.03709744283417e-15	No	No
Q92565	RAPGEF5	-2.28786630197761	6.8286188102852e-05	No	No
Q92686	NRGN	-1.29899694745718	0.0042907326211915	No	No
Q92771	DDX12P	-1.02349277578098	6.61267965060795e-06	No	No
Q96AP7	ESAM	-1.62691263543678	0.0003745315398944	No	No
Q96B01	RAD51AP1	-1.57384693546068	1.2463765076431802e-09	No	No
Q96BD8	SKA1	-1.98131356596025	2.09238988603391e-08	No	No
Q96BR9	ZBTB8A	-1.08047568342874	1.37643169429611e-05	No	No
Q96CG3	TIFA	-1.00123509369081	0.0014518873428531	No	No
Q96CN5	LRRC45	-1.47947210921412	5.4339102144467296e-11	No	No
Q96FC9	DDX11	-1.0027653729462	0.0007020498957396	No	No
Q96FF9	CDCA5	-2.54436911182382	1.66598890777479e-10	No	No
Q96GD4	AURKB	-2.50515013141516	1.3746780219885e-11	No	No
Q96GN5	CDCA7L	-1.83161816774579	5.59345926869259e-13	No	No
Q96GX5	MASTL	-1.55317497287681	5.13689270478358e-07	No	No
Q96HA7	TONSL	-1.17295769741262	6.138002197078141e-15	No	No
Q96HE9	PRR11	-1.96998956753555	4.39844111803261e-12	No	No
Q96KB5	PBK	-2.42838362731354	5.32902963474168e-12	No	No
Q96L50	LRR1	-1.34403322142472	5.09366801904325e-09	No	No
Q96MK2	RIPOR3	-3.32626249248313	0.0066389330930542	No	No
Q96MW7	TIGD1	-1.87678819799412	5.0038563693684e-07	No	No
Q96P15	SERPINB11	-2.05762072395531	1.50981272850083e-07	No	No
Q96PD5	PGLYRP2	-1.26162516926113	5.01905287303719e-05	No	No
