Protein_Group	Genes	T47D_ResA_p26_Tr_vs_T47D_ResA_p26_logFC	T47D_ResA_p26_Tr_vs_T47D_ResA_p26_pval	Removed?	Contaminant?
Q9NZT1	CALML5	3.14034084977919	0.0004671291184298	No	No
Q9P241	ATP10D	1.38704375506526	0.0066485567829808	No	No
Q9UFP1	GASK1A	1.47199453701668	7.02959017334766e-05	No	No
Q9UKB3	DNAJC12	1.50043480704274	0.0038741191114342	No	No
Q9UN74	PCDHA4	1.43085571371931	2.11147555308351e-05	No	No
Q9Y2J8	PADI2	1.02772152632736	1.37895165749356e-06	No	No
Q9Y572	RIPK3	2.05170371803682	1.23108254334929e-07	No	No
O00458	IFRD1	-1.49740792124418	3.65338539743371e-05	No	No
O60688;Q96QA6	YPEL1;YPEL2	-1.01977753730273	0.0006215627183116	No	No
P02753	RBP4	-3.14157917764843	3.55910599383005e-29	No	No
P02795	MT2A	-1.34508280082299	2.02551027652555e-05	No	No
P15498	VAV1	-1.06901321242816	0.0019045895015594	No	No
P17676	CEBPB	-1.12251226022429	1.1308801784170999e-12	No	No
P20800	EDN2	-1.37594125305558	0.0025989761081025	No	No
P35638	DDIT3	-1.52718037875153	2.73704579143015e-06	No	No
P49908	SELENOP	-1.42382654661484	8.82705166198552e-06	No	No
P52741	ZNF134	-1.39107061142263	0.000119194063141	No	No
P52798	EFNA4	-2.69535210726416	7.20562006233547e-16	No	No
P59796	GPX6	-1.45799600832162	1.20480039919521e-06	No	No
P60606	CTXN1	-1.17814903913009	0.0005437547547529	No	No
P86452	ZBED6	-1.28721444659897	0.0001197117011664	No	No
Q01664	TFAP4	-1.23148952368776	0.0007012614826541	No	No
Q14807	KIF22	-1.10523046706035	8.18022139931788e-05	No	No
Q16385	SSX2B	-1.11693078694369	9.64361298060077e-06	No	No
Q16777	H2AC20	-3.03232459481216	0.0044867623390378	No	No
Q5FBB7	SGO1	-1.02067391181579	6.9155435312092e-06	No	No
Q5TGI0	FAXC	-1.37023140566612	8.79726836748161e-05	No	No
Q6ZN17	LIN28B	-1.31448948336186	0.0026410211840632	No	No
Q7Z7J9	CAMK2N1	-1.48322027808379	0.0079037556202249	No	No
Q86XK3	SFR1	-1.03895017641095	0.0001217588361968	No	No
Q8IZ13	ZBED8	-1.22342748061601	0.0010263314013943	No	No
Q8NFI4	ST13P5	-7.3494198868002	2.74279366873014e-20	No	No
Q8WY54	PPM1E	-2.85590915044352	3.0939982738858103e-25	No	No
Q96CX2	KCTD12	-1.35114551466103	0.0007748866484861	No	No
Q96DA2	RAB39B	-1.09934772201337	0.0082924124608854	No	No
Q96FF9	CDCA5	-1.14979475292826	0.001371744526112	No	No
Q9BQI6	SLF1	-1.03125423906393	0.0072141687781997	No	No
Q9HB96	FANCE	-1.01286087104563	0.0006099785848764	No	No
Q9NPI7	KRCC1	-1.15471438271516	0.0010631697459749	No	No
