Protein_Group	Genes	cMyc_OE_vs_pLVX_EV_logFC	cMyc_OE_vs_pLVX_EV_pval	Removed?	Contaminant?
P21926	CD9	-1.23902974127541	7.151492703848819e-28	No	No
P21980	TGM2	-2.44762808172209	1.24948531482301e-05	No	No
P22304	IDS	-1.20220195211777	0.0005079325780482	No	No
P22352	GPX3	-2.20637665095636	3.17162804535045e-07	No	No
P22692	IGFBP4	-1.69067931259085	7.16717546454814e-18	No	No
P23297	S100A1	-1.29856172769316	3.79814436164196e-06	No	No
P23458	JAK1	-1.2942147151917	4.07673733763619e-27	No	No
P23497	SP100	-1.53687895550954	1.6380729373141198e-18	No	No
P24385	CCND1	-1.45958781379049	1.8495046164058202e-20	No	No
P25311	AZGP1	-1.37981726473271	0.0007736967005516	No	No
P25815	S100P	-1.83837054480483	3.72737417758425e-10	No	No
P25942	CD40	-2.80695579827951	1.1028189424662001e-20	No	No
P26367	PAX6	-4.50022410067587	3.57048593354424e-08	No	No
P26447	S100A4	-1.05792668255951	1.29802663398749e-14	No	No
P28067	HLA-DMA	-1.81860556612003	0.000802750307326	No	No
P28799	GRN	-1.30924658053529	1.5372239393551e-21	No	No
P29400	COL4A5	-1.12628216710767	0.0003023727466221	No	No
P29728	OAS2	-3.13787141406934	5.26553925812871e-24	No	No
P29966	MARCKS	-2.2176468004431	0.0005273501049926	No	No
P30281	CCND3	-1.27720943727341	1.1663928971151e-08	No	No
P30988	CALCR	-1.92673666299614	2.27238576579769e-11	No	No
P31641	SLC6A6	-1.04241946390755	3.7392705519167903e-10	No	No
P32004	L1CAM	-2.16059107219713	5.190322813264019e-26	No	No
P35080	PFN2	-1.71940372883664	2.76943996606096e-24	No	No
P35408	PTGER4	-1.66838626140227	4.48423787372988e-07	No	No
P35544	FAU	-1.30294161422492	0.0011797158130576	No	No
P35568	IRS1	-1.69275814208007	1.01203491151996e-05	No	No
P35611	ADD1	-1.28798868824442	2.82612696218438e-43	No	No
P35754	GLRX	-1.20977323889899	2.60326548415349e-09	No	No
P36269	GGT5	-2.41171026527966	3.9010149232215e-12	No	No
P36959	GMPR	-1.15727189930269	7.88863448216261e-05	No	No
P39060	COL18A1	-1.34558740155179	3.828683588198751e-09	No	No
P41002	CCNF	-1.63747845378536	1.63384734833344e-07	No	No
P42685	FRK	-2.30028506093371	1.5691608893949001e-18	No	No
P42785	PRCP	-1.44544736898353	8.96524925906122e-35	No	No
P43005	SLC1A1	-1.68617112869507	0.0019821695702818	No	No
P43121	MCAM	-2.05534773163799	5.191100738486939e-16	No	No
P43308	SSR2	-1.95735527779184	0.0059338698289269	No	No
P43353	ALDH3B1	-2.352747336882	1.13886185565621e-33	No	No
P43355	MAGEA1	-3.88242479662382	2.5333659997687e-27	No	No
P43363	MAGEA10	-3.65622494192334	5.4072400917500605e-20	No	No
P46821	MAP1B	-1.34892846840459	0.0056591117201755	No	No
P48539	PCP4	-1.12323924185812	0.0073979705094636	No	No
P49326	FMO5	-1.65554740753655	8.3006573817083e-17	No	No
P49862	KLK7	-1.58294582972711	1.71646668002428e-32	No	No
P49908	SELENOP	-1.42299520905285	4.63990732604708e-05	No	No
P50443	SLC26A2	-1.43760135896023	1.31487770164718e-08	No	No
P51178	PLCD1	-1.19622106073043	4.94004840053361e-16	No	No
P51693	APLP1	-1.27022872075882	0.0011508623784214	No	No
P51808	DYNLT3	-1.43861605015145	1.57612336188247e-07	No	No
P52803	EFNA5	-2.96784730259741	3.37824036407557e-12	No	No
P54108	CRISP3	-2.00197636722442	2.50616550932224e-06	No	No
P54764	EPHA4	-1.6147054637188	6.58795192262026e-08	No	No
P54868	HMGCS2	-1.19789238092143	0.0006298854348418	No	No
P54922	ADPRH	-1.85419118080057	4.3266094210713996e-19	No	No
P55040	GEM	-2.48226039888891	9.08523199214081e-08	No	No
P55771	PAX9	-1.35547656955223	0.0035324938533106	No	No
P55899	FCGRT	-1.32197676753795	1.29456359692616e-14	No	No
P56705	WNT4	-1.29711429703996	0.0008175634206926	No	No
P58340	MLF1	-1.04301712387993	3.10807125081006e-07	No	No
P59665	DEFA1B	-5.06406081640819	1.2432542667032e-28	No	No
P59923	ZNF445	-1.24447378980641	1.5362895111112399e-13	No	No
P60520	GABARAPL2	-1.14799881814178	9.256939252694871e-14	No	No
P61601	NCALD	-1.21606493081747	1.82050952689126e-05	No	No
P61916	NPC2	-1.06212633474245	5.24480102266448e-12	No	No
P62341	SELENOT	-1.05168087293452	3.19735971024466e-06	No	No
P63261	ACTG1	-1.94134088154778	2.11920555225244e-06	No	No
P67936	TPM4	-1.10784364621195	0.0073468416152239	No	No
P78357	CNTNAP1	-1.46399028895955	2.97060113486149e-11	No	No
P78559	MAP1A	-2.27956667063905	2.75929279846915e-39	No	No
P80217	IFI35	-1.01834721433913	6.50612216385856e-18	No	No
P84157	MXRA7	-1.53867651569677	2.28380713850745e-17	No	No
P98082	DAB2	-2.25795632356288	8.41693058207489e-11	No	No
P98160	HSPG2	-1.49132532149505	3.03812878477572e-07	No	No
Q00534	CDK6	-1.365838050906	1.4870109140682e-08	No	No
Q00978	IRF9	-1.62938650885327	0.0004344868956165	No	No
Q01628	IFITM3	-2.72859738008517	1.80251450027611e-15	No	No
Q02318	CYP27A1	-1.49636684202792	0.0002881145694259	No	No
Q07002	CDK18	-1.39641741025199	1.79589109282787e-14	No	No
Q07654	TFF3	-3.56758298268815	1.5097965591066e-24	No	No
Q07954	LRP1	-1.86208309747071	1.19882385657361e-32	No	No
Q08380	LGALS3BP	-3.04287600026651	4.59912768123761e-50	No	No
Q08426	EHHADH	-1.37903760611428	5.51706111509914e-24	No	No
Q08AF3	SLFN5	-2.31813660660509	3.54099195829992e-42	No	No
Q10587	TEF	-1.16221395619498	0.000553878003835	No	No
Q12805	EFEMP1	-1.8837125039899	2.42813130251631e-22	No	No
Q12834	CDC20	-1.44259710745835	0.0001868447139518	No	No
Q12840	KIF5A	-1.35212732139761	0.0001282602608664	No	No
Q12841	FSTL1	-1.98204019622185	6.60374912704032e-08	No	No
Q12948	FOXC1	-1.95373182902956	0.0001357050289823	No	No
Q12999	TSPAN31	-1.09065880096281	0.0001296223892141	No	No
Q13287	NMI	-1.26520681945884	1.92900916407019e-27	No	No
Q13393	PLD1	-1.48794863529309	1.96293010839036e-26	No	No
Q13423	NNT	-1.81073798477449	2.03418510603144e-23	No	No
Q13636	RAB31	-1.89225576104506	8.77393165604133e-16	No	No
Q13950	RUNX2	-1.03786942141797	6.80228080078319e-07	No	No
Q14142	TRIM14	-1.62356998261582	1.99916660211527e-07	No	No
Q14192	FHL2	-1.91367041385559	2.61296378079283e-41	No	No
Q14956	GPNMB	-2.66841490080609	3.6303680544694603e-19	No	No
Q14D04	VEPH1	-1.12344155048237	3.3504772866268197e-28	No	No
Q15004	PCLAF	-1.4586131976422	0.0017728927180439	No	No
Q15012	LAPTM4A	-1.14318549566581	0.005558199282109	No	No
Q15041	ARL6IP1	-2.25680505619432	7.29015590589945e-08	No	No
Q15434	RBMS2	-1.05626271302897	4.49040936303405e-20	No	No
Q15847	ADIRF	-1.20758319518256	0.0003251967696101	No	No
Q16553	LY6E	-2.09936570916285	1.39511742111964e-21	No	No
Q16555	DPYSL2	-1.1716832691293	2.48476013327168e-09	No	No
Q16667	CDKN3	-1.05714857243072	0.0061636027541645	No	No
Q16678	CYP1B1	-2.91006886725685	6.13782810539194e-09	No	No
Q16787	LAMA3	-1.22607819468283	1.65494833794647e-05	No	No
Q16842	ST3GAL2	-1.37911496838843	0.0008070160884002	No	No
Q18PE1	DOK7	-1.7055131950452	7.5807285716427e-06	No	No
Q3KR16	PLEKHG6	-1.40635953795605	4.74751197900196e-05	No	No
Q495W5	FUT11	-1.00036527042603	2.52145896251731e-07	No	No
