Protein_Group	Genes	PTEN_sg_#3_vs_LCv2_EV_Blast_logFC	PTEN_sg_#3_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
P50443	SLC26A2	-1.14846826826765	2.57282307141354e-09	No	No
P50461	CSRP3	-1.20060508958322	9.52927316716817e-05	No	No
P51811	XK	-2.19696088262337	0.0002106544430868	No	No
P52566	ARHGDIB	-1.00751574248263	1.4530648798881198e-11	No	No
P53370	NUDT6	-1.01376173561102	1.91412635633291e-09	No	No
P54108	CRISP3	-1.12928744112553	0.0002854424729027	No	No
P54868	HMGCS2	-3.51421411677583	8.31496071508446e-23	No	No
P55040	GEM	-1.63924185243482	1.82182588982233e-06	No	No
P55268	LAMB2	-1.05634714921388	2.81638690162379e-24	No	No
P55854	SUMO3	-1.40980107291916	0.0032668089983871	No	No
P60484	PTEN	-4.02333925101063	7.120023495940831e-47	No	No
P61601	NCALD	-1.04968040985495	1.39275996705094e-06	No	No
P63316	TNNC1	-2.66542450987038	7.25897882627121e-10	No	No
P67936	TPM4	-4.77572784298158	5.19656246827421e-26	No	No
P78380	OLR1	-1.23117370903278	0.0007498785442208	No	No
P98082	DAB2	-1.80022215639475	1.23849544530625e-11	No	No
P98153	DGCR2	-1.12206300887466	4.18854070352966e-08	No	No
Q00887	PSG9	-1.45653860826833	2.2036086514362e-07	No	No
Q01826	SATB1	-1.9545934891326	1.29237341066255e-25	No	No
Q03167	TGFBR3	-1.6605768765497	1.72616144223873e-08	No	No
Q05682	CALD1	-1.28970458386192	1.46387557578156e-08	No	No
Q0VD83	APOBR	-1.20624106302615	0.0006473093181469	No	No
Q13636	RAB31	-1.08681175643811	4.0213752127935395e-11	No	No
Q13946	PDE7A	-1.2817041921797	2.43595368891224e-18	No	No
Q14153	FAM53B	-1.60896260046977	4.93738205448991e-07	No	No
Q14315	FLNC	-1.08464666850963	4.06358142722434e-07	No	No
Q14393	GAS6	-1.67991069547063	2.30327879969156e-08	No	No
Q14749	GNMT	-1.74088184466317	1.7995842052826e-07	No	No
Q15052	ARHGEF6	-1.1268270072743	2.13937596737563e-16	No	No
Q15111	PLCL1	-1.21671424672656	0.0009998869402903	No	No
Q15768	EFNB3	-2.00805528484208	4.7035961144778096e-18	No	No
Q15828	CST6	-2.32168185106759	1.29997738871343e-07	No	No
Q15847	ADIRF	-2.1230695470926	2.87846822188112e-13	No	No
Q16143	SNCB	-1.18720151486401	1.4247909316966e-05	No	No
Q16270	IGFBP7	-2.21567928795099	1.1412233207835e-06	No	No
Q16719	KYNU	-1.1867157160779	8.501493155603e-27	No	No
Q16842	ST3GAL2	-1.16697149011834	0.0001938753479841	No	No
Q3C1V0	MS4A18	-1.30156620051042	0.0045607085042662	No	No
Q3SY77	UGT3A2	-1.35493772766317	1.00893940562815e-06	No	No
Q49AH0	CDNF	-1.1937898012647	0.0004096382638736	No	No
Q53TN4	CYBRD1	-1.04883657550829	5.4182137550671795e-12	No	No
Q5SRE7	PHYHD1	-1.59453143432657	9.33302247379591e-07	No	No
Q5SZK8	FREM2	-1.13196687637854	5.39571996816257e-05	No	No
Q5T2W1	PDZK1	-1.73330668002684	5.47716359734112e-31	No	No
Q5TAA0	TTC22	-1.36458805825342	9.97700610519871e-07	No	No
Q5TC79	ZBTB37	-5.6909329786098	1.3826039986540701e-17	No	No
Q5TF39	MFSD4B	-1.5138034448193	4.81310445236206e-05	No	No
Q5VTU8	ATP5F1EP2	-1.4032526320849	5.84093838042079e-05	No	No
Q5VWT5	FYB2	-1.99778871216686	5.684983974664771e-15	No	No
Q5VX52	SPATA1	-3.5469828249636	3.72607945897302e-24	No	No
Q5VYX0	RNLS	-1.75652483040386	9.481981774925941e-09	No	No
Q6AZY7	SCARA3	-1.31403560309682	0.0004070144557951	No	No
