Protein_Group	Genes	T47D_ResB_vs_T47D_logFC	T47D_ResB_vs_T47D_pval	Removed?	Contaminant?
Q86VE0	MYPOP	1.32763171435514	0.0004174435755819	No	No
Q86X51	EZHIP	1.68329344735756	7.33457476256316e-23	No	No
Q8IU68	TMC8	2.70389426017829	1.2521181432284e-13	No	No
Q8IVU3	HERC6	1.72249083247758	3.53986515618059e-06	No	No
Q8IXQ6	PARP9	1.69156953229357	8.8310947638791e-36	No	No
Q8IY21	DDX60	2.39966665938701	6.788847875497909e-22	No	No
Q8IYN0	ZNF100	1.0529766209797	1.85503351054252e-05	No	No
Q8N118	CYP4X1	1.29483066721307	4.487356075205711e-19	No	No
Q8N6N3	C1orf52	1.12999345307432	1.83543771558521e-19	No	No
Q8N9F0	NAT8L	1.34824433950682	1.1032275108677901e-14	No	No
Q8NBS3	SLC4A11	1.20142615641746	2.93246710912956e-05	No	No
Q8NDZ4	DIPK2A	1.34943989690396	1.26073783510549e-42	No	No
Q8NEG4	FAM83F	1.79939362200763	2.43298092239762e-20	No	No
Q8NFT2	STEAP2	2.29763087866323	2.70312311904634e-27	No	No
Q8NFX7	STXBP6	2.08878146820448	0.0003080713476662	No	No
Q8NHP1	AKR7L	1.0479242338029	1.27185284564117e-11	No	No
Q8TBN0	RAB3IL1	1.00718926316591	0.0007293202089185	No	No
Q8TCZ2	CD99L2	1.46229652780352	4.03085025512321e-24	No	No
Q8TDB6	DTX3L	1.67423090844344	2.23419840932399e-44	No	No
Q8TF71	SLC16A10	1.11369773459188	2.05362413307144e-05	No	No
Q8WUZ0	BCL7C	1.03625560163558	2.5005934564359397e-18	No	No
Q8WXF7	ATL1	1.48201776746148	1.26755716061163e-06	No	No
Q8WXK3	ASB13	1.07076006699848	0.0002889418294045	No	No
Q92597	NDRG1	2.13868762610513	1.20914186501079e-16	No	No
Q92686	NRGN	1.23025996880764	0.0026246072047714	No	No
Q92777	SYN2	1.55926140185952	0.0004116896638183	No	No
Q92985	IRF7	1.97203929918609	7.541904517000171e-09	No	No
Q93099	HGD	2.07824599003476	5.77821907822877e-12	No	No
Q969T4	UBE2E3	1.07776483818827	1.10676423487402e-08	No	No
Q96B97	SH3KBP1	1.84212959453147	2.62030728577781e-09	No	No
Q96C10	DHX58	1.06585444634652	5.52607553804733e-14	No	No
Q96C23	GALM	1.0474169589298	6.816401415510161e-14	No	No
Q96DN0	ERP27	2.42847105694365	4.22279056151216e-18	No	No
Q96EM0	L3HYPDH	1.39213355393061	2.2799867290972102e-15	No	No
Q96FS4	SIPA1	1.90832886980408	2.83473835491226e-16	No	No
Q96GY0	ZC2HC1A	4.67499218587281	3.44575603622474e-52	No	No
Q96H40	ZNF486	1.33146328709459	0.0001926775392941	No	No
Q96MK2	RIPOR3	3.765738923678	0.0007171940206359	No	No
Q96NY7	CLIC6	1.64446038653163	5.417718484708519e-11	No	No
Q96RK1	CITED4	1.13254017413299	2.14006054089738e-06	No	No
Q96RU7	TRIB3	1.52394823660903	0.0036706279713333	No	No
Q99489	DDO	1.38199141827937	0.0003554997900022	No	No
Q99576	TSC22D3	1.29551901866302	6.23232508842244e-06	No	No
Q99608	NDN	2.92374965779947	5.99871520133117e-07	No	No
Q99856	ARID3A	1.42236996536778	5.419961076712039e-12	No	No
Q9BW04	SARG	1.86701254392648	4.96355998264237e-08	No	No
Q9BX66	SORBS1	2.05134428358297	8.22877136674313e-20	No	No
Q9BY50	SEC11C	1.62691555856191	5.52929932523231e-30	No	No
Q9BYB4	GNB1L	1.31965602236462	1.30447295281273e-26	No	No
Q9BYK8	HELZ2	1.18540586810962	4.89156707130201e-24	No	No
Q9BYX4	IFIH1	1.29309559880417	1.7526753605383802e-21	No	No
Q9BZI1	IRX2	2.38074623772686	3.0306834391181e-18	No	No
Q9BZM6	ULBP1	1.59681201369335	7.12478011723426e-08	No	No
Q9C091	GREB1L	1.15596784143011	4.45940343075309e-05	No	No
Q9H257	CARD9	2.02013493548164	9.141259389812089e-16	No	No
Q9H320;Q9H321;Q9H322;Q9NNX9	VCX;VCX3B;VCX2;VCX3A	1.53338943570954	0.000185675368581	No	No
Q9H568	ACTL8	3.63527252378409	6.07558308291963e-20	No	No
Q9H7S9	ZNF703	1.57953239270312	9.31843099691343e-15	No	No
Q9H8P0	SRD5A3	1.02729739922295	0.0065558212428409	No	No
Q9HD47	RANGRF	1.50978342180466	0.0029631852183469	No	No
Q9NQ36	SCUBE2	2.04725465574375	1.6125272126655198e-26	No	No
Q9NRN5	OLFML3	4.58488785300905	4.59222512664818e-50	No	No
Q9NRZ5	AGPAT4	1.1043622986348	0.0004877373646027	No	No
Q9NUG6	PDRG1	1.00963649118801	1.45871084613843e-16	No	No
Q9NXC2	GFOD1	1.24255904964165	4.52570190280722e-13	No	No
Q9NZ71	RTEL1	1.25626972327761	3.65623772349344e-05	No	No
Q9NZC4	EHF	1.33731358359882	1.2532574687057398e-11	No	No
Q9P2F8	SIPA1L2	1.0815259718775	0.0004751671786064	No	No
Q9UEW8	STK39	1.21760719618266	2.24774690908657e-09	No	No
Q9UGT4	SUSD2	1.45902867450106	1.11220315521492e-14	No	No
Q9UHE8	STEAP1	4.35803981387119	7.638903473243351e-21	No	No
Q9UII4	HERC5	2.17596563569776	3.48504711978648e-08	No	No
Q9UJ42	GPR160	1.06650796112352	0.0002189411721649	No	No
Q9UK22	FBXO2	1.07947171935925	7.08739978533268e-14	No	No
Q9UMW8	USP18	1.85647053139829	4.923263249729719e-11	No	No
Q9UN67	PCDHB10	1.14003739161766	1.22618129212078e-06	No	No
Q9UPT6	MAPK8IP3	1.00878964050069	1.6367907044109199e-13	No	No
Q9UPW6	SATB2	1.12249657491509	0.0048490821080448	No	No
Q9UQC2	GAB2	1.49117120629204	6.50951854013666e-16	No	No
Q9UQV4	LAMP3	2.6202662885856	4.25817677587875e-19	No	No
Q9Y234	LIPT1	1.06114879189601	9.63542970005868e-06	No	No
Q9Y342	PLLP	1.08269597748983	0.0004585337089065	No	No
Q9Y6G1	TMEM14A	2.55684556767269	0.0018287308609493	No	No
Q9Y6K5	OAS3	1.2935076311549	7.37401715643468e-29	No	No
Q9Y6M1	IGF2BP2	3.05530715406146	6.93342482626367e-39	No	No
A1A4S6	ARHGAP10	-1.11906069663538	5.05159833451355e-08	No	No
A2A2Y4	FRMD3	-2.14055839244129	4.68096370011223e-05	No	No
A2RU49	HYKK	-1.0216199869563	5.6158551707119295e-11	No	No
A2RUS2	DENND3	-1.52511888819153	4.08371913030503e-05	No	No
A4D1S5	RAB19	-1.68988706878744	2.44159494829781e-37	No	No
A6NC05	C5orf63	-1.98855717608435	4.8413941378831e-07	No	No
A6NCQ9	RNF222	-2.30437772498584	1.75077522491849e-05	No	No
