Protein_Group	Genes	pLVX_mCDK6_OE_Tr_vs_pLVX_mCDK6_OE_logFC	pLVX_mCDK6_OE_Tr_vs_pLVX_mCDK6_OE_pval	Removed?	Contaminant?
Q12834	CDC20	-1.9177299145463	1.664705472923e-07	No	No
Q13111	CHAF1A	-1.00064394258396	1.40731003456844e-12	No	No
Q13112	CHAF1B	-1.12881784053009	7.22888688796798e-11	No	No
Q13257	MAD2L1	-1.01504709344469	4.48901057677519e-07	No	No
Q13309	SKP2	-1.33564962111618	8.58621223328512e-07	No	No
Q13506	NAB1	-1.72447479041117	5.37437062128271e-06	No	No
Q14674	ESPL1	-1.51512959754294	1.87784464888159e-05	No	No
Q14691	GINS1	-1.00611620734101	2.61394582099702e-08	No	No
Q14807	KIF22	-1.76318163228918	3.83674712762291e-09	No	No
Q15003	NCAPH	-1.31308320160632	6.686145666547021e-15	No	No
Q15004	PCLAF	-1.66491025969853	0.0001108226267257	No	No
Q15021	NCAPD2	-1.3841114942498	1.2297114565169201e-15	No	No
Q15058	KIF14	-1.4300855104371	1.18209591748015e-10	No	No
Q15170	TCEAL1	-1.31273824084174	0.0059331765060565	No	No
Q15398	DLGAP5	-1.18125845193198	5.02082898625054e-06	No	No
Q15468	STIL	-1.091611211238	4.20930989657467e-05	No	No
Q15828	CST6	-1.29382909636053	0.0087779218498509	No	No
Q16667	CDKN3	-1.20717672756581	0.0006710797838617	No	No
Q16763	UBE2S	-1.51189085781127	1.01185889199224e-07	No	No
Q1ZZU3	SWI5	-1.3388870625216	0.0005193267315082	No	No
Q53EQ6	TIGD5	-1.46148301888287	0.0016542463908354	No	No
Q53EZ4	CEP55	-1.15189102545532	2.58928242991109e-05	No	No
Q53HL2	CDCA8	-1.53688081080203	3.25776360754044e-05	No	No
Q56NI9	ESCO2	-1.12888262460368	0.0030128440286358	No	No
Q5FBB7	SGO1	-1.88207830903555	1.6912600492060999e-13	No	No
Q5T7B8	KIF24	-2.36103186643005	5.61985118877101e-05	No	No
Q5TB30	DEPDC1	-1.46964758774436	0.000184916736989	No	No
Q5XXA6	ANO1	-1.13765367101351	0.0001686069137651	No	No
Q69YH5	CDCA2	-1.33045990933493	1.40787087431255e-06	No	No
Q6IBW4	NCAPH2	-1.23843607718732	1.82880882873655e-18	No	No
Q6P0N0	MIS18BP1	-1.31888550335511	7.24099218066845e-10	No	No
Q6P4F7	ARHGAP11A	-1.42262282924848	3.37082040759005e-05	No	No
Q6PGN9	PSRC1	-1.5883886249834	1.61758528628088e-05	No	No
Q6PJP8	DCLRE1A	-1.20497613983603	0.0073783668311261	No	No
Q6PL18	ATAD2	-1.33398513503002	1.49030552813e-19	No	No
Q6SJ93	FAM111B	-1.10135899923687	0.0013754881989636	No	No
Q6TDU7	CFAP94	-3.2789346733532	2.91314583159084e-18	No	No
Q6UVK1	CSPG4	-1.60505111499941	3.39112548574632e-06	No	No
Q6YHK3	CD109	-1.10855048395042	0.0056156891721596	No	No
Q6ZRQ5	MMS22L	-1.01069497859542	2.30696319967338e-10	No	No
Q6ZVX7	NCCRP1	-1.36995835717616	0.0011362860942026	No	No
Q71F23	CENPU	-1.08662692506709	7.68535767716686e-08	No	No
