Protein_Group	Genes	cMyc_OE_Tr_vs_cMyc_OE_logFC	cMyc_OE_Tr_vs_cMyc_OE_pval	Removed?	Contaminant?
P26583	HMGB2	-1.01012345234146	3.1625320281610098e-18	No	No
P26992	CNTFR	-1.36141554467877	0.0002633780876761	No	No
P31350	RRM2	-1.44645097371404	0.0001561213295093	No	No
P35638	DDIT3	-2.01962613419782	3.0129342347556804e-09	No	No
P40199	CEACAM6	-1.7610214434175	1.45742463839883e-05	No	No
P49450	CENPA	-1.1019131472155	1.78401955436172e-06	No	No
P50219	MNX1	-1.12676413428189	0.0004632324269542	No	No
P56270	MAZ	-1.04365431018202	1.94297854727165e-12	No	No
P78549	NTHL1	-1.02037169728435	1.3123007179349e-05	No	No
Q00887	PSG9	-1.15555136823909	0.0003447831010546	No	No
Q01664	TFAP4	-1.00402451264071	0.0051687108514405	No	No
Q02535	ID3	-1.25159299604893	0.0057154190006954	No	No
Q05D32	CTDSPL2	-1.04991978111488	9.882586004336612e-31	No	No
Q12815	TROAP	-1.70411791247487	8.87874819506414e-06	No	No
Q13103	SPP2	-3.28313685903839	0.0001019811785261	No	No
Q14807	KIF22	-1.68945769943658	1.27090705081e-08	No	No
Q14CB8	ARHGAP19	-1.11542124840944	2.65829322408701e-07	No	No
Q15468	STIL	-1.08348463981086	4.73763491785746e-05	No	No
Q15742	NAB2	-1.04031724882813	1.24576355072185e-12	No	No
Q16670	ZSCAN26	-1.10881644778451	2.64249757684629e-07	No	No
Q56A73	SPIN4	-1.16189032373028	7.226605416056799e-12	No	No
Q56NI9	ESCO2	-1.24414067939577	0.0011519418972382	No	No
Q5D0E6	DALRD3	-1.15636707850127	5.239141109800539e-11	No	No
Q5FBB7	SGO1	-1.07464559947033	2.55200813641742e-06	No	No
Q5XXA6	ANO1	-1.07501060852338	0.0003553965595916	No	No
Q6P2D0	ZFP1	-1.11669969840075	0.0019331526839926	No	No
Q6PL18	ATAD2	-1.18123895466367	5.8873256860841e-17	No	No
Q6UVK1	CSPG4	-1.36720249750347	5.62017898206004e-05	No	No
Q7L266	ASRGL1	-1.32848256239554	0.0012800623925543	No	No
Q7L2K0	TEDC2	-1.05883754165119	0.0003206491082448	No	No
Q7Z591	AKNA	-1.5204617558879	2.66532538663709e-07	No	No
Q86XK3	SFR1	-1.16606099086805	2.00614452475607e-05	No	No
Q86Y91	KIF18B	-1.41760576587311	6.70925707311574e-07	No	No
Q8IVG5	SAMD9L	-1.58095919790749	2.7046507059193e-05	No	No
Q8IYA6	CKAP2L	-1.15247782360504	0.0081845822934386	No	No
Q8IYW5	RNF168	-1.47437966030541	9.96560017102455e-10	No	No
Q8IZ13	ZBED8	-1.40366407051789	0.0001926034300962	No	No
Q8N196	SIX5	-1.06629799698098	0.0040722475927667	No	No
Q8NEM1	ZNF680	-1.68524865450496	0.0062639464899369	No	No
Q8TCN5	ZNF507	-1.17308816295073	0.0023971143919331	No	No
Q8WUU4	ZNF296	-1.14839460117397	0.0080875390997098	No	No
Q92522	H1-10	-1.22285326469669	5.394981408951371e-19	No	No
Q96BR9	ZBTB8A	-1.37436640119289	8.6884962856324e-08	No	No
Q96FF9	CDCA5	-1.44799947830064	7.51537371198582e-05	No	No
Q96GD4	AURKB	-1.1107873612204	0.0007578926596919	No	No
Q96RV3	PCNX1	-1.78939108865246	9.31598127943867e-05	No	No
Q99618	CDCA3	-1.15779983965464	0.0001100243710703	No	No
Q99675	CGRRF1	-1.03399692879668	0.0003257552764046	No	No
Q9BT04	FUZ	-4.83290151461706	9.14545799205793e-33	No	No
Q9BTV7	CABLES2	-1.69134459679555	0.0001203888059273	No	No
Q9BW19	KIFC1	-1.33167973757515	3.85648336794459e-06	No	No
Q9BWT6	MND1	-1.30588661200401	5.94682157701814e-05	No	No
Q9BXS6	NUSAP1	-1.09606536499698	0.0059323330080459	No	No
Q9C026	TRIM9	-1.98662871999054	5.34086797296043e-10	No	No
Q9C0K1	SLC39A8	-1.53407637639755	8.30576761788203e-05	No	No
Q9H228	S1PR5	-1.00014781838655	0.0007170278350781	No	No
Q9H8L6	MMRN2	-1.43301138224535	1.47918691551979e-05	No	No
Q9H967	WDR76	-1.5540698143017	9.75693806838035e-07	No	No
Q9NQS7	INCENP	-1.17199189970371	1.37544236172793e-05	No	No
Q9NS37	CREBZF	-1.96864619088282	7.79906682958048e-06	No	No
Q9P2W1	PSMC3IP	-1.43149389759481	1.33192798321774e-06	No	No
Q9UKT4	FBXO5	-1.32373955411417	1.19013070309052e-07	No	No
Q9ULW0	TPX2	-1.05065470072659	0.0009240922592352	No	No
Q9UPG8	PLAGL2	-2.78557648115771	3.71034516220611e-06	No	No
