Protein_Group	Genes	LCv2_EV_Blast_Tr_vs_LCv2_EV_Blast_logFC	LCv2_EV_Blast_Tr_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
O00762	UBE2C	-2.57157726910478	9.101668682445021e-20	No	No
O14578	CIT	-1.88967313815764	8.26168324741137e-31	No	No
O14613	CDC42EP2	-1.0389987479545	8.89972104376033e-05	No	No
O14732	IMPA2	-1.28156245110557	1.11290225213764e-24	No	No
O14757	CHEK1	-1.72538090610917	4.54806947676642e-26	No	No
O14777	NDC80	-2.62810662296089	8.2630948047605e-23	No	No
O14965	AURKA	-2.37724914593324	2.39696178238225e-27	No	No
O14975	SLC27A2	-1.28322037482551	2.20978315174849e-20	No	No
O15287	FANCG	-1.65236269589855	6.07847033546097e-20	No	No
O15297	PPM1D	-1.16193429258751	1.14167532403934e-09	No	No
O15304	SIVA1	-1.24795927647174	1.03633736072063e-09	No	No
O15350	TP73	-1.85277675824197	9.682446999282239e-34	No	No
O15360	FANCA	-1.67568994074411	3.8236854205229404e-17	No	No
O15392	BIRC5	-3.45345807448055	7.4378958317877e-21	No	No
O43248	HOXC11	-1.09435085932823	2.3431187409817497e-12	No	No
O43379	WDR62	-2.35771458372867	1.47493994694518e-32	No	No
O43463	SUV39H1	-1.88521716721816	2.27576726835893e-32	No	No
O43482	OIP5	-1.13275307242049	1.03689866465542e-20	No	No
O43502	RAD51C	-1.30527028978823	2.05733320265083e-21	No	No
O43542	XRCC3	-1.27402599936856	8.63597554408734e-19	No	No
O43663	PRC1	-2.72111593826789	5.38013932051898e-27	No	No
O43683	BUB1	-1.70575610225398	1.5405689966992799e-18	No	No
O60427	FADS1	-1.15347116999505	3.30571933403777e-29	No	No
O75330	HMMR	-2.60574804333895	4.14175348540433e-23	No	No
O75419	CDC45	-2.32139473505691	8.00012528003528e-22	No	No
O75446	SAP30	-1.34725509034401	4.65306806976683e-31	No	No
O75461	E2F6	-1.25584302721696	1.51197616990516e-13	No	No
O75462	CRLF1	-1.31768836784679	3.10741012309723e-07	No	No
O75496	GMNN	-2.41726812368376	9.75790598996384e-27	No	No
O75717	WDHD1	-1.43216689409178	7.33598547160852e-34	No	No
O75764	TCEA3	-1.77246769832652	2.03979417365042e-46	No	No
O75771	RAD51D	-1.65559132870579	1.74981461779791e-07	No	No
O94761	RECQL4	-1.84158688823352	2.7324132664511298e-36	No	No
O94782	USP1	-1.34794082070582	1.96106694641991e-26	No	No
O95067	CCNB2	-2.68016323385006	1.4539636533897102e-25	No	No
O95229	ZWINT	-1.53454429325055	1.9783951590410702e-20	No	No
O95235	KIF20A	-3.07440205635229	2.16476459975184e-24	No	No
O95239	KIF4A	-2.86838141214781	2.00087105654894e-34	No	No
O95347	SMC2	-1.34413745995955	4.69707475523923e-41	No	No
O95997	PTTG1	-2.99432647755911	6.50129832960688e-36	No	No
O96006	ZBED1	-1.06539391229528	8.28091756093904e-14	No	No
O96020	CCNE2	-1.50976390570305	5.53696817439239e-15	No	No
O96028	NSD2	-1.8200677914628	1.01017936419174e-36	No	No
P00374	DHFR	-2.57443459440034	9.055487852091439e-18	No	No
P02795	MT2A	-1.31749816681876	3.4842643482965195e-11	No	No
P04183	TK1	-2.66062817296091	1.14835216310511e-22	No	No
P04216	THY1	-1.23185824489387	1.0402897210202501e-17	No	No
P04818	TYMS	-3.2741511817652	5.82009691434097e-24	No	No
P06493	CDK1	-2.13118910770529	3.4413012916907795e-36	No	No
P09884	POLA1	-1.41539387545289	7.87443421509113e-40	No	No
P10244	MYBL2	-2.10946258292652	5.4162611699878505e-21	No	No
P11388	TOP2A	-2.57961648840633	1.91922985345457e-26	No	No
P11474	ESRRA	-1.07658707860057	2.50290313184723e-24	No	No
P12004	PCNA	-1.35350679162961	1.28093861993197e-35	No	No
P14635	CCNB1	-2.99978581948382	3.95026978648582e-21	No	No
P16401	H1-5	-1.26070335234235	9.47241814176618e-51	No	No
P16402	H1-3	-2.52326073348263	2.91945104594985e-41	No	No
P16403	H1-2	-1.73174173125683	4.86340160552098e-41	No	No
P16949	STMN1	-1.4200152233039	4.41518139091806e-36	No	No
P17707	AMD1	-1.02040008092937	2.22875847970924e-06	No	No
P18858	LIG1	-1.49819278788001	3.6275568383661304e-31	No	No
P19544	WT1	-2.5186855564558	1.6633661890773202e-15	No	No
P20248	CCNA2	-2.40159474325603	2.29771413274794e-29	No	No
P20265	POU3F2	-2.09850928794002	7.5885607507558e-13	No	No
P23527	H2BC17	-1.45309068857748	1.06660896192175e-08	No	No
P23921	RRM1	-1.07539560013959	2.69977348042339e-31	No	No
P26358	DNMT1	-1.44191193173558	2.35285118306938e-43	No	No
P26583	HMGB2	-1.28111330134326	4.49677720451079e-39	No	No
P28340	POLD1	-1.11793376465494	3.2087003270917e-39	No	No
P28749	RBL1	-1.51109108683263	4.6144004255175305e-21	No	No
P30291	WEE1	-1.24161097372309	6.83325907569851e-14	No	No
P30305	CDC25B	-2.64425773907808	1.65041296820675e-29	No	No
P30307	CDC25C	-1.86845500374471	5.61384481973482e-18	No	No
P30793	GCH1	-1.2766512523761	2.4615822155924e-09	No	No
P30825	SLC7A1	-1.19559368056365	3.02221100010686e-27	No	No
P31274	HOXC9	-1.09966310955365	4.8637357816704e-05	No	No
P31350	RRM2	-2.62072448847018	2.5614864499311502e-20	No	No
P33316	DUT	-2.06799633559478	2.02548624870824e-37	No	No
P33552	CKS2	-2.20721453792056	4.57415220059297e-22	No	No
P33991	MCM4	-1.1018478306705	3.96281616026194e-40	No	No
P33993	MCM7	-1.04729501013439	3.7105897588960794e-36	No	No
P36383	GJC1	-1.54230695998275	7.08806401315593e-08	No	No
P38398	BRCA1	-1.41210577446151	1.9934676227921e-21	No	No
P39748	FEN1	-1.09512884138861	7.26014569189399e-30	No	No
P41002	CCNF	-2.04998080277014	1.34185287896017e-22	No	No
P41440	SLC19A1	-1.04023665078786	1.23328317845948e-12	No	No
P42166	TMPO	-1.27247748357312	3.9706274298522795e-62	No	No
P42575	CASP2	-1.28039707345556	1.55295962251731e-26	No	No
P42695	NCAPD3	-1.66872490426147	1.4050794066828399e-40	No	No
P43007	SLC1A4	-1.13599270157467	3.00685273087733e-33	No	No
P46013	MKI67	-2.84944183954068	8.87671883611906e-25	No	No
P49005	POLD2	-1.05532747963574	1.8807615186647198e-33	No	No
P49454	CENPF	-2.60450332827933	2.6336178559064602e-31	No	No
P49638	TTPA	-1.63358783187377	3.74702850538768e-09	No	No
P49642	PRIM1	-1.80592769063521	7.00984960131453e-34	No	No
P49643	PRIM2	-1.46448418034781	7.765374188505491e-31	No	No
P49736	MCM2	-1.10047839414949	1.5829448174732e-40	No	No
P50219	MNX1	-1.30150078012023	1.92534470600501e-10	No	No
P51530	DNA2	-1.85464147551394	4.94085996926835e-22	No	No
P51587	BRCA2	-1.14591027206538	2.2006333437477202e-15	No	No
P51955	NEK2	-2.19613162515002	1.6822188105847e-33	No	No
P52292	KPNA2	-1.07795862761493	4.850743768097129e-28	No	No
P52732	KIF11	-2.34204279718334	1.50888245010107e-24	No	No
P53350	PLK1	-2.66575841522345	1.68029083064661e-26	No	No
P54132	BLM	-1.88825273665901	2.88192685070598e-34	No	No
P56270	MAZ	-1.37989928193105	2.8289015349132302e-31	No	No
P56282	POLE2	-1.74899411832342	2.2897627538827597e-30	No	No
P57087	JAM2	-1.31261006388081	1.08858416787205e-08	No	No
P59796	GPX6	-2.54609847853388	2.62560463372205e-26	No	No
P61024	CKS1B	-2.00396532537572	1.58987978791662e-25	No	No
P78415	IRX3	-1.04795336675066	1.27521626195492e-05	No	No
P78549	NTHL1	-1.47856842366592	7.5754037521897905e-19	No	No
P81274	GPSM2	-1.32327132292085	4.24350348528774e-09	No	No
Q01664	TFAP4	-2.51273055194803	2.54546973803744e-20	No	No
Q02224	CENPE	-1.71046055858192	3.05935889355579e-27	No	No
Q02241	KIF23	-2.21103107455241	6.758365131600021e-38	No	No
Q03014	HHEX	-1.03569922736553	0.0007305532959414	No	No
Q05D32	CTDSPL2	-1.67840967953416	1.3456459261586398e-62	No	No
Q06609	RAD51	-1.98101586079658	2.0358985222416498e-18	No	No
Q07864	POLE	-1.35185991434488	4.07102682823966e-39	No	No
Q08050	FOXM1	-1.10235066272417	3.83863592060052e-07	No	No
Q12778	FOXO1	-1.08123607074437	0.0001986744348659	No	No
Q12815	TROAP	-2.93952436552714	2.06216941860751e-23	No	No
Q12834	CDC20	-2.90535669467197	6.57525263407487e-25	No	No
Q13111	CHAF1A	-1.454397440439	3.10632925884688e-34	No	No
Q13112	CHAF1B	-1.76899876572506	3.26898167949739e-33	No	No
Q13115	DUSP4	-1.01339380770395	6.19996928286724e-05	No	No
Q13257	MAD2L1	-1.4081477797327	1.08783161578818e-21	No	No
Q13309	SKP2	-2.04571198085245	2.2517889273602e-23	No	No
Q13352	ITGB3BP	-1.37573477302783	1.54694911590636e-08	No	No
Q13415	ORC1	-1.01270454932014	5.29815859705765e-25	No	No
Q13487	SNAPC2	-1.01681915258594	6.80664486112363e-10	No	No
Q13506	NAB1	-1.14878012268206	2.62962418414634e-07	No	No
Q14181	POLA2	-1.42676269279564	8.15658170074013e-32	No	No
Q14207	NPAT	-1.03557470364448	1.31267963790853e-22	No	No
Q14566	MCM6	-1.11908423725764	2.5537494261525897e-40	No	No
Q14674	ESPL1	-2.78924359121991	5.6158414522873604e-24	No	No
Q14676	MDC1	-1.14006556656918	2.42364333107159e-54	No	No
Q14680	MELK	-1.09625317040031	1.04575429280873e-14	No	No
Q14691	GINS1	-1.30603111104374	6.82719040673356e-23	No	No
Q14781	CBX2	-1.19410560285553	6.79622296475423e-27	No	No
Q14807	KIF22	-3.09578728889693	8.20449614744596e-33	No	No
Q14CB8	ARHGAP19	-1.97045776584171	1.98842238302504e-28	No	No
Q15003	NCAPH	-1.88872760625085	7.44651534882139e-38	No	No
Q15004	PCLAF	-3.25021433621931	1.20455006455799e-22	No	No
Q15021	NCAPD2	-1.96189213330589	1.39398472272163e-38	No	No
Q15054	POLD3	-1.20466621176615	1.07235240383505e-32	No	No
Q15058	KIF14	-1.98830333728517	2.01265879198145e-29	No	No
Q15398	DLGAP5	-1.78136157081035	6.36464857958633e-21	No	No
Q15468	STIL	-2.20855254955096	3.9524888398314e-25	No	No
Q15742	NAB2	-1.11660546128954	6.130489051634709e-26	No	No
Q15910	EZH2	-1.03956654618454	8.416113587513441e-35	No	No
Q16533	SNAPC1	-1.17583062076487	1.32332570077264e-13	No	No
Q16667	CDKN3	-2.21669679201405	4.4209423611969395e-18	No	No
Q16763	UBE2S	-2.25303993346647	5.183709839745161e-25	No	No
Q1ZZU3	SWI5	-1.2718892034288	6.86372618794028e-08	No	No
Q2I0M4	LRRC26	-1.22417105336063	1.60816681421532e-08	No	No
Q2KHR3	QSER1	-1.04695613127498	1.2230671639017299e-33	No	No
Q2NKX8	ERCC6L	-1.17495391320465	3.4245932933669497e-22	No	No
Q53EZ4	CEP55	-2.06037976780349	8.49064425278385e-23	No	No
Q53HL2	CDCA8	-2.83201446437833	3.48512558804871e-23	No	No
Q562F6	SGO2	-1.55236062529229	3.62005164188549e-21	No	No
Q56A73	SPIN4	-1.63359161263598	5.303705553604501e-32	No	No
Q56NI9	ESCO2	-2.20085189264203	2.57832902869548e-16	No	No
Q5FBB7	SGO1	-2.80337651224496	1.45484327305322e-36	No	No
Q5JUR7	TEX30	-1.12215620724165	8.322552274792871e-17	No	No
Q5T6S3	PHF19	-2.09249021568043	4.64194784735071e-27	No	No
Q5UIP0	RIF1	-1.38163690521785	8.1189162959343e-54	No	No
Q5XXA6	ANO1	-1.51484544840177	6.08096825990134e-14	No	No
Q68D06	SLFN13	-1.37972289349218	4.56514920074053e-19	No	No
Q68D85	NCR3LG1	-1.19046745300516	2.82847222343536e-23	No	No
Q69YH5	CDCA2	-1.91160106828481	2.81609031382361e-21	No	No
Q6IBW4	NCAPH2	-1.78291513878801	2.55664015622924e-43	No	No
Q6IE81	JADE1	-1.40484748879888	1.2182131282444799e-26	No	No
Q6IPU0	CENPP	-1.36824937436139	2.2351997390848e-13	No	No
Q6P0N0	MIS18BP1	-2.13837119694197	3.91071718286738e-32	No	No
Q6P4F7	ARHGAP11A	-1.96298470949048	1.18387067906797e-16	No	No
Q6PGN9	PSRC1	-2.47407584307113	3.43534162888134e-20	No	No
