Protein_Group	Genes	T47D_ResC_vs_T47D_logFC	T47D_ResC_vs_T47D_pval	Removed?	Contaminant?
Q8NFT2	STEAP2	1.48814579308068	5.2362365047625e-17	No	No
Q8NFX7	STXBP6	1.72388500191326	0.0025572405413807	No	No
Q8TC76	FAM110B	1.39037226836344	1.12403278178475e-08	No	No
Q8TCZ2	CD99L2	1.18429845738396	3.80006562471807e-19	No	No
Q8TF66	LRRC15	1.45492578401592	2.15684901787751e-07	No	No
Q8TF71	SLC16A10	1.03153895666189	7.0261626001779e-05	No	No
Q92597	NDRG1	1.41135316630067	1.0101628015669202e-09	No	No
Q92686	NRGN	1.11122277309661	0.0063032797122912	No	No
Q92985	IRF7	1.11000706564762	0.0004797743481952	No	No
Q93084	ATP2A3	1.02557481211567	2.7419902339102e-38	No	No
Q93099	HGD	1.92751059540344	7.95950246105329e-11	No	No
Q969T4	UBE2E3	1.08271155920653	9.75602232703531e-09	No	No
Q96B97	SH3KBP1	1.19742636025222	3.80575891266119e-05	No	No
Q96DN0	ERP27	2.21091903027786	3.5496645582312397e-16	No	No
Q96FS4	SIPA1	1.96640686162131	7.09415253867151e-17	No	No
Q96GM1	PLPPR2	1.37818455417418	0.0031226806854596	No	No
Q96GY0	ZC2HC1A	2.69273543811427	4.96397984104442e-35	No	No
Q96H40	ZNF486	1.3670399292611	0.0001337718076312	No	No
Q96NY7	CLIC6	1.42189857722846	5.0039178652208305e-09	No	No
Q96P15	SERPINB11	2.00789703277952	1.74164684117839e-08	No	No
Q96PM9	ZNF385A	1.01055096792984	2.03237662708442e-35	No	No
Q96RK1	CITED4	1.18949520820039	7.61418885157025e-07	No	No
Q99608	NDN	2.8514912382772	1.03384308650603e-06	No	No
Q99784	OLFM1	1.01568085827048	1.74229301163519e-05	No	No
Q99856	ARID3A	1.18950876536933	1.96114229507651e-09	No	No
Q99985	SEMA3C	1.18875662052281	1.46401625001601e-11	No	No
Q9BW04	SARG	1.56793254100237	2.61715781053229e-06	No	No
Q9BX66	SORBS1	1.94221546531029	1.3226581778719e-18	No	No
Q9BY50	SEC11C	1.26977902104045	1.8057520992027e-23	No	No
Q9BYB4	GNB1L	1.02878255801801	1.8172292867816e-20	No	No
Q9BZI1	IRX2	2.34246264850652	6.6974865568457895e-18	No	No
Q9BZJ4	SLC25A39	1.30279784719035	9.177313420598851e-09	No	No
Q9H257	CARD9	1.57048649857713	2.0463407996327298e-11	No	No
Q9H568	ACTL8	3.10197058675876	1.4712684154755199e-16	No	No
Q9H7S9	ZNF703	1.67038441898759	8.09954496216718e-16	No	No
Q9H816	DCLRE1B	1.1731824941093	4.02531678997011e-05	No	No
