Protein_Group	Genes	TP53_sg_#3_Tr_vs_TP53_sg_#3_logFC	TP53_sg_#3_Tr_vs_TP53_sg_#3_pval	Removed?	Contaminant?
Q6UXH9	PAMR1	1.03433221781169	1.03721153797849e-23	No	No
Q6UXI9	NPNT	1.30999801082822	0.0002756830216029	No	No
Q6ZV29	PNPLA7	1.06871551322531	4.46222238677701e-07	No	No
Q76KP1	B4GALNT4	1.06332051689732	0.0003279179825989	No	No
Q7L311	ARMCX2	1.3199324048609	1.54689982471222e-13	No	No
Q86VD7	SLC25A42	1.11093851384754	2.7885254170945996e-12	No	No
Q86VV4	RANBP3L	1.12399033597132	4.2724808295385e-05	No	No
Q86WU2	LDHD	1.05276204460488	1.35257542550864e-30	No	No
Q86WV1	SKAP1	1.421487803495	0.0001267932707916	No	No
Q86YB7	ECHDC2	1.18698975631313	0.0001180209317118	No	No
Q86Z02	HIPK1	1.10746795049903	0.001810717157274	No	No
Q8IVI9	NOSTRIN	1.08660238819412	5.13098767068549e-07	No	No
Q8IVU3	HERC6	2.42567618032	1.59759862451743e-08	No	No
Q8IWP9	CCDC28A	1.20449598682435	0.0002844944237406	No	No
Q8IWU6	SULF1	1.27353509410845	0.0040583878861623	No	No
Q8IWW8	ADHFE1	1.53895594586129	1.24315134427353e-12	No	No
Q8IWY4	SCUBE1	1.10155859260131	0.0093079081867124	No	No
Q8IY63	AMOTL1	1.55718551612275	1.52653503775751e-06	No	No
Q8IYL2	TRMT44	1.10990683475096	0.003620244773378	No	No
Q8IZJ3	CPAMD8	1.23459728264364	5.15699330119236e-08	No	No
Q8N370	SLC43A2	1.44052595119072	6.866180867452739e-16	No	No
Q8N3V7	SYNPO	2.48023785292342	1.88132179769889e-10	No	No
Q8N441	FGFRL1	1.65525938425943	0.00405412726144	No	No
Q8N5J2	MINDY1	1.36334979681933	1.06545659754524e-29	No	No
Q8N6N6	NATD1	1.22936660901043	3.6854181432780604e-14	No	No
Q8N7X4	MAGEB6	3.22876950024302	1.72951890612035e-12	No	No
Q8N957	ANKFN1	1.08660980132772	0.0010583662920991	No	No
Q8NAT2	TDRD5	2.31372009202375	4.24949826790562e-07	No	No
Q8NBV8	SYT8	1.17350340381775	8.39212584739241e-05	No	No
Q8NG27	PJA1	1.33111891855153	0.0001004986946706	No	No
Q8NG66	NEK11	1.76213049406771	1.11640714428191e-06	No	No
Q8TB45	DEPTOR	1.69876447154294	1.24468249454918e-18	No	No
Q8TDI0	CHD5	1.15523593313214	3.41866862364436e-05	No	No
Q8TF66	LRRC15	1.19849193099197	7.0818435135703e-05	No	No
Q8WVV4	POF1B	1.3280124090823	2.41605022587899e-13	No	No
Q8WW38	ZFPM2	1.00976404031138	0.0016972737545128	No	No
Q92597	NDRG1	1.54201179582228	1.8876918751246903e-09	No	No
Q92777	SYN2	1.60928582387436	0.0010155076899087	No	No
Q92963	RIT1	1.01611864757881	0.0019315809993361	No	No
Q95460	MR1	1.11252954818238	0.000182964962667	No	No
Q96AD5	PNPLA2	1.07086460316301	1.9435945825274e-10	No	No
Q96AZ6	ISG20	1.98369632706513	1.52430536917951e-06	No	No
Q96DA0	ZG16B	1.94791694249551	1.2108670012112e-06	No	No
Q96EE4	CCDC126	1.16354472047521	3.7296444210699e-06	No	No
Q96F05	C11orf24	1.03026403868885	0.0014266412147105	No	No
Q96FE7	PIK3IP1	1.22702453512439	0.0012010043999628	No	No
Q96FL8	SLC47A1	1.39280182180344	3.22107945858621e-07	No	No
Q96FL9	GALNT14	2.50563237033224	1.11746066393483e-05	No	No
Q96NY7	CLIC6	1.8480152098403	4.21981780662181e-11	No	No
Q96QE2	SLC2A13	1.36710688718836	3.21710038971286e-06	No	No
Q96QP1	ALPK1	1.37120793973245	9.04513120144778e-07	No	No
Q99489	DDO	1.38311109042684	0.0012451483299972	No	No
Q99574	SERPINI1	2.45770014241873	8.03160134283981e-32	No	No
Q99758	ABCA3	1.14977300656768	1.56070487540648e-29	No	No
Q99828	CIB1	1.04085106452798	9.85018428179247e-14	No	No
Q9BQR3	PRSS27	1.46440981815917	9.508956904352e-09	No	No
Q9BQT9	CLSTN3	1.56186489514174	8.0852256791545e-07	No	No
Q9BXI9	C1QTNF6	1.03523097219798	0.0005979565943662	No	No
Q9BY67	CADM1	1.04047985175761	2.28466450714409e-16	No	No
Q9BY76	ANGPTL4	1.09707792667037	0.0059105741519201	No	No
Q9BZD2	SLC29A3	1.5856290550692	0.0002742749609003	No	No
Q9C035	TRIM5	1.01622388482537	1.0507553135650301e-09	No	No
Q9C0K1	SLC39A8	1.2441017117831	0.0011787825404021	No	No
Q9H2G4	TSPYL2	1.06264903414046	0.0001981399714963	No	No
Q9H841	NIPAL2	1.58453344782138	3.84177304039041e-05	No	No
Q9HAH1	ZNF556	1.13325920954133	5.2269524419821e-08	No	No
Q9HCM1	RESF1	1.83806596827802	0.0066932759583433	No	No
Q9NP74	PALMD	1.03389070987959	6.37933155015485e-05	No	No
Q9NPE6	SPAG4	1.4096507844645	0.0014349584798444	No	No
Q9NQ40	SLC52A3	1.21437636498934	0.0076424970479979	No	No
Q9NQX7	ITM2C	1.11085423986751	4.33902479276473e-05	No	No
Q9NR34	MAN1C1	1.32185432095853	4.32268388688724e-08	No	No
Q9NRH3	TUBG2	1.15724336642238	2.7241568709124e-06	No	No
Q9NRN5	OLFML3	1.08530407490234	8.080144964824649e-11	No	No
Q9NRZ5	AGPAT4	1.78135304615869	1.20194849492394e-06	No	No
Q9NS37	CREBZF	1.16740201587229	0.005761133761219	No	No
Q9NTN9	SEMA4G	1.13362568211561	5.94962667197084e-10	No	No
Q9NX09	DDIT4	1.49282382613838	0.003075226170445	No	No
Q9NYT0	PLEK2	2.04075997062885	1.34004210280942e-07	No	No
Q9NZV1	CRIM1	1.03699960446438	0.0004013773818184	No	No
Q9P2H5	USP35	1.33650093559669	4.2105066723135704e-09	No	No
Q9UDR5	AASS	1.06637193341841	7.19659187750468e-05	No	No
Q9UI42	CPA4	1.10599532575041	0.0009803417842897	No	No
Q9UKC9	FBXL2	1.01114404108367	1.87261645987567e-07	No	No
Q9UKK3	PARP4	1.06944118963465	1.54953099031601e-06	No	No
Q9ULD0	OGDHL	1.08115388234582	6.919854766510461e-14	No	No
Q9ULK6	RNF150	1.76301120528012	1.20329224870128e-07	No	No
Q9ULL4	PLXNB3	1.09576589235065	2.18752450710295e-13	No	No
Q9ULM0	PLEKHH1	1.39798317988364	1.6864786672879302e-09	No	No
Q9UPT6	MAPK8IP3	1.06631100441411	1.32883736665371e-12	No	No
Q9Y234	LIPT1	1.02265458600072	0.0001041793159989	No	No
Q9Y5L2	HILPDA	1.11652231785481	0.0028174011805934	No	No
Q9Y5Q0	FADS3	1.09072985150362	0.0004198332187911	No	No
A8MT69	CENPX	-1.33507336209322	1.41932917063345e-08	No	No
B3KNS4	ERVK3-1	-1.03837778244433	4.13121133328025e-07	No	No
O00311	CDC7	-1.4621540050126	3.37240306363068e-10	No	No
O00458	IFRD1	-1.42464310130914	7.91898265269162e-05	No	No
O00762	UBE2C	-1.63043111660654	2.74837574978902e-05	No	No
O14495	PLPP3	-1.30733728472963	5.05216003479843e-05	No	No
O14578	CIT	-1.55076998279833	1.5681816092558099e-13	No	No
O14732	IMPA2	-1.18387421366961	1.0332581807198199e-11	No	No
O14757	CHEK1	-1.37352526317518	2.5554140962721e-10	No	No
O14777	NDC80	-1.92272612448921	1.05917718730885e-07	No	No
O14965	AURKA	-1.57680444490324	1.34906546541667e-08	No	No
O15287	FANCG	-1.40081204161041	5.64167850244066e-08	No	No
O15304	SIVA1	-1.49526655103878	7.60383828805355e-06	No	No
O15350	TP73	-2.1380923243935	7.75517447055238e-23	No	No
O15360	FANCA	-1.29336417816014	7.42179132968206e-06	No	No
O15392	BIRC5	-1.96863920111957	6.96446654871209e-05	No	No
O15455	TLR3	-1.12064753296627	3.86434798144837e-07	No	No
O43379	WDR62	-1.75447661423702	6.47313857507281e-13	No	No
O43463	SUV39H1	-1.79211729390861	2.21620808153767e-17	No	No
O43482	OIP5	-1.29947631884869	1.48350471984146e-12	No	No
O43502	RAD51C	-1.40151624313488	5.62581831387194e-12	No	No
O43663	PRC1	-1.75720073929277	3.89716543410868e-08	No	No
O43683	BUB1	-1.50801122146643	9.68661690973714e-08	No	No
O60566	BUB1B	-1.08207006258131	6.91730088860773e-13	No	No
O75330	HMMR	-1.75501015950043	5.49679984255252e-07	No	No
O75419	CDC45	-1.89096002827973	1.92886280922558e-08	No	No
O75496	GMNN	-1.67541050456746	7.56886576538037e-09	No	No
O75717	WDHD1	-1.24224241608673	1.43610992593836e-16	No	No
O75764	TCEA3	-1.53995972423277	3.59181455354662e-26	No	No
O75828	CBR3	-1.00727032208781	4.96054576057297e-22	No	No
O94761	RECQL4	-1.5464855643511	1.33754119406038e-17	No	No
O94768	STK17B	-1.0567517880941	0.0043816995203069	No	No
O94782	USP1	-1.059461988249	2.45673917084771e-10	No	No
O94788	ALDH1A2	-1.12241102627852	7.7332318601051e-05	No	No
O95067	CCNB2	-1.72874929393384	1.56850469619703e-07	No	No
O95229	ZWINT	-1.31109073531602	2.65120162266737e-08	No	No
O95235	KIF20A	-2.10698544757159	1.0996350665502e-07	No	No
O95239	KIF4A	-2.29172779168087	2.4226639253030503e-15	No	No
O95347	SMC2	-1.23715396862677	2.78417107808158e-23	No	No
O95997	PTTG1	-1.77336427834007	3.94864485666688e-11	No	No
O96020	CCNE2	-1.4292936750735	1.14662082025202e-06	No	No
O96028	NSD2	-1.30943389987383	7.789555232874141e-15	No	No
P00374	DHFR	-1.95244352841823	5.86995441993262e-06	No	No
P04183	TK1	-1.80246171502759	7.21326821215639e-07	No	No
P04818	TYMS	-2.50444035361087	9.84276521791794e-09	No	No
P06493	CDK1	-1.77335125424992	2.43748186622294e-17	No	No
P09884	POLA1	-1.32023342354671	1.24364296824785e-22	No	No
P10244	MYBL2	-1.84310665820601	7.446718637400061e-09	No	No
P11388	TOP2A	-1.80832566247632	7.53331599321877e-09	No	No
P12004	PCNA	-1.3023150237028	4.52692191425344e-20	No	No
P14635	CCNB1	-1.82291760095358	2.06431364288749e-05	No	No
P15391	CD19	-2.99314379427671	1.66897495058833e-07	No	No
P16401	H1-5	-1.19350889435626	3.16848300150945e-32	No	No
P16402	H1-3	-2.43881502463615	1.13450808145627e-24	No	No
P16403	H1-2	-1.44632491747526	6.05418018777172e-21	No	No
P16949	STMN1	-1.18847490829177	2.1987288638278402e-17	No	No
P18858	LIG1	-1.22750164923985	1.0038910989761999e-13	No	No
P20248	CCNA2	-1.74505836558377	9.037999209540629e-11	No	No
P21579	SYT1	-1.20082309657524	3.6069514974053404e-17	No	No
P26358	DNMT1	-1.25486637691689	9.86919757702284e-24	No	No
P26583	HMGB2	-1.2945555690587	5.4352581166220504e-24	No	No
P28749	RBL1	-1.03376417943306	2.42077081331516e-06	No	No
P30305	CDC25B	-2.11133821854931	2.73515073175643e-12	No	No
P30307	CDC25C	-1.75676955286336	3.97547250738236e-08	No	No
P31350	RRM2	-1.70280754130448	1.18746711310513e-05	No	No
P33316	DUT	-1.69724227357702	6.49543930942189e-18	No	No
P33552	CKS2	-1.63757403291487	1.5907661720499e-07	No	No
P33981	TTK	-1.11449700131267	5.87533778073649e-12	No	No
P35219	CA8	-1.13015663698937	8.4591446736643e-08	No	No
P35544	FAU	-1.14354602853791	0.0016682682555383	No	No
P38398	BRCA1	-1.0801062798592	1.46073492654077e-07	No	No
P39748	FEN1	-1.02513231546335	2.6303200719768303e-15	No	No
P41002	CCNF	-1.15376010252161	2.65475585428698e-05	No	No
P42166	TMPO	-1.09967336944881	8.429385765415349e-40	No	No
P42575	CASP2	-1.11191330406648	7.208936289379659e-12	No	No
P42695	NCAPD3	-1.50608993747952	1.9957223638729098e-22	No	No
P46013	MKI67	-1.85733484236336	2.52776795590135e-07	No	No
P49366	DHPS	-1.27093627423338	9.29737383713554e-19	No	No
P49454	CENPF	-1.77969224319446	6.856673966653769e-11	No	No
P49638	TTPA	-1.80696841693601	6.09605064805861e-05	No	No
P49642	PRIM1	-1.56238181672387	1.56862418439821e-16	No	No
P49643	PRIM2	-1.32900838740625	2.2225699628953303e-15	No	No
P50219	MNX1	-1.57183546876715	2.31158494779704e-06	No	No
P51530	DNA2	-1.60307534620378	2.8762782465486404e-09	No	No
P51587	BRCA2	-1.05163854538236	1.4113382387864e-06	No	No
P51955	NEK2	-1.94052250333966	1.08339286371109e-16	No	No
P52292	KPNA2	-1.06084975955175	5.450475932433421e-15	No	No
P52732	KIF11	-1.70983250768127	1.85643794468016e-08	No	No
P53350	PLK1	-1.65555663213434	1.64048481936464e-07	No	No
P54132	BLM	-1.40821724650061	5.6471834474746997e-14	No	No
P55851	UCP2	-1.22277176363885	1.06633142871822e-05	No	No
P56270	MAZ	-1.03877081201402	2.31477197639649e-12	No	No
P56282	POLE2	-1.55843508325135	1.0125663549109401e-14	No	No
P59796	GPX6	-2.08217369139389	7.849622471345709e-11	No	No
P61024	CKS1B	-1.69850764788769	6.49187370795223e-11	No	No
P67936	TPM4	-4.13029129985397	3.69466761322911e-18	No	No
P78549	NTHL1	-1.59892708260247	2.1317833788470402e-10	No	No
P81274	GPSM2	-1.01250650747056	0.0045838127354854	No	No
P98155	VLDLR	-1.27650919105416	0.0045938906334358	No	No
Q01664	TFAP4	-1.86201647807968	8.93804710558291e-07	No	No
Q02224	CENPE	-1.4289640113374	1.1091197750316399e-11	No	No
Q02241	KIF23	-1.65632615890084	2.28873096131178e-16	No	No
Q03936	ZNF92	-1.07994563452431	0.000276887045657	No	No
Q05D32	CTDSPL2	-1.35347010084651	3.94899107385823e-38	No	No
Q06609	RAD51	-1.49176567292729	3.74676965309102e-06	No	No
Q07864	POLE	-1.47297063206879	5.97844970575669e-26	No	No
Q08050	FOXM1	-1.19308087628477	0.0008660720319921	No	No
Q12815	TROAP	-2.39168140891166	3.20473964199234e-09	No	No
Q12834	CDC20	-1.84941319173046	3.87860053179196e-07	No	No
Q13015	MLLT11	-1.45022140212977	3.72150376471998e-07	No	No
Q13103	SPP2	-4.46990932446309	3.37423428942088e-07	No	No
Q13111	CHAF1A	-1.00910614566691	1.02262243858355e-12	No	No
Q13112	CHAF1B	-1.3272542901055	1.9226955147612e-13	No	No
Q13257	MAD2L1	-1.06313177959606	1.52880759929244e-07	No	No
Q13309	SKP2	-1.02420896702259	0.0001002888076532	No	No
Q14181	POLA2	-1.21567270058927	7.58571697118881e-15	No	No
Q14674	ESPL1	-1.96944743866014	7.91016667248828e-08	No	No
Q14691	GINS1	-1.36077214010617	1.7503210313703699e-12	No	No
Q14807	KIF22	-2.25790006063949	9.94125980937164e-13	No	No
Q14894	CRYM	-1.89336043288239	4.08807957145625e-05	No	No
Q14CB8	ARHGAP19	-1.45634107759026	1.59990169908439e-10	No	No
Q15003	NCAPH	-1.59829606941324	6.98604951054467e-19	No	No
Q15004	PCLAF	-2.23460750862988	5.30625016484892e-07	No	No
Q15021	NCAPD2	-1.67393323465072	1.34790818924886e-19	No	No
Q15058	KIF14	-1.62018083823283	1.4379594362897699e-12	No	No
Q15072	ZNF146	-1.25455482013508	4.37675361172282e-06	No	No
Q15398	DLGAP5	-1.51923400889781	1.57320088213127e-08	No	No
Q15468	STIL	-1.53165021322804	3.93003579458101e-08	No	No
Q15742	NAB2	-1.12876210517605	4.97706045215732e-14	No	No
