Protein_Group	Genes	NF1_sg_vs_LCv2_EV_Blast_logFC	NF1_sg_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
Q9NZJ4	SACS	-1.72278137470351	0.0085779587268767	No	No
Q9NZU0	FLRT3	-2.23775053154446	1.3067231282100199e-12	No	No
Q9NZW5	MPP6	-1.15344510737376	1.70226418540789e-24	No	No
Q9P273	TENM3	-3.58452000684798	3.61414987197675e-82	No	No
Q9P2F8	SIPA1L2	-1.89290606366309	1.25672549423471e-09	No	No
Q9UFP1	GASK1A	-1.04055349048754	0.0006097318160685	No	No
Q9UHI5	SLC7A8	-1.20834851770272	7.703090200006529e-16	No	No
Q9UJY1	HSPB8	-2.31325217943142	1.90559278746252e-31	No	No
Q9UKW4	VAV3	-1.03997390937886	2.89458137907358e-23	No	No
Q9UKZ4	TENM1	-1.40683285536167	8.67900959407037e-13	No	No
Q9ULM2	ZNF490	-2.04973542430076	0.0008077811681182	No	No
Q9UPQ7	PDZRN3	-2.31543757555374	2.92898574004541e-37	No	No
Q9UQC2	GAB2	-1.6833099814673	4.50210847674932e-20	No	No
Q9Y2E6	DTX4	-1.39547162126921	1.80912511073092e-06	No	No
Q9Y2J2	EPB41L3	-3.80915687763479	4.0956457180322e-19	No	No
Q9Y342	PLLP	-3.46671580963379	1.27845645697456e-20	No	No
Q9Y3L5	RAP2C	-1.64674751231294	1.57252154158253e-24	No	No
Q9Y5E4	PCDHB5	-1.13395053883518	1.1898195064326002e-16	No	No
Q9Y617	PSAT1	-1.88971445194622	4.98291823970678e-25	No	No
Q9Y625	GPC6	-1.74809067987718	1.39989976777304e-27	No	No
Q9Y6H1	CHCHD2	-1.26832867210226	4.03463469954282e-23	No	No
Q9Y6M1	IGF2BP2	-1.89671026423182	2.13416230644135e-27	No	No
Q9Y6N7	ROBO1	-1.30139722316606	8.96399631284503e-40	No	No
Q9Y6U3	SCIN	-1.98469744551203	2.13986122365763e-13	No	No
