Protein_Group	Genes	PTEN_sg_#3_Tr_vs_PTEN_sg_#3_logFC	PTEN_sg_#3_Tr_vs_PTEN_sg_#3_pval	Removed?	Contaminant?
Q6UX71	PLXDC2	1.12511438614267	1.8063663424456501e-09	No	No
Q6UXK5	LRRN1	1.36867141940281	0.0010175641358673	No	No
Q6ZVM7	TOM1L2	1.26084972337814	1.4716460380429899e-36	No	No
Q70IA8	MOB3C	1.12741820156816	0.0003516066707904	No	No
Q76KP1	B4GALNT4	1.00143102632798	0.0006783635055679	No	No
Q7L311	ARMCX2	1.01453870099611	1.5064131560441e-09	No	No
Q7LBR1	CHMP1B	1.03072535845038	0.0001691254429026	No	No
Q7Z7D3	VTCN1	1.09223057310021	1.8665495423734e-06	No	No
Q86VV4	RANBP3L	1.75629915649955	2.0503558196818204e-09	No	No
Q86WV1	SKAP1	1.52295163495381	4.50842669444622e-05	No	No
Q8IV20	LACC1	3.25525054202919	1.85539084568598e-12	No	No
Q8IVI9	NOSTRIN	1.54083625673772	2.6273272644832797e-11	No	No
Q8IWW8	ADHFE1	1.13337516220866	2.28261615951978e-08	No	No
Q8IZJ3	CPAMD8	1.36722956459061	3.2050659103259304e-09	No	No
Q8N1L4	CYP4Z2P	1.43014760003743	0.0001106011361899	No	No
Q8N283	ANKRD35	2.66856755293845	0.0011807069179404	No	No
Q8N3V7	SYNPO	1.74557473021507	1.8846997132243e-06	No	No
Q8N6N6	NATD1	1.63318334739954	6.33887132051761e-20	No	No
Q8NBV8	SYT8	1.03984483970639	0.0004309044464166	No	No
Q8NCC5	SLC37A3	1.05660114537603	0.0024915025569583	No	No
Q8NEY4	ATP6V1C2	1.17540956600122	0.009473044930377	No	No
Q8NFJ5	GPRC5A	1.06775962673413	4.31032716548791e-16	No	No
Q8TB45	DEPTOR	1.59383107723842	2.77665268847274e-17	No	No
Q8TCX5	RHPN1	1.09702455988358	2.17417906736504e-17	No	No
Q8TE85	GRHL3	1.85721306047264	0.0002944349012685	No	No
Q8TF21	ANKRD24	2.79593608122111	2.54158158205645e-07	No	No
Q8WW38	ZFPM2	1.27041046724651	0.0001036748552465	No	No
Q8WWA1	TMEM40	1.6151828217406	6.80574582832692e-21	No	No
Q8WWY8	LIPH	1.10070102258389	7.71998822488222e-11	No	No
Q92508	PIEZO1	1.36277744858718	2.08935145310813e-21	No	No
Q92777	SYN2	1.27402214460631	0.0084270335571477	No	No
Q92817	EVPL	1.08211917059293	2.86173281343479e-34	No	No
Q969W9	PMEPA1	2.23026663135989	1.1338043510027699e-12	No	No
Q96AZ6	ISG20	1.13183516108223	0.0039660628093476	No	No
Q96B96	TMEM159	1.01591289544023	2.7045221532359102e-09	No	No
Q96C74	ROPN1L	1.35882186215793	4.4696159360518e-05	No	No
Q96DA0	ZG16B	1.25603944056745	0.0010896296819693	No	No
Q96GX1	TCTN2	1.19494088306566	0.0011848218434834	No	No
Q96J66	ABCC11	1.08292924876997	1.66372044824195e-05	No	No
Q96NY7	CLIC6	1.75289854148068	2.42772251614385e-10	No	No
Q96QE2	SLC2A13	1.03076886989631	0.0003030347583924	No	No
Q96T83	SLC9A7	1.00390287468324	5.53438406038848e-20	No	No
Q99489	DDO	1.45747662605052	0.0006988584800029	No	No
Q99574	SERPINI1	1.21330194118784	6.45318458024306e-15	No	No
Q99666	RGPD6	1.26443006685313	0.0009061634006024	No	No
Q9BQR3	PRSS27	1.22563859610013	7.66041752114487e-07	No	No
Q9BQT9	CLSTN3	1.25311208077902	4.84961981863086e-05	No	No
Q9BRK3	MXRA8	1.02833337573871	2.75405873248368e-17	No	No
Q9BS92	NIPSNAP3B	1.57232876412303	4.46565592161923e-06	No	No
Q9BT76	UPK3B	1.27543035717196	0.0011928304114356	No	No
Q9BW04	SARG	1.56412796519969	2.06679601962598e-05	No	No
Q9BXI9	C1QTNF6	2.45383677682464	1.04337216691638e-12	No	No
Q9BY76	ANGPTL4	2.03278582389022	1.29498645813468e-06	No	No
Q9BZD2	SLC29A3	1.23211995529983	0.0040572994308449	No	No
Q9BZF2	OSBPL7	1.15706583317718	1.56047233969146e-05	No	No
Q9GZP8	IMUP	1.27527546874765	3.9491246552435e-05	No	No
Q9GZY6	LAT2	1.3596550250977	2.47577227838609e-05	No	No
Q9GZZ8	LACRT	1.09167722073127	0.0014303690300915	No	No
Q9H0Q0	CYRIA	1.13830442462167	0.0002825298334013	No	No
Q9H1C3	GLT8D2	1.51917163719712	5.8050037650798e-06	No	No
Q9H3S1	SEMA4A	1.02540789434411	0.0016727650594611	No	No
Q9H4I9	SMDT1	1.01363100264349	7.81471684572002e-06	No	No
Q9H568	ACTL8	1.46415586177283	3.03280289403694e-05	No	No
Q9H841	NIPAL2	1.50913247488805	8.16675916485663e-05	No	No
Q9HAH1	ZNF556	1.27471907553478	2.06196476907086e-09	No	No
Q9HCH5	SYTL2	1.69989215023336	1.05919849783697e-09	No	No
Q9HCL3	ZFP14	1.1549547825752	0.0003378552928325	No	No
Q9NP84	TNFRSF12A	1.01289408576168	0.0082372868914392	No	No
Q9NP90	RAB9B	1.2683764042819	0.0043418036542315	No	No
Q9NRN5	OLFML3	1.34249724142736	2.79685508318454e-14	No	No
Q9NRR3	CDC42SE2	1.05722236800469	0.0001719793431328	No	No
Q9NTN9	SEMA4G	1.03876515708132	7.81784885011443e-09	No	No
Q9NWN3	FBXO34	1.46109987341974	0.0003569899416223	No	No
Q9NZU0	FLRT3	1.20575147003124	0.0003100004642835	No	No
Q9NZV1	CRIM1	1.06777839316131	0.0002769824756872	No	No
Q9P291	ARMCX1	1.02281273270909	5.70324294972892e-05	No	No
Q9UHN6	CEMIP2	1.24434658685808	1.07612092026891e-27	No	No
Q9UI42	CPA4	1.07204303487914	0.0013678289060596	No	No
Q9ULM0	PLEKHH1	1.32064958164422	8.67839334496928e-09	No	No
Q9Y2A9	B3GNT3	1.36858550033756	0.0004176525995302	No	No
Q9Y2D0	CA5B	1.21251512240654	1.40337213307874e-13	No	No
Q9Y2D5	AKAP2	1.23783315667647	2.3947403460119e-06	No	No
Q9Y342	PLLP	1.18380347744381	0.0005831816670345	No	No
Q9Y566	SHANK1	2.5710781162915	2.60109523623085e-09	No	No
Q9Y5F2	PCDHB11	1.55248798656295	4.17279307726072e-05	No	No
Q9Y5L2	HILPDA	1.17251330828269	0.0017601253546753	No	No
Q9Y651	SOX21	1.0441194072455	0.0055977681130621	No	No
Q9Y680	FKBP7	1.41465752661735	0.0001226617715682	No	No
Q9Y6N8	CDH10	2.37107477902553	3.71262167792711e-06	No	No
A0A0U1RRE5	NBDY	-1.68644646315572	0.0012824511498031	No	No
A8K8V0	ZNF785	-2.33841656483054	9.16365964831279e-22	No	No
B3KNS4	ERVK3-1	-1.31572082339981	7.59905286846631e-10	No	No
H0Y354;Q6L9T8	FAM72C;FAM72D	-1.18256939815082	0.0004993747239628	No	No
O00220	TNFRSF10A	-1.05094288920425	8.66440145583854e-06	No	No
O00311	CDC7	-1.01823965160705	3.35946802763344e-06	No	No
O00458	IFRD1	-2.96354551812794	4.55689925797853e-13	No	No
O14730	RIOK3	-1.17444231417842	4.2305289522186e-18	No	No
O14732	IMPA2	-1.12028284615502	6.979659213289869e-11	No	No
O14757	CHEK1	-1.04541610065382	4.2786548374779e-07	No	No
O14810	CPLX1	-1.31584395191558	0.0009795577558277	No	No
O15062	ZBTB5	-1.09759339407523	7.33412728165864e-09	No	No
O15304	SIVA1	-1.05419354034706	0.0011319808036776	No	No
O43379	WDR62	-1.06949331099325	1.34555307436918e-06	No	No
O43805	SSNA1	-1.18415259639571	1.08148154793283e-16	No	No
O75419	CDC45	-1.03407245095779	0.0009931730581694	No	No
O75474	FRAT2	-2.38243556622058	5.79995118515713e-07	No	No
O75496	GMNN	-1.21042421405006	1.19158789689543e-05	No	No
O75764	TCEA3	-1.22736597385337	1.3715353447748002e-20	No	No
O75828	CBR3	-1.09083135204951	5.57627346100634e-24	No	No
O77932	DXO	-1.00504930237168	0.0012532504241693	No	No
O95279	KCNK5	-1.00674956859269	0.0040593872172654	No	No
O95379	TNFAIP8	-1.07927127171623	1.43488471447701e-07	No	No
O95997	PTTG1	-1.36862303271597	8.07404551642944e-08	No	No
P02753	RBP4	-1.99528460036272	4.75506730491602e-18	No	No
P04183	TK1	-1.02851028005058	0.0028983411112816	No	No
