,parent,parentTerm,term,ES,NES,fdr,Gene %,Genes,description
61,GO:0031328,positive regulation of cellular biosynthetic process,GO:0031328,0.4437182200413337,1.4620961402081585,0.6154182189782424,12.44%,EGR1;PTGS2;HIF1A;KLF2;TLR4;PXYLP1;IRS2;STARD4;DYRK2;P2RX4;LDLR;NOS1AP;SMAD3;CDH3;SORBS1;TCF7L2;ARNT;BCL3;LARP1B;LARP6;SAMD4A;RPS27L;SIRT1;AGO2;PYM1,GO_Biological_Process_2023__Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)
62,GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle,GO:0000083,0.7032205857626587,1.4713482328338656,0.6168571536894701,2.32%,E2F7;CDK14,GO_Biological_Process_2023__Regulation Of Transcription Involved In G1/S Transition Of Mitotic Cell Cycle (GO:0000083)
63,GO:0019218,regulation of steroid metabolic process,GO:0019218,0.7067124493231185,1.4672934366336805,0.6181344342542455,1.74%,APOE;ACADL,GO_Biological_Process_2023__Regulation Of Steroid Metabolic Process (GO:0019218)
64,GO:1903513,endoplasmic reticulum to cytosol transport,GO:1903513,0.634364430330568,1.4685015710926168,0.6181859040170914,32.13%,HERPUD1;SELENOS;ERLEC1;DERL2;OS9;SEL1L;SEC61B;SYVN1;FAF2;DERL1;HSP90B1,GO_Biological_Process_2023__Endoplasmic Reticulum To Cytosol Transport (GO:1903513)
65,GO:0090141,positive regulation of mitochondrial fission,GO:0090141,0.655883900862301,1.5090723566800237,0.61957010794336,19.91%,BNIP3;KDR;MIEF2;DDHD1;RALA;MUL1,GO_Biological_Process_2023__Positive Regulation Of Mitochondrial Fission (GO:0090141)
66,GO:0045787,positive regulation of cell cycle,GO:0045787,0.5282726474188051,1.5073571960822283,0.6205389846179267,6.20%,TGM1;FGFR2;NKX3-1;MARK4;CCND1;SPHK1;FOXA1;TBX3;PROX1;MDM2,GO_Biological_Process_2023__Positive Regulation Of Cell Cycle (GO:0045787)
67,GO:0019896,axonal transport of mitochondrion,GO:0019896,0.7437040740231428,1.557271659440096,0.6212057504677438,1.42%,TRAK1;HIF1A,GO_Biological_Process_2023__Axonal Transport Of Mitochondrion (GO:0019896)
68,GO:0033993,response to lipid,GO:0033993,0.4876770359603455,1.4435613484264875,0.6218558515799764,4.40%,PALM3;S100A14;GPX3;TLR4;NKX3-1;S100A8;S100A7;S100A9;NOCT;SPP1;LGALS9;FOXA1,GO_Biological_Process_2023__Response To Lipid (GO:0033993)
69,GO:0098916,anterograde trans-synaptic signaling,GO:0098916,0.5057506687080263,1.4456674234614064,0.6220404921698433,13.91%,CHRM3;GPR176;DLG3;GRIK2;CHRNA5;GLRB;SYT1;UNC13B;SLC1A1;SNAP25;APBA3;DTNA;SDCBP;KIF5A;HOMER1,GO_Biological_Process_2023__Anterograde Trans-Synaptic Signaling (GO:0098916)
70,GO:0006940,regulation of smooth muscle contraction,GO:0006940,0.6681369323631904,1.4391186982387902,0.6221298668011491,7.58%,CHRM3;SPHK1;ATP2B1;CNN1,GO_Biological_Process_2023__Regulation Of Smooth Muscle Contraction (GO:0006940)
