Protein_Group	Genes	T47D_B_Non Treated_vs_T47D _Non Treated_logFC	T47D_B_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q6P3S1	DENND1B	1.11299495151941	1.77904036552137e-05	No	No
Q6PCE3	PGM2L1	1.28595194335183	1.73114294299411e-11	No	No
Q6QHC5	DEGS2	1.15771284630636	4.01886262211066e-14	No	No
Q6UWH6	TEX261	1.88373615826375	0.0028368932761656	No	No
Q6UWV6	ENPP7	1.09309843652929	2.51390745005281e-08	No	No
Q6UXD7	SLC49A3	1.07568734663159	6.39216928391733e-07	No	No
Q6ZN08	ZNF66	1.2885743621026	5.1704087787859e-05	No	No
Q6ZRF7	ZNF818P	1.15949015342168	0.0036630765822187	No	No
Q7L266	ASRGL1	1.88160404248358	6.21124476881891e-07	No	No
Q7Z7D3	VTCN1	2.28096947977262	1.1013144042025301e-31	No	No
Q86SK9	SCD5	1.49485911258494	0.0091337454602304	No	No
Q86V24	ADIPOR2	1.35290887473165	5.2283334234303e-05	No	No
Q86W10	CYP4Z1	1.73591130886591	1.86898944621082e-08	No	No
Q86X51	EZHIP	2.77414414184747	1.14595182651693e-18	No	No
Q8IXQ6	PARP9	1.64848633207703	4.3065425406254e-34	No	No
Q8IY21	DDX60	2.12650505885998	1.5253853007477102e-20	No	No
Q8IYN0	ZNF100	1.00826533697374	4.37517261985548e-06	No	No
Q8NCN5	PDPR	1.0519108065065	1.03889298628561e-27	No	No
Q8NCU8	MTLN	2.45638992751015	5.85598492137597e-06	No	No
Q8NDZ4	DIPK2A	1.32155787583905	2.1120134347404e-32	No	No
Q8NEG4	FAM83F	1.86953467653392	1.2818837835963699e-18	No	No
Q8NEK5	ZNF548	1.13038421731602	0.0027122629604497	No	No
Q8NFT2	STEAP2	2.23718456082075	4.5965256687929e-29	No	No
Q8NFX7	STXBP6	3.50157553259483	2.5582113913955997e-12	No	No
Q8TCZ2	CD99L2	1.54170128092018	8.71184132465786e-18	No	No
Q8TDB6	DTX3L	1.65361106542044	8.391405542408e-34	No	No
Q8TE85	GRHL3	2.40261862194316	0.0004159366278277	No	No
Q8WXF7	ATL1	1.54058537156655	0.001714789626197	No	No
Q92481	TFAP2B	1.39370303233674	1.25551186850604e-15	No	No
