Protein_Group	Genes	PTEN_sg_1.1_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	PTEN_sg_1.1_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
P57087	JAM2	2.0285279976636	3.88789461069893e-09	No	No
P98171	ARHGAP4	1.58191693909066	1.31082529894504e-34	No	No
Q00978	IRF9	2.90501298882818	1.3284676384446898e-22	No	No
Q01628	IFITM3	1.48310510314344	7.11406934391132e-09	No	No
Q03113	GNA12	1.1784967367865	0.0021931578716352	No	No
Q13066	GAGE2C	1.29363342587594	4.776407301015271e-09	No	No
Q13069;Q13070	GAGE5;GAGE6	1.48234940502256	2.60248470216828e-07	No	No
Q13325	IFIT5	1.49184428758135	3.0885125364111904e-23	No	No
Q13740	ALCAM	1.2376057620374	6.341004382098559e-26	No	No
Q13884	SNTB1	1.24923410072793	1.16681805019881e-13	No	No
Q14320	FAM50A	1.15619491268862	2.9520580641373298e-30	No	No
Q14449	GRB14	1.51828777707241	0.002210951196128	No	No
Q15583	TGIF1	1.36481596448164	8.77016387290747e-05	No	No
Q15646	OASL	1.47553364210821	4.14088756469388e-16	No	No
Q16385	SSX2B	1.15325727625259	0.0071901424001164	No	No
Q16555	DPYSL2	1.02349187212848	3.9890450057264096e-22	No	No
Q2M3V2	SOWAHA	1.44541461851063	3.6316892133246203e-25	No	No
Q2QL34	MPV17L	1.14363542186466	0.003932175736371	No	No
Q2Y0W8	SLC4A8	1.58628457008462	0.0043777739968776	No	No
Q3SY69	ALDH1L2	1.01326591252603	1.1372162014111399e-11	No	No
Q3ZAQ7	VMA21	1.07646009221138	2.3196518679818002e-18	No	No
Q460N5	PARP14	1.01766036978309	1.38356849461204e-29	No	No
Q53GG5	PDLIM3	1.21787994938425	0.0007629648928799	No	No
Q5H9M0	PWWP3B	1.13035113646807	0.0060046874044878	No	No
Q5H9U9	DDX60L	1.83625576951386	0.0020050842526022	No	No
Q5HY92	FIGN	1.15131016237538	0.000224127692113	No	No
Q5T7M9	DIPK1A	1.47138358281686	0.000355468359002	No	No
Q6NSJ2	PHLDB3	1.36873257835083	5.1663242883277e-17	No	No
Q6PCB8	EMB	1.59880227781372	6.4501735913051e-06	No	No
Q6YHK3	CD109	1.39140328592745	4.58953649318466e-08	No	No
Q6ZN17	LIN28B	3.4211727582771	6.52722123823009e-45	No	No
Q6ZS11	RINL	1.44612460526806	0.0028755284431493	No	No
Q7L266	ASRGL1	1.54450534131634	2.05397583804493e-05	No	No
Q7L2K0	TEDC2	1.16160817262684	3.28445564865243e-07	No	No
Q7Z4K8	TRIM46	1.09453931153448	0.000349874754401	No	No
Q7Z7K6	CENPV	1.86242030892946	1.99696032984724e-09	No	No
Q86SJ2	AMIGO2	1.27616299580363	6.38408236497411e-06	No	No
Q86TG7	PEG10	3.60413154220573	7.439289488802881e-44	No	No
Q86X51	EZHIP	2.25841679138835	1.92645231161447e-15	No	No
Q8IV56	PRR15	1.11312067854584	1.68807261636995e-05	No	No
Q8IY21	DDX60	1.70383353803967	6.2889159751311e-17	No	No
Q8N165	PDIK1L	1.23243731357381	0.000163299078439	No	No
Q8N8I0	SAMD12	1.5367023237471	0.0007529943207882	No	No
Q8NAB2	KBTBD3	2.58930878495029	1.97789525787993e-05	No	No
Q8NFX7	STXBP6	1.36456297628691	0.0006024852007126	No	No
Q8TBN0	RAB3IL1	1.06938256519565	0.0004306752446265	No	No
Q8TCZ2	CD99L2	1.10827243732825	7.014066900148399e-13	No	No
Q8TE69;Q96DE9	EOLA1;EOLA2	1.4551314472197	1.3905889270811998e-13	No	No
Q8WU39	MZB1	1.47855708033847	1.6678882809782201e-15	No	No
Q8WXF7	ATL1	1.93941437153481	0.0001244893351213	No	No
Q8WY54	PPM1E	1.60416527136065	8.932501091222909e-12	No	No
Q92985	IRF7	1.06018190655309	0.0006727291139162	No	No
Q96B97	SH3KBP1	1.40975601914122	2.32908376649858e-05	No	No
Q96DA2	RAB39B	1.93703053296388	4.21630734736359e-09	No	No
Q96E17	RAB3C	5.98052389776188	9.516105333762169e-12	No	No
Q96FS4	SIPA1	1.01654905080721	1.87469734206686e-16	No	No
Q96GY0	ZC2HC1A	2.64661953046966	4.76084722435033e-27	No	No
Q96L08	SUSD3	1.67075446099811	7.94934672928462e-06	No	No
Q96QP1	ALPK1	1.36628361968355	4.03644971332007e-06	No	No
Q99608	NDN	4.40206609544525	8.663246240761341e-19	No	No
Q99743	NPAS2	1.55304633918702	0.0004291472288574	No	No
Q99856	ARID3A	1.17915089040245	1.09927556072231e-16	No	No
Q99985	SEMA3C	1.21551545705911	1.03045784123191e-29	No	No
Q9BSW7	SYT17	1.24617153957507	0.0034374641510697	No	No
Q9BUX1	CHAC1	3.24826591173555	0.0007946653668951	No	No
Q9BWD3	RTL8A	1.51331961970905	6.629093694466079e-26	No	No
Q9BZQ8	NIBAN1	1.16090048729372	3.1384701807955895e-33	No	No
Q9H320;Q9H321;Q9H322;Q9NNX9	VCX;VCX3B;VCX2;VCX3A	1.8531010447579	0.0022614427754457	No	No
Q9H5J4	ELOVL6	1.91531351503156	5.98806317357684e-05	No	No
Q9H7S9	ZNF703	1.04811271336982	3.26401945335136e-13	No	No
Q9H898	ZMAT4	2.23031591383324	5.06938977883124e-08	No	No
Q9HCK4	ROBO2	1.38115167515185	5.78920948167949e-25	No	No
Q9HD64	XAGE1B	4.69397697701661	6.97220092909065e-16	No	No
Q9NPG8	ZDHHC4	1.02861943724614	0.0080072430410465	No	No
Q9NQZ6	ZC4H2	1.30864421625973	0.0001783187320369	No	No
Q9NUG6	PDRG1	1.11710934426805	1.6593218591532601e-15	No	No
Q9NVH6	TMLHE	1.17250805061676	3.4250109451628704e-15	No	No
Q9NYT0	PLEK2	1.19909373516872	3.96673196116715e-05	No	No
Q9NZI6	TFCP2L1	1.08175789613246	3.06617281672234e-05	No	No
Q9P291	ARMCX1	1.80718085666309	1.1769413233086e-15	No	No
Q9UHE8	STEAP1	2.44330353533458	5.18204318334046e-16	No	No
Q9UKB3	DNAJC12	1.72150062977151	1.13279033391579e-06	No	No
Q9UPY5	SLC7A11	2.49105266642042	1.25916440846481e-06	No	No
Q9UQV4	LAMP3	2.32268367457766	9.50691461400493e-16	No	No
Q9Y592	CEP83	1.04513032438254	0.0001436501080627	No	No
A2A2Y4	FRMD3	-1.87203198475775	6.69392828280829e-06	No	No
A4D0S4	LAMB4	-2.09606360727575	2.24455301360903e-13	No	No
A4D1S0	KLRG2	-1.54006153563312	4.45823443742879e-31	No	No
A6NCS6	C2orf72	-1.06461374653504	1.25388775951041e-16	No	No
A6NKN8	PCP4L1	-2.45845950010206	4.18029461029252e-05	No	No
C9JA33	PALM2AKAP2	-1.91028616892327	2.91833699892298e-34	No	No
O00526	UPK2	-1.57147048333127	1.21535910282946e-05	No	No
O15232	MATN3	-1.58581184179407	4.5958082924003405e-14	No	No
O15488	GYG2	-1.22568001602106	1.46445363548967e-05	No	No
O43295	SRGAP3	-1.17045468845469	6.86353050154754e-14	No	No
O43745	CHP2	-1.48845048610665	0.000198689502501	No	No
O60356	NUPR1	-1.61370156379866	6.62690582224881e-05	No	No
O60704	TPST2	-1.30500529201064	3.84969353255059e-16	No	No
O60879	DIAPH2	-2.97038723758944	3.81021160402296e-12	No	No
O75325	LRRN2	-1.40132751698663	5.92022797558951e-05	No	No
O75452	RDH16	-1.5914402784816	1.4561730030172701e-15	No	No
O76070	SNCG	-1.09771734827111	4.22275174206912e-23	No	No
O94955	RHOBTB3	-1.09695247371615	2.28244326379059e-06	No	No
O95164	UBL3	-1.69988991634919	6.662194041971409e-30	No	No
O95259	KCNH1	-1.70919131519098	6.49437403587418e-06	No	No
O95340	PAPSS2	-1.86251555094384	2.00533031874943e-34	No	No
P00533	EGFR	-1.54160542234479	2.7890485679826698e-33	No	No
P02511	CRYAB	-1.85664054821633	3.3540766672602e-24	No	No
P04083	ANXA1	-1.75730529493664	1.08561940736357e-23	No	No
P04279	SEMG1	-1.38510956598277	3.06010756579526e-05	No	No
P04798	CYP1A1	-1.46506253326474	0.000250848565235	No	No
P05114	HMGN1	-2.31634735559792	0.0023707006760697	No	No
P05981	HPN	-1.25009505867682	1.16617734753352e-08	No	No
P07948	LYN	-1.17196834290388	9.81021280021965e-17	No	No
P08294	SOD3	-1.65415615499039	2.60903220857046e-26	No	No
P08493	MGP	-1.36275496911968	2.93109799794308e-20	No	No
P08842	STS	-1.25027525867755	7.24443522567176e-10	No	No
P08913	ADRA2A	-1.85572661775497	7.23788076641828e-05	No	No
P09493	TPM1	-1.02886164945232	4.79144887786523e-22	No	No
P0DOY2;P0DOY3	IGLC2;IGLC3	-1.37682980024345	0.0021394431270892	No	No
P0DPF2	NBPF20	-1.21826788447922	0.0003605607410901	No	No
P10176	COX8A	-1.41654116821718	0.0006751817584762	No	No
P10909	CLU	-1.78565268178124	1.51316217435171e-35	No	No
P11233	RALA	-1.24560169231399	2.07172048692255e-05	No	No
P12109	COL6A1	-1.66620773988665	5.56812667995382e-08	No	No
P14543	NID1	-2.11562034338826	8.97226718019049e-07	No	No
P17302	GJA1	-4.38208628192414	1.40507228729003e-38	No	No
P17600	SYN1	-1.73958923254042	3.43184467740966e-21	No	No
P22223	CDH3	-1.09915668226293	1.3975842216732e-22	No	No
P23378	GLDC	-3.51155346381558	6.22293535661601e-49	No	No
P24311	COX7B	-3.27706394196645	0.0063447620049325	No	No
P29400	COL4A5	-1.3269254534096	1.03517343344888e-07	No	No
P32929	CTH	-1.25597001245258	4.81474451702604e-14	No	No
P36269	GGT5	-1.40505676069122	2.37789268232995e-05	No	No
P37088	SCNN1A	-1.04303795399917	0.0003799759772227	No	No
P39060	COL18A1	-1.04918420915793	1.30208036259316e-11	No	No
P40199	CEACAM6	-1.22127512474284	0.0001083146532519	No	No
P42785	PRCP	-1.20147713636306	4.66288803974883e-26	No	No
P43353	ALDH3B1	-1.54571152855584	1.51378157482833e-28	No	No
P47712	PLA2G4A	-2.9345420552322	3.19732880640074e-24	No	No
P47895	ALDH1A3	-1.71602481878969	5.502437273061779e-13	No	No
P47974	ZFP36L2	-1.63283314683599	6.9210146534664804e-15	No	No
P48436	SOX9	-1.04758266416811	1.06849425635834e-08	No	No
P48539	PCP4	-1.24543161321535	1.6096615059751e-06	No	No
P49703	ARL4D	-1.86351594963965	2.0639867955787703e-09	No	No
P50225	SULT1A1	-1.22847633926143	1.21104905221351e-27	No	No
P50440	GATM	-1.42403564083811	1.02436828260134e-22	No	No
P50443	SLC26A2	-1.48611614791271	3.63748163134848e-15	No	No
P52823	STC1	-1.3884101171306	0.0006575726473488	No	No
P55040	GEM	-1.56417016431484	7.83029709025347e-05	No	No
P55268	LAMB2	-1.06536528185972	5.4518663576276e-28	No	No
P56159	GFRA1	-1.38230958481622	7.95629639721052e-05	No	No
P56381;Q5VTU8	ATP5F1E;ATP5F1EP2	-1.44331987182916	0.0030553644019106	No	No
P57073	SOX8	-1.15716335386386	6.81621594448602e-05	No	No
P59901	LILRA4	-1.38577950472953	0.0037517356700107	No	No
P60484	PTEN	-3.82915025806889	4.19891711927606e-06	No	No
P61601	NCALD	-1.11175075825711	2.63603437230859e-07	No	No
P61812	TGFB2	-1.94236399995934	0.0008857811587542	No	No
P61925	PKIA	-4.35812839631001	5.58700047631546e-05	No	No
P63316	TNNC1	-3.39134618880521	0.0001950008182935	No	No
P68133	ACTA1	-1.17379006800162	0.0013580822444615	No	No
P78380	OLR1	-1.45688886944788	6.32192573118211e-07	No	No
P86452	ZBED6	-1.02335875867701	4.59978437995051e-06	No	No
P98082	DAB2	-2.71367320974554	4.58115407016462e-16	No	No
P98160	HSPG2	-1.43203971381787	1.12033797714046e-13	No	No
Q00887	PSG9	-1.58869951003904	1.53262833188249e-07	No	No
Q01826	SATB1	-2.07565766646946	3.60511083252909e-50	No	No
Q05682	CALD1	-1.56960316700015	1.27385541847035e-28	No	No
Q07654	TFF3	-1.21395367762661	3.30116207305931e-11	No	No
Q0VD83	APOBR	-1.19523527954402	0.0025113779217003	No	No
Q12841	FSTL1	-1.08080415711036	9.918337722634789e-12	No	No
Q13145	BAMBI	-1.15925824942048	0.0029516670485875	No	No
Q13576	IQGAP2	-1.3015413468449	2.2683989799850203e-09	No	No
Q13636	RAB31	-1.12043817757657	7.98800003684025e-08	No	No
Q13753	LAMC2	-1.32925590893031	9.91702669399801e-08	No	No
Q13946	PDE7A	-1.01667745758966	4.6101786263637e-11	No	No
Q14315	FLNC	-1.43594793979868	0.0002014784519463	No	No
Q14393	GAS6	-2.2995169713762	1.2696688960944301e-17	No	No
Q14721	KCNB1	-1.50719246266433	1.67718757227085e-05	No	No
Q15012	LAPTM4A	-1.0743293626627	0.0033564736617031	No	No
Q15111	PLCL1	-1.11127058115909	0.0005421350994262	No	No
Q15389	ANGPT1	-2.56858980129887	5.27558699381096e-06	No	No
Q15768	EFNB3	-1.85515528268327	2.19426432628623e-12	No	No
Q15847	ADIRF	-2.36809813221136	1.1859632897183902e-09	No	No
Q16270	IGFBP7	-2.73062951408582	9.98906564948867e-13	No	No
Q16842	ST3GAL2	-1.49840805276711	4.20347223691238e-09	No	No
Q3SY77	UGT3A2	-1.47567393461503	0.0008647404375175	No	No
Q53TN4	CYBRD1	-1.29347756891289	1.05076068233943e-19	No	No
Q5EG05	CARD16	-1.37154687605588	8.54465530312896e-09	No	No
Q5SRE7	PHYHD1	-1.47618109337207	1.31395476244988e-07	No	No
Q5SZD1	C6orf141	-1.86896136434089	3.34427754479132e-07	No	No
Q5T2W1	PDZK1	-1.87385095853555	1.24519304642615e-34	No	No
Q5T4B2	CERCAM	-1.01942101251712	3.9005305674627904e-19	No	No
Q5VX52	SPATA1	-3.79972509988432	2.65371924316208e-15	No	No
Q629K1	TRIQK	-1.69276483470943	1.16931487697246e-08	No	No
Q641Q3	METRNL	-1.53089985979745	1.70671869726669e-08	No	No
Q6AZY7	SCARA3	-2.12049742561204	6.47722981774572e-07	No	No
Q6F5E8	CARMIL2	-1.79592966384945	9.5137337936552e-12	No	No
Q6NZI2	CAVIN1	-2.13488096417732	1.79282885549311e-13	No	No
Q6P179	ERAP2	-1.05432589756944	9.133015189668271e-20	No	No
Q6TFL4	KLHL24	-1.04190869976262	0.0001558383151069	No	No
Q6UX71	PLXDC2	-1.58465088916798	1.2347843040268701e-14	No	No
Q6X9E4	FBXW12	-2.42648328142262	1.57378617748671e-06	No	No
Q6ZNL6	FGD5	-2.16832540458872	6.34849882909221e-15	No	No
Q7KYR7	BTN2A1	-1.04088146460024	3.52562916227784e-07	No	No
Q7Z3G6	PRICKLE2	-1.02790791330296	0.0002753782934424	No	No
Q86UR1	NOXA1	-1.44419534222868	1.23914653052704e-06	No	No
Q86VR8	FJX1	-1.59917042114988	1.27742281758689e-16	No	No
Q86WV6	STING1	-1.3109588209785	2.70233594064797e-05	No	No
Q86Y38	XYLT1	-2.09378537862441	1.80109955127316e-08	No	No
Q8IVS8	GLYCTK	-1.1332955731351	0.00240365679239	No	No
Q8IWW8	ADHFE1	-1.10754978406186	1.9561308686574403e-09	No	No
Q8IWY4	SCUBE1	-1.45072916016487	0.002601058980198	No	No
Q8IXK2	GALNT12	-1.63277084993835	0.0025915080702029	No	No
Q8IZJ3	CPAMD8	-1.48148341307383	4.0425798407747496e-18	No	No
Q8N0Z9	VSIG10	-1.00697185883007	4.32189817765663e-08	No	No
Q8N3V7	SYNPO	-1.33662953215489	0.0013142179427065	No	No
Q8NCC5	SLC37A3	-1.35122500394061	0.0003330183771489	No	No
Q8NI51	CTCFL	-1.87255039728495	1.72812104613405e-05	No	No
Q8TAC2	JOSD2	-1.3732518403035	1.7486141839289698e-11	No	No
Q8TBY8	PMFBP1	-1.14715687945272	0.0038633433441484	No	No
Q8TCU6	PREX1	-1.45465912935687	3.46961386114577e-39	No	No
Q8TF21	ANKRD24	-3.6677227687622	0.0002756017127623	No	No
Q8WWY8	LIPH	-1.02797886926469	3.2625965619463e-07	No	No
Q8WWZ3	EDARADD	-1.21780544424608	8.23776504435549e-07	No	No
Q92478	CLEC2B	-2.66343984113025	1.07406838684799e-05	No	No
Q92521	PIGB	-1.23819324535154	0.0005689051769941	No	No
Q92729	PTPRU	-1.21429151728736	0.00010206400043	No	No
Q93062	RBPMS	-1.43533688903718	1.33919646037115e-18	No	No
Q969W9	PMEPA1	-1.4388994582847	2.32589753951849e-05	No	No
Q96A58	RERG	-1.42572629872014	1.27034828496151e-14	No	No
Q96EG1	ARSG	-1.03621839739187	2.78911161454418e-07	No	No
Q96FL8	SLC47A1	-1.20638704185846	3.41995553070046e-05	No	No
Q96FM1	PGAP3	-1.96207638551751	1.36561166690327e-06	No	No
Q96IK0	TMEM101	-1.04132816582041	0.0002224005185919	No	No
Q96L94	SNX22	-1.37689339722869	0.000920120447428	No	No
Q96PD5	PGLYRP2	-2.36247382684037	1.1905062280796702e-15	No	No
Q96PX9	PLEKHG4B	-1.27187938077131	4.43180301362867e-18	No	No
Q99618	CDCA3	-1.05590260387707	2.35546626475011e-08	No	No
Q99650	OSMR	-1.04183391460206	1.56832508906135e-08	No	No
Q99967	CITED2	-1.3938182230255	0.000108805099002	No	No
Q9BT76	UPK3B	-2.04071619553212	2.95054358968779e-05	No	No
Q9BV90	SNRNP25	-2.28399134152083	0.000892302493466	No	No
Q9BXI9	C1QTNF6	-2.15636915592455	2.01035667582371e-14	No	No
Q9BXM9	FSD1L	-1.21874930573163	6.16763708903604e-07	No	No
Q9BY67	CADM1	-1.07558395927926	1.6599516149480402e-25	No	No
Q9BY84	DUSP16	-1.00618157707591	2.56339336259374e-05	No	No
Q9GZV1	ANKRD2	-1.31293203924836	1.95282883974454e-15	No	No
Q9H0Q0	CYRIA	-1.47905464392567	0.0001548077296449	No	No
Q9H1K4	SLC25A18	-1.22031113270935	6.1648572357391096e-18	No	No
Q9H3G5	CPVL	-2.49522877356579	9.93968956908162e-30	No	No
Q9H3M7	TXNIP	-1.69987111520894	5.6223140436235305e-15	No	No
Q9H3S1	SEMA4A	-1.00530387843855	0.0037429859818057	No	No
Q9H939	PSTPIP2	-1.01930033743507	1.02025847322154e-25	No	No
Q9H9K5	ERVMER34-1	-1.38507203143596	0.0001333117951876	No	No
Q9HB63	NTN4	-1.95990571344224	4.37401487843713e-05	No	No
Q9HCK5	AGO4	-1.78089163795775	0.0006408113291356	No	No
Q9NQ38	SPINK5	-1.4371025721672	0.0033578362313868	No	No
Q9NRZ5	AGPAT4	-1.76285087623371	4.03510445112079e-14	No	No
Q9NSY2	STARD5	-1.22047433761009	6.19361780783611e-19	No	No
Q9NUV7	SPTLC3	-1.02737272998157	4.60877099195829e-13	No	No
Q9NY57	STK32B	-2.93301299307154	1.60931548463107e-32	No	No
Q9NZU0	FLRT3	-2.15060278870457	2.48221529921084e-10	No	No
Q9NZV1	CRIM1	-1.41440333104191	4.0877580625656104e-19	No	No
Q9P212	PLCE1	-1.93633582398031	8.04370169309264e-19	No	No
Q9P2D0	IBTK	-1.15540655124446	7.512815980269311e-23	No	No
Q9P2N7	KLHL13	-1.66497563631037	0.0002418308573912	No	No
Q9ULM0	PLEKHH1	-1.06154416482592	5.94671517438156e-07	No	No
Q9UNL4	ING4	-1.10310668201014	2.70707587001953e-07	No	No
Q9Y2A9	B3GNT3	-2.26939541862474	5.12993932652213e-07	No	No
Q9Y2D5	AKAP2	-1.71709704359903	4.1807182504851e-15	No	No
Q9Y572	RIPK3	-3.23425005802703	5.71022543363666e-07	No	No
Q9Y5I3	PCDHA1	-1.94438514565974	8.16372384616911e-07	No	No
Q9Y5X0	SNX10	-2.10767034862006	2.88783080761945e-05	No	No
Q9Y651	SOX21	-1.32797419136332	0.0002379709225289	No	No
Q9Y693	LHFPL6	-1.10650435536735	3.23964111845315e-05	No	No
Q9Y6U3	SCIN	-1.49969793319749	7.544088169607569e-28	No	No
