Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
O15232	MATN3	-2.44266817689021	7.14837000598061e-21	No	No
O15427	SLC16A3	-2.34538762413426	3.35026589527919e-32	No	No
O15460	P4HA2	-1.45204885285849	4.34460671391476e-38	No	No
O15481	MAGEB4	-3.62212587925485	3.75381971713165e-33	No	No
O43295	SRGAP3	-1.96561655067275	3.80326219215997e-22	No	No
O43731	KDELR3	-1.23712331551833	4.6358050509071804e-14	No	No
O43761	SYNGR3	-2.27211585348444	3.16223268258147e-20	No	No
O60238	BNIP3L	-1.18851065405242	2.6855861682951804e-19	No	No
O60268	KIAA0513	-1.19318672545294	6.54026450431429e-22	No	No
O75081	CBFA2T3	-1.28857400042183	1.20079180420012e-09	No	No
O75363	BCAS1	-2.33210521714441	2.6507726258168602e-31	No	No
O75462	CRLF1	-1.45137785510254	7.40057240107595e-05	No	No
O75781	PALM	-1.54457644947539	6.01069629057392e-16	No	No
O75800	ZMYND10	-1.18188999789249	2.61911032107037e-08	No	No
O75828	CBR3	-1.58121674496615	1.27964432949523e-31	No	No
O75952	CABYR	-1.27751365894551	0.0030010792643368	No	No
O76024	WFS1	-1.38624266293547	4.08996436373147e-35	No	No
O76054	SEC14L2	-1.32934847970746	1.90785454889579e-26	No	No
O94921	CDK14	-2.13732671241723	5.53695960717612e-08	No	No
O95180	CACNA1H	-1.59918677032441	0.0040167224236517	No	No
O95340	PAPSS2	-1.94873694062432	2.7431699039536503e-35	No	No
O95466	FMNL1	-1.09019941550768	0.0043339870010633	No	No
O95528	SLC2A10	-1.23428023199091	9.54488698248526e-07	No	No
O95754	SEMA4F	-1.48669368070337	1.2301785257599e-06	No	No
O95759	TBC1D8	-1.24537242940469	0.0001179190755403	No	No
O95848	NUDT14	-1.40832888083041	0.0006273712062672	No	No
O95864	FADS2	-1.81020222861139	7.7911921072263e-17	No	No
O95994	AGR2	-1.2993780568134	1.09556312692895e-31	No	No
O96024	B3GALT4	-2.19734354731422	6.4325389847141e-05	No	No
P00973	OAS1	-2.13927527917134	7.0564204431697e-09	No	No
P01009	SERPINA1	-2.33008196074539	1.37387355311996e-37	No	No
P01011	SERPINA3	-2.06301986567579	2.38851845182742e-05	No	No
P01033	TIMP1	-5.12089867163255	5.21174605705726e-26	No	No
P01034	CST3	-1.25718348053402	5.18869716468397e-17	No	No
P02649	APOE	-2.11435208158012	4.3099910897935e-44	No	No
P03923	MT-ND6	-1.01843082138495	0.0015100994314028	No	No
P04066	FUCA1	-1.23939856411542	1.15802115438717e-27	No	No
P04083	ANXA1	-2.98406889281237	1.8791617503623e-33	No	No
P04155	TFF1	-1.81906173751584	4.91101075276791e-08	No	No
P04233	CD74	-2.34225090921004	7.1585691656496e-16	No	No
P04350	TUBB4A	-1.59616108921999	5.09144134547603e-09	No	No
P05161	ISG15	-2.24127198465683	1.03705687827689e-26	No	No
P06276	BCHE	-1.82710942252007	9.99093173022586e-06	No	No
P06703	S100A6	-1.02030251703528	1.3355297004678001e-11	No	No
P06737	PYGL	-2.1600506699041	6.893338898097081e-45	No	No
P06865	HEXA	-1.45584866631507	8.80909659598209e-33	No	No
P07476	IVL	-1.16887386762319	1.8102114249202998e-23	No	No
P07948	LYN	-2.79931398300221	4.84528943310101e-32	No	No
P08185	SERPINA6	-1.46143931096326	1.18253288310455e-22	No	No
P08582	MELTF	-2.12548821487266	6.57912570748736e-10	No	No
P08648	ITGA5	-2.57981775468028	4.68688376883952e-34	No	No
P08962	CD63	-1.41541283143104	1.11917433463916e-11	No	No
P09104	ENO2	-1.5630456817061	4.2470163565696704e-23	No	No
P09668	CTSH	-1.28983164634442	9.92906635446446e-26	No	No
P09914	IFIT1	-2.28743655135605	4.9558994119956006e-20	No	No
P09972	ALDOC	-1.40246718129879	5.75284502220195e-33	No	No
P0C024	NUDT7	-1.29825662463658	3.00383517904997e-17	No	No
P12109	COL6A1	-1.1354698122356	6.01344605899651e-05	No	No
P12273	PIP	-3.45980274017897	1.70398797208773e-34	No	No
P12277	CKB	-1.1679274340298	2.86116149541478e-07	No	No
P12429	ANXA3	-1.9788248491429	5.976297910646709e-29	No	No
P12821	ACE	-2.63181351860911	7.19181698227741e-28	No	No
P15260	IFNGR1	-1.58612372208163	2.3966539003046097e-11	No	No
P16035	TIMP2	-1.73484271682894	6.007155018768071e-17	No	No
P16219	ACADS	-2.26820786671731	8.67130717528431e-29	No	No
P17600	SYN1	-1.57472390500561	1.6343977669193e-19	No	No
P17655	CAPN2	-1.04265440210794	1.28927539055161e-23	No	No
P17735	TAT	-1.55744910760621	2.03311003359577e-15	No	No
P18564	ITGB6	-1.86132959959142	3.6187938715087e-10	No	No
P19484	TFEB	-1.42557816477306	5.11261837830032e-08	No	No
P19544	WT1	-2.08591355156494	1.23783618325759e-16	No	No
P20337	RAB3B	-1.13955262338036	0.002713141352489	No	No
P20591	MX1	-3.35243111210665	3.87139591580524e-28	No	No
P21579	SYT1	-1.01318751152349	7.19632586983423e-16	No	No
P22304	IDS	-1.12312992727519	0.0002444524427591	No	No
P22413	ENPP1	-1.36056031962312	1.06110156509293e-32	No	No
P22692	IGFBP4	-1.40244813898981	2.7013955283412e-18	No	No
P23297	S100A1	-1.80743607167561	3.18251254230343e-14	No	No
P23497	SP100	-1.5829113833014	1.78298557771627e-27	No	No
P24385	CCND1	-1.22144285797561	2.9450743856775e-27	No	No
P25311	AZGP1	-1.59702416519973	2.13308611279044e-29	No	No
