Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q8N1Q1	CA13	1.11967086771342	1.64367486610691e-07	No	No
Q8N609	TRAM1L1	1.28487622706331	0.0069123630810222	No	No
Q8NCU4	CCDC191	1.2674219557833	0.0010529823667462	No	No
Q8NFT2	STEAP2	1.33766754122658	6.293274000813131e-20	No	No
Q8NFX7	STXBP6	1.2364813416709	0.0016746001832355	No	No
Q8NFZ8	CADM4	1.04606854915922	6.867190621254271e-15	No	No
Q8TB05	UBALD1	1.25625573271972	0.0080619888456005	No	No
Q8TBN0	RAB3IL1	1.00860447999406	0.000826321048393	No	No
Q8TCU6	PREX1	1.39539954430304	2.20523230499575e-38	No	No
Q8WW38	ZFPM2	2.69882873154393	5.76051444252833e-12	No	No
Q8WXF7	ATL1	1.29169574189307	0.0075849914776571	No	No
Q92614	MYO18A	1.09989887688909	1.66627638668629e-33	No	No
Q92963	RIT1	2.42894302995994	5.6672930430829e-13	No	No
Q969W9	PMEPA1	1.18822117841777	0.0003218969019917	No	No
Q96F10	SAT2	1.01316476360177	9.08164880218683e-06	No	No
Q96FS4	SIPA1	1.02368687340252	1.46087764306925e-16	No	No
Q96GY0	ZC2HC1A	2.31800433180414	1.19082289001529e-24	No	No
Q96NY7	CLIC6	2.18898316413972	2.1661194811266502e-20	No	No
Q96QP1	ALPK1	1.60917873287157	1.67764116050203e-07	No	No
Q99574	SERPINI1	1.79341498418116	4.75179808738356e-23	No	No
Q99608	NDN	3.76976593869197	2.52549818973357e-16	No	No
Q99675	CGRRF1	1.01050248318409	0.0008839536188372	No	No
Q99715	COL12A1	1.99289412216583	5.3384917809934e-40	No	No
Q9BW04	SARG	1.29189767309716	2.53660624864677e-06	No	No
Q9BWH2	FUNDC2	1.63900936049572	3.80049263282151e-29	No	No
Q9BXC0	HCAR1	1.37429906914535	8.30465337386232e-08	No	No
Q9BXD5	NPL	1.30570689254458	0.003221622618417	No	No
Q9BZD2	SLC29A3	1.20767088756919	0.0001131184184877	No	No
Q9BZM5	ULBP2	1.3283665266842	1.5240588127820298e-11	No	No
Q9BZQ4	NMNAT2	1.59451380404133	0.0023505733414372	No	No
Q9C002	NMES1	1.29678100035082	5.47865638994372e-13	No	No
Q9C004	SPRY4	2.7988041100563	9.43211641966867e-16	No	No
Q9GZY6	LAT2	2.06276978880507	1.02973184492661e-12	No	No
Q9H1C3	GLT8D2	1.5858422746023	2.15240790283942e-07	No	No
Q9H2E6	SEMA6A	1.60309272284001	0.0004958562964611	No	No
Q9H4G4	GLIPR2	1.0875872348799	3.58618083850218e-10	No	No
Q9H7X2	C1orf115	1.72445733006486	4.65205090432469e-10	No	No
Q9HB63	NTN4	1.96192623729717	4.3081479106276e-05	No	No
Q9NPB6	PARD6A	1.39750147743062	3.54840502893522e-09	No	No
Q9NS00	C1GALT1	1.11761162721617	9.87127065633926e-20	No	No
Q9NX09	DDIT4	1.04095453594656	0.0026021386448692	No	No
Q9NX95	SYBU	1.65724422471957	5.084435929085e-06	No	No
Q9P212	PLCE1	2.1070254124831	3.18598108488258e-20	No	No
Q9P299	COPZ2	1.33223337767258	1.10685924226478e-10	No	No
Q9UBJ2	ABCD2	1.13382126071401	1.5023827367264899e-12	No	No
Q9UDR5	AASS	1.07818925669727	5.58127692771144e-05	No	No
Q9UHE8	STEAP1	2.8067729435225	3.42636523884699e-18	No	No
Q9UII4	HERC5	2.1791013872539	8.67566990971084e-13	No	No
Q9UJC5	SH3BGRL2	1.51840027949052	2.73014634187463e-08	No	No
Q9UKB3	DNAJC12	2.14363224349119	1.00039898452681e-08	No	No
Q9UKI2	CDC42EP3	3.18657593973573	3.86385088955182e-10	No	No
Q9ULL4	PLXNB3	1.01943917721281	4.38219615193129e-21	No	No
Q9UN76	SLC6A14	8.01245715464467	3.98649894723594e-21	No	No
Q9Y3M9	ZNF337	1.30577847304859	3.22956503258151e-07	No	No
Q9Y5U5	TNFRSF18	1.32987573095731	0.0002523509688854	No	No
Q9Y693	LHFPL6	1.01646437733893	0.0001090112828336	No	No
Q9Y6B2	EID1	1.03586796189563	0.0045809030714145	No	No
A0A1B0GWB2	PRRT1B	-1.52794839058819	5.275281792254949e-11	No	No
A1L020	MEX3A	-1.22900957541661	2.94179596551164e-17	No	No
A1L170	C1orf226	-1.00208784586887	2.33793797749405e-14	No	No
A4D1S0	KLRG2	-4.06484819635305	7.9274460888245e-50	No	No
A6NCQ9	RNF222	-1.38144622809034	0.0086085796500735	No	No
A6NMX2	EIF4E1B	-1.43883413231447	3.46023462248929e-10	No	No
A8MWY0	ELAPOR2	-1.00139345650316	9.73763723760931e-07	No	No
B1AK53	ESPN	-1.08799573631254	1.14668572086923e-19	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	-1.25807602832312	1.172188155024e-08	No	No
H3BS89	TMEM178B	-2.18673082958534	9.307815329887561e-09	No	No
O00391	QSOX1	-1.02786488553657	6.64631418982296e-24	No	No
O14613	CDC42EP2	-1.67819856099462	1.57398115626853e-06	No	No
O14684	PTGES	-2.43360729120306	7.28354447730211e-26	No	No
O15440	ABCC5	-1.25877051473171	2.0911720193790202e-23	No	No
O43745	CHP2	-1.46453125453553	0.0002434736567266	No	No
O60279	SUSD5	-1.17120063125505	1.68704097754761e-08	No	No
O60503	ADCY9	-1.23896925462768	3.2846206401506403e-25	No	No
O60663	LMX1B	-1.63997096331915	2.27440302946607e-08	No	No
O60704	TPST2	-1.18377739162533	1.11002670916886e-14	No	No
O60879	DIAPH2	-4.05449617560011	1.27661450155904e-16	No	No
O75052	NOS1AP	-1.08904477680523	8.78446629367304e-20	No	No
O75452	RDH16	-3.01373759959381	2.5750515683256798e-26	No	No
O76070	SNCG	-1.39359898074067	2.16995257891958e-27	No	No
O94953	KDM4B	-1.1655446637969	4.77821619385384e-33	No	No
O94955	RHOBTB3	-1.87401063474037	5.29393988231799e-12	No	No
O95069	KCNK2	-1.86531355538252	5.50356394483223e-26	No	No
O95259	KCNH1	-2.11583860294068	1.0356238745564e-07	No	No
O95425	SVIL	-1.75965854582632	4.5321488618856795e-34	No	No
O95817	BAG3	-1.2695896665261	1.21399147942157e-27	No	No
P00966	ASS1	-3.13819534000378	3.46327646366306e-54	No	No
P01033	TIMP1	-1.22846061381975	3.13218681884326e-06	No	No
P01619	IGKV3-20	-1.23116046006503	0.003180934865887	No	No
P02511	CRYAB	-1.47940934291977	2.90657463609264e-20	No	No
P02786	TFRC	-1.08598421985275	2.0136481896052997e-37	No	No
P03928	MT-ATP8	-1.09614454467823	6.44948134619545e-06	No	No
P04216	THY1	-1.50439693488493	4.026106127552091e-09	No	No
P05091	ALDH2	-4.17915210147052	4.50220841003501e-47	No	No
P06276	BCHE	-2.20733761084192	2.98137806460764e-07	No	No
P07996	THBS1	-1.02591654368788	8.02304356456132e-35	No	No
P08842	STS	-2.29278912856344	2.30455120337973e-18	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-1.13328705826937	2.11640325333637e-06	No	No
P10176	COX8A	-1.24129780582952	0.0025205179697683	No	No
P10275	AR	-1.75344935033253	4.48858638413557e-24	No	No
P10636	MAPT	-3.80134107980919	4.992881558949e-47	No	No
P10912	GHR	-1.6151980394577	4.2892493363396e-09	No	No
P15514	AREG	-3.31887657512124	8.752255962926869e-11	No	No
P16671	CD36	-1.59756215627189	1.49062829186604e-06	No	No
P17302	GJA1	-5.1164230860874	1.40419377049958e-41	No	No
P17600	SYN1	-2.80969923038044	8.34627359888684e-30	No	No
P17661	DES	-1.07977757538571	6.67232576250173e-06	No	No
P18065	IGFBP2	-1.24382794589521	4.5848655994682005e-21	No	No
P19544	WT1	-4.55650666807604	3.0576382579465496e-30	No	No
P20265	POU3F2	-1.31587670285573	0.0039814314083671	No	No
P21359	NF1	-6.03226113694538	2.59759606800295e-69	No	No
P23378	GLDC	-1.89013749045032	6.90374376640596e-37	No	No
P23458	JAK1	-1.08011370232638	5.1809966998712994e-34	No	No
P27144	AK4	-1.1910750248769	1.55327313243229e-29	No	No
P27544	CERS1	-1.34285641805557	1.73213986987878e-13	No	No
P29762	CRABP1	-1.43188709327271	9.54078905670309e-13	No	No
P30837	ALDH1B1	-1.46283114059721	2.7993436906642798e-27	No	No
P31274	HOXC9	-3.21357771315548	0.0003112287323173	No	No
P32004	L1CAM	-2.0196250520254	2.01515139915128e-37	No	No
P34741	SDC2	-1.62150044355397	1.75640402102418e-30	No	No
P35568	IRS1	-1.43384757961887	2.6669043541232002e-21	No	No
P36269	GGT5	-1.28115016372924	9.16112217367809e-05	No	No
P41212	ETV6	-1.07683709893991	1.3149047155065e-08	No	No
P42785	PRCP	-1.44654048871721	1.80727818417386e-29	No	No
P47974	ZFP36L2	-1.50261194696886	1.08967543512901e-13	No	No
P48061	CXCL12	-2.00297578019685	2.11484816051405e-13	No	No
P48200	IREB2	-1.73449839704003	9.67675391421215e-29	No	No
P48539	PCP4	-2.17797530913582	1.4663540865396e-12	No	No
P48741	HSPA7	-2.16032453346657	6.614650612287191e-09	No	No
P49006	MARCKSL1	-2.00854103963809	1.13491603717618e-29	No	No
P49703	ARL4D	-2.17647686341649	3.0671030351271097e-11	No	No
P49789	FHIT	-1.09871488419809	6.61728047720584e-17	No	No
P50148	GNAQ	-1.34297740890855	4.04535443497364e-09	No	No
P50219	MNX1	-1.00860181733975	1.77077472297117e-07	No	No
P50440	GATM	-1.93078875996888	3.3949329776144497e-28	No	No
P52566	ARHGDIB	-1.13136434648866	5.2416265822601e-18	No	No
P52799	EFNB2	-1.89153404172221	3.18332498777017e-07	No	No
P53634	CTSC	-1.08622555348879	8.97338918954856e-22	No	No
P53985	SLC16A1	-4.70961871571809	1.29716183457888e-29	No	No
P54108	CRISP3	-1.39580719148566	1.12877041323552e-06	No	No
P54764	EPHA4	-2.61477546895832	2.49550881127692e-27	No	No
P56159	GFRA1	-1.75673672818683	1.60547334180755e-06	No	No
P57729	RAB38	-1.91744126095677	5.2446728937783905e-21	No	No
P59901	LILRA4	-1.7046416671559	0.0004853837094075	No	No
P63096	GNAI1	-5.53718597267752	2.4340329073597797e-40	No	No
P78357	CNTNAP1	-1.1605598939105	4.0982500880495105e-15	No	No
P98155	VLDLR	-1.82737988374853	6.69182188747924e-06	No	No
Q01740	FMO1	-1.16921062499091	0.0011433626877794	No	No
Q01826	SATB1	-2.72212011593771	1.6922369027937297e-55	No	No
Q06455	RUNX1T1	-1.30614900506819	0.0042212208482785	No	No
Q12805	EFEMP1	-1.5568500643638	2.9267072121624e-26	No	No
Q12816	TRO	-1.35913750074495	0.0020921727438584	No	No
Q13003	GRIK3	-5.15687935918345	1.3533601316108499e-16	No	No
Q13066	GAGE2C	-1.47645788794264	1.50886815401282e-10	No	No
Q13069;Q13070	GAGE5;GAGE6	-1.10405924040569	4.67995612860682e-05	No	No
Q13576	IQGAP2	-2.49368346438388	2.33821128281802e-18	No	No
Q13636	RAB31	-2.31830619525549	3.50989054405924e-17	No	No
Q13641	TPBG	-1.15481753646582	5.10058772413159e-27	No	No
Q13671	RIN1	-1.34595094420763	2.57838091707509e-16	No	No
Q13740	ALCAM	-1.51713432138054	1.1447452392839e-29	No	No
Q13950	RUNX2	-1.11129207488803	6.51543121417085e-10	No	No
Q14168	MPP2	-2.04718166610207	3.75896247159312e-28	No	No
Q14749	GNMT	-1.05190666350234	3.08353443668012e-14	No	No
Q14802	FXYD3	-1.06327946858642	8.541519823643939e-11	No	No
Q14894	CRYM	-1.21208276745931	0.0016083127848825	No	No
Q15735	INPP5J	-1.35657932856704	4.6867247347598995e-29	No	No
Q15847	ADIRF	-1.30439278930132	0.0001255398745346	No	No
Q16143	SNCB	-1.35205553140968	9.35197792080729e-06	No	No
Q18PE1	DOK7	-1.60077467864828	9.46233270751944e-12	No	No
Q2M3V2	SOWAHA	-2.02891829150732	2.03749264938827e-31	No	No
Q2T9K0	TMEM44	-1.44505936420835	0.0031516832646404	No	No
Q3KP31	ZNF791	-1.37499397533779	0.000261094114854	No	No
Q3MIP1	ITPRIPL2	-1.16972900884437	3.4732234382652503e-10	No	No
Q52LW3	ARHGAP29	-1.60323817646871	5.445444486174721e-31	No	No
Q53R41	FASTKD1	-1.03258615402512	2.12473658685764e-06	No	No
Q58DX5	NAALADL2	-1.8241231260518	2.16141480722454e-15	No	No
Q5JSP0	FGD3	-1.37559465431675	9.73319539365809e-05	No	No
Q5SRE7	PHYHD1	-1.58299430731654	2.77527766960644e-08	No	No
Q5T2N8	ATAD3C	-1.24374410850673	0.0002804151419452	No	No
Q5T481	RBM20	-2.37558499839769	1.68442734353563e-11	No	No
Q5T848	GPR158	-1.28137520630669	2.34536841736364e-06	No	No
Q5VWT5	FYB2	-1.87795676910151	3.92585198491217e-08	No	No
Q5VX52	SPATA1	-2.77305581247538	5.378332752425449e-11	No	No
Q68D85	NCR3LG1	-1.19040232851799	4.08567730453549e-12	No	No
Q6DKJ4	NXN	-1.36292530111414	2.72914337726342e-27	No	No
Q6IQ19	CCSAP	-1.56546308285731	0.0013678684128528	No	No
Q6P4A8	PLBD1	-1.6464625931077	1.80281563295347e-17	No	No
