Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
O15481	MAGEB4	-1.08697051708332	9.81615912042346e-13	No	No
O43272	PRODH	-1.63881883373284	1.03602072856771e-40	No	No
O43295	SRGAP3	-1.21123977832996	2.21746299034596e-14	No	No
O43731	KDELR3	-1.46010857728892	1.57079367900376e-16	No	No
O43795	MYO1B	-2.16981470892538	1.84991194999409e-41	No	No
O60488	ACSL4	-1.19207252515995	1.09251329782288e-05	No	No
O60613	SELENOF	-1.52565406132762	3.73615270111369e-11	No	No
O75052	NOS1AP	-1.91813231169498	7.2571954627416e-30	No	No
O75081	CBFA2T3	-1.65413758692157	9.60691017650567e-13	No	No
O75204	TMEM127	-1.8223214467784	0.0084934581700976	No	No
O75363	BCAS1	-3.26094355203205	1.08603680788299e-37	No	No
O75452	RDH16	-2.95841725142674	5.583628559923039e-26	No	No
O75462	CRLF1	-2.13826176087172	7.06053878737928e-08	No	No
O75781	PALM	-2.25044977436745	4.1656154454483097e-22	No	No
O75952	CABYR	-1.15163058301987	0.0069635252510637	No	No
O76070	SNCG	-2.08093052220043	6.534188735348231e-35	No	No
O94818	NOL4	-1.12100036556592	1.8921446907297e-09	No	No
O94919	ENDOD1	-1.28081206463539	5.1438130132398e-31	No	No
O94955	RHOBTB3	-1.53966714804783	1.2847797789924502e-09	No	No
O95164	UBL3	-1.03002489363692	6.5097900374784504e-21	No	No
O95294	RASAL1	-1.12261759955009	7.81030225541815e-06	No	No
O95361	TRIM16	-1.12759997945517	3.04425165851076e-07	No	No
O95398	RAPGEF3	-2.11390996596507	2.21877782937252e-05	No	No
O95502	NPTXR	-1.48638598562587	6.90775327869e-08	No	No
O95528	SLC2A10	-1.89533968314997	3.12086533465911e-11	No	No
O95817	BAG3	-1.19733152709938	1.43248636081772e-26	No	No
O95864	FADS2	-1.88372193370555	1.83953314685143e-17	No	No
