Protein_Group	Genes	TP53_sg_1.2_3_250nM Palbo_vs_TP53_sg_1.2_3_Non Treated_logFC	TP53_sg_1.2_3_250nM Palbo_vs_TP53_sg_1.2_3_Non Treated_pval	Removed?	Contaminant?
O75330	HMMR	-1.75919656037897	6.1929747670429e-20	No	No
O75417	POLQ	-1.00469713832402	0.0002586401954592	No	No
O75419	CDC45	-1.9263956349908	5.3897009588237905e-25	No	No
O75461	E2F6	-1.1152965514856	5.54084085093318e-05	No	No
O75496	GMNN	-1.85994090175403	1.36543546497147e-10	No	No
O75717	WDHD1	-1.30832225373633	7.51815790245812e-38	No	No
O75764	TCEA3	-1.45469978581988	7.09892268875268e-24	No	No
O75828	CBR3	-1.02624530433904	1.0728395044102301e-23	No	No
O94761	RECQL4	-1.64529073995073	5.965827555761979e-30	No	No
O94782	USP1	-1.13934013167852	8.56155354476785e-16	No	No
O94986	CEP152	-1.0048423350496	9.251873130893361e-14	No	No
O95067	CCNB2	-1.83919894236099	1.34744936407154e-18	No	No
O95229	ZWINT	-1.36422507624536	7.26480541469768e-22	No	No
O95235	KIF20A	-2.23202695430163	2.4736834521083299e-29	No	No
O95239	KIF4A	-2.36234590490254	3.08921616498558e-43	No	No
O95347	SMC2	-1.28336355231369	7.4485324608032e-39	No	No
O95997	PTTG1	-1.87891716624557	2.56497088501483e-13	No	No
O96020	CCNE2	-1.41162337578103	8.649308838996291e-09	No	No
O96028	NSD2	-1.44795141029023	5.09366060252172e-26	No	No
P00374	DHFR	-2.12281320526221	1.5407236730116e-34	No	No
P04183	TK1	-1.93506192702694	1.55377830506797e-27	No	No
P04818	TYMS	-2.87244443580779	1.1778409889636198e-22	No	No
P06493	CDK1	-1.8365665346175	8.1006866307967e-39	No	No
P09884	POLA1	-1.37654163478395	2.4657717455149397e-36	No	No
P10244	MYBL2	-1.48691000032022	4.66489004551817e-11	No	No
P10412	H1-4	-1.49309749055624	6.60883880787971e-13	No	No
P11388	TOP2A	-1.80865198432573	4.4230970161626396e-36	No	No
P12004	PCNA	-1.31108488046616	1.96869160291675e-33	No	No
P14635	CCNB1	-2.01080168199522	4.04010904635614e-23	No	No
P16401	H1-5	-1.2372771367926	4.42365913140935e-21	No	No
P16402	H1-3	-1.47136106819677	1.7749876772430102e-23	No	No
P16403	H1-2	-1.25061976267299	1.0042370182326801e-10	No	No
P16949	STMN1	-1.19464012944818	6.869041294409431e-21	No	No
P17707	AMD1	-1.0688602795962	0.0015234105955843	No	No
P18858	LIG1	-1.23218123701124	7.138960901340031e-35	No	No
P19544	WT1	-1.04923856567228	7.15500795736045e-08	No	No
P20248	CCNA2	-1.84252286312686	1.5978592831848701e-09	No	No
P21579	SYT1	-1.18571595761718	2.43262737093779e-18	No	No
P26358	DNMT1	-1.27794731367146	2.0776868932529697e-40	No	No
P26583	HMGB2	-1.2726163975496	3.2121907947123097e-26	No	No
P30305	CDC25B	-1.95765675308707	4.45187823176294e-12	No	No
P30307	CDC25C	-1.84150603287601	1.9032567334333998e-27	No	No
P30793	GCH1	-1.08168849961007	4.02755868967926e-07	No	No
P31350	RRM2	-1.90583941585913	3.2327604435817603e-35	No	No
P33316	DUT	-1.78274480060524	1.1931653476817001e-36	No	No
P33552	CKS2	-1.54598054491232	1.87572487275167e-13	No	No
P33981	TTK	-1.06020753390208	1.67812161159385e-22	No	No
P33991	MCM4	-1.00857830212971	3.29481886339292e-39	No	No
P35219	CA8	-1.10559969945313	2.08727120536697e-20	No	No
P35544	FAU	-1.18139177661068	0.0001656851790868	No	No
P38398	BRCA1	-1.14852191310928	2.34211117655294e-19	No	No
P39748	FEN1	-1.07513200165798	3.63577886885648e-38	No	No
P41002	CCNF	-1.21148509011661	0.0002832317705378	No	No
P42166	TMPO	-1.12801653916717	4.77804638509657e-37	No	No
P42575	CASP2	-1.09858829899603	1.0950911147139601e-20	No	No
P42695	NCAPD3	-1.60773644687265	4.1018458212089294e-36	No	No
P46013	MKI67	-2.01699741836194	1.0275027499131799e-36	No	No
P49366	DHPS	-1.29558729533877	6.72996577924014e-26	No	No
P49454	CENPF	-1.84648910510414	2.58488341796044e-33	No	No
P49638	TTPA	-1.83294966606222	8.07962801075361e-08	No	No
P49642	PRIM1	-1.63929948139056	9.33993133284261e-38	No	No
P49643	PRIM2	-1.35826423479574	3.9696912229488604e-31	No	No
P50219	MNX1	-1.16417897058909	6.758360002417911e-09	No	No
P51530	DNA2	-1.41234764905027	1.52240598687941e-13	No	No
P51955	NEK2	-1.51471850357246	1.01394589044204e-10	No	No
P52292	KPNA2	-1.08730213537823	1.2013863614436098e-30	No	No
P52732	KIF11	-1.79866099983172	6.63864191188685e-37	No	No
P53350	PLK1	-1.72327770927851	1.0978669085773298e-30	No	No
P54132	BLM	-1.29841623902471	2.53968799661325e-16	No	No
P55771	PAX9	-1.00246546048835	0.0035616302179342	No	No
P55851	UCP2	-1.28320338878997	2.57072174496321e-09	No	No
P56159	GFRA1	-1.76640234746169	1.44799873667813e-06	No	No
P56270	MAZ	-1.02352119799686	1.07966249344367e-11	No	No
P56282	POLE2	-1.61694958096071	1.77461565805405e-21	No	No
P59796	GPX6	-2.54652919928685	1.65361197775279e-12	No	No
P61024	CKS1B	-1.71065044994184	7.20784870773091e-17	No	No
P61925	PKIA	-4.98607112559542	6.74119783068157e-06	No	No
P78549	NTHL1	-1.65925803240884	2.06411773259981e-17	No	No
Q01664	TFAP4	-1.80620885550679	7.10394907113251e-07	No	No
Q02224	CENPE	-1.42978774797886	4.74471881397292e-14	No	No
Q02241	KIF23	-1.73289144290114	4.20689772855247e-35	No	No
Q03014	HHEX	-1.06718003506126	3.57919009552601e-08	No	No
Q05D32	CTDSPL2	-1.41884668920855	1.70037177639515e-30	No	No
Q06609	RAD51	-1.52272505061318	1.85683695786019e-15	No	No
Q07864	POLE	-1.50057098229519	8.0279645901963e-38	No	No
Q08050	FOXM1	-1.12510255427662	0.0015606598475235	No	No
Q0VDD8	DNAH14	-1.51523331146731	2.75387204606229e-07	No	No
Q12815	TROAP	-1.52025469206896	2.4970682051385198e-11	No	No
Q12834	CDC20	-2.00495091103049	1.17036654533996e-23	No	No
Q13015	MLLT11	-1.38767561142075	3.44102072988519e-06	No	No
Q13111	CHAF1A	-1.03996286961842	8.56713596793893e-23	No	No
Q13112	CHAF1B	-1.27778491550522	6.1176973199268e-30	No	No
Q13257	MAD2L1	-1.13244270126722	3.9541432542626e-18	No	No
Q14181	POLA2	-1.23118148244964	7.57547988001141e-24	No	No
Q14566	MCM6	-1.00302209298771	5.20124814033962e-37	No	No
Q14674	ESPL1	-2.08797427936737	9.9414029196356e-25	No	No
Q14691	GINS1	-1.35213026036057	2.25472026682016e-24	No	No
Q14807	KIF22	-2.3094232864567	1.81828661660825e-33	No	No
Q14CB8	ARHGAP19	-1.39430046697864	1.10125470975569e-10	No	No
Q15003	NCAPH	-1.67580578060139	1.43804477544209e-39	No	No
Q15004	PCLAF	-2.33724211375751	9.342893729880559e-22	No	No
Q15021	NCAPD2	-1.806970840071	1.70172525587918e-46	No	No
Q15058	KIF14	-1.6169164853768	2.6468382028436697e-36	No	No
Q15072	ZNF146	-1.27033965069815	0.0001308749686064	No	No
Q15398	DLGAP5	-1.62786511185487	1.84863702398181e-29	No	No
Q15468	STIL	-1.55689004102068	1.67656684240329e-14	No	No
Q15742	NAB2	-1.18473972435987	3.73605309788824e-24	No	No
Q15910	EZH2	-1.10864601851619	3.55224591643837e-21	No	No
Q16659	MAPK6	-1.31764444715757	0.0086558234523079	No	No
Q16667	CDKN3	-1.63773106422547	3.82400505993367e-06	No	No
Q16763	UBE2S	-1.81534738964452	1.97098216740817e-23	No	No
Q2I0M4	LRRC26	-1.29045778438873	4.05477874979092e-05	No	No
Q2NKX8	ERCC6L	-1.19782245082376	2.7457566746319e-29	No	No
Q53EZ4	CEP55	-1.66623168162076	3.32905200929073e-27	No	No
Q53HL2	CDCA8	-2.07095346122077	1.1945051989851601e-21	No	No
Q562F6	SGO2	-1.57836418084576	1.1034321948423401e-09	No	No
Q56A73	SPIN4	-1.59130407608533	6.50678258835181e-16	No	No
Q56NI9	ESCO2	-1.50207713061759	4.72197106501709e-15	No	No
Q5FBB7	SGO1	-1.92856706265271	1.3742230291660201e-15	No	No
Q5HYJ3	FAM76B	-1.00076525139857	8.28450074695865e-14	No	No
Q5T6S3	PHF19	-1.85247212217967	1.96163163093371e-13	No	No
Q5UIP0	RIF1	-1.16701812535082	8.94215080448483e-36	No	No
Q69YH5	CDCA2	-1.46088759103652	1.96708547521258e-12	No	No
Q6IBW4	NCAPH2	-1.78168795254277	2.48531504170608e-28	No	No
Q6IE81	JADE1	-1.25876924119561	3.5863645044987496e-12	No	No
Q6IPU0	CENPP	-1.55235100724984	1.22324810922878e-11	No	No
Q6P0N0	MIS18BP1	-1.4790942620093	1.04498479511061e-18	No	No
Q6P4F7	ARHGAP11A	-1.18321019074797	1.80739072795776e-05	No	No
Q6PGN9	PSRC1	-1.57068460594155	1.19485976117425e-13	No	No
Q6PIW4	FIGNL1	-1.00679156618106	2.0652564810123102e-25	No	No
Q6PL18	ATAD2	-1.68779266886217	1.6369514821326202e-35	No	No
Q6SJ93	FAM111B	-1.52733107610929	4.7773209211309995e-24	No	No
Q6UWI4	SHISA2	-1.82932447367315	6.20496675445169e-13	No	No
Q6YHK3	CD109	-1.44947244479187	1.7921127703707e-08	No	No
Q6ZRQ5	MMS22L	-1.21539752545102	3.0647833311511e-16	No	No
Q71F23	CENPU	-1.38150509759987	1.7215207867468002e-20	No	No
Q7L266	ASRGL1	-2.90054912260844	1.4755329914334098e-11	No	No
Q7L2K0	TEDC2	-1.1478296374812	4.188858023949e-07	No	No
Q7L2Z9	CENPQ	-1.16554074933523	7.98917091011368e-12	No	No
Q7L590	MCM10	-1.41616470748727	8.52948911394591e-06	No	No
Q7Z7L1	SLFN11	-1.50333326385558	1.77357591839977e-24	No	No
Q86SX3	TEDC1	-1.16576074440728	3.60659977348035e-16	No	No
Q86T82	USP37	-1.5699450373379	2.1693812275312802e-14	No	No
Q86UD0	SAPCD2	-1.23352592819197	1.4216086281539e-21	No	No
Q86VI3	IQGAP3	-2.33206567391405	1.44047348345347e-28	No	No
Q86XI2	NCAPG2	-1.8518846552742	2.3405251507252103e-35	No	No
Q86XJ1	GAS2L3	-1.63606350252562	8.283735306584939e-18	No	No
Q86XK3	SFR1	-1.12021563043238	4.20013226141744e-05	No	No
Q86Y91	KIF18B	-2.00202966217601	1.57542340482841e-14	No	No
Q86Y97	KMT5C	-1.34097585101911	4.03136014759402e-16	No	No
Q86YI8	PHF13	-1.05587617272408	0.0007400164797122	No	No
Q8IX21	SLF2	-1.13347248212878	1.6159633958342e-06	No	No
Q8IX90	SKA3	-1.88823613966574	1.1251547002463001e-10	No	No
Q8IYA6	CKAP2L	-2.14694005139039	3.7748281884278598e-16	No	No
Q8IYW5	RNF168	-1.7641098105052	4.12059284345603e-20	No	No
Q8IZC4	RTKN2	-1.10976794352184	4.83104474196316e-06	No	No
Q8IZT6	ASPM	-1.04743145022172	2.98752979902437e-16	No	No
Q8N2Z9	CENPS	-1.4336848457267	2.02396288132748e-23	No	No
Q8N3J2	METTL4	-1.46424870419862	1.10358906484192e-07	No	No
Q8N4T4	ARHGEF39	-1.92111544291397	2.92131585156022e-05	No	No
Q8N806	UBR7	-1.00597456983003	1.88644384096533e-24	No	No
Q8NBT2	SPC24	-2.22004286009562	2.3757697223741896e-30	No	No
Q8NCD3	HJURP	-2.11854375733788	1.15740188541649e-12	No	No
Q8NEM2	SHCBP1	-1.58407776580822	9.02601617262011e-32	No	No
Q8NEV8	EXPH5	-1.08883097436333	1.19255756638056e-22	No	No
Q8NFX7	STXBP6	-2.03094996406528	1.73293100590404e-06	No	No
Q8NG31	KNL1	-1.61482606247138	1.3416802472261e-25	No	No
Q8NI77	KIF18A	-1.49182664007678	4.66511287117154e-16	No	No
Q8TCG1	CIP2A	-1.55408099444315	3.10816924957231e-31	No	No
Q8TD31	CCHCR1	-1.20650875290649	9.38289252722629e-06	No	No
Q8WU67	ABHD3	-1.01287139030782	0.0068378897908623	No	No
Q8WVK7	SKA2	-1.41586339401112	2.97671488445446e-11	No	No
Q8WWK9	CKAP2	-1.61516194326611	2.27114682284205e-22	No	No
Q8WXX5	DNAJC9	-1.0746296828361	2.60451024014456e-26	No	No
Q92466	DDB2	-1.26149679135844	1.1478513507185099e-30	No	No
Q92674	CENPI	-1.07564202728783	4.84113455221563e-08	No	No
Q92686	NRGN	-1.52364067046618	2.56864024335767e-05	No	No
Q92985	IRF7	-1.13401352323488	0.0003098654550016	No	No
Q96B01	RAD51AP1	-1.58494953833492	5.32821454998181e-18	No	No
Q96BD8	SKA1	-1.91990067518964	5.21489146404343e-11	No	No
Q96BT3	CENPT	-1.00548697909777	1.0531326092333401e-15	No	No
Q96BZ8	LENG1	-1.02690048697655	1.44048151140896e-17	No	No
Q96E14	RMI2	-1.00805959888872	4.02501798696475e-17	No	No
Q96FC9	DDX11	-1.24430596063852	2.62656827595095e-13	No	No
Q96FF9	CDCA5	-2.2523714272079	2.41273924604445e-23	No	No
Q96G04	EEF2KMT	-1.04028485317318	4.711718750998301e-10	No	No
Q96GD4	AURKB	-2.14100077990842	1.04676446473505e-28	No	No
Q96GN5	CDCA7L	-1.62235358710043	9.70738439841773e-12	No	No
Q96GX5	MASTL	-1.32777957056991	8.14212362078212e-13	No	No
Q96H22	CENPN	-1.28795087236433	1.0291171427570201e-14	No	No
Q96HA7	TONSL	-1.17759416933665	5.97682377567973e-22	No	No
Q96HE9	PRR11	-1.81743587957322	3.00914866367714e-23	No	No
Q96KB5	PBK	-2.31981688761314	4.83038215350367e-34	No	No
Q96L50	LRR1	-1.17265066622256	9.79521576330293e-11	No	No
Q96M11	HYLS1	-1.10762964647762	2.34777888187623e-07	No	No
