Protein_Group	Genes	T47D_C_Non Treated_vs_T47D _Non Treated_logFC	T47D_C_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q86X51	EZHIP	2.68350187002433	3.9632833547561395e-18	No	No
Q8IZ40	RCOR2	1.04909098321293	5.63806142403716e-06	No	No
Q8N2H9	PELI3	1.26247264629322	6.67935303645909e-05	No	No
Q8N5U6	RNF10	1.16396095154743	6.33172579290263e-22	No	No
Q8N8I0	SAMD12	1.15888170894	0.009102145638193	No	No
Q8NCU8	MTLN	1.6177157496282	0.0015090032939164	No	No
Q8NDZ4	DIPK2A	1.50420021366706	7.32944270414321e-35	No	No
Q8NEG4	FAM83F	1.38018124187625	5.73201442963303e-14	No	No
Q8NFT2	STEAP2	1.40815326030169	8.575364651153531e-21	No	No
Q8NFX7	STXBP6	3.11242899273734	8.058124134248809e-11	No	No
Q8TC76	FAM110B	1.42424356315752	0.0001748165274804	No	No
Q8TCZ2	CD99L2	1.27803124959333	6.69622172031336e-15	No	No
Q8WY91	THAP4	1.0328827307696	2.48102592230885e-06	No	No
Q92521	PIGB	1.30079744606518	0.0003208223674648	No	No
Q92597	NDRG1	1.60986046770731	2.32523723166757e-22	No	No
Q93084	ATP2A3	1.19962266622545	7.933879251129631e-31	No	No
Q969T4	UBE2E3	1.00002133690907	2.37029116988264e-06	No	No
Q96CX6	LRRC58	1.91320075594051	1.87231393260013e-08	No	No
Q96DB9	FXYD5	1.01654221096866	1.2997454154255602e-15	No	No
Q96DN0	ERP27	1.34833914074619	0.0006687084638012	No	No
Q96FS4	SIPA1	1.79954710137847	3.76233151039624e-26	No	No
Q96GM1	PLPPR2	1.36172004093469	0.0014129843070069	No	No
Q96GY0	ZC2HC1A	2.61434257104904	7.97688013848773e-27	No	No
Q96NY7	CLIC6	1.52772592058383	1.06543930843907e-14	No	No
Q96PM9	ZNF385A	1.0366924454732	1.62050704760275e-24	No	No
Q96QK8	SMIM14	1.37897806582976	0.0022753478892471	No	No
Q96S99	PLEKHF1	1.21638865765526	1.18204844002787e-07	No	No
Q99595	TIMM17A	1.03004869945429	1.31906429655362e-06	No	No
Q99608	NDN	3.7276093167912	3.75932203640302e-16	No	No
Q99741	CDC6	1.08197224202924	2.90713084234721e-07	No	No
Q99784	OLFM1	1.14588655946609	6.99954914300064e-08	No	No
Q9BW04	SARG	1.61615949233068	2.47943304801718e-08	No	No
Q9BWG6	SCNM1	1.06012766204392	3.43207862389935e-09	No	No
Q9BX66	SORBS1	1.63509070011763	2.27252846026832e-20	No	No
Q9BY50	SEC11C	1.18985750216916	5.928997567330431e-19	No	No
Q9BZJ4	SLC25A39	1.55143922392356	4.43590538382396e-13	No	No
Q9H257	CARD9	1.06322127012075	8.52500014576313e-05	No	No
Q9H4D0	CLSTN2	1.14841477530249	0.0068297169441233	No	No
Q9H568	ACTL8	2.91612319805644	3.62208113573675e-17	No	No
Q9H5V7	IKZF5	1.32734341380547	0.000119826808189	No	No
Q9H7S9	ZNF703	1.55506189277398	3.14950373838858e-19	No	No
Q9H9K5	ERVMER34-1	2.29838672269182	1.23941654405306e-08	No	No
Q9NQ36	SCUBE2	1.76670628407209	2.6095639499903502e-20	No	No
Q9NRH2	SNRK	1.1599836050817	5.66301818406626e-05	No	No
Q9NRN5	OLFML3	2.64073402510682	8.605755037581249e-42	No	No
Q9NRZ5	AGPAT4	1.1097962768362	1.99443970583308e-08	No	No
Q9NWH2	TMEM242	1.22421954926292	3.9597875911259504e-14	No	No
Q9NXC2	GFOD1	1.01342780099301	9.00859710896482e-07	No	No
Q9NYP9	MIS18A	1.1034734658467	3.2255554356825e-14	No	No
Q9P0P0	RNF181	1.08835227695785	2.78396428890267e-16	No	No
Q9P291	ARMCX1	1.52228893046406	3.55167581716729e-13	No	No
Q9UHE8	STEAP1	2.79998279289112	3.7491227758784e-18	No	No
Q9UII4	HERC5	1.60773817064156	4.37631028330831e-09	No	No
Q9UMW8	USP18	1.87525695414159	3.00818925281174e-08	No	No
Q9UN76	SLC6A14	2.72191219754488	8.28452517571394e-07	No	No
Q9UPT6	MAPK8IP3	1.39577160786439	1.6702865896991e-20	No	No
Q9UPW6	SATB2	1.28382366388486	0.0006909776112079	No	No
Q9UQ84	EXO1	1.06741195701423	2.09399086133394e-06	No	No
Q9UQV4	LAMP3	1.61238325637929	9.544171805031769e-11	No	No
Q9Y255	PRELID1	1.02445235138153	3.2032990684310703e-14	No	No
Q9Y3B1	PRELID3B	1.18850676835698	3.2723009303905494e-11	No	No
Q9Y4D7	PLXND1	1.20000692439856	1.06803087499154e-12	No	No
Q9Y4H4	GPSM3	1.1717737216057	0.008053982468593	No	No
Q9Y6M1	IGF2BP2	2.68474805065405	1.0903893349108201e-44	No	No
A0A087WUL8	NBPF19	-1.61641593150563	2.68382978739149e-19	No	No
A2RUS2	DENND3	-1.20435614172809	1.90779228351496e-06	No	No
A4D1S5	RAB19	-1.27429431025206	1.74582902480651e-24	No	No
A6NC05	C5orf63	-1.62437698878251	8.75161467421236e-05	No	No
A6NDB9	PALM3	-1.09642616714774	1.7930521448071e-08	No	No
A6NMD0	IFITM10	-1.34552655010569	2.46077011611457e-05	No	No
A8MUP2	CSKMT	-1.44972237698207	0.0090840327294052	No	No
B0YJ81	HACD1	-1.18162203300744	9.4642731497455e-06	No	No
C9JA33	PALM2AKAP2	-1.60114924978093	6.36882221894367e-31	No	No
O00519	FAAH	-1.18017490790255	5.7733600566299e-25	No	No
O14967	CLGN	-1.94664191737468	2.40535613298332e-21	No	No
O14975	SLC27A2	-1.29110128754273	6.88176711806514e-07	No	No
O15021	MAST4	-1.19109826163668	5.40149133229777e-08	No	No
O15050	TRANK1	-1.80980428311134	3.61317843476781e-05	No	No
O15327	INPP4B	-1.72821511404244	1.3611998341474298e-36	No	No
O15488	GYG2	-1.94700397504766	8.5140470289776e-10	No	No
O43556	SGCE	-1.63122576540878	3.78535332202339e-10	No	No
O43731	KDELR3	-1.02330004507869	1.6909678565175698e-11	No	No
O60268	KIAA0513	-1.01149757762664	4.0349925399999403e-19	No	No
O60294	LCMT2	-1.16008139910433	4.4765394595873505e-19	No	No
O60437	PPL	-1.08211996392119	6.72337165520174e-36	No	No
O75056	SDC3	-1.3322012997422	0.0004648587315327	No	No
O76082	SLC22A5	-1.27649348913348	2.1598430545082702e-20	No	No
O94923	GLCE	-1.19409089865389	4.30400561855973e-20	No	No
O95069	KCNK2	-1.12912890542208	2.15421295150162e-17	No	No
O95255	ABCC6	-1.81975691703532	2.5945971801424097e-18	No	No
O95466	FMNL1	-1.02612740112076	0.0069700617115795	No	No
O95751	LDOC1	-1.62912926561759	0.0002889061648729	No	No
O95848	NUDT14	-1.3362811023169	0.0010982381145357	No	No
P00966	ASS1	-1.20282633222018	1.65779877695065e-35	No	No
P03971	AMH	-1.18401465193491	0.0005891762477643	No	No
P04083	ANXA1	-1.89321025041105	5.107775268504871e-25	No	No
P05091	ALDH2	-1.81453525728578	5.369882871988891e-31	No	No
P07195	LDHB	-1.68910864871999	4.19571340045065e-08	No	No
P07332	FES	-1.17899532578959	8.98367696424219e-10	No	No
P08133	ANXA6	-1.09164889482919	5.68699439865994e-41	No	No
P08247	SYP	-1.03874686484991	5.71889463982279e-07	No	No
P08582	MELTF	-1.26302672306304	3.09616949372655e-05	No	No
P08648	ITGA5	-1.08327449437191	1.78891727482038e-18	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-2.01736277909662	1.33511334823555e-12	No	No
P0DPF2	NBPF20	-2.10828856428352	2.97012710602401e-08	No	No
P12429	ANXA3	-1.73003901764596	1.75980355909126e-26	No	No
P15514	AREG	-2.15510651158535	2.00455425547107e-06	No	No
P16070	CD44	-1.90853246303818	1.0270685226287501e-17	No	No
P16083	NQO2	-1.53592890285862	1.7327224358805302e-09	No	No
P21397	MAOA	-1.69931878676501	0.0068360978305447	No	No
P25815	S100P	-1.09036815138005	4.70259128248564e-12	No	No
P30047	GCHFR	-1.2387284056164	1.6576650786587698e-12	No	No
P30837	ALDH1B1	-1.11134017519659	2.30576393357441e-22	No	No
P31641	SLC6A6	-1.40406326156226	6.5205726410978e-17	No	No
P32455	GBP1	-1.07280844608187	0.0003441690509631	No	No
P32929	CTH	-1.29061249601698	1.9553934152854802e-14	No	No
P34949	MPI	-1.18346969471918	2.21172747381178e-24	No	No
P35408	PTGER4	-2.23811234607721	1.35197265845172e-09	No	No
P36269	GGT5	-1.52882405154817	5.98144768997127e-06	No	No
P36897	TGFBR1	-1.31816329770961	2.6522375656310398e-22	No	No
P41247	PNPLA4	-1.36578901052206	2.5268656089177903e-14	No	No
P43121	MCAM	-1.53261822289654	8.56446408674438e-16	No	No
P43353	ALDH3B1	-2.26781730489285	8.92706022127746e-36	No	No
P45844	ABCG1	-1.90432099782598	1.29328188858553e-07	No	No
P47895	ALDH1A3	-1.59443001108785	5.2682610898539095e-12	No	No
P49326	FMO5	-2.06352048064363	4.5695989472238505e-14	No	No
P49662	CASP4	-1.72563614519038	7.0834565937419e-13	No	No
P50225	SULT1A1	-1.85184450668794	2.3455910749007998e-35	No	No
P50226	SULT1A2	-2.30194560514555	4.34069219813638e-23	No	No
P51784	USP11	-1.08799835384714	1.21629540159689e-25	No	No
P53365	ARFIP2	-1.03756761231731	5.61870902114181e-25	No	No
P54852	EMP3	-1.38930249691327	1.31247061204951e-06	No	No
P55899	FCGRT	-1.04507352176988	8.67858064048732e-13	No	No
P56159	GFRA1	-1.63877524007697	5.61687427704128e-06	No	No
P57729	RAB38	-2.19557922560362	2.35064553691274e-23	No	No
P58753	TIRAP	-1.00482107549228	0.0096967671341101	No	No
P78357	CNTNAP1	-1.58503128511239	4.66109287652829e-20	No	No
P78364	PHC1	-1.58232474186876	8.66338603764313e-05	No	No
P86452	ZBED6	-1.58329211273891	2.74449980380275e-10	No	No
P98082	DAB2	-1.32127576219352	3.14659952141944e-07	No	No
Q02487	DSC2	-1.00288257234399	4.73035869770489e-19	No	No
Q03001	DST	-1.05924213988541	7.624411773996639e-40	No	No
Q03112	MECOM	-1.24242681204323	2.71864644195237e-07	No	No
Q04656	ATP7A	-1.09159426583784	1.19920480645786e-15	No	No
Q04771	ACVR1	-1.09990598414878	1.88115493590719e-07	No	No
Q05682	CALD1	-1.70625190928236	3.57158395989848e-30	No	No
Q08AF3	SLFN5	-1.32860932832531	2.39138771635149e-29	No	No
Q13057	COASY	-1.00242184886169	3.0782175244306198e-33	No	No
Q13636	RAB31	-1.27536624936336	3.8406900193688905e-09	No	No
Q13825	AUH	-1.28904535703822	7.35041469115534e-27	No	No
Q14142	TRIM14	-1.38042863930984	3.31417412329062e-09	No	No
Q14574	DSC3	-1.03957090992017	7.85395455266121e-07	No	No
Q16762	TST	-1.15686614383119	2.0980391027083498e-26	No	No
Q16773	KYAT1	-1.11425302709209	9.28990785322534e-12	No	No
Q2KHR2	RFX7	-2.04808402584976	1.74684505762946e-06	No	No
Q53GG5	PDLIM3	-1.14827607688344	0.0014022250730718	No	No
Q58DX5	NAALADL2	-1.71494363397516	1.75692660818189e-14	No	No
Q5JSP0	FGD3	-1.70661119887948	3.26471297580928e-06	No	No
Q5JTY5;Q5RIA9	CBWD3;CBWD5	-1.45264268147207	0.0075694042298867	No	No
