Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast  _Non Treated_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
P06401	PGR	-1.18725427398672	1.58570685285304e-28	No	No
P07099	EPHX1	-1.00300439354306	1.45320073489297e-32	No	No
P07948	LYN	-1.22594665642226	1.92185608118164e-17	No	No
P07996	THBS1	-1.10926935143297	2.5669807807040598e-36	No	No
P08582	MELTF	-1.86047096529353	1.8179478553094e-08	No	No
P08648	ITGA5	-1.56672289060443	8.38149383344884e-25	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-2.33022620677125	1.27309127575575e-14	No	No
P0DTW1	GAGE1	-2.37338487747817	0.0001557998329379	No	No
P10636	MAPT	-2.62424567110633	8.215134165150859e-40	No	No
P12273	PIP	-3.34669249194136	7.3190144088789e-34	No	No
P13284	IFI30	-1.54272734284399	4.41517414301152e-16	No	No
P13688	CEACAM1	-1.54300713918752	1.20724741334259e-05	No	No
P15153	RAC2	-2.08712050967607	3.88941785907165e-27	No	No
P15328	FOLR1	-2.62886261173961	1.25605433048646e-37	No	No
P15408	FOSL2	-1.37526592853997	1.73429410969936e-06	No	No
P16035	TIMP2	-1.18092001100782	1.8108841935079e-11	No	No
P16070	CD44	-3.13423414332258	3.03020000479865e-26	No	No
P16219	ACADS	-2.88931144755462	2.48807354629836e-33	No	No
P17302	GJA1	-3.07927864922639	7.712522742220331e-32	No	No
P17600	SYN1	-2.26734096027539	7.325295759637819e-26	No	No
P17813	ENG	-2.02258456202358	2.69252032705952e-25	No	No
P19544	WT1	-1.31130674591298	2.98213384386384e-10	No	No
P20337	RAB3B	-1.27677820161916	0.0008985115267054	No	No
P20591	MX1	-1.30664430602318	1.1947418373656099e-12	No	No
P21583	KITLG	-1.17248328484144	3.16955186002919e-14	No	No
P21695	GPD1	-1.14517398774261	2.13637773409127e-16	No	No
P21926	CD9	-1.53623342368969	1.41851578363327e-29	No	No
P22083	FUT4	-1.04272592894943	3.33780453325634e-05	No	No
P22736	NR4A1	-1.0551581104509	0.0002783305105031	No	No
P23297	S100A1	-1.54516057025126	4.5355597520162095e-12	No	No
P23497	SP100	-1.01454132790182	1.19215222509642e-19	No	No
P25311	AZGP1	-2.13798646687069	6.683431866522e-35	No	No
P25942	CD40	-1.26342195073301	3.47314077882602e-08	No	No
P26447	S100A4	-1.64809204509692	1.19941530782872e-18	No	No
P29728	OAS2	-2.74198703925606	4.211386235693771e-15	No	No
P30837	ALDH1B1	-1.2974083336235	4.21418914319187e-25	No	No
P35568	IRS1	-3.49366578505985	9.80344159036112e-38	No	No
P36269	GGT5	-1.30239583434317	7.28993635290651e-05	No	No
P36575	ARR3	-1.76853213470361	8.986463417063449e-11	No	No
P38936	CDKN1A	-1.88220623645228	4.0918410367309e-15	No	No
P39060	COL18A1	-1.48052336969598	1.69735995440219e-16	No	No
P41271	NBL1	-1.17510741921496	6.38975694380504e-06	No	No
P42226	STAT6	-1.04033305446843	9.701505390399639e-26	No	No
P42685	FRK	-2.07684660141007	1.0378363710085e-14	No	No
P42785	PRCP	-1.86798215901607	2.7450813128995397e-34	No	No
P43234	CTSO	-1.12099378231084	6.82438799094293e-07	No	No
P43405	SYK	-1.13727092577186	2.2594975687577902e-19	No	No
P45844	ABCG1	-1.34999629215909	5.92451587692067e-05	No	No
P48066	SLC6A11	-1.70829108157695	0.0014771295358345	No	No
P49407	ARRB1	-1.46377801869471	1.6047001798152999e-35	No	No
P50226	SULT1A2	-1.8980480389598	8.80043849187525e-20	No	No
P51687	SUOX	-1.01581331731542	1.48005367073334e-27	No	No
P52566	ARHGDIB	-1.85810183095256	1.40763601738939e-26	No	No
P52735	VAV2	-2.15184813271776	4.36732550491903e-40	No	No
P53634	CTSC	-1.57228472925951	2.1184837636664e-28	No	No
P53985	SLC16A1	-1.45420430762004	1.0883025539551101e-10	No	No
P54108	CRISP3	-1.57577176084333	9.41522649717875e-08	No	No
P54868	HMGCS2	-1.49404780688556	1.41912581326852e-24	No	No
P54922	ADPRH	-1.34402423792626	1.3749730087247e-13	No	No
P56159	GFRA1	-1.77798239880075	1.2794048157823e-06	No	No
P57729	RAB38	-1.12923038914902	8.12232531093259e-13	No	No
P60484	PTEN	-4.47461601045509	2.07583105024639e-07	No	No
P60606	CTXN1	-1.79586909889694	6.16491666535225e-06	No	No
P61764	STXBP1	-1.76015335715196	1.94392180643141e-24	No	No
P63096	GNAI1	-2.34612299130748	3.26293138331044e-24	No	No
P68106	FKBP1B	-1.24612925186724	0.0010735367059504	No	No
P78357	CNTNAP1	-1.03619347482077	1.75915860056491e-13	No	No
P78415	IRX3	-1.21163470335878	4.29963644427886e-14	No	No
P80365	HSD11B2	-1.5010496807408	4.5314980356572504e-15	No	No
Q07002	CDK18	-1.36353014618078	3.30380706002131e-22	No	No
Q07954	LRP1	-1.41693050459526	1.2480653828047499e-28	No	No
Q08495	DMTN	-1.95017023896056	5.10765280089558e-12	No	No
Q0P5N6	ARL16	-1.6970208474368	0.0011942580030287	No	No
Q12805	EFEMP1	-1.39966928924309	2.4078195234324202e-24	No	No
Q13009	TIAM1	-1.47865425445011	2.2328963993065398e-11	No	No
Q13066	GAGE2C	-1.52213808563051	6.448375112012359e-11	No	No
Q13069;Q13070	GAGE5;GAGE6	-2.51183658003195	2.17440553787202e-13	No	No
Q13115	DUSP4	-1.29579060177972	1.27483712127969e-07	No	No
Q13469	NFATC2	-2.9864513466309	4.48952193466e-35	No	No
