Protein_Group	Genes	PTEN_sg_1.1_3_250nM Palbo_vs_PTEN_sg_1.1_3_Non Treated_logFC	PTEN_sg_1.1_3_250nM Palbo_vs_PTEN_sg_1.1_3_Non Treated_pval	Removed?	Contaminant?
Q9BQT9	CLSTN3	1.11043053329326	0.0005927669028612	No	No
Q9BRK3	MXRA8	1.05479387040074	1.54945007998187e-12	No	No
Q9BT76	UPK3B	1.23990852636443	0.0070904303213969	No	No
Q9BW04	SARG	1.755826297253	3.37232119016237e-09	No	No
Q9BXI9	C1QTNF6	2.18501717763499	1.29264317748117e-14	No	No
Q9BYK8	HELZ2	1.02685480911529	5.97385561441836e-24	No	No
Q9BZD2	SLC29A3	1.26858737098939	5.705283729625e-05	No	No
Q9BZF2	OSBPL7	1.1079853600106	0.0001761614696977	No	No
Q9GZY6	LAT2	1.53228801262832	4.23858458741851e-09	No	No
Q9H1C3	GLT8D2	1.30177064127315	8.84215344521091e-06	No	No
Q9H3S1	SEMA4A	1.01706934308129	0.0033900954913441	No	No
Q9H568	ACTL8	1.35767033872646	1.82183860248463e-07	No	No
Q9H841	NIPAL2	1.44609849930552	9.86924774054433e-06	No	No
Q9HAH1	ZNF556	1.10558962176887	1.04704374283241e-12	No	No
Q9HCH5	SYTL2	1.46783135112547	5.4836683528659795e-11	No	No
Q9NP84	TNFRSF12A	1.00885546021302	0.0001557597302545	No	No
Q9NP90	RAB9B	1.15344385823669	0.0060697224200295	No	No
Q9NR34	MAN1C1	1.03754106438495	0.0070184523145481	No	No
Q9NRJ3	CCL28	1.10044021386889	0.0015134902429647	No	No
Q9NRN5	OLFML3	1.3753447736843	2.45369775911762e-29	No	No
Q9NRZ5	AGPAT4	1.00181712674546	1.93770699588266e-07	No	No
Q9NSN8	SNTG1	1.12729515934784	3.39948372858176e-05	No	No
Q9NTN9	SEMA4G	1.11985566871423	1.60144273356663e-09	No	No
Q9NZU0	FLRT3	1.4281785484856	2.65599676585825e-06	No	No
Q9NZV1	CRIM1	1.14217477122	9.89320645333863e-16	No	No
Q9UBJ2	ABCD2	1.17381374072397	5.0997299546075e-13	No	No
Q9UBN1	CACNG4	1.0144340057093	2.53216586884268e-06	No	No
Q9UDR5	AASS	1.04793846776887	8.34378632661005e-05	No	No
Q9UFB7	ZBTB47	1.12021122556641	7.52328101023435e-05	No	No
Q9UHN6	CEMIP2	1.18179727659889	1.6812023290464e-26	No	No
Q9UPI3	FLVCR2	1.29677722656232	0.0008395502568706	No	No
Q9Y2A9	B3GNT3	2.16927159027642	1.23887849378231e-06	No	No
Q9Y2D0	CA5B	1.23047912132593	1.3263076463972299e-22	No	No
Q9Y5L2	HILPDA	1.33649319716613	5.48746796099319e-06	No	No
Q9Y5R2	MMP24	1.05025808667325	0.0019423146143987	No	No
A0AVK6	E2F8	-1.01343846027989	0.0020637524232528	No	No
A6NKF1	SAC3D1	-1.08512678436297	8.60647342487882e-15	No	No
B3KNS4	ERVK3-1	-1.36240874727883	9.58425790544183e-11	No	No
O00220	TNFRSF10A	-1.00660709505258	2.97556269560066e-07	No	No
O00458	IFRD1	-2.72224233419945	1.2307025675990098e-11	No	No
O14730	RIOK3	-1.21222070558809	5.15517537960473e-17	No	No
O14732	IMPA2	-1.43318233077109	5.78826372777793e-20	No	No
O14757	CHEK1	-1.08113839916036	2.95378022740063e-21	No	No
O14810	CPLX1	-1.28544737182072	0.0018810896733903	No	No
O15062	ZBTB5	-1.02692678989724	3.52096994782301e-08	No	No
O15304	SIVA1	-1.07687081354549	2.40989142805872e-06	No	No
O15370	SOX12	-1.2535788726326	0.0025855095496711	No	No
O43379	WDR62	-1.06361168665532	2.69430720462379e-12	No	No
O43805	SSNA1	-1.14724561694063	5.84767785128797e-13	No	No
O75419	CDC45	-1.11267308695815	8.195278929073701e-16	No	No
O75496	GMNN	-1.27250611551977	1.01082454833624e-06	No	No
O75764	TCEA3	-1.19298652720527	1.93750012882272e-20	No	No
O75828	CBR3	-1.12858747058007	2.15361463119007e-25	No	No
O77932	DXO	-1.30609711037417	5.772802606525971e-15	No	No
O95997	PTTG1	-1.32768627279781	4.8968802003377e-09	No	No
O96020	CCNE2	-1.22724646078744	2.03911477177267e-07	No	No
P00374	DHFR	-1.03447787659545	2.18876040864427e-21	No	No
P02795	MT2A	-1.19181447011698	0.0030594515288134	No	No
P04183	TK1	-1.15526247285049	1.55266069712636e-18	No	No
P04637	TP53	-1.2329795980737	7.37180202233454e-22	No	No
P04818	TYMS	-1.73035137540659	1.78036999751441e-14	No	No
P10412	H1-4	-1.09308556053035	4.27554804666871e-09	No	No
P10589	NR2F1	-1.93572561309152	5.68485249386766e-06	No	No
