Protein_Group	Genes	NF1_sg_1.1_2_250nM Palbo_vs_NF1_sg_1.1_2_Non Treated_logFC	NF1_sg_1.1_2_250nM Palbo_vs_NF1_sg_1.1_2_Non Treated_pval	Removed?	Contaminant?
Q8WUH6	TMEM263	1.33210273537766	1.2435901083074902e-09	No	No
Q8WUP2	FBLIM1	1.06759308946596	3.48544437901792e-14	No	No
Q92508	PIEZO1	1.2299320556008	1.13032299426895e-28	No	No
Q92535	PIGC	2.90510347061358	0.0044812436107376	No	No
Q92597	NDRG1	1.48310615807985	5.99645410500367e-21	No	No
Q92963	RIT1	1.10809736877251	4.22145281210717e-05	No	No
Q969W9	PMEPA1	1.09524973473004	0.0008115648029856	No	No
Q96AD5	PNPLA2	1.61951446078154	1.9220196521430202e-35	No	No
Q96B97	SH3KBP1	1.28244513829331	9.28672796809366e-05	No	No
Q96DX5	ASB9	1.46084545441028	0.0015779014653264	No	No
Q96GM1	PLPPR2	1.32976733433111	0.0017798179444588	No	No
Q99489	DDO	1.62916138759531	7.8595956228112e-09	No	No
Q99574	SERPINI1	2.09287040033932	8.39336190159752e-26	No	No
Q99576	TSC22D3	1.00560003610174	4.48849526552489e-06	No	No
Q99715	COL12A1	2.06252240469803	1.1534156599470001e-40	No	No
Q99990	VGLL1	1.37244009486236	0.0029096296743911	No	No
Q9BQR3	PRSS27	1.40441220498416	9.00675487044349e-07	No	No
Q9BQT9	CLSTN3	1.07391543255054	0.000853116793873	No	No
Q9BT76	UPK3B	1.24248286421267	0.0069814049381562	No	No
Q9BVG3	TRIM62	1.09101675036418	1.29683721953992e-08	No	No
Q9BW04	SARG	2.31211373064372	1.53391703745913e-12	No	No
Q9BXI9	C1QTNF6	1.27348025094075	5.32181276327706e-08	No	No
Q9BXL6	CARD14	1.01468181261762	1.2952361140224198e-30	No	No
Q9BY84	DUSP16	1.52578019443732	6.760871335456641e-09	No	No
Q9BZD2	SLC29A3	1.09192673853184	0.0004012776327347	No	No
Q9H0Q0	CYRIA	1.21910818018379	0.0014054377836312	No	No
Q9H3S4	TPK1	1.18829749298942	0.0068852926394116	No	No
Q9H7X2	C1orf115	1.16467448202401	2.98487320810077e-06	No	No
Q9H841	NIPAL2	1.21265175792579	0.0001353072643	No	No
Q9HAH1	ZNF556	1.14478428734637	3.50706910156376e-13	No	No
Q9HCH5	SYTL2	1.42965418954103	1.1489196717438301e-10	No	No
Q9NR34	MAN1C1	1.19673269819911	0.0021307122717776	No	No
Q9NX09	DDIT4	1.03555179496835	0.0027261825759174	No	No
Q9NX52	RHBDL2	1.129390904225	0.0060924905492225	No	No
Q9NX95	SYBU	1.67776131829468	4.09774218721675e-06	No	No
Q9UBN1	CACNG4	1.08365279426905	7.2549072061086e-07	No	No
Q9UHE8	STEAP1	1.22646429744906	1.79220966545758e-07	No	No
Q9UIY3	RWDD2A	1.27353391626371	0.0010343946952018	No	No
Q9UJY1	HSPB8	1.06669028341819	1.06812278646046e-13	No	No
Q9UKB3	DNAJC12	1.03016815277991	0.0015917687969449	No	No
Q9ULI3	HEG1	1.12612651287041	9.16048474424205e-16	No	No
Q9ULK6	RNF150	1.13324176305219	5.91444124082898e-05	No	No
Q9UPQ0	LIMCH1	1.46689118202878	1.40888333469026e-27	No	No
Q9UPU9	SAMD4A	1.10007620401784	2.2869623894302497e-22	No	No
Q9Y2D0	CA5B	1.36539194070376	1.93472295552259e-24	No	No
Q9Y2Q0	ATP8A1	1.04059245627667	1.66799650890285e-12	No	No
Q9Y4G2	PLEKHM1	1.01377326950107	5.92720582333353e-12	No	No
Q9Y519	TMEM184B	1.01216601235406	0.000376944866828	No	No
Q9Y5L2	HILPDA	1.91379858587604	2.70503379983709e-09	No	No
Q9Y5R2	MMP24	1.05665599164692	0.0018338281645231	No	No
A0A087X1C1;P0CG34;P0CG35	TMSB15B;TMSB15A;TMSB15B	-1.56233435589603	5.2713169226676305e-09	No	No
A6NKF1	SAC3D1	-1.12632531847735	2.41480382739585e-15	No	No
A8MPP1	DDX11L8	-2.17056287419563	1.90206371293313e-20	No	No
