Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q6ZS11	RINL	2.02112888556819	6.38846657444084e-05	No	No
Q7Z3B1	NEGR1	2.70725005636141	7.05430205201075e-48	No	No
Q7Z3G6	PRICKLE2	1.56026129747707	3.16536626187973e-07	No	No
Q86TG7	PEG10	2.17319614312552	4.320067991711939e-34	No	No
Q86YQ8	CPNE8	1.192456312197	1.56093512045809e-08	No	No
Q8IU85	CAMK1D	1.08056749285448	1.9442717704698397e-11	No	No
Q8IXK2	GALNT12	1.523292186562	0.0046863425863895	No	No
Q8IYK8	REM2	1.21267026937068	0.0011332673658381	No	No
Q8IZW8	TNS4	1.11033495396541	5.3778759336723e-20	No	No
Q8N1Q1	CA13	1.92210796554929	7.03813723489839e-14	No	No
Q8N398	VWA5B2	1.3568855763583	4.3118553479475906e-09	No	No
Q8N6N6	NATD1	1.11181572390029	3.76382500976133e-09	No	No
Q8N8I0	SAMD12	1.42117352683551	0.0016733311109168	No	No
Q8NFT2	STEAP2	1.66942723113306	9.53404822533481e-24	No	No
Q8NFZ8	CADM4	1.14777616500592	2.75092213880449e-16	No	No
Q8TBN0	RAB3IL1	1.05544441561804	0.0005008120911171	No	No
Q8TCU6	PREX1	1.1948820704211	2.1095660344626602e-35	No	No
Q8WW38	ZFPM2	2.13659347253485	3.53903590266727e-09	No	No
Q8WXF7	ATL1	1.40384026981518	0.0039469215307439	No	No
Q92963	RIT1	1.97950609946327	2.31233579592102e-10	No	No
Q96AZ6	ISG20	1.57591587089697	2.02986511428503e-07	No	No
Q96FS4	SIPA1	1.16434163122578	1.30667307487331e-18	No	No
Q96GY0	ZC2HC1A	2.57402496954986	1.53156800107233e-26	No	No
Q96NY7	CLIC6	2.68183453648901	6.58160108607317e-24	No	No
Q96QP1	ALPK1	1.59481942584265	2.02740246111808e-07	No	No
Q99574	SERPINI1	1.65119630370455	1.2964553371107901e-21	No	No
Q99576	TSC22D3	1.56121608126745	2.40512207185732e-10	No	No
Q99608	NDN	3.72424684779074	3.88093127903961e-16	No	No
Q99715	COL12A1	1.42717286840668	1.3750005101184699e-33	No	No
Q9BW04	SARG	2.39307118981896	5.25015390073397e-13	No	No
Q9BWH2	FUNDC2	1.49778632086313	1.75046689989453e-27	No	No
Q9BXD5	NPL	1.30236563925543	0.0032937887022433	No	No
Q9BZD2	SLC29A3	1.56990094350303	1.70095462491624e-06	No	No
Q9BZM5	ULBP2	1.25110050587328	8.484004513424439e-11	No	No
Q9BZQ4	NMNAT2	1.81986071679671	0.000619431090745	No	No
Q9C004	SPRY4	2.76143315757711	1.5049286246959202e-15	No	No
Q9GZY6	LAT2	1.89387469061546	1.3609541721956599e-11	No	No
Q9H1C3	GLT8D2	1.37753359346637	3.31906120697018e-06	No	No
Q9H2E6	SEMA6A	1.58651350323567	0.0005578016498292	No	No
Q9H4G4	GLIPR2	1.06688072694802	5.989058295651031e-10	No	No
Q9H4M3	FBXO44	1.07951093130938	0.0096663176918055	No	No
Q9HB63	NTN4	2.14892466516942	1.03847761654598e-05	No	No
Q9HD64	XAGE1B	2.86171360525529	2.38925050824411e-09	No	No
Q9NPB6	PARD6A	1.41405512657138	2.6411347635461403e-09	No	No
Q9NQZ6	ZC4H2	1.29936361695002	0.000195289917277	No	No
Q9NVH6	TMLHE	1.11304238822222	1.98962167706721e-14	No	No
Q9NX95	SYBU	1.21402771891876	0.0004446720075694	No	No
Q9P212	PLCE1	1.38593720283104	1.04975119983648e-13	No	No
Q9P299	COPZ2	1.41784368104134	1.8791192893774497e-11	No	No
Q9UBX1	CTSF	1.12310184855937	1.2173140318032e-18	No	No
Q9UDR5	AASS	1.20247140963017	1.03368058990678e-05	No	No
Q9UHE8	STEAP1	3.43851444786871	1.39820855885895e-21	No	No
Q9UII4	HERC5	1.74691858434432	5.19160978916049e-10	No	No
Q9UJC5	SH3BGRL2	2.42974456871537	4.9419963272753504e-14	No	No
Q9UKB3	DNAJC12	2.56881697308945	9.056282312998469e-11	No	No
Q9UKI2	CDC42EP3	3.36397187968483	8.750807120960449e-11	No	No
Q9UN76	SLC6A14	6.28700496248825	3.8767612739017204e-17	No	No
Q9Y6B2	EID1	1.07901976458097	0.0032531587539245	No	No
A0A087WTH1	TMEM265	-1.12023048426951	7.36520044402578e-06	No	No
A0A1B0GWB2	PRRT1B	-1.63802909611564	6.96704303643938e-12	No	No
A1L020	MEX3A	-1.011892045985	2.5701830552301502e-14	No	No
A1L170	C1orf226	-1.32997070120028	9.945451953043981e-19	No	No
A4D1S0	KLRG2	-4.10189217001285	5.26226957309449e-50	No	No
A6NMX2	EIF4E1B	-1.63471002907723	9.36745009093393e-12	No	No
A8MTW9		-4.17839980082659	2.38956168576183e-14	No	No
B1AK53	ESPN	-1.25069059887788	4.918220822538579e-22	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	-1.1423326995047	1.05631168436919e-07	No	No
C9JA33	PALM2AKAP2	-1.0716664148191	1.38623843904824e-23	No	No
E9PRG8	C11orf98	-1.08213973493684	0.0086010962902634	No	No
H3BS89	TMEM178B	-1.12060081115154	0.0008011191544845	No	No
O00391	QSOX1	-1.01005764412132	1.35487139734696e-23	No	No
O14613	CDC42EP2	-1.24787109806014	0.0001676213729624	No	No
O14684	PTGES	-2.51853175662746	1.73723948145412e-26	No	No
O15440	ABCC5	-1.02539725901841	7.01357797560885e-20	No	No
O43745	CHP2	-1.22842221187303	0.001677741053193	No	No
O60503	ADCY9	-1.48966115698172	1.4229833582806e-28	No	No
O60663	LMX1B	-1.05524701399127	7.76718635388395e-05	No	No
O60704	TPST2	-1.2487106107428	1.7954861488147103e-15	No	No
O60879	DIAPH2	-3.45582778115772	3.1442750667286e-14	No	No
O60909	B4GALT2	-1.1011417060194	0.0001921155847254	No	No
O75052	NOS1AP	-1.19041730533118	2.74860438831861e-21	No	No
O75452	RDH16	-3.45470298097087	8.02118136307106e-29	No	No
O76070	SNCG	-1.56198113996439	1.6943485785466198e-29	No	No
O94788	ALDH1A2	-1.56101903428973	0.0019995592424751	No	No
O94955	RHOBTB3	-2.13772593223412	8.59444556016475e-14	No	No
O95069	KCNK2	-1.92569938960183	1.4519391926923e-26	No	No
O95164	UBL3	-1.18607640773795	2.3409223293513102e-23	No	No
O95259	KCNH1	-2.2767444057135	1.98464311473194e-08	No	No
O95425	SVIL	-1.93773338760558	6.53355545252986e-36	No	No
O95817	BAG3	-1.20157724689654	1.23484151970971e-26	No	No
O95832	CLDN1	-1.14785342894594	7.77027596141909e-15	No	No
P00966	ASS1	-3.29939206346486	3.58169724090399e-55	No	No
P01033	TIMP1	-1.13306824397712	1.25163501903421e-05	No	No
P02511	CRYAB	-1.6578162647753	3.2856453157586096e-22	No	No
P02786	TFRC	-1.30687172617667	5.31374123538098e-41	No	No
P04155	TFF1	-1.58466099893559	8.83345727693641e-07	No	No
P04216	THY1	-1.33719032081033	6.43331279234797e-08	No	No
P04798	CYP1A1	-1.59695031827025	8.09202342125962e-05	No	No
P05091	ALDH2	-4.04564414501073	1.94327115749595e-46	No	No
P06276	BCHE	-1.80653224056744	1.20398396878922e-05	No	No
P07996	THBS1	-1.19930223533764	8.11175365539977e-38	No	No
P08842	STS	-2.86936069600793	3.9242634067708797e-22	No	No
P10275	AR	-1.44474095210304	1.04269992774452e-20	No	No
P10636	MAPT	-3.49285894686301	2.25364085342726e-45	No	No
P10909	CLU	-1.14034012951624	3.96562638406626e-27	No	No
P10912	GHR	-1.40897797807045	1.02775761098134e-07	No	No
P14543	NID1	-1.88230013539983	7.49475040652933e-06	No	No
P15328	FOLR1	-1.01400115835718	3.7443153946447e-20	No	No
P15514	AREG	-3.44257713905227	3.0979765725182896e-11	No	No
P16070	CD44	-1.47530257221828	7.94809668785072e-14	No	No
P17302	GJA1	-4.36182654689383	1.72637345492645e-38	No	No
P17600	SYN1	-2.32436829979479	2.5965098015786297e-26	No	No
P18065	IGFBP2	-1.68541879943506	1.965321056293e-26	No	No
P19544	WT1	-4.84208194083371	2.2157804717675e-31	No	No
P20265	POU3F2	-1.62604319708899	0.0004996121737126	No	No
P21359	NF1	-5.85101969769347	1.0394653261314e-68	No	No
P22492	H1-6	-1.23532794038039	4.69546398135571e-05	No	No
P23378	GLDC	-2.25529478283312	2.6919994016839697e-40	No	No
P23458	JAK1	-1.34589683731054	3.14606852523996e-38	No	No
P27144	AK4	-1.24887503977918	2.0271576940194397e-30	No	No
P27544	CERS1	-1.45024117193412	1.38339141462121e-14	No	No
P29400	COL4A5	-1.09937574939528	4.18229221300346e-06	No	No
P29762	CRABP1	-1.14266355355985	6.35415416455154e-10	No	No
P30837	ALDH1B1	-1.57128248689849	1.35020370126464e-28	No	No
P31274	HOXC9	-2.88607599912043	0.0010361117060546	No	No
P32004	L1CAM	-2.40371312447504	8.70992938115611e-41	No	No
P34741	SDC2	-1.68761404099151	3.12647001182814e-31	No	No
P35568	IRS1	-1.26590872828798	3.3202545072501103e-19	No	No
P36269	GGT5	-1.60023497913787	2.66759661188713e-06	No	No
P36969	GPX4	-1.17959371883129	7.93736436460771e-23	No	No
P40189	IL6ST	-1.29582515302366	9.85038179179151e-29	No	No
P42785	PRCP	-1.18945372024152	7.09302462182288e-26	No	No
P47974	ZFP36L2	-1.63102684548324	7.18555179018335e-15	No	No
P48061	CXCL12	-2.26675884098661	3.4981937116264903e-15	No	No
P48066	SLC6A11	-1.62170176931011	0.0024158086983344	No	No
P48200	IREB2	-1.46017300769266	1.36569006461567e-25	No	No
P48539	PCP4	-2.99423968227556	3.1947666771884e-17	No	No
P48741	HSPA7	-1.73017262329371	8.58380762207542e-07	No	No
P49006	MARCKSL1	-2.08630046728248	2.2175788115196198e-30	No	No
P49703	ARL4D	-2.17763069440058	3.02067693106e-11	No	No
P50148	GNAQ	-1.21503764121077	4.34535757121413e-08	No	No
P50440	GATM	-1.95752255268221	1.8921239413561598e-28	No	No
P52789	HK2	-1.24157592202551	8.48558356413276e-32	No	No
P52799	EFNB2	-2.61808736628814	1.2384859772108901e-10	No	No
P52823	STC1	-2.01884163576619	3.07122012977017e-06	No	No
P53634	CTSC	-1.15111268594102	8.81642756665428e-23	No	No
P53985	SLC16A1	-4.85253600369327	3.59222301938585e-30	No	No
P54108	CRISP3	-1.22582117101227	1.13565235515692e-05	No	No
P54764	EPHA4	-2.55568959547179	6.53588363863672e-27	No	No
P56159	GFRA1	-1.3620498497859	9.75314303235326e-05	No	No
P57052	RBM11	-1.14052353324699	0.0092952677668724	No	No
P57729	RAB38	-1.6808102344498	8.339271124881699e-19	No	No
P59901	LILRA4	-1.84716273978959	0.000183587028859	No	No
P63096	GNAI1	-5.59800771298562	1.49485406067035e-40	No	No
P78357	CNTNAP1	-1.25529177768869	2.66968700232864e-16	No	No
P98155	VLDLR	-1.45964781349975	0.0001885499101921	No	No
Q01826	SATB1	-2.63649275815492	7.200551448657249e-55	No	No
Q01974	ROR2	-1.00654974680038	5.42027050594882e-27	No	No
Q03112	MECOM	-1.17957112070459	7.73736754822435e-07	No	No
Q03167	TGFBR3	-1.29562795133852	7.301535335446e-05	No	No
Q07654	TFF3	-1.5724784799266	1.00467507368846e-14	No	No
Q12805	EFEMP1	-1.53713297422394	4.9844636064923e-26	No	No
Q12887	COX10	-1.20683880823814	3.355032274534e-09	No	No
Q13003	GRIK3	-5.5312818089731	1.06645435998752e-17	No	No
Q13009	TIAM1	-1.03926191430791	1.60243048245649e-07	No	No
Q13066	GAGE2C	-1.01574739111887	9.74090054118965e-07	No	No
Q13576	IQGAP2	-1.87301936238835	5.50972188460907e-14	No	No
Q13636	RAB31	-2.33335144019535	2.774635757561e-17	No	No
Q13641	TPBG	-1.17839978304088	2.17541747291962e-27	No	No
Q13671	RIN1	-1.15585772089767	4.7084209788289403e-14	No	No
Q13950	RUNX2	-1.35123408397385	2.4863060537874398e-12	No	No
Q14168	MPP2	-1.71875874019443	5.725390584543051e-25	No	No
Q15735	INPP5J	-1.15849617055177	3.70499198985702e-26	No	No
Q15847	ADIRF	-1.37054076087878	6.35344203356882e-05	No	No
Q16143	SNCB	-1.1528254426114	0.0001036705211495	No	No
Q18PE1	DOK7	-1.22021326295911	1.33442491849146e-08	No	No
Q29980	MICB	-1.08650686043616	4.9574213017108205e-23	No	No
Q2M3V2	SOWAHA	-1.45664989704292	2.6353340908977802e-25	No	No
Q3KP31	ZNF791	-1.13644518460077	0.0020361505088046	No	No
Q3MIP1	ITPRIPL2	-1.07158535665248	3.37724887131709e-09	No	No
Q52LW3	ARHGAP29	-1.60362382380203	5.389132136949571e-31	No	No
Q58DX5	NAALADL2	-1.73967082167433	1.0869579925406e-14	No	No
Q5JSP0	FGD3	-1.30829203930841	0.0001887704993884	No	No
Q5MY95	ENTPD8	-1.13652787981996	0.0006652546772417	No	No
Q5SRE7	PHYHD1	-1.58119678077384	2.84883224056198e-08	No	No
Q5T481	RBM20	-2.77399675215533	1.43005437978509e-13	No	No
Q5T848	GPR158	-1.81161563216522	1.10643464388359e-09	No	No
Q5VUD6	DIPK1B	-1.15027694158711	0.0051364459453066	No	No
Q5VWT5	FYB2	-1.40093239773947	1.18540570845629e-05	No	No
Q5VX52	SPATA1	-3.779465364854	3.1883151087801e-15	No	No
Q68D85	NCR3LG1	-1.37947880989383	3.8678270629134e-14	No	No
Q6AZY7	SCARA3	-1.29905693051677	0.000939794898928	No	No
Q6DKJ4	NXN	-1.1270626708933	7.30069037316601e-24	No	No
Q6NT55	CYP4F22	-1.72376413803558	0.0001559540720608	No	No
