Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast  _Non Treated_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
P35611	ADD1	-1.20774563172399	2.99863169956256e-37	No	No
P36959	GMPR	-1.11864362944383	5.4119404433706e-05	No	No
P41271	NBL1	-1.36128392886943	4.09054199103409e-07	No	No
P43234	CTSO	-1.74323602815135	1.3125229759134599e-11	No	No
P43355	MAGEA1	-4.6031493433394	6.12666766111187e-21	No	No
P45844	ABCG1	-1.7107159144833	1.14176360743125e-06	No	No
P47712	PLA2G4A	-2.14768112733781	7.18853636931521e-19	No	No
P48539	PCP4	-1.8532780350454	1.63575172259338e-10	No	No
P49326	FMO5	-2.92367765571684	1.7992909234992402e-19	No	No
P49418	AMPH	-1.42194858916475	6.80016699888449e-05	No	No
P49662	CASP4	-1.04468378258839	3.3197523030533e-07	No	No
P49753	ACOT2	-2.13345450574677	0.0019294193300933	No	No
P49902	NT5C2	-1.14380070152576	4.21586699596035e-27	No	No
P51589	CYP2J2	-1.45032351034162	9.23233542866851e-13	No	No
P51606	RENBP	-1.04666615636526	0.0056166402551242	No	No
P52566	ARHGDIB	-2.31000330608023	1.3300968665439698e-30	No	No
P53634	CTSC	-1.15650145737379	7.30423539248677e-23	No	No
P54108	CRISP3	-1.62828187680424	4.54961231541025e-08	No	No
P54289	CACNA2D1	-1.08449446498806	1.0311883513143e-21	No	No
P54764	EPHA4	-1.15136764329304	1.00687534987822e-13	No	No
P54868	HMGCS2	-1.27725487122619	8.0709643334916695e-22	No	No
P55082	MFAP3	-1.56467735463108	3.6496462278613503e-25	No	No
P55786	NPEPPS	-1.00472544221246	1.27803175075308e-31	No	No
P56159	GFRA1	-1.74545035771459	1.81096842329488e-06	No	No
P61647	ST8SIA6	-1.17117705310793	9.63644725245869e-07	No	No
P61764	STXBP1	-2.57372425531533	2.02342306271465e-31	No	No
P78364	PHC1	-1.07453480748311	0.0053359029102136	No	No
P78559	MAP1A	-1.7096387372425	1.03283416014602e-25	No	No
P80217	IFI35	-1.77641372757209	4.76191203714733e-29	No	No
P98082	DAB2	-1.84195890970643	9.986242322875079e-11	No	No
Q00534	CDK6	-1.92870379824986	6.9409679627466e-18	No	No
Q00978	IRF9	-2.02220257019364	1.32636260835402e-16	No	No
Q02952	AKAP12	-1.70267475252185	5.60364383113307e-07	No	No
Q05823	RNASEL	-1.19672842707613	9.1115279020402e-28	No	No
Q07065	CKAP4	-1.03524755258443	3.4794032124357704e-31	No	No
Q07654	TFF3	-1.23128175928672	2.1926926974054396e-11	No	No
Q07954	LRP1	-2.26410412849876	1.67807362824352e-37	No	No
Q08380	LGALS3BP	-1.86137219278947	1.0871286913489101e-31	No	No
Q08426	EHHADH	-1.13601223834189	5.40095197962944e-34	No	No
Q08AF3	SLFN5	-2.93155350498094	1.6428695737893402e-44	No	No
Q0IIM8	TBC1D8B	-1.03256477526038	6.12808291102106e-09	No	No
Q12791	KCNMA1	-1.73988217255097	9.93195888950041e-16	No	No
Q12840	KIF5A	-1.10145006005041	0.000745054541237	No	No
Q12983	BNIP3	-1.18329000053668	4.33210180278824e-10	No	No
Q13115	DUSP4	-2.67443167577801	8.34870606409243e-17	No	No
Q13287	NMI	-1.59220519990738	1.3899303561610701e-25	No	No
Q13576	IQGAP2	-1.08675705420364	1.52520981452327e-07	No	No
Q13751	LAMB3	-1.2392655053685	0.0005298408854308	No	No
Q13867	BLMH	-1.4317309017562	2.62323019945096e-30	No	No
Q13938	CAPS	-1.27463508856896	1.39525415555782e-05	No	No
Q14050	COL9A3	-1.21424855423565	0.0031850922163376	No	No
Q14116	IL18	-1.19392736476573	5.2257870226979305e-20	No	No
Q14142	TRIM14	-1.7763702816675	3.0392099180694897e-12	No	No
Q14894	CRYM	-1.32387121368599	0.0006451023131955	No	No
Q14938	NFIX	-1.12706038929315	5.57467236195117e-17	No	No
Q15120	PDK3	-1.03548870950464	5.37392698471226e-28	No	No
Q15555	MAPRE2	-1.10880996250874	4.9824723578544e-10	No	No
Q15768	EFNB3	-1.60591435293368	1.46333622199694e-10	No	No
Q16270	IGFBP7	-1.22124562145475	7.29424060090714e-05	No	No
Q16678	CYP1B1	-2.16481150501303	3.51506588781888e-21	No	No
Q30154	HLA-DRB5	-2.05293535201343	1.1808194871061302e-09	No	No
Q3KR16	PLEKHG6	-1.36743124947487	9.16349114012977e-07	No	No
Q3SY69	ALDH1L2	-1.34676320245005	1.1871836028996802e-15	No	No
Q495W5	FUT11	-1.08248600804068	9.128123453892181e-14	No	No
Q53FA7	TP53I3	-5.03448239825591	3.6790332936054806e-61	No	No
Q53FZ2	ACSM3	-1.02874583895364	0.0011420956734709	No	No
Q53GG5	PDLIM3	-2.8762835315809	5.542833404061289e-11	No	No
Q5EG05	CARD16	-1.4152471381672	3.9625840022117e-09	No	No
Q5JSL3	DOCK11	-1.55240330267098	2.16839672674937e-17	No	No
Q5MNZ9	WIPI1	-1.67946715409477	2.88609592386873e-32	No	No
Q5T013	HYI	-1.29059343590504	2.79683456100116e-07	No	No
Q5T7M9	DIPK1A	-1.50161868504414	0.0002782025459547	No	No
Q5T848	GPR158	-1.30701915580156	1.62459709380824e-06	No	No
Q5U4P2	ASPHD1	-1.26112660226636	7.9165099196824e-07	No	No
Q5U649	C12orf60	-2.13047880673514	4.15506984287352e-06	No	No
Q5VUG0	SFMBT2	-2.07780003800007	2.58831358704983e-12	No	No
Q69YU3	ANKRD34A	-1.16436276255901	5.18932679020248e-10	No	No
Q6BCY4	CYB5R2	-1.48695438500085	2.47236071402282e-21	No	No
Q6NUT2	DPY19L2	-1.59817075809647	1.12076957812506e-05	No	No
Q6PCE3	PGM2L1	-1.09469509048618	1.4444027629022802e-09	No	No
Q6UX53	METTL7B	-1.52914815561859	2.01193023004565e-11	No	No
Q6XZF7	DNMBP	-1.5177238755359	3.14582759999576e-07	No	No
Q6ZMZ3	SYNE3	-1.4153799480229	1.4899259665454e-21	No	No
Q6ZNL6	FGD5	-1.15896911567272	2.19967571979918e-07	No	No
Q6ZU35	CRACD	-1.26697645685059	3.57315066072045e-06	No	No
Q6ZVX7	NCCRP1	-2.21800034221959	0.0017634365179066	No	No
Q7L266	ASRGL1	-2.44233415242877	1.6616660257028302e-09	No	No
Q7L311	ARMCX2	-1.23240604114935	4.5360007946103804e-17	No	No
Q7L5N7	LPCAT2	-1.3159276153158	4.36358788329321e-25	No	No
Q7RTY0	SLC16A13	-1.06115255795215	0.0004770164427881	No	No
Q7Z2H8	SLC36A1	-1.39663526084474	7.20539938266008e-07	No	No
Q86TX2	ACOT1	-1.17596231268561	5.64196833500115e-34	No	No
Q86UK0	ABCA12	-1.71915848071534	1.95460084847085e-21	No	No
Q86UW7	CADPS2	-1.14677359288959	1.2141242845701501e-14	No	No
Q86YB8	ERO1B	-1.2542443406757	2.87099009796609e-26	No	No
Q8IU85	CAMK1D	-2.63881304598335	1.52418370342288e-25	No	No
Q8IV56	PRR15	-1.09776079192111	2.10235672162909e-05	No	No
Q8IVF2	AHNAK2	-1.76350659251451	2.42570189764115e-40	No	No
Q8IVW6	ARID3B	-1.22687572253751	7.31538905342974e-11	No	No
Q8IXK2	GALNT12	-2.67349124687933	4.2927975003923e-06	No	No
Q8IY22	CMIP	-1.00230177007646	2.74742328415551e-13	No	No
Q8IY82	DRC7	-1.12908034306791	4.23327736364568e-05	No	No
Q8IYS0	GRAMD1C	-1.59771137929061	3.08907700956949e-07	No	No
Q8N1Q1	CA13	-1.8812425608662	1.41400276853795e-13	No	No
Q8N283	ANKRD35	-2.96771010902662	2.15509224112618e-06	No	No
Q8N4U5	TCP11L2	-1.04472792749348	0.0050625607804263	No	No
Q8N5V2	NGEF	-1.7896282202576	5.82709713778531e-09	No	No
Q8N8A2	ANKRD44	-1.26129491001084	1.35398821570183e-15	No	No
Q8N8Z6	DCBLD1	-1.11420018576701	0.0001413240975408	No	No
Q8NBQ7	AQP11	-1.3264230171897	1.02460475741742e-05	No	No
Q8NBW4	SLC38A9	-1.08366025365436	1.38251295139086e-14	No	No
Q8NG08	HELB	-1.61276965756152	4.61311358700641e-06	No	No
Q8TB45	DEPTOR	-1.32345968483506	6.711420298373789e-26	No	No
Q8TD55	PLEKHO2	-1.10247477070667	2.05164328547739e-13	No	No
Q8TDN7	ACER1	-1.5237848644533	6.92803021255722e-07	No	No
Q8WUH6	TMEM263	-1.10632277381166	1.03272737288923e-07	No	No
Q8WVV4	POF1B	-2.46171073167821	1.64939597300244e-22	No	No
Q8WW22	DNAJA4	-1.09539388314801	2.08914591737357e-26	No	No
Q95460	MR1	-1.17809416112991	3.90867899951403e-07	No	No
Q96A54	ADIPOR1	-1.46440439362262	4.51432112994642e-19	No	No
Q96A58	RERG	-1.11336988824414	2.8997158602080897e-11	No	No
Q96AP7	ESAM	-1.73098394103331	0.000522224291619	No	No
Q96C24	SYTL4	-1.1304616608628	1.80926074625187e-24	No	No
Q96DM1	PGBD4	-1.02497901238635	0.0019960699790685	No	No
Q96FJ0	STAMBPL1	-1.21546967112783	1.82657094912094e-05	No	No
Q96FS4	SIPA1	-1.7891011105453	4.79771190747777e-26	No	No
Q96IK0	TMEM101	-1.12958054448783	7.56573149877218e-05	No	No
Q96JH8	RADIL	-1.23257220996528	9.29748680110014e-05	No	No
Q96ME7	ZNF512	-1.01829988889786	4.8996239877241604e-21	No	No
Q96NY7	CLIC6	-2.10777656622349	9.32670877657378e-20	No	No
Q96PM9	ZNF385A	-1.05715758393127	7.24430802348548e-25	No	No
Q96QE2	SLC2A13	-2.91265438100017	1.0139624502882701e-14	No	No
Q96QP1	ALPK1	-1.87640214110587	4.94713312522039e-09	No	No
Q96R05	RBP7	-1.81801068313007	3.0855643815253504e-19	No	No
Q99574	SERPINI1	-1.49507114865593	6.28724652415896e-20	No	No
Q99835	SMO	-1.02737886827026	0.0083316038384996	No	No
Q99856	ARID3A	-1.7416258160136	3.5079079309372e-23	No	No
Q99959	PKP2	-1.40643374735246	4.34898392977315e-36	No	No
Q99985	SEMA3C	-1.21177365522851	1.1761655028778599e-29	No	No
Q9BQT8	SLC25A21	-1.69262890145113	2.7665727310619504e-23	No	No
Q9BRK3	MXRA8	-2.7437977552709	3.08334117096337e-28	No	No
Q9BSK0	MARVELD1	-1.08644527470505	0.0001278543729825	No	No
Q9BUT1	BDH2	-1.07414170391891	2.9321817866073003e-22	No	No
Q9BVG8	KIFC3	-1.28369691076486	3.93563227081301e-13	No	No
Q9BXD5	NPL	-2.12118759400554	7.52922835809364e-06	No	No
Q9BY67	CADM1	-2.33562918893199	3.99510519213236e-40	No	No
Q9BYJ1	ALOXE3	-1.13239833014519	7.58734454551868e-07	No	No
Q9BYK8	HELZ2	-1.06154711772739	1.53045407932746e-24	No	No
Q9BZD2	SLC29A3	-2.11730392324186	2.3743112142051903e-09	No	No
Q9BZM5	ULBP2	-1.96448518269807	3.8141372716576204e-17	No	No
Q9H3G5	CPVL	-4.59108763796125	2.25408445491367e-41	No	No
Q9H4F1	ST6GALNAC4	-1.25945739984931	5.39660036902201e-05	No	No
Q9H4F8	SMOC1	-1.0665499928701	0.0054626729429793	No	No
Q9H4G4	GLIPR2	-2.60721435651236	2.34344257027393e-23	No	No
Q9H6R3	ACSS3	-1.00859098240148	1.77402969581165e-29	No	No
Q9H902	REEP1	-4.08541759976727	1.89568129795486e-12	No	No
