Protein_Group	Genes	cMyc_OE_5_250nM Palbo_vs_cMyc_OE_5_Non Treated_logFC	cMyc_OE_5_250nM Palbo_vs_cMyc_OE_5_Non Treated_pval	Removed?	Contaminant?
Q9BT76	UPK3B	1.28368312871312	0.0054352829713923	No	No
Q9BY84	DUSP16	1.43380468389833	2.94571236350936e-08	No	No
Q9BZD2	SLC29A3	1.2318136723872	8.63590336307576e-05	No	No
Q9C035	TRIM5	1.07047954232748	3.38446768992153e-17	No	No
Q9C0H2	TTYH3	1.09670207500149	9.368841701650571e-09	No	No
Q9GZN4	PRSS22	1.17665125567722	0.0006727756962901	No	No
Q9H1C3	GLT8D2	1.08749639242024	0.0001303739111577	No	No
Q9H568	ACTL8	1.04202445386665	2.30172036051687e-05	No	No
Q9H841	NIPAL2	1.10157525875965	0.0004442880548562	No	No
Q9H8J5	MANSC1	1.03239730071298	0.0069882220271971	No	No
Q9H902	REEP1	1.16742225898082	0.008969850609547	No	No
Q9HB19	PLEKHA2	1.62668095779922	5.07074372703354e-12	No	No
Q9NQX7	ITM2C	1.89130955247675	3.2278179562873804e-15	No	No
Q9NR34	MAN1C1	1.34967144139224	0.0006281524465843	No	No
Q9NRN5	OLFML3	1.45013229648703	2.526450395035e-30	No	No
Q9NS15	LTBP3	1.02624187768498	2.5736481721662904e-15	No	No
Q9NX31	OSER1	1.2585747607205	0.0074940608752277	No	No
Q9P299	COPZ2	1.05280527281045	4.21151557350399e-08	No	No
Q9UDR5	AASS	1.29013392684992	3.06623801832851e-06	No	No
Q9UEE5	STK17A	1.27498777543758	1.81098742566671e-13	No	No
Q9UIY3	RWDD2A	1.31612650168316	0.000729870274139	No	No
Q9UJP4	KLHL21	1.25121448432214	0.0002386089426995	No	No
Q9UKB3	DNAJC12	1.08579879627615	0.0009357354727191	No	No
Q9UKK3	PARP4	1.38505425727491	4.7249835780701696e-11	No	No
Q9Y5I1	PCDHA11	1.00296480689861	0.001391690412002	No	No
A0AVK6	E2F8	-1.51579856744804	1.30435530162985e-05	No	No
C9JLR9	C11orf95	-1.66831281205221	2.60666653032696e-05	No	No
O00458	IFRD1	-2.4294257944833	3.05775853623096e-10	No	No
O15392	BIRC5	-1.11275349801767	4.81284437023444e-05	No	No
O15403	SLC16A6	-1.15481091338376	1.94484834497898e-05	No	No
O43663	PRC1	-1.095568133518	8.06931547114203e-19	No	No
O43805	SSNA1	-1.00136324171609	3.49136963416164e-11	No	No
O75425	MOSPD3	-1.03734471088202	0.0001680876727158	No	No
O75764	TCEA3	-1.02941470698966	5.2427973840349494e-18	No	No
O94761	RECQL4	-1.0481283127933	8.15670409002605e-22	No	No
O96020	CCNE2	-1.03253933698324	5.56478978695313e-06	No	No
P01591	JCHAIN	-2.05143455316713	8.47771017036677e-08	No	No
P04818	TYMS	-1.40318333356525	1.2975313040096e-11	No	No
P10412	H1-4	-1.35234021191222	1.3364452605385299e-11	No	No
P14543	NID1	-1.69221298610521	4.0567764760278e-05	No	No
P16401	H1-5	-1.29166517599283	8.083402223162329e-22	No	No
P16402	H1-3	-1.33256475388362	9.49886712565418e-22	No	No
P16403	H1-2	-1.69791430124238	7.74975846208715e-15	No	No
P17010	ZFX	-1.13105431965819	0.0006385156577919	No	No
P20248	CCNA2	-1.33625556421498	1.92283597037678e-06	No	No
P22492	H1-6	-1.23100541582493	4.94183865637494e-05	No	No
P31350	RRM2	-1.46745144253331	2.85531980802838e-30	No	No
