Protein_Group	Genes	PTEN_sg_1.1_6_250nM Palbo_vs_PTEN_sg_1.1_6_Non Treated_logFC	PTEN_sg_1.1_6_250nM Palbo_vs_PTEN_sg_1.1_6_Non Treated_pval	Removed?	Contaminant?
P07476	IVL	1.95957760693257	5.6962255285744195e-33	No	No
P08294	SOD3	1.30911655789262	3.76516929226452e-22	No	No
P08648	ITGA5	1.39147377819735	1.05294528633688e-22	No	No
P09493	TPM1	1.01310283588555	8.85466331635909e-22	No	No
P10909	CLU	1.60286123106865	1.7335711326499498e-33	No	No
P11137	MAP2	1.11815133123782	8.67840465011966e-25	No	No
P12273	PIP	2.66450048244251	1.4367114843009799e-29	No	No
P12429	ANXA3	1.00006850953176	4.2696961353655504e-17	No	No
P14061	HSD17B1	2.56218733990802	3.59159551801622e-15	No	No
P14621	ACYP2	1.17500612066061	2.37411191782309e-15	No	No
P14778	IL1R1	2.54519608326522	3.73890138520557e-06	No	No
P15289	ARSA	1.14096974025939	2.37667798655488e-19	No	No
P15408	FOSL2	2.0900060998448	1.01982509911843e-10	No	No
P15882	CHN1	1.04276094066602	0.0080312312314866	No	No
P17540	CKMT2	1.00185164233828	8.20268868328581e-07	No	No
P17600	SYN1	1.08072985223775	1.0511431718975999e-13	No	No
P17813	ENG	1.30454947902365	8.52565921186893e-18	No	No
P17931	LGALS3	1.01057145118703	4.3680404337182204e-20	No	No
P19021	PAM	1.09757922975758	1.0385281542076e-19	No	No
P21695	GPD1	1.24475611183878	1.0476734769243e-17	No	No
P24385	CCND1	1.55532870863627	9.43693269651745e-32	No	No
P24593	IGFBP5	1.74474405376702	1.02550618085259e-29	No	No
P26992	CNTFR	1.41771475844754	0.0003923077890099	No	No
P28067	HLA-DMA	1.34032175013477	4.86758473455986e-05	No	No
P28799	GRN	1.01106318122116	4.61685108204097e-26	No	No
P29400	COL4A5	1.08466221906209	5.29427550912185e-06	No	No
P30039	PBLD	1.03416875013221	1.33831290619831e-23	No	No
P30988	CALCR	1.06923049217133	8.31720900748452e-06	No	No
P31512	FMO4	1.20255116093038	1.31183256553167e-12	No	No
P32004	L1CAM	1.62437832065839	2.9377308210486598e-33	No	No
P32455	GBP1	1.23954839479309	5.11969661094446e-05	No	No
P32456	GBP2	1.18388961737733	8.90511210632875e-08	No	No
P32929	CTH	1.03260883530324	2.0864314989423597e-11	No	No
P33897	ABCD1	1.15468649033244	2.2579593908020998e-23	No	No
P34741	SDC2	1.12290322898732	9.01621903492337e-24	No	No
P35475	IDUA	1.13808381401673	1.01907851329755e-15	No	No
P35754	GLRX	1.21188175855546	4.8641246495102204e-14	No	No
P35869	AHR	1.17770607106168	4.05519248989929e-24	No	No
P41247	PNPLA4	1.21392004260912	1.11651192376293e-12	No	No
P42330	AKR1C3	1.22925931981015	2.35394730139869e-08	No	No
P42772	CDKN2B	2.57627427123877	7.35630894959615e-21	No	No
P43115	PTGER3	1.49804914786251	9.955612476665259e-16	No	No
P43234	CTSO	1.41326301097837	3.90960324848762e-09	No	No
P47974	ZFP36L2	1.93060099237335	1.88410769943261e-17	No	No
P49703	ARL4D	2.29019411714133	6.89673738118459e-12	No	No
P49716	CEBPD	1.39828359677881	4.151688790319651e-09	No	No
P50135	HNMT	1.26338872023751	1.44336541571987e-05	No	No
P50225	SULT1A1	1.07131009296775	3.7300952427836604e-25	No	No
P50226	SULT1A2	1.25340244006564	2.16119382956667e-13	No	No
P51178	PLCD1	1.11377331301673	4.9478516392499e-15	No	No
P51688	SGSH	1.10402962581207	1.55421708780035e-24	No	No
P51805	PLXNA3	1.24640016476682	4.14300285460604e-21	No	No
P52895	AKR1C2	1.59372371844508	3.79275502469887e-06	No	No
P54289	CACNA2D1	1.13515835720001	1.6681061883018e-22	No	No
P54868	HMGCS2	2.01151296701734	5.12635575826411e-30	No	No
P54922	ADPRH	1.15320203761679	1.53682807346637e-11	No	No
P55211	CASP9	1.01820583441822	5.5232863584870504e-09	No	No
P55808	XG	1.53562208079062	8.23840196227137e-16	No	No
P57078	RIPK4	1.03145522390564	6.7206279242665e-05	No	No
P60606	CTXN1	1.76890380149333	7.97519229654235e-06	No	No
P60903	S100A10	1.00971743190352	5.846120433374451e-15	No	No
P61587	RND3	1.41335579850018	6.22971494220817e-14	No	No
P61601	NCALD	1.26210386998268	1.5860206296248e-08	No	No
P61812	TGFB2	1.98518235838323	0.0007008023820783	No	No
P62699	YPEL5	1.04955124583141	1.0969356037281598e-30	No	No
P63261	ACTG1	1.12230493139191	8.22343881245471e-09	No	No
P80404	ABAT	1.1815195833438	3.97989815482956e-37	No	No
P86452	ZBED6	1.1801323152537	3.04543635129024e-07	No	No
P98082	DAB2	1.75413724748762	3.80246179426422e-10	No	No
Q00534	CDK6	1.16771914227617	9.49551264988643e-11	No	No
Q00887	PSG9	1.56923610947615	1.98994877327505e-07	No	No
Q00G26	PLIN5	1.13653595509626	2.17372130703812e-06	No	No
Q05682	CALD1	2.00350263058263	3.37479419535081e-33	No	No
Q0IIM8	TBC1D8B	1.32047468439476	7.7375597458614e-12	No	No
Q0P5N6	ARL16	1.81920336678852	0.0005688205461344	No	No
Q12791	KCNMA1	1.08225438847696	1.8552577540901e-09	No	No
Q12841	FSTL1	1.27884023436654	5.17598789657751e-14	No	No
Q12983	BNIP3	1.03732162478856	1.20939999450538e-08	No	No
Q13018	PLA2R1	1.29711809103088	0.0001675282689111	No	No
Q13569	TDG	1.07675151165287	1.56552562005201e-16	No	No
Q14188	TFDP2	1.31041831789389	4.40525063789499e-08	No	No
Q14721	KCNB1	1.1616191731088	0.0005637284558191	No	No
Q14749	GNMT	1.28697462107088	2.75410155024128e-17	No	No
Q14764	MVP	1.99532756716709	1.29739327764572e-41	No	No
Q14766	LTBP1	1.1327587255443	1.05037990174066e-19	No	No
Q15067	ACOX1	1.09469241138228	3.37552109491335e-33	No	No
Q15173	PPP2R5B	1.08300321484222	2.24343916244416e-16	No	No
Q15700	DLG2	1.23398271037429	5.853847483625631e-23	No	No
Q15746	MYLK	1.56512114694814	4.92216361055669e-07	No	No
Q30154	HLA-DRB5	1.34047852558288	9.89183110767401e-06	No	No
Q49AM1	MTERF2	1.04976694338113	5.12530308138746e-08	No	No
Q53FZ2	ACSM3	2.22720120238623	1.6362728044846201e-09	No	No
Q5EG05	CARD16	1.09809526364296	1.05936541540455e-06	No	No
Q5VUE5	C1orf53	2.05537116981883	7.53565995309791e-08	No	No
Q5VXT5	SYPL2	1.20965349269878	9.107380926563521e-10	No	No
Q5VZF2	MBNL2	1.02292029861543	4.65302117604467e-07	No	No
Q5XKL5	BTBD8	1.13584339548631	0.0062103383000001	No	No
Q60I27	ALS2CL	1.10838895276862	1.27710512502098e-07	No	No
Q63HM1	AFMID	1.10372941684168	1.10338924582525e-18	No	No
Q687X5	STEAP4	1.11789349713006	0.0028906320441678	No	No
Q68DD2	PLA2G4F	1.02080846002748	7.796181303062669e-16	No	No
Q6GMR7	FAAH2	1.51590267911022	1.7685527322247998e-13	No	No
Q6PCE3	PGM2L1	1.18244398782214	1.86125454207185e-10	No	No
Q6T310	RASL11A	1.42974550138377	2.53594007124257e-08	No	No
Q6UWH4	GASK1B	1.93682897209182	5.7752191530282e-06	No	No
Q6UWU2	GLB1L	1.26008658971963	1.6658418516350302e-19	No	No
Q6UX53	METTL7B	1.20591039884516	1.0955758625545e-08	No	No
Q6UX71	PLXDC2	1.75121507815797	3.94843875087331e-16	No	No
Q6UX98	ZDHHC24	1.39981013850329	0.0004803036764201	No	No
Q6UXK5	LRRN1	2.08088438698833	1.01803225955836e-09	No	No
Q6ZT07	TBC1D9	1.33313748617137	1.34257139342674e-07	No	No
Q6ZVM7	TOM1L2	1.2959064539765	1.75755467762667e-32	No	No
Q71U36	TUBA1A	1.85527868101392	3.19999147683215e-07	No	No
Q76KP1	B4GALNT4	1.40812754870726	5.900243102053421e-09	No	No
Q7L311	ARMCX2	1.58212824253833	3.54925508762794e-21	No	No
Q7Z3G6	PRICKLE2	1.48920516227599	8.05663362875606e-07	No	No
Q7Z404	TMC4	1.25281425697208	2.05901739620979e-24	No	No
Q7Z465	BNIPL	1.35523995729429	1.94730716820326e-27	No	No
Q7Z7D3	VTCN1	1.16628975160334	1.18032995740941e-19	No	No
Q86SQ0	PHLDB2	1.26730510959086	2.62654605745689e-12	No	No
Q86UK0	ABCA12	1.93054036316358	1.8742995617696e-23	No	No
Q86V24	ADIPOR2	1.13560296893483	0.0005002230732581	No	No
Q86VG3	IFTAP	1.00846152237237	0.0001353009702692	No	No
Q86W11	ZSCAN30	1.18347381041704	0.0044559006767251	No	No
Q86WU2	LDHD	1.13794245421912	1.98708235139081e-26	No	No
Q86YB7	ECHDC2	1.60587855510709	0.0001220770429703	No	No
Q8IV31	TMEM139	1.57770361883349	5.925545223925789e-11	No	No
Q8IVI9	NOSTRIN	1.04938547813031	0.000237647315035	No	No
Q8IVT2	MISP	1.03973606102321	2.21456065128216e-27	No	No
Q8IW36	ZNF695	1.05873469435165	0.003035880710072	No	No
Q8IWP9	CCDC28A	1.61730300220462	9.80557726470358e-09	No	No
Q8IWW8	ADHFE1	1.69416876106506	5.906295435272991e-15	No	No
Q8IXH6	TP53INP2	2.23191540920342	0.0043645034063266	No	No
Q8IY82	DRC7	2.62030912387026	9.18911943475216e-14	No	No
Q8IYK8	REM2	1.62582459879496	2.7828641351533e-05	No	No
Q8IZJ3	CPAMD8	1.52130158096037	1.50316704504762e-18	No	No
Q8N0W4	NLGN4X	1.38159163967714	0.0027959458668477	No	No
Q8N350	CBARP	1.22665270431378	0.0003794661207643	No	No
Q8N370	SLC43A2	1.37518302146456	2.65332340873648e-08	No	No
Q8N3J5	PPM1K	1.73406878339753	7.13135443890037e-07	No	No
Q8N3V7	SYNPO	1.26034904812357	0.0023070701261992	No	No
Q8N5J2	MINDY1	1.31323313536296	1.77275030845219e-29	No	No
Q8N6N6	NATD1	1.38988237670713	8.450327146378649e-12	No	No
Q8N755	SLC66A3	1.10435476530461	1.98619493192145e-05	No	No
Q8N8E3	CEP112	1.51839831903819	0.0001430209344188	No	No
Q8NA23	WDR31	1.14525987747662	0.0019599871614894	No	No
Q8NBJ9	SIDT2	1.02790858718424	3.4600030225324204e-23	No	No
Q8NI22	MCFD2	1.0120410981716	1.66773024690124e-08	No	No
Q8NI37	PPTC7	1.11992074094633	6.59381527248864e-15	No	No
Q8TB45	DEPTOR	2.046461761609	5.11052538204791e-34	No	No
Q8TC76	FAM110B	1.35572809362412	0.0003227353296509	No	No
Q8TCX5	RHPN1	1.04237935184715	5.510544235793061e-15	No	No
Q8TDZ2	MICAL1	1.10942238925821	1.13299452342561e-09	No	No
Q8WUH6	TMEM263	1.18930717317735	2.02381826999883e-08	No	No
Q8WUP2	FBLIM1	1.33461119670482	1.43565836957583e-17	No	No
Q8WVB3	HEXD	1.03781086300098	0.0001201537599295	No	No
Q8WVV4	POF1B	1.8049157996839	2.47504840511472e-17	No	No
Q8WWZ7	ABCA5	1.15228897892098	8.21029692091768e-07	No	No
Q92508	PIEZO1	1.38068355889232	7.91832081405708e-31	No	No
Q92537	SUSD6	1.2769313691903	1.49221659780858e-06	No	No
Q92597	NDRG1	2.01377568220374	2.40153565977291e-26	No	No
Q95460	MR1	1.50200995931096	1.45596626803488e-09	No	No
Q969W9	PMEPA1	1.60240685527291	3.88999190820617e-06	No	No
Q96C10	DHX58	1.21641577446866	2.59087708474177e-21	No	No
Q96C11	FGGY	1.2282890811744	6.83756708156773e-10	No	No
Q96CD0	FBXL8	1.16007868708028	3.11752301023124e-20	No	No
Q96D70	R3HDM4	1.21235171123028	3.13131869054953e-06	No	No
Q96EG1	ARSG	1.02702429675775	3.35093963149004e-07	No	No
Q96FM1	PGAP3	1.52988084024586	8.01477195025153e-05	No	No
Q96GM1	PLPPR2	1.45610980817296	0.0007041309124619	No	No
Q96M32	AK7	1.34220446256148	0.0003636825172714	No	No
Q96MG8	PCMTD1	1.19865960248872	5.55002901472724e-19	No	No
Q96MY1	NOL4L	1.35956412607392	1.01789875740952e-10	No	No
Q96NY7	CLIC6	1.68759940448683	3.43269040031799e-16	No	No
Q96P15	SERPINB11	1.76395284791177	4.13807765233825e-06	No	No
Q96QE2	SLC2A13	1.02136911028892	0.0002769674494962	No	No
Q99574	SERPINI1	2.79991715660646	3.5414698134045104e-31	No	No
Q99666	RGPD6	1.08089840916809	0.0002734717118538	No	No
Q99715	COL12A1	1.07472116226031	2.8613832125502098e-28	No	No
Q99828	CIB1	1.13583154593297	5.87406546183436e-20	No	No
Q99967	CITED2	1.15436906174804	0.0010228258352875	No	No
Q99990	VGLL1	1.52757147245467	0.0010453962504833	No	No
Q9BQR3	PRSS27	1.06019001178532	9.28572055431192e-05	No	No
Q9BQT9	CLSTN3	1.03148429733473	0.00129340816517	No	No
Q9BW04	SARG	2.88127350419574	1.10800268508309e-15	No	No
Q9BXL6	CARD14	1.09090513928596	5.63205687680699e-32	No	No
Q9BY76	ANGPTL4	1.52007626067229	3.2762090027534505e-09	No	No
Q9BZD2	SLC29A3	1.45512131837596	6.6131430848504e-06	No	No
Q9BZQ4	NMNAT2	1.56621106253051	0.0027624353761776	No	No
Q9C010	PKIB	1.02587968415716	2.98682312344113e-05	No	No
Q9C035	TRIM5	1.58447875182068	8.53555058686489e-24	No	No
Q9H3M7	TXNIP	1.13926114298894	9.93037661533532e-10	No	No
Q9H7X2	C1orf115	1.01907774444294	2.76023081366331e-05	No	No
Q9H841	NIPAL2	1.78656056700461	1.84044221234515e-07	No	No
Q9H9R9	DBNDD1	1.04722282946864	1.26717470413634e-05	No	No
Q9HAH1	ZNF556	1.38187458866933	6.48663252079393e-16	No	No
Q9HAT2	SIAE	1.009283972831	4.79914513458037e-24	No	No
Q9HBH9	MKNK2	1.0525943554962	1.55790899316663e-09	No	No
Q9HCK4	ROBO2	1.17101033394643	4.72018434202096e-22	No	No
Q9NNX1	TUFT1	1.26836322756009	2.24712407748082e-26	No	No
Q9NP74	PALMD	1.24802190761362	9.917884044165779e-11	No	No
Q9NP90	RAB9B	1.46770629321489	0.000648708554786	No	No
Q9NQ36	SCUBE2	1.15629816932333	1.04441053413773e-13	No	No
Q9NRR3	CDC42SE2	1.53750145026566	9.90120295878784e-08	No	No
Q9NRW4	DUSP22	1.01922278582453	4.26090482964695e-18	No	No
Q9NSY2	STARD5	1.04947333936547	1.59036186953871e-16	No	No
Q9NUV7	SPTLC3	1.08012469445053	9.26503808983932e-14	No	No
Q9NVC3	SLC38A7	1.04793709763437	2.18972958309825e-12	No	No
Q9NX09	DDIT4	1.54688727138323	2.16525783380849e-05	No	No
Q9NX95	SYBU	1.90751703732668	3.56106514558163e-07	No	No
Q9NYN1	RASL12	1.69647651421504	2.15432648383636e-05	No	No
Q9P0P8	MTRES1	1.16117895339267	1.58404080470495e-10	No	No
Q9UBJ2	ABCD2	1.1368752251571	1.38271825981537e-12	No	No
Q9UBM1	PEMT	1.02737610997961	0.0031302480728075	No	No
Q9UBN1	CACNG4	1.81901065317493	1.44181308026118e-12	No	No
Q9UBS3	DNAJB9	1.24331117696541	1.04843127856706e-06	No	No
Q9UDR5	AASS	1.24568079088776	5.69094582004901e-06	No	No
Q9UHE8	STEAP1	1.0594554432565	3.13740998633184e-06	No	No
Q9UHF1	EGFL7	1.49709158776311	9.70062754476736e-06	No	No
Q9UI15	TAGLN3	1.10575796292724	0.0005504198325288	No	No
Q9UJA2	CRLS1	1.24936384917281	4.16001544115638e-05	No	No
Q9UJC5	SH3BGRL2	1.00405613437464	5.90355336439632e-05	No	No
Q9ULL4	PLXNB3	1.21920660238878	3.31220136323778e-24	No	No
Q9UPI3	FLVCR2	1.25689026821257	0.0011623570194086	No	No
Q9UPQ0	LIMCH1	1.25565135491435	9.321285727784071e-25	No	No
Q9UPT6	MAPK8IP3	1.33159551668898	1.0297354909343201e-19	No	No
Q9Y234	LIPT1	1.07275420766595	0.0001940371953226	No	No
Q9Y2D0	CA5B	1.2577016233024	5.49428115465645e-23	No	No
Q9Y2D5	AKAP2	1.49297270756075	4.17409195286481e-13	No	No
Q9Y2J2	EPB41L3	1.49256881539528	9.182556825226591e-09	No	No
Q9Y2Q5	LAMTOR2	1.29926825201053	1.50534777236259e-17	No	No
Q9Y3C5	RNF11	1.2425114921884	2.55248452198404e-13	No	No
Q9Y3D2	MSRB2	1.03361597528993	2.58647648568492e-14	No	No
Q9Y3R0	GRIP1	1.02177914360922	1.26648569435347e-07	No	No
Q9Y519	TMEM184B	1.05634783162101	0.0002242468614344	No	No
Q9Y5I1	PCDHA11	1.12962099665022	0.0003842811166727	No	No
Q9Y5L2	HILPDA	1.03862412576317	0.0002305216969056	No	No
Q9Y5V3	MAGED1	1.13299078383007	4.0702724491619295e-28	No	No
Q9Y600	CSAD	1.22787187419214	4.19129074915615e-24	No	No
Q9Y6N8	CDH10	2.63922993539167	6.969159111563989e-11	No	No
A0A087X1C1;P0CG34;P0CG35	TMSB15B;TMSB15A;TMSB15B	-1.37298448875094	1.04926900259127e-07	No	No
A6NKF1	SAC3D1	-1.14084591141104	1.55170051827245e-15	No	No
A8MPP1	DDX11L8	-1.63004368968769	7.67741976889197e-16	No	No
A8MT69	CENPX	-1.2657711446752	5.43972392352514e-13	No	No
B4DXR9;Q8TB69	ZNF732;ZNF519	-2.28806540862672	6.79749614582095e-06	No	No
O00165	HAX1	-1.08890543338789	3.34881010829524e-26	No	No
O00311	CDC7	-1.78976777849133	4.2659242828130996e-13	No	No
O00458	IFRD1	-1.39932329839707	3.21479922727438e-05	No	No
O00762	UBE2C	-2.22409742934487	9.927276334352539e-30	No	No
O14578	CIT	-1.88862045069231	8.07486806978879e-40	No	No
O14732	IMPA2	-1.91117444743915	5.74991210006788e-25	No	No
O14757	CHEK1	-2.28780082124348	5.57571061659504e-35	No	No
O14775	GNB5	-1.20665905278674	0.003165423777954	No	No
O14777	NDC80	-2.44137858364044	3.59067791445489e-35	No	No
O14965	AURKA	-2.07697277270099	1.13964551602874e-32	No	No
O15162	PLSCR1	-1.18484931940043	5.8958426274038e-14	No	No
O15287	FANCG	-1.62186677522776	1.1271176952519299e-13	No	No
O15297	PPM1D	-1.45522252214663	1.44360059776705e-06	No	No
O15304	SIVA1	-1.29002983685464	6.2196618846524e-08	No	No
O15350	TP73	-2.23977309074071	2.3669536236637e-20	No	No
O15360	FANCA	-2.12225175165979	1.93633615675137e-12	No	No
O15392	BIRC5	-2.48494247352798	4.17822369960598e-13	No	No
O15527	OGG1	-1.25030259488885	4.68991007027938e-10	No	No
O43196	MSH5	-1.0971200428779	0.0008628902531607	No	No
O43379	WDR62	-2.37925658739935	3.6960153218890903e-25	No	No
O43463	SUV39H1	-1.85484832330244	1.93134673504832e-17	No	No
O43482	OIP5	-1.40826963864589	4.0824247106428695e-18	No	No
O43502	RAD51C	-1.76019885862034	4.70439663464079e-20	No	No
O43542	XRCC3	-1.5535662837156	9.92605507399121e-12	No	No
O43593	HR	-1.21401173539865	3.42913713878269e-06	No	No
O43663	PRC1	-2.55540188336435	4.60444258492551e-34	No	No
O43683	BUB1	-1.93286788310261	1.3898318211482401e-24	No	No
O60266	ADCY3	-1.42284100517595	3.74003497279563e-06	No	No
O60427	FADS1	-1.34306737369567	1.92364781047e-17	No	No
O75330	HMMR	-2.2862905514447	1.78527931243099e-24	No	No
O75419	CDC45	-2.71038054174544	2.7847376323145804e-31	No	No
O75461	E2F6	-1.2392372211196	1.09003932569205e-05	No	No
O75475	PSIP1	-1.17606648353746	8.49863571916164e-29	No	No
O75496	GMNN	-2.70594015444172	1.0551422423168101e-15	No	No
O75717	WDHD1	-1.78602978631655	6.92749889339167e-44	No	No
O75764	TCEA3	-2.76425876993368	8.513142279946809e-36	No	No
O75792	RNASEH2A	-1.07985665945311	9.564501105756601e-25	No	No
O94761	RECQL4	-1.9268152170814	6.37719631922017e-33	No	No
O94782	USP1	-1.39580022620376	5.25082981822625e-19	No	No
O95067	CCNB2	-2.30039549447215	2.26275318854572e-22	No	No
O95229	ZWINT	-1.38468228881491	4.01549338690329e-22	No	No
O95235	KIF20A	-2.8901352768863	3.3618337000230397e-34	No	No
O95239	KIF4A	-2.81493147793069	1.1705650039631201e-46	No	No
O95347	SMC2	-1.32978866649593	1.53169751496685e-39	No	No
O95718	ESRRB	-1.13786493947052	0.0005343851089647	No	No
O95864	FADS2	-1.01233530534084	4.4183408897238605e-09	No	No
O95997	PTTG1	-2.36192619657596	1.0879410674435799e-16	No	No
O96020	CCNE2	-2.79614851337191	5.0683949859185394e-18	No	No
O96028	NSD2	-2.08086038703943	9.39875837897745e-33	No	No
P00374	DHFR	-2.69894230606771	3.76242452702293e-39	No	No
P03372	ESR1	-1.09118272883039	1.5574050121218998e-14	No	No
P04183	TK1	-2.50154522948849	2.534023128969e-32	No	No
P04637	TP53	-1.2713216516836	2.1718784913343798e-22	No	No
P04818	TYMS	-3.18335699312174	1.80501778182523e-24	No	No
P06400	RB1	-1.0163814266748	7.93131818937697e-27	No	No
P06493	CDK1	-1.83373973817625	8.67500452627679e-39	No	No
P09884	POLA1	-1.8010825382386	1.58650619721647e-41	No	No
P0C0S8;P20671;Q96KK5;Q99878	H2AC17;H2AC7;H2AC12;H2AC14	-1.20891368537773	8.01834977397762e-14	No	No
P10244	MYBL2	-2.86307198753489	7.73415783553909e-21	No	No
P10412	H1-4	-1.77143553995997	2.37612783342881e-15	No	No
P11388	TOP2A	-2.35067415698239	3.86628592693218e-41	No	No
P11474	ESRRA	-1.01447797906236	5.15097934922235e-12	No	No
P11532	DMD	-1.18394061977315	9.97380989869322e-06	No	No
P11926	ODC1	-1.24657452741642	0.0007456194752785	No	No
P12004	PCNA	-1.34360741843301	6.73737437130132e-34	No	No
P13995	MTHFD2	-1.02628575258749	1.06177689433872e-26	No	No
P14635	CCNB1	-2.60865058613288	8.29701866885036e-28	No	No
P16401	H1-5	-1.5061648735013	1.61740084928194e-24	No	No
P16402	H1-3	-2.1916394244765	9.4453295996792e-31	No	No
P16403	H1-2	-2.22588012247787	4.57150994529151e-19	No	No
P16949	STMN1	-1.53765884890439	2.5717281169467303e-25	No	No
P18858	LIG1	-1.60486236592518	5.8866963864165195e-40	No	No
P20248	CCNA2	-2.88982046884871	1.9114215305902103e-15	No	No
P20700	LMNB1	-1.0309958083241	2.14243719870237e-35	No	No
P23527	H2BC17	-1.0723503763918	2.73084231847662e-20	No	No
P23921	RRM1	-1.10608935759585	4.95322552008214e-31	No	No
P25205	MCM3	-1.38440975033702	1.612801418906e-44	No	No
P26358	DNMT1	-1.76596475935722	1.0401455288832301e-46	No	No
P26583	HMGB2	-1.27836704741908	2.6602249028547597e-26	No	No
P28289	TMOD1	-1.40432733346308	5.6757295106245906e-15	No	No
P28340	POLD1	-1.32344371869851	3.90414952630098e-39	No	No
P28749	RBL1	-2.20395348224139	1.03516866000972e-27	No	No
P30291	WEE1	-1.63860901017664	1.82870451381118e-10	No	No
P30305	CDC25B	-2.91557800982961	6.467077006709239e-18	No	No
P30307	CDC25C	-1.43360577878353	5.983631058467941e-23	No	No
P30532	CHRNA5	-1.65537314999284	1.0766535660503e-05	No	No
P30793	GCH1	-1.70148928805698	4.25903186780217e-12	No	No
P30825	SLC7A1	-1.60797694872103	3.57928156682196e-25	No	No
P31350	RRM2	-2.63009701163701	1.99066327007406e-41	No	No
P33316	DUT	-2.17315178160154	1.7997475336898099e-40	No	No
P33552	CKS2	-1.06085492805763	7.89611903568096e-09	No	No
P33991	MCM4	-1.47259858129848	1.4234284656665901e-46	No	No
P33992	MCM5	-1.31663695645489	1.1525374019735098e-42	No	No
P33993	MCM7	-1.40533172408969	2.5033170164342897e-40	No	No
P35219	CA8	-1.20617872794968	6.8026546086259695e-22	No	No
P35249	RFC4	-1.11716163225314	1.27356100289633e-37	No	No
P35250	RFC2	-1.10002210965236	3.13321748362345e-41	No	No
P36383	GJC1	-1.38372516325643	0.0043668867610166	No	No
P38398	BRCA1	-1.50046919583754	5.97596137753739e-24	No	No
P39748	FEN1	-1.23790657833014	6.81837847450662e-41	No	No
P40937	RFC5	-1.09727637337981	5.81837152011657e-34	No	No
P41002	CCNF	-1.86723968806811	2.4193973824873e-07	No	No
P42166	TMPO	-1.35146018951817	1.54730339191969e-40	No	No
P42575	CASP2	-1.46275661869777	1.03346077497923e-25	No	No
P42695	NCAPD3	-1.9272042901836	1.32261004845667e-39	No	No
P43007	SLC1A4	-1.76401547311794	7.99826498022641e-35	No	No
P43246	MSH2	-1.01216570477237	4.4276165821327396e-36	No	No
P45973	CBX5	-1.04779754231489	1.9155499036927398e-28	No	No
P46013	MKI67	-2.7859011609632	5.78714259130526e-43	No	No
P49005	POLD2	-1.30029686020333	3.30319345160949e-36	No	No
P49366	DHPS	-1.25605053016871	2.44084589161919e-25	No	No
P49454	CENPF	-2.3982307528877	2.55087240434661e-38	No	No
P49638	TTPA	-1.69177269466293	4.37976377913863e-07	No	No
P49642	PRIM1	-2.13937607750289	6.49433283797331e-43	No	No
P49643	PRIM2	-1.85841714901592	4.30073004002466e-37	No	No
P49736	MCM2	-1.47479965102017	1.07441784710915e-41	No	No
