Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q9H898	ZMAT4	2.00403347183517	4.92696241856038e-07	No	No
Q9H8L6	MMRN2	1.82096696768479	7.78735600959194e-11	No	No
Q9H9R9	DBNDD1	1.05505446533012	1.12169737093472e-05	No	No
Q9HA82	CERS4	1.06048835169752	4.66915109139748e-07	No	No
Q9HBL0	TNS1	1.17184139908234	1.06849384084788e-08	No	No
Q9HCE9	ANO8	1.25432341344411	1.67593143190815e-05	No	No
Q9HCK4	ROBO2	1.14819965497356	1.03208674501795e-21	No	No
Q9HCY8	S100A14	1.89730589635712	5.30206845129517e-05	No	No
Q9HD64	XAGE1B	2.32046232534689	2.94427755248413e-07	No	No
Q9NPA3	MID1IP1	1.19305177003859	3.5381004671947502e-15	No	No
Q9NQZ6	ZC4H2	1.6418833677584	5.9838026428787e-06	No	No
Q9NRJ3	CCL28	1.60283170103902	1.18446874254614e-05	No	No
Q9NX95	SYBU	1.32726825136542	0.0001482836046314	No	No
Q9NYP7	ELOVL5	1.30876391864685	5.04289549821395e-14	No	No
Q9NYQ7	CELSR3	1.05424205685225	1.2784058443271399e-12	No	No
Q9NZU0	FLRT3	1.35657236363597	6.57855180789322e-06	No	No
Q9P212	PLCE1	2.65662462222027	3.05441880266857e-24	No	No
Q9UBN1	CACNG4	1.090031494871	6.46222104104904e-07	No	No
Q9UFB7	ZBTB47	1.03187680529766	0.0002234804722134	No	No
Q9UFP1	GASK1A	1.04015872423139	0.0003833436821989	No	No
Q9UJY1	HSPB8	1.0651154271592	1.1205196230779199e-13	No	No
Q9UK22	FBXO2	1.06296076327406	1.25619935878739e-19	No	No
Q9UKE5	TNIK	1.01342077694765	7.2245033036971e-17	No	No
Q9UKV0	HDAC9	1.31013543186972	6.2070039321708e-06	No	No
Q9ULD9	ZNF608	1.94052287387755	9.90642070874799e-16	No	No
Q9ULW5	RAB26	1.43887383804093	3.783416170938741e-09	No	No
Q9ULW8	PADI3	1.25454911086216	2.11127131819335e-28	No	No
Q9UPQ0	LIMCH1	2.56954836334141	3.58512846248215e-38	No	No
Q9UPT6	MAPK8IP3	1.01444176923621	2.12998796263139e-15	No	No
Q9Y2E6	DTX4	1.57095029458144	0.0024742322728721	No	No
Q9Y3L5	RAP2C	1.0466280131487	4.60302371354812e-13	No	No
Q9Y4B5	MTCL1	1.03348594180383	0.0026640716526477	No	No
Q9Y5L2	HILPDA	1.68522197492257	5.56225875607987e-08	No	No
Q9Y6M1	IGF2BP2	1.05987174735026	5.69546849902073e-27	No	No
Q9Y6U3	SCIN	1.65268720399126	1.19958485394095e-29	No	No
A0A087WUL8	NBPF19	-1.28331790502588	1.2153633831073001e-15	No	No
A1A4S6	ARHGAP10	-1.64442889123718	1.7723613941380998e-13	No	No
