Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
O43286	B4GALT5	-1.11802522070011	0.0001542369728743	No	No
O43295	SRGAP3	-1.94800079970427	5.44573601553236e-22	No	No
O43439	CBFA2T2	-1.07498560572255	2.42524755360224e-05	No	No
O43761	SYNGR3	-1.52046096641108	5.95417312587398e-14	No	No
O60268	KIAA0513	-1.22415503235583	2.35211430322358e-22	No	No
O60299	LZTS3	-1.08790573774332	5.44390595413882e-05	No	No
O60427	FADS1	-1.25858829769443	2.00131740126971e-16	No	No
O60637	TSPAN3	-1.01353454998082	0.0068859667534802	No	No
O75054	IGSF3	-1.20464450502668	3.12505488977396e-36	No	No
O75081	CBFA2T3	-1.75976615235216	1.34952014122859e-13	No	No
O75363	BCAS1	-2.36895682538478	1.3439508028621402e-31	No	No
O75462	CRLF1	-1.03470759000545	0.0032510029927541	No	No
O75828	CBR3	-1.26540964712886	1.78716794259451e-27	No	No
O75952	CABYR	-1.29437409960942	0.0026720495144145	No	No
O76024	WFS1	-1.52851141928663	5.48505043485681e-37	No	No
O76064	RNF8	-1.31348686849735	2.26638165954832e-06	No	No
O95147	DUSP14	-1.3517208380391	1.91569153433416e-12	No	No
O95259	KCNH1	-1.21969159160436	0.000700061539846	No	No
O95340	PAPSS2	-2.70058005491814	1.39713369368351e-41	No	No
O95406	CNIH1	-1.30229565365746	0.0040670201363702	No	No
O95466	FMNL1	-1.05430248275671	0.0056665111996657	No	No
O95502	NPTXR	-1.46324120772537	9.75020671256789e-08	No	No
O95754	SEMA4F	-1.09208302753561	0.0001658087833904	No	No
O95864	FADS2	-2.45991018343249	6.76693176226867e-22	No	No
O95994	AGR2	-1.2024761262566	3.11925159210313e-30	No	No
O95997	PTTG1	-1.16568136655139	1.00344762725185e-07	No	No
O96024	B3GALT4	-1.64661183812702	0.001892405613194	No	No
P00167	CYB5A	-1.04379226795399	2.04168300923322e-28	No	No
P00326	ADH1C	-2.33279984444808	0.0037732216208376	No	No
P00533	EGFR	-1.45499217248101	3.4678501512701503e-32	No	No
P00973	OAS1	-1.1106199950991	0.0006136230732689	No	No
P01009	SERPINA1	-2.2032255249746	1.63741949238515e-36	No	No
P01033	TIMP1	-3.69841024126267	2.6485826194482702e-20	No	No
P01034	CST3	-1.33933453394029	5.11913694960249e-18	No	No
P02511	CRYAB	-1.02273819270227	1.88913688668031e-14	No	No
P02649	APOE	-2.55295948364836	8.92505724052094e-48	No	No
P04066	FUCA1	-1.03744964715602	1.93353202535561e-24	No	No
P04083	ANXA1	-2.88920843119896	7.70211583320077e-33	No	No
P04233	CD74	-2.55750178114023	3.1085869199897803e-17	No	No
P04350	TUBB4A	-1.36708799823723	1.76720143646644e-07	No	No
P06276	BCHE	-2.21917678790321	2.66919643998424e-07	No	No
P06737	PYGL	-2.20583742914156	2.6846966420417402e-45	No	No
P06865	HEXA	-1.2210313122278	1.77015398452977e-29	No	No
P07476	IVL	-1.42746687253242	4.61432052261418e-27	No	No
P07942	LAMB1	-1.09085204400689	1.3739457678911301e-31	No	No
P07948	LYN	-2.50698618034276	5.69475181585413e-30	No	No
P08185	SERPINA6	-1.17274680501956	6.38206088327708e-19	No	No
P08294	SOD3	-1.90643066405315	6.45986906675899e-29	No	No
P08582	MELTF	-1.31376510191996	1.67817094869974e-05	No	No
P08648	ITGA5	-2.07164123219486	6.42548013006773e-30	No	No
P08962	CD63	-1.77459851113051	8.617867106533041e-15	No	No
P09668	CTSH	-1.1478090906691	1.210324293552e-23	No	No
P09972	ALDOC	-1.124770675417	7.90142348941172e-29	No	No
P0C024	NUDT7	-1.18881609782252	6.96158342750008e-16	No	No
P0DPF2	NBPF20	-1.28278369444145	0.00019116964749	No	No
P0DTW1	GAGE1	-1.57350208159543	0.0088686330993846	No	No
P10321	HLA-C	-1.01802163833895	1.36788793809276e-07	No	No
P11473	VDR	-1.11000727072757	1.2639742335216699e-18	No	No
P11926	ODC1	-1.46529840573111	0.0001044637814559	No	No
P12109	COL6A1	-1.66143792332769	5.93604864774898e-08	No	No
P12273	PIP	-2.983439329402	1.09563200866519e-31	No	No
P12429	ANXA3	-2.21962342845445	4.2952888015039e-31	No	No
P12821	ACE	-1.90381499827253	4.52280609531712e-22	No	No
P14061	HSD17B1	-1.25144291504267	9.64789577601322e-07	No	No
P15260	IFNGR1	-1.60163483155185	1.80641040048147e-11	No	No
P16035	TIMP2	-2.08140383962262	6.69585091717728e-20	No	No
