Protein_Group	Genes	T47D_A_Non Treated_vs_T47D _Non Treated_logFC	T47D_A_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
P43405	SYK	-1.29886638892438	1.28870684332286e-21	No	No
P47895	ALDH1A3	-1.36808376891036	4.08330136943627e-10	No	No
P49326	FMO5	-1.48232476263393	8.325785118083e-10	No	No
P49662	CASP4	-1.21634106230591	1.13478672826003e-08	No	No
P50225	SULT1A1	-1.51036922182531	1.73427172630017e-31	No	No
P50226	SULT1A2	-1.87025915487449	1.5488277930911301e-19	No	No
P51956	NEK3	-1.13345016416617	3.37161255623602e-06	No	No
P52799	EFNB2	-1.92096323059355	2.31188211796219e-07	No	No
P53365	ARFIP2	-1.02249358112377	1.02760665607628e-24	No	No
P54922	ADPRH	-1.01063205576422	6.08462695937691e-10	No	No
P55899	FCGRT	-1.26624504628346	1.5530263506421702e-15	No	No
P56159	GFRA1	-1.70729670087526	2.71862701773804e-06	No	No
P57729	RAB38	-1.67384745957444	9.75018343046148e-19	No	No
P78357	CNTNAP1	-1.10647667771912	2.05161754539808e-14	No	No
P78364	PHC1	-1.38210984213783	0.000477264733165	No	No
P78417	GSTO1	-1.0810181426765	7.212253045493031e-20	No	No
P86452	ZBED6	-1.72632358705004	2.4305262697433097e-11	No	No
P98082	DAB2	-1.36445837793919	1.60588851851725e-07	No	No
Q02318	CYP27A1	-1.07186436527371	0.000972298024159	No	No
Q03001	DST	-1.15219340504191	1.78371410744472e-41	No	No
Q03112	MECOM	-1.19414871011373	6.07350316270417e-07	No	No
Q05682	CALD1	-2.15664795702794	1.33998607539006e-34	No	No
Q13057	COASY	-1.26114967790982	1.25138616456858e-37	No	No
Q13636	RAB31	-1.96835864243632	1.08128486880174e-14	No	No
Q13867	BLMH	-1.03936611772976	1.91583380852998e-24	No	No
Q14574	DSC3	-1.04077034143043	7.67865980969262e-07	No	No
Q15052	ARHGEF6	-1.1659578476713	6.05911626133086e-22	No	No
Q15506	SPA17	-1.04004395779154	5.16292090245022e-11	No	No
Q15847	ADIRF	-1.09718473115955	0.000972653055624	No	No
Q16719	KYNU	-1.37124029971178	3.19945216682423e-33	No	No
Q16762	TST	-1.01713565371143	4.33321403813977e-24	No	No
Q16773	KYAT1	-1.71593917376866	4.66431446193038e-18	No	No
Q1W6H9	FAM110C	-1.14133464042951	1.22975243159586e-08	No	No
Q2KHR2	RFX7	-1.37882175482085	0.000592066962074	No	No
Q2TAP0	GOLGA7B	-1.53594265475287	0.0003655220912027	No	No
Q58DX5	NAALADL2	-1.70595666911207	2.0936306624374e-14	No	No
Q5JTY5;Q5RIA9	CBWD3;CBWD5	-1.73177148172027	0.0017175344755753	No	No
Q5JTZ5	C9orf152	-1.44689947214112	2.48372045810206e-10	No	No
Q5JVL4	EFHC1	-1.16008914074008	0.0015197054858354	No	No
Q5R3I4	TTC38	-1.03242747897923	1.32996500860939e-13	No	No
Q5SRE7	PHYHD1	-4.34408160071343	1.13116179195428e-22	No	No
Q5T011	SZT2	-1.36040643319751	9.86940235272037e-23	No	No
Q5T2W1	PDZK1	-3.20678777733962	5.08262999265208e-45	No	No
Q5T481	RBM20	-2.34741345588529	2.3829362560997397e-11	No	No
Q5T6J7	IDNK	-1.05509682350912	8.39850001937409e-06	No	No
Q5T6V5	C9orf64	-1.35228277227511	5.37484516989368e-26	No	No
Q5T7W7	TSTD2	-1.46275173625992	1.72515169422551e-05	No	No
Q67FW5	B3GNTL1	-1.31728218811974	3.9486986585605e-06	No	No
Q6ICL3	TANGO2	-1.14740238576042	2.22520908323833e-07	No	No
Q6NT55	CYP4F22	-2.33491657658975	1.23677364794504e-06	No	No
Q6NT76	HMBOX1	-1.63360918893881	1.03323152505618e-06	No	No
Q6NTF9	RHBDD2	-1.04917897995523	2.1961503691338e-13	No	No
Q6NV74	CRACDL	-1.16143503298061	2.13698902637314e-26	No	No
Q6NZY7	CDC42EP5	-1.07090984763617	0.0013102987875239	No	No
Q6P4A8	PLBD1	-1.75761719266114	1.6064208537291e-18	No	No
Q6UVK1	CSPG4	-1.28043632467625	6.21899212322864e-05	No	No
Q6UWE0	LRSAM1	-1.14831849123163	2.7731998718823302e-31	No	No
Q6UWJ1	TMCO3	-1.1094082976912	2.3491551557879e-14	No	No
Q6UX71	PLXDC2	-2.33468502388385	8.67872656364575e-21	No	No
Q6ZNL6	FGD5	-3.13764153376483	8.11988920969411e-21	No	No
Q6ZS11	RINL	-2.39298059190376	4.3785158404662e-06	No	No
Q6ZWL3	CYP4V2	-1.30522218987012	1.10296765184469e-05	No	No
Q709C8	VPS13C	-1.09270200875934	1.8904065911870198e-34	No	No
Q70J99	UNC13D	-1.32466321011922	7.06928026861804e-37	No	No
Q71U36	TUBA1A	-1.24022601826151	0.0002314718594741	No	No
Q7Z402	TMC7	-1.90021529944344	5.7551068181921e-06	No	No
Q86TG7	PEG10	-1.23638222567772	1.1271880924890101e-23	No	No
Q86UR1	NOXA1	-1.08161861955219	0.0001292733717617	No	No
Q86YQ8	CPNE8	-1.3351617033387	9.41392148866985e-10	No	No
Q8IU85	CAMK1D	-1.57359666257743	8.984530509600731e-17	No	No
Q8IUX4	APOBEC3F	-1.11260902841389	6.46803608602068e-09	No	No
Q8IVI9	NOSTRIN	-1.10232202349447	0.0001261334172191	No	No
Q8IWU6	SULF1	-1.96741830186686	6.23250169629458e-05	No	No
Q8IXK2	GALNT12	-1.82742334928022	0.0008608466034017	No	No
Q8IXL7	MSRB3	-1.33787203834632	5.40241579139996e-13	No	No
Q8N142	ADSS1	-1.46284272214488	1.95929005737514e-17	No	No
Q8N1Q1	CA13	-1.61423872986135	1.5737085104762e-11	No	No
Q8N8E3	CEP112	-1.51604501915286	0.0001459621323121	No	No
Q8NB16	MLKL	-1.51154337740428	9.70909785265526e-25	No	No
Q8NDN9	RCBTB1	-2.10525713465594	4.0465635399413105e-09	No	No
Q8NE00	TMEM104	-1.24669601811445	7.71853593477803e-05	No	No
Q8TCD5	NT5C	-1.27075427246943	3.32748174596664e-22	No	No
Q8TD19	NEK9	-1.09612706708486	1.80968247878552e-28	No	No
Q8TD55	PLEKHO2	-1.05965145186198	7.19543301880562e-13	No	No
Q8TDZ2	MICAL1	-2.24392882217699	1.07994062726157e-19	No	No
Q8TER5	ARHGEF40	-1.03521963935384	1.7452988871357e-17	No	No
Q8WTP8	AEN	-2.91627401229797	0.0001093158097959	No	No
Q8WV41	SNX33	-1.01641906658779	9.591967293149629e-18	No	No
Q8WVC6	DCAKD	-1.78950476715942	5.28042939807304e-29	No	No
Q8WVP5	TNFAIP8L1	-1.68568479084766	0.0006620799075756	No	No
Q8WWI1	LMO7	-1.07796808759781	1.2959536428766e-33	No	No
Q8WWY8	LIPH	-1.49786465752934	2.99820775079341e-11	No	No
Q8WWZ3	EDARADD	-2.51405313938778	2.0430035707516003e-15	No	No
Q92484	SMPDL3A	-1.01221950380961	4.08415504639517e-12	No	No
Q92633	LPAR1	-1.77498319562209	1.06077535012817e-05	No	No
Q92854	SEMA4D	-1.01491048770322	1.07156085670862e-05	No	No
Q95460	MR1	-1.03137737760871	4.81916865345485e-06	No	No
Q969Q4	ARL11	-1.34992222103588	2.28324684612329e-07	No	No
Q96A19	CCDC102A	-1.49578280102679	8.05915914129843e-17	No	No
Q96AN5	TMEM143	-1.46993008582984	1.75025546806391e-08	No	No
Q96AY3	FKBP10	-1.51736356727302	4.67099733249065e-37	No	No
Q96BI1	SLC22A18	-1.37515175010881	8.56082733198624e-21	No	No
Q96CM8	ACSF2	-1.01585225745578	8.115810882831879e-28	No	No
Q96CX2	KCTD12	-1.8574059753531	7.44127271441137e-08	No	No
Q96DR4	STARD4	-1.88837970787832	6.9675710231097e-06	No	No
Q96DX5	ASB9	-4.07845402102112	3.2725465520846897e-12	No	No
Q96EN8	MOCOS	-1.44650083447753	2.3595716963807602e-09	No	No
Q96F10	SAT2	-1.16263045142039	7.47804910357879e-07	No	No
Q96FE7	PIK3IP1	-1.73585149777736	0.0001580573337748	No	No
Q96FL8	SLC47A1	-1.90750570037887	3.84914788474436e-09	No	No
Q96FN4	CPNE2	-1.48780429181707	3.18103720445257e-11	No	No
Q96GM1	PLPPR2	-1.36241921294004	0.0014058252691467	No	No
Q96HM7	PCED1B	-1.0286071968021	0.0003243103035321	No	No
Q96J66	ABCC11	-1.22602515013719	3.82889557499512e-29	No	No
Q96JK9	MAML3	-1.82351341833169	0.0008071565698626	No	No
Q96L94	SNX22	-1.69230771365892	7.41043002472533e-05	No	No
Q96M32	AK7	-2.22531855018723	7.91385713302224e-08	No	No
Q96ME1	FBXL18	-1.01951003383626	2.5465197880160398e-27	No	No
Q96NL8	C8orf37	-1.24038066584643	5.90455647900175e-12	No	No
Q96P53	WDFY2	-1.09652276813446	2.59035710240513e-10	No	No
Q96R05	RBP7	-1.86040565991254	1.28036624145376e-19	No	No
Q9BQL6	FERMT1	-1.04846179585198	1.1534375285345999e-23	No	No
Q9BSW7	SYT17	-1.43654750276988	0.0008853669332676	No	No
Q9BTE0	NAT9	-1.07018224069308	1.78834454812395e-05	No	No
Q9BVM4	GGACT	-1.05376288364742	3.08205419579389e-08	No	No
Q9BW62	KATNAL1	-1.20557982073266	4.92896948867909e-16	No	No
Q9BXM9	FSD1L	-1.30197600020732	1.58642757277522e-07	No	No
Q9BY84	DUSP16	-1.26763595001738	4.21798377698014e-07	No	No
Q9BZF2	OSBPL7	-1.10339091968059	0.0001857975516517	No	No
Q9BZG1	RAB34	-1.19315282510035	7.852295285329821e-25	No	No
Q9C0H9	SRCIN1	-1.42287092518976	1.65475014210326e-31	No	No
Q9GZV1	ANKRD2	-1.46859280501453	3.69346789704533e-17	No	No
Q9H0H3	KLHL25	-1.21730372215777	9.61753726377288e-20	No	No
Q9H1C3	GLT8D2	-1.33183290405566	6.00193116799285e-06	No	No
Q9H2E6	SEMA6A	-1.20377991549865	0.0071461240780493	No	No
Q9H3G5	CPVL	-2.36636221486386	9.60376256197398e-29	No	No
Q9H553	ALG2	-1.39805828526213	6.62112147188317e-24	No	No
Q9H898	ZMAT4	-2.7693998706944	2.3360003160934004e-10	No	No
Q9H9S4	CAB39L	-1.18515397161195	8.975945054789169e-33	No	No
