Protein_Group	Genes	EV_Blast  _250nM Palbo_vs_EV_Blast  _Non Treated_logFC	EV_Blast  _250nM Palbo_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q8IVI9	NOSTRIN	1.18452679748415	4.61794784419807e-05	No	No
Q8IWW8	ADHFE1	1.10817699553225	1.92812080801114e-09	No	No
Q8IXH6	TP53INP2	2.29521773563391	0.0034526965730509	No	No
Q8IZJ3	CPAMD8	1.25332332487219	1.63871526847533e-15	No	No
Q8N370	SLC43A2	1.0533652552686	5.69669087270977e-06	No	No
Q8N3J5	PPM1K	1.61374574165824	2.77469243197406e-06	No	No
Q8N3V7	SYNPO	1.58100679998384	0.0001967301880921	No	No
Q8N6N6	NATD1	1.53499346415665	4.01580510707959e-13	No	No
Q8NEK5	ZNF548	1.52332845485099	9.68472080146622e-05	No	No
Q8NG66	NEK11	1.44522151778103	0.0002115908775364	No	No
Q8TB45	DEPTOR	1.28023303573062	2.66826664873777e-25	No	No
Q8WW38	ZFPM2	1.1172037145909	0.0004111111788739	No	No
Q8WWB7	GLMP	1.12215192259273	0.0007310464444547	No	No
Q92508	PIEZO1	1.15943897654541	1.38472246821688e-27	No	No
Q92597	NDRG1	1.11273960524311	2.80288077679955e-16	No	No
Q92963	RIT1	1.12230356857694	3.49231946416843e-05	No	No
Q969W9	PMEPA1	1.32037957520693	8.22720889025181e-05	No	No
Q96B97	SH3KBP1	1.06452088203533	0.0008844484493409	No	No
Q96C10	DHX58	1.01962509119546	2.2811425631884697e-18	No	No
Q96C11	FGGY	1.07197859687164	2.01527584898258e-08	No	No
Q96EE4	CCDC126	1.08146139572304	5.9659051996243e-07	No	No
Q96NY7	CLIC6	1.6879549260633	3.40724094516497e-16	No	No
Q99489	DDO	1.11376679832356	1.60486351969955e-05	No	No
Q99574	SERPINI1	2.05581546744928	1.7641067129121601e-25	No	No
Q99966	CITED1	1.79383555412965	0.0003977190717447	No	No
Q9BQR3	PRSS27	1.19256888826307	1.62055495079443e-05	No	No
Q9BT76	UPK3B	1.24823209808364	0.0067435118041623	No	No
Q9BW04	SARG	1.47839511101193	1.7843895553514e-07	No	No
Q9BZD2	SLC29A3	1.02041078569177	0.0008546031062269	No	No
Q9H0Q0	CYRIA	1.13307801246787	0.0027923840932002	No	No
Q9H3M7	TXNIP	1.18535859478274	3.4735321744497e-10	No	No
Q9H7X2	C1orf115	2.17405961317403	5.466900537947999e-13	No	No
Q9H841	NIPAL2	1.10102639066752	0.0004468549628136	No	No
Q9HCH5	SYTL2	1.04058264575437	2.58334694532258e-07	No	No
Q9NPE6	SPAG4	1.28456372255476	0.0052148389062738	No	No
Q9NR34	MAN1C1	1.71977580946449	2.59280527770981e-05	No	No
Q9NX09	DDIT4	1.35977907580822	0.0001382700395839	No	No
Q9NX95	SYBU	2.21430839241681	1.32237730480108e-08	No	No
Q9NXL2	ARHGEF38	1.08156843137843	7.86820721661189e-06	No	No
Q9UBN1	CACNG4	1.27855459547274	2.08033976327707e-08	No	No
Q9UDR5	AASS	1.07072286057453	6.16572178751589e-05	No	No
Q9UEE5	STK17A	1.00007827540121	2.46535411659639e-10	No	No
Q9UHE8	STEAP1	1.15683011545974	5.94424195236957e-07	No	No
Q9UKB3	DNAJC12	1.31514282292704	9.28224045453313e-05	No	No
Q9UKI2	CDC42EP3	1.12985608398377	0.007157998032362	No	No
Q9UN76	SLC6A14	1.49388204528117	0.0030444404702318	No	No
Q9UNA1	ARHGAP26	1.07946086564892	0.002757843484675	No	No
Q9Y5I1	PCDHA11	1.37637080322506	2.66232701722847e-05	No	No
Q9Y6G1	TMEM14A	2.7956984245322	2.69093404685926e-07	No	No
Q9Y6N8	CDH10	1.50674932746113	1.60336200145701e-05	No	No
A0A087X1C1;P0CG34;P0CG35	TMSB15B;TMSB15A;TMSB15B	-1.52837368329683	9.00105860967804e-09	No	No
A6NKF1	SAC3D1	-1.04265180955297	3.27101277335089e-14	No	No
A8K0R7	ZNF839	-1.01703995567717	3.23900652096838e-06	No	No
A8MPP1	DDX11L8	-2.07374702379027	1.10761440977119e-19	No	No
A8MT69	CENPX	-1.36105112316883	5.27486924882009e-14	No	No
B3KNS4	ERVK3-1	-1.1140209162828	1.7016617155223e-08	No	No
O00220	TNFRSF10A	-1.11639333593737	3.12561717162235e-08	No	No
O00311	CDC7	-1.46600915862217	1.5725254485671202e-10	No	No
O00458	IFRD1	-1.0492043749241	0.0011834442995467	No	No
O00762	UBE2C	-2.36017356947846	7.70173077385955e-31	No	No
O14578	CIT	-1.83601980999125	2.84158759559817e-39	No	No
O14613	CDC42EP2	-1.08664814204716	0.0008516529918752	No	No
O14732	IMPA2	-1.24252950119092	1.2491899966779e-17	No	No
O14757	CHEK1	-1.62220561861864	1.65318106638353e-28	No	No
O14777	NDC80	-2.48730012537434	1.58053374870701e-35	No	No
O14965	AURKA	-2.25995412173563	2.8407946449309e-34	No	No
O14975	SLC27A2	-1.17903218251664	3.76968062975654e-06	No	No
O15287	FANCG	-1.48861734211736	1.69011122479619e-12	No	No
O15297	PPM1D	-1.29821547162006	1.08528007886172e-05	No	No
O15304	SIVA1	-1.25721556714565	1.09504253498006e-07	No	No
O15350	TP73	-1.89084681533694	1.41934966380857e-17	No	No
O15360	FANCA	-1.47084043677999	3.5896564988059e-08	No	No
O15392	BIRC5	-3.06518636569169	3.68153681788306e-16	No	No
O15525	MAFG	-1.08026749017431	1.78522376451921e-12	No	No
O15527	OGG1	-1.14229334673928	4.77251860498364e-09	No	No
O43151	TET3	-1.11674734390485	3.6333698649186e-05	No	No
O43196	MSH5	-1.05651936820679	0.0012736908078421	No	No
O43248	HOXC11	-1.30678940911225	3.92621746785735e-06	No	No
O43379	WDR62	-2.09437391575295	6.78545887898553e-23	No	No
O43463	SUV39H1	-1.87744134875502	1.23976239359328e-17	No	No
O43502	RAD51C	-1.21757564873497	2.8026609834095802e-14	No	No
O43542	XRCC3	-1.16874001142889	1.89061978063477e-08	No	No
O43663	PRC1	-2.640973493736	1.08505218446478e-34	No	No
O43683	BUB1	-1.50407567545298	3.17009941918998e-20	No	No
O60427	FADS1	-1.08725011852923	3.06030423552707e-14	No	No
O75330	HMMR	-2.50040755167666	4.37478958445275e-26	No	No
O75417	POLQ	-1.32884855751388	3.99076866318959e-06	No	No
O75419	CDC45	-2.29558662498789	3.46190178546631e-28	No	No
O75446	SAP30	-1.26105592388982	4.35153171954441e-18	No	No
O75461	E2F6	-1.13754413801302	4.15324525212132e-05	No	No
O75462	CRLF1	-1.01606830573692	0.003796382049746	No	No
O75496	GMNN	-2.6177181826942	3.3154268871207402e-15	No	No
O75717	WDHD1	-1.38128101443869	6.74859549508442e-39	No	No
O75764	TCEA3	-1.8000426019712	1.00344314653671e-27	No	No
O75771	RAD51D	-2.55645677598449	3.59938696495357e-05	No	No
O94761	RECQL4	-1.78156809914129	1.9252258528123902e-31	No	No
O94782	USP1	-1.25925884118256	2.40645586804987e-17	No	No
O95067	CCNB2	-2.52146374757757	5.52188708482887e-24	No	No
O95229	ZWINT	-1.39022443784589	3.42354541158034e-22	No	No
O95235	KIF20A	-2.87951093241995	3.95100097388415e-34	No	No
O95239	KIF4A	-2.72340784388424	5.18421830812446e-46	No	No
O95347	SMC2	-1.33855776166163	1.142900340592e-39	No	No
O95718	ESRRB	-1.21463307934487	0.0002467012908452	No	No
O95997	PTTG1	-3.29507699155598	3.44128147465996e-22	No	No
O96006	ZBED1	-1.10762624684342	6.34344617859885e-11	No	No
O96020	CCNE2	-1.62031802079384	2.5130130080083e-10	No	No
O96028	NSD2	-1.7922718441141	6.027628169122119e-30	No	No
P00374	DHFR	-2.43815895906217	3.42621009589825e-37	No	No
P02795	MT2A	-1.80652906315882	2.11326562875322e-05	No	No
P04183	TK1	-2.4938098003801	2.89949102718771e-32	No	No
P04818	TYMS	-3.25648653575927	7.084576820843601e-25	No	No
P06493	CDK1	-2.04565614383332	6.6283905315237e-41	No	No
P09884	POLA1	-1.42130673728924	5.99017899225191e-37	No	No
P10244	MYBL2	-1.99856761359113	4.32203953359759e-15	No	No
P10412	H1-4	-1.42628320166544	2.71930311508224e-12	No	No
P11388	TOP2A	-2.32157284837024	6.7452605568452e-41	No	No
P12004	PCNA	-1.29440965067932	3.44425531331031e-33	No	No
P14635	CCNB1	-2.80869391251845	3.57475036261904e-29	No	No
P16401	H1-5	-1.29285793641449	7.792297383138819e-22	No	No
P16402	H1-3	-1.75449736053239	1.2328950926432499e-26	No	No
P16403	H1-2	-1.98340691470825	3.3063266779845e-17	No	No
P16949	STMN1	-1.50402190066124	6.420809189487541e-25	No	No
P18858	LIG1	-1.48983277227224	1.61293848742835e-38	No	No
P19544	WT1	-2.22605640945721	1.17195197831405e-17	No	No
P20248	CCNA2	-2.58947985988977	7.625379929235821e-14	No	No
P23921	RRM1	-1.05127743269459	4.4317825619296894e-30	No	No
P26358	DNMT1	-1.4057336661031	2.93351742367358e-42	No	No
P26583	HMGB2	-1.27540638758641	2.93113802908467e-26	No	No
P28340	POLD1	-1.15271751237762	1.7865359579002698e-36	No	No
P28749	RBL1	-1.60990518098192	4.3225844373181695e-22	No	No
P30291	WEE1	-1.85062872147535	5.55885680516583e-12	No	No
P30305	CDC25B	-2.58378689018941	5.04994305433333e-16	No	No
P30307	CDC25C	-1.76187007422785	1.22388739935113e-26	No	No
P30793	GCH1	-1.41832136178818	7.29390029832976e-10	No	No
P30825	SLC7A1	-1.29126516015852	2.5635103767418102e-21	No	No
P31274	HOXC9	-3.06511049865171	0.000540559448444	No	No
P31350	RRM2	-2.35143773436058	2.94469364529977e-39	No	No
P33316	DUT	-2.14586666653562	3.1626196489631095e-40	No	No
P33552	CKS2	-1.83694240853364	5.67214870547497e-16	No	No
P33991	MCM4	-1.07603819373033	1.83907056254383e-40	No	No
P33993	MCM7	-1.04014728310121	1.5392059698523e-34	No	No
P35544	FAU	-1.0443514522681	0.0007174648312415	No	No
P38398	BRCA1	-1.40716109293276	8.08545802200374e-23	No	No
P39748	FEN1	-1.0607637353184	6.60604392267049e-38	No	No
P40426	PBX3	-1.18068170683364	0.0023129214042434	No	No
P41002	CCNF	-2.05647138789787	2.91805471739114e-08	No	No
P42166	TMPO	-1.26877119798541	2.58182983357154e-39	No	No
P42575	CASP2	-1.22529576563531	1.45155911184697e-22	No	No
P42695	NCAPD3	-1.70169553139313	3.32887798484237e-37	No	No
P43007	SLC1A4	-1.16780552314025	4.28561963296951e-27	No	No
P46013	MKI67	-2.72642047571377	1.52216564893094e-42	No	No
P49005	POLD2	-1.10916825376415	3.56323852714125e-33	No	No
P49454	CENPF	-2.41777156040288	1.77878146851158e-38	No	No
P49638	TTPA	-1.98583488146841	1.29320926197788e-08	No	No
P49642	PRIM1	-1.79436802868391	1.68114896673385e-39	No	No
P49643	PRIM2	-1.35959279878674	3.80532584977555e-31	No	No
P49715	CEBPA	-1.09292102055494	2.20536892657333e-08	No	No
P49736	MCM2	-1.07511696515439	1.3518832769706601e-35	No	No
P50219	MNX1	-1.36616684668719	1.03358267932366e-10	No	No
P51530	DNA2	-1.79016403913014	4.49652173296538e-17	No	No
P51587	BRCA2	-1.07907600158112	1.3670181878751402e-09	No	No
P51606	RENBP	-1.51839035844816	0.0001160889836762	No	No
P51955	NEK2	-2.31884907524355	1.19671320711919e-16	No	No
P51956	NEK3	-1.0759498317661	8.31993585074451e-06	No	No
P52292	KPNA2	-1.09682488482418	8.245942500175231e-31	No	No
P52732	KIF11	-2.2253823331668	5.12811567267586e-41	No	No
P53350	PLK1	-2.56333696317781	3.00460935152464e-38	No	No
P54132	BLM	-1.58618958664113	1.5719257075627102e-19	No	No
P55197	MLLT10	-1.23089783586528	4.11869938575984e-06	No	No
P55851	UCP2	-1.07732931299667	1.50810789716428e-07	No	No
P56270	MAZ	-1.50359120150143	3.17481280694095e-17	No	No
P56282	POLE2	-1.80775920678063	2.0306869006342998e-23	No	No
P59796	GPX6	-2.9031574574691	2.48711833551992e-14	No	No
P61024	CKS1B	-1.86869571895594	2.83029898207e-18	No	No
P78415	IRX3	-1.00945301964638	1.2808380901605299e-11	No	No
P78540	ARG2	-1.00349468848	2.09386780125642e-18	No	No
P78549	NTHL1	-1.44298078523355	2.9140327023702202e-15	No	No
P81274	GPSM2	-1.17910043492267	1.4033153011374e-07	No	No
Q01664	TFAP4	-3.30364599311784	9.17543400560524e-14	No	No
Q01740	FMO1	-1.26662175743832	0.0004810978748963	No	No
Q02224	CENPE	-2.00278083580629	2.90416001493153e-19	No	No
Q02241	KIF23	-2.14319390706508	3.45398198686706e-39	No	No
Q05D32	CTDSPL2	-1.63674175793564	3.44934255179345e-33	No	No
Q06609	RAD51	-1.94973372574182	2.2874410133764203e-19	No	No
Q07864	POLE	-1.40438979039501	1.50859197232589e-36	No	No
Q08050	FOXM1	-1.24062386785429	0.0005605935594941	No	No
Q12815	TROAP	-1.96730240923399	7.488016118564381e-15	No	No
Q12834	CDC20	-2.7767206844323	1.39383722326767e-29	No	No
Q13111	CHAF1A	-1.33547006687078	2.80576532357979e-27	No	No
Q13112	CHAF1B	-1.60171893663562	3.34198007289846e-34	No	No
Q13115	DUSP4	-1.10014409476845	3.21342822133138e-06	No	No
Q13257	MAD2L1	-1.38565931831473	1.70817073823744e-21	No	No
Q13309	SKP2	-1.71445745044181	1.13972720990115e-11	No	No
Q13352	ITGB3BP	-1.11947739937959	0.0016852081908013	No	No
Q13487	SNAPC2	-1.21735922123404	0.0016633234287047	No	No
Q14181	POLA2	-1.30477778097427	6.99296593618952e-25	No	No
Q14207	NPAT	-1.06287141387385	2.26316628478442e-14	No	No
Q14566	MCM6	-1.06088846736296	4.32838847590076e-38	No	No
Q14674	ESPL1	-2.59581092777447	1.07310150351733e-28	No	No
Q14676	MDC1	-1.09537013964015	1.4369251194301798e-30	No	No
Q14680	MELK	-1.0565294489439	1.8812430955568002e-11	No	No
Q14691	GINS1	-1.30712997722751	9.00328633284882e-24	No	No
Q14781	CBX2	-1.22897389773351	6.285514172677331e-19	No	No
Q14807	KIF22	-2.99265087809152	1.97461101078358e-38	No	No
Q14CB8	ARHGAP19	-2.22568140730812	2.94524143474523e-17	No	No
Q15003	NCAPH	-1.93700890857639	2.22683215301217e-42	No	No
Q15004	PCLAF	-2.90650131983244	1.3152773314110802e-25	No	No
Q15021	NCAPD2	-2.00458915546649	1.58186183614397e-48	No	No
Q15053	KIAA0040	-1.04668376585508	9.52927663012187e-05	No	No
Q15054	POLD3	-1.18524760028659	1.11077190256787e-32	No	No
Q15058	KIF14	-1.93284259892911	9.618478496453e-40	No	No
Q15398	DLGAP5	-1.72548014401352	1.5130951355141298e-30	No	No
Q15468	STIL	-2.32015299539218	7.93024587512192e-21	No	No
Q15742	NAB2	-1.2699344225597	2.1346640927691103e-25	No	No
Q15910	EZH2	-1.1791339942124	3.08118121135397e-22	No	No
Q16533	SNAPC1	-1.13191730743344	7.38025115958436e-08	No	No
Q16667	CDKN3	-1.84815964259178	3.82902375831522e-07	No	No
Q16763	UBE2S	-2.35630245476712	3.82998946174284e-28	No	No
Q2I0M4	LRRC26	-1.01757894287086	0.0008230317063415	No	No
Q2NKX8	ERCC6L	-1.13728375690986	2.5083121889083597e-28	No	No
Q53EZ4	CEP55	-2.09862721371418	1.71985874573503e-31	No	No
Q53H80	AKIRIN2	-1.07010796274835	0.0023282740036	No	No
Q53HL2	CDCA8	-2.74264140283069	1.22990033021903e-26	No	No
Q562F6	SGO2	-2.02111534842716	9.376908218161e-13	No	No
Q56A73	SPIN4	-1.5309901361327	2.48913718636577e-15	No	No
Q56NI9	ESCO2	-1.87013845847467	1.84096149350348e-18	No	No
Q5FBB7	SGO1	-2.59066337172538	2.5909878381168402e-20	No	No
Q5T6S3	PHF19	-2.42226707534397	1.93116781541883e-17	No	No
Q5TB30	DEPDC1	-1.41548718397798	0.0003877162951948	No	No
Q5UIP0	RIF1	-1.33669585898013	2.19628969712199e-38	No	No
Q5XG87	TENT4A	-1.09672470720083	1.96610815646587e-07	No	No
Q5XXA6	ANO1	-1.19876265497571	6.31647866746269e-07	No	No
Q68D06	SLFN13	-1.27357835617645	9.394550951343411e-19	No	No
Q68D85	NCR3LG1	-1.28376732532655	3.95525319750441e-13	No	No
Q69YH5	CDCA2	-2.29063254275812	3.4337686474631904e-19	No	No
Q6IBW4	NCAPH2	-1.77649889807916	2.8133539185190398e-28	No	No
Q6IE81	JADE1	-1.31091324944957	1.03288717432472e-12	No	No
Q6IPU0	CENPP	-1.37163294575775	3.97634467820505e-10	No	No
Q6P0N0	MIS18BP1	-2.25603807351107	5.09233687148924e-26	No	No
Q6P4F7	ARHGAP11A	-2.13131395735908	3.9001760038566193e-11	No	No
Q6PGN9	PSRC1	-2.27738980873085	2.29378296712926e-19	No	No
Q6PI25	CNIH2	-2.43369228974482	1.55130359412716e-09	No	No
Q6PL18	ATAD2	-1.54113069388473	8.874146004193659e-34	No	No
Q6SJ93	FAM111B	-2.11281084904659	5.706676179611489e-30	No	No
Q6UVK1	CSPG4	-1.62165201637908	1.23150038943651e-06	No	No
Q6UWI4	SHISA2	-1.13364087504823	1.86961077738472e-07	No	No
Q6YHK3	CD109	-1.48391464371794	1.02675485812745e-08	No	No
Q6ZN18	AEBP2	-1.02709748327383	1.3299731668379698e-12	No	No
Q6ZRQ5	MMS22L	-1.48350258872881	1.9889853883256302e-19	No	No
Q71F23	CENPU	-1.51595242896034	4.432197374931549e-22	No	No
Q7L2Z9	CENPQ	-1.61971694266447	1.62564437110165e-16	No	No
Q7L590	MCM10	-2.40377813084883	5.70752436778703e-11	No	No
Q7Z628	NET1	-1.33213722008926	0.0022342966197349	No	No
Q7Z7L1	SLFN11	-1.51647384992134	1.23996447757033e-24	No	No
Q86T82	USP37	-1.77246044886411	3.36416507429498e-16	No	No
Q86UD0	SAPCD2	-1.42413622013689	4.36016841617958e-24	No	No
Q86VI3	IQGAP3	-2.68036507768099	3.65495768123492e-31	No	No
Q86XI2	NCAPG2	-1.84401689883823	2.82309488141563e-35	No	No
Q86XJ1	GAS2L3	-1.11172488558393	3.80191201998466e-12	No	No
Q86XK3	SFR1	-1.57524026743382	8.28191210741536e-08	No	No
Q86Y91	KIF18B	-2.98388527651229	7.338475669834751e-21	No	No
Q86Y97	KMT5C	-1.21452512684851	1.2219120048428101e-14	No	No
Q86YI8	PHF13	-1.05258394895309	0.000765424044507	No	No
Q8IVF7	FMNL3	-1.17392066699644	0.0006083267353422	No	No
Q8IX07	ZFPM1	-1.08916434641258	2.03303195090026e-05	No	No
Q8IX21	SLF2	-1.29325001942222	1.12838283830559e-07	No	No
Q8IX90	SKA3	-2.06019193101032	9.20694661067591e-12	No	No
Q8IXM6	NRM	-1.02072519644524	2.6716793102366302e-20	No	No
Q8IYA6	CKAP2L	-2.33792458623055	1.76589076762967e-17	No	No
Q8IYW5	RNF168	-2.02502897954984	1.7980704647878598e-22	No	No
Q8IZC4	RTKN2	-1.1560926427821	2.32371201350391e-06	No	No
Q8IZT6	ASPM	-1.2364823536606	6.87642162993541e-19	No	No
Q8N0S6	CENPL	-1.24769817913334	5.42540212371972e-18	No	No
Q8N2Z9	CENPS	-1.37598780117333	1.06435599443936e-22	No	No
Q8N3J2	METTL4	-1.28040736847973	1.65472290032508e-06	No	No
Q8N4T4	ARHGEF39	-2.22253078573426	2.55940799166027e-06	No	No
Q8N5V2	NGEF	-1.07689145560313	8.91792468009144e-05	No	No
Q8N806	UBR7	-1.05613310807744	2.53267383557853e-25	No	No
Q8NB91	FANCB	-1.03402143988854	0.0008301679221296	No	No
Q8NBI5	SLC43A3	-1.6206982865874	1.34250935335702e-08	No	No
Q8NBT2	SPC24	-2.99753355046384	4.8288244851851796e-36	No	No
Q8NCD3	HJURP	-2.12904312676724	9.92731035692545e-13	No	No
Q8NCN4	RNF169	-1.11300253999779	5.55030806695189e-20	No	No
Q8NEM2	SHCBP1	-1.80703031959059	2.8832474662659897e-34	No	No
Q8NG31	KNL1	-1.75987886529238	3.66383669227191e-27	No	No
Q8NI77	KIF18A	-2.13118307616273	6.85127338619481e-22	No	No
Q8TAA5	GRPEL2	-1.04179554821484	4.2729831306265103e-19	No	No
Q8TAP8	PPP1R35	-1.03162506314361	1.09266215206895e-06	No	No
Q8TAT5	NEIL3	-1.06545989293459	0.003179859122464	No	No
Q8TCG1	CIP2A	-1.65150603262749	2.22063780713009e-32	No	No
Q8TE76	MORC4	-1.00056971425663	7.09485694978896e-07	No	No
Q8TF76	HASPIN	-1.88377388357726	2.29207781759938e-10	No	No
Q8WU67	ABHD3	-1.27669978023328	0.000851510705085	No	No
Q8WVD3	RNF138	-1.21575069422919	0.0004147514056745	No	No
Q8WVK7	SKA2	-1.68123071409981	1.56985172570509e-13	No	No
Q8WVP5	TNFAIP8L1	-1.47056738539809	0.0025821077850518	No	No
Q8WWK9	CKAP2	-2.14473460751029	1.90243163945288e-27	No	No
Q92466	DDB2	-1.21017708870526	6.860506561794989e-30	No	No
Q92522	H1-10	-1.1829650095847	2.50913538962418e-18	No	No
Q92547	TOPBP1	-1.13374663149428	3.0656375906684303e-25	No	No
Q92633	LPAR1	-1.13204998831907	0.0028256106347214	No	No
Q92674	CENPI	-1.1698349233383	6.7743535998389605e-09	No	No
Q92686	NRGN	-1.94012066138299	3.40447457233064e-07	No	No
Q96AP7	ESAM	-1.37835166810404	0.0046944422154251	No	No
Q96B01	RAD51AP1	-1.83287185124756	2.14133829022599e-20	No	No
Q96BD8	SKA1	-2.38391135824559	6.96115232972681e-14	No	No
Q96BT3	CENPT	-1.03271729280211	4.13013177994673e-16	No	No
Q96BZ8	LENG1	-1.13403196433519	3.54921378485228e-19	No	No
Q96CG3	TIFA	-1.28478522289217	8.95446737753439e-08	No	No
