"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0070131","GO:0070131",9,"GO:0045727",0.793099410164472,16,"positive regulation of mitochondrial translation","positive regulation of translation",0.848493552690085,0.360230769230769,0.853
"GO:0045589","GO:0045589",27,"GO:0045589",0.793099410164472,36,"regulation of regulatory T cell differentiation","regulation of regulatory T cell differentiation",0.878374388617163,0.3470625,0
"GO:0051052","GO:0051052",11,"GO:0007004",0.793099410164472,527,"regulation of DNA metabolic process","telomere maintenance via telomerase",0.842348154735438,0.315125,0.627
"GO:0040031","GO:0040031",28,"GO:0040031",0.793099410164472,7,"snRNA modification","snRNA modification",0.912523343708315,0.3145,0
"GO:0022618","GO:0022618",21,"GO:0000389",0.793099410164472,235,"protein-RNA complex assembly","mRNA 3'-splice site recognition",0.914751445086705,0.27,0.747
"GO:0000271","GO:0000271",29,"GO:0000271",0.793099410164472,66,"polysaccharide biosynthetic process","polysaccharide biosynthetic process",0.924448199199644,0.2563125,0
"GO:0061013","GO:0061013",4,"GO:0006397",0.793099410164472,252,"regulation of mRNA catabolic process","mRNA processing",0.80761894175189,0.231066666666667,0.809
"GO:0006359","GO:0006359",14,"GO:0006383",0.788979096149599,30,"regulation of transcription by RNA polymerase III","transcription by RNA polymerase III",0.878278345931525,0.367666666666667,0.929
"GO:0006376","GO:0006376",21,"GO:0000389",0.788979096149599,49,"mRNA splice site recognition","mRNA 3'-splice site recognition",0.850987105380169,0.328230769230769,0.88
"GO:0016441","GO:0016441",23,"GO:0035194",0.788979096149599,643,"post-transcriptional gene silencing","regulatory ncRNA-mediated post-transcriptional gene silencing",0.828135171187194,0.285625,0.992
"GO:0006325","GO:0006325",20,"GO:0006338",0.76450488394796,782,"chromatin organization","chromatin remodeling",0.917035571365051,0.25075,0.97
"GO:1902373","GO:1902373",8,"GO:0000956",0.666645237057472,75,"negative regulation of mRNA catabolic process","nuclear-transcribed mRNA catabolic process",0.801271676300578,0.2338,0.815
"GO:0006265","GO:0006265",30,"GO:0006265",0.648085475998825,9,"DNA topological change","DNA topological change",0.873408626056025,0.4956,0
"GO:2000234","GO:2000234",6,"GO:0000470",0.648085475998825,10,"positive regulation of rRNA processing","maturation of LSU-rRNA",0.823057803468208,0.412631578947368,0.679
