Protein_Group	Genes	PTEN_sg_1.1_6_250nM Palbo_vs_PTEN_sg_1.1_6_Non Treated_logFC	PTEN_sg_1.1_6_250nM Palbo_vs_PTEN_sg_1.1_6_Non Treated_pval	Removed?	Contaminant?
P31350	RRM2	-2.63009701163701	1.99066520045815e-41	No	No
P33316	DUT	-2.17315178160154	1.79974835529686e-40	No	No
P46013	MKI67	-2.7859011609632	5.78714835244724e-43	No	No
P49454	CENPF	-2.3982307528877	2.55087488534155e-38	No	No
P49642	PRIM1	-2.13937607750289	6.49433272384605e-43	No	No
P51955	NEK2	-2.46029071946633	1.40131171957324e-17	No	No
P52732	KIF11	-2.27910780180944	1.76564338420723e-41	No	No
P53350	PLK1	-2.26455505333541	7.248324977735101e-36	No	No
P59796	GPX6	-2.73152131981667	1.82089569479188e-13	No	No
Q02241	KIF23	-2.30169056052401	1.4360283141235598e-40	No	No
Q06609	RAD51	-2.52072288175746	8.92508350816311e-24	No	No
Q12834	CDC20	-2.49629218630951	1.29829421914874e-27	No	No
Q14674	ESPL1	-2.45150317879946	1.21746460587535e-27	No	No
Q14807	KIF22	-3.20687169945933	9.10765979887246e-40	No	No
Q15004	PCLAF	-2.93999424586668	8.16541429313661e-26	No	No
Q15468	STIL	-2.01385491564305	1.7951957065668e-18	No	No
Q16667	CDKN3	-2.12395320402552	1.82293867547857e-08	No	No
Q16763	UBE2S	-2.65158011165372	2.45575050539247e-30	No	No
Q2I0M4	LRRC26	-2.10179948318976	2.4374137882486e-09	No	No
Q53HL2	CDCA8	-2.69951904982785	2.38934400714567e-26	No	No
Q56NI9	ESCO2	-2.6921451271282	1.04635994552233e-24	No	No
Q5D862	FLG2	-3.48809281774916	6.78808355608422e-08	No	No
Q5FBB7	SGO1	-2.63522105166087	1.3350771400372701e-20	No	No
Q5T6S3	PHF19	-2.19466006726838	6.60299231632082e-16	No	No
Q69YH5	CDCA2	-2.29905593801846	2.98669396105146e-19	No	No
Q6IBW4	NCAPH2	-2.08183551589716	3.1180944241694703e-31	No	No
Q6P0N0	MIS18BP1	-2.3787733626875	5.53108429723747e-27	No	No
Q6PI25	CNIH2	-2.22006825415328	1.49354418989185e-08	No	No
Q6PL18	ATAD2	-2.21191697227213	1.00366538925604e-40	No	No
Q6SJ93	FAM111B	-2.60910602407469	5.9977487230242895e-34	No	No
Q6UWP8	SBSN	-2.42061417075217	2.47310524491047e-07	No	No
Q7L590	MCM10	-2.51452043922124	1.56074098551408e-11	No	No
Q86T82	USP37	-2.1610996499571	2.29234960753448e-19	No	No
Q86VI3	IQGAP3	-2.82329761722415	3.84072564457076e-32	No	No
Q86XI2	NCAPG2	-2.11863059215705	6.1026922489829e-38	No	No
Q86Y91	KIF18B	-3.1140438084084	1.36616523718145e-21	No	No
Q8IX21	SLF2	-2.07700657044662	3.41903962703498e-13	No	No
Q8IX90	SKA3	-2.24702077171381	6.52170543901665e-13	No	No
Q8IYA6	CKAP2L	-2.41670515458161	5.1268106715936094e-18	No	No
Q8IYW5	RNF168	-2.59858281462378	6.28930879973558e-27	No	No
Q8N257	H2BU1	-2.23203509196472	0.0074029904691786	No	No
Q8NBT2	SPC24	-2.76760229466557	1.62060194160462e-34	No	No
Q8NCD3	HJURP	-2.21712209844294	2.77043439199355e-13	No	No
Q8NI77	KIF18A	-2.10492939960634	1.12085054330999e-21	No	No
Q8TF76	HASPIN	-2.26715647473209	1.0275050013503e-12	No	No
Q8WWK9	CKAP2	-2.32057348896088	6.70089811770304e-29	No	No
Q92522	H1-10	-2.05295242419577	5.9682429962092495e-28	No	No
Q96B01	RAD51AP1	-2.02527325920143	4.20211470507343e-22	No	No
Q96BD8	SKA1	-2.51072614948065	1.2497636483687101e-14	No	No
Q96CX2	KCTD12	-2.16101376190101	2.0429686184283602e-09	No	No
Q96FF9	CDCA5	-2.9597784983112	2.80524333935035e-28	No	No
Q96GD4	AURKB	-2.83772393435626	5.3120602013117e-34	No	No
Q96GN5	CDCA7L	-2.64011796875061	6.253745356921231e-19	No	No
Q96KB5	PBK	-2.5742518787886	4.9659823154261195e-36	No	No
Q96QB1	DLC1	-2.55726658426903	4.30723835401235e-16	No	No
Q96QE3	ATAD5	-2.05360454391937	7.38854726402058e-28	No	No
Q96R06	SPAG5	-2.1504872507359	2.7544464729101696e-36	No	No
Q96T88	UHRF1	-2.70996645477043	9.41093235469261e-43	No	No
Q99550	MPHOSPH9	-2.39053992654051	4.3968945035241005e-16	No	No
Q99618	CDCA3	-2.29519336202479	7.6501326139329e-19	No	No
Q99640	PKMYT1	-2.19703054655161	4.242146386207481e-31	No	No
Q99661	KIF2C	-2.47105400313376	3.397184879225e-30	No	No
Q99741	CDC6	-2.2927145661813	1.3196494602467002e-16	No	No
Q9BW19	KIFC1	-2.80531756590324	4.62792402130079e-39	No	No
Q9BW71	HIRIP3	-2.14299934916342	1.38984450214189e-35	No	No
Q9BWT6	MND1	-2.8033820256997	8.53401895502498e-11	No	No
Q9BXS6	NUSAP1	-2.87857757104021	1.22453250989988e-34	No	No
Q9BXW9	FANCD2	-2.1708051271589	1.29905268272838e-37	No	No
Q9BZD4	NUF2	-2.45235129597523	1.03513394373807e-30	No	No
Q9C099	LRRCC1	-2.26857329138251	1.90112518304447e-11	No	No
Q9H0H5	RACGAP1	-2.42673542963542	1.35347697758736e-39	No	No
Q9H211	CDT1	-2.57945494278023	2.23654729913776e-28	No	No
Q9H4H8	FAM83D	-2.04152063514537	1.91354476956148e-27	No	No
Q9H8V3	ECT2	-2.01251235100343	4.23106021148505e-40	No	No
Q9H967	WDR76	-3.0735379276013	2.3045640507479002e-36	No	No
Q9H9A7	RMI1	-2.04593034778628	2.26420190531779e-20	No	No
Q9HAW4	CLSPN	-2.44954753975969	7.65155138550237e-24	No	No
Q9HBM1	SPC25	-2.82358235645921	2.05415110309574e-29	No	No
Q9NPD8	UBE2T	-2.71973113081233	7.24748417486365e-35	No	No
Q9NQS7	INCENP	-2.82465556786288	1.73416754880351e-35	No	No
Q9NQW6	ANLN	-2.23500566449788	8.23803143584895e-41	No	No
Q9NRZ9	HELLS	-3.0100555297179	1.7261668603585099e-40	No	No
Q9NS91	RAD18	-2.16988245603736	1.9008425891981301e-35	No	No
Q9NVI1	FANCI	-2.57022980007803	1.2018748534761701e-45	No	No
Q9NYP3	DONSON	-2.35356694781282	7.759411363593661e-09	No	No
Q9NYZ3	GTSE1	-2.37671551792569	1.6595197007790602e-19	No	No
Q9NZJ0	DTL	-2.00243213791296	3.6641311959914296e-27	No	No
Q9P2W1	PSMC3IP	-3.14737546104774	2.2226353410563102e-17	No	No
Q9ULW0	TPX2	-2.66952115495633	4.64812161040465e-42	No	No
Q9UNS1	TIMELESS	-2.1130368821848	1.11117926642456e-42	No	No
Q9UQ84	EXO1	-2.26551537388281	4.2640452459356604e-15	No	No
Q9Y448	KNSTRN	-2.24748917512602	2.47862357615463e-26	No	No
Q9Y5T4	DNAJC15	-2.00743211480091	3.18698069840223e-19	No	No
