,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
10,GO:0002181,cytoplasmic translation,GO:0002181,0.00973806,2.62223,22.39488,EIF2B5;RPS9;EIF2B2;RPL31;RPS6;RPL36A;RPS3A;RPL23A;EIF2S2;GTPBP1;MRPL13;RPS15;RPL37A;RPL36;RPL35;RPL26;FAU;RPL29;RSL24D1;RPS13;RPS24;RPL26L1;RPL19,Cytoplasmic Translation (GO:0002181)
11,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006357,0.02046601,1.464195,11.38286,CCNK;CRTC2;ZNF292;ATN1;EHMT1;IKZF2;ETS1;SAP130;BBX;EPC2;ARID2;GTF2I;ZGPAT;DICER1;KAT6A;ZSCAN21;ZNF316;TFAM;PKP1;CLOCK;ATF6;DLX1;KMT2C;TAF5L;NPAS2;MTDH;HELZ2;ATXN1;DVL1;ZNF668;LYAR;BPTF;SMAD2;CBX8;WWTR1;CBX6;CREBBP;CBX5;SMAD3;CBX4;PHF10;FUS;CBX2;NR2F1;LARP7;NR2F2;NFKB1;NR2F6;NFKB2;NFATC4;ZZZ3;SP2;YEATS2;AGO1;PHF14;ZNF134;PHF3;PHF2;RNF10;CALCOCO1;PTEN;PSIP1;YBX1;PHF6;PHF8;VPS72;ELOA;CIC;KLF10;SS18;ZHX2;EED;NCOA3;DDX56;ZFP91;BAZ1A;PARP9;ETV5;ETV6;TOX4;MED25;SLTM;NFX1;SMARCD1;NUFIP1;TRAK1;RNF2;LRP6;RELB;PURA;APBB2;BRD9;TAF9B;SF3B1;MEF2D;JAZF1;ARNT2;USP9X;PCGF2;CDC5L;RRP1B;ELP4;SCAF1;NFIA;ZNF217;CTNNB1;CEBPZ;ZNF579;BMAL2;ERCC6;AGRN;PAXBP1;RBMX;NOP53;ZNF574,Regulation of Transcription by RNA Polymerase II (GO:0006357)
12,GO:0000375,"RNA splicing, via transesterification reactions",GO:0000375,0.02153873,5.229572,40.26805,SF3A3;SF3B4;SF3B3;SCAF11;LSM1;MPHOSPH10;SF3B1;SLU7;SMNDC1,"RNA Splicing, via Transesterification Reactions (GO:0000375)"
13,GO:0006390,mitochondrial transcription,GO:0006390,0.02338364,9.737984,73.96398,MTERF3;TFAM;MRPL12;POLRMT;TFB1M;TEFM,Mitochondrial Transcription (GO:0006390)
14,GO:0045893,positive regulation of DNA-templated transcription,GO:0045893,0.02491956,1.528865,11.44861,KDM5A;RNF10;CCNK;CRTC2;CALCOCO1;ELL;ICE1;ICE2;PTEN;PSIP1;ZC3H8;YBX1;ETS1;WDR43;PHF8;VPS72;UBTF;EPC2;YAF2;GTF2I;KLF10;UTP15;SS18;DTX3L;FBXW11;NCOA3;DDX56;WDR75;PARP9;ETV5;MED25;SLTM;MDFIC;KAT6A;ZSCAN21;TFAM;PKP1;CLOCK;ATF6;DLX1;SF3B5;BLM;SF3B3;NUFIP1;MEAF6;KMT2C;HEATR1;MRPL12;TAF5L;NPAS2;LRP6;RELB;HELZ2;TFPT;DVL1;EP400;APBB2;SF3B1;MEF2D;LYAR;BPTF;TEFM;SMAD2;WWTR1;ARNT2;CREBBP;SMAD3;TAF15;CDC5L;NR2F2;RRP1B;NFKB1;NFKB2;NFATC4;PHF5A;RYBP;NFIA;AGO1;CTNNB1;CEBPZ;QRICH1;BMAL2;ERCC6;AGRN;PAXBP1;RBMX;PICALM,Positive Regulation of DNA-templated Transcription (GO:0045893)
15,GO:0042796,snRNA transcription by RNA polymerase III,GO:0042796,0.02851056,32.39691,236.6426,ICE1;POLR3B;ICE2;ZC3H8,snRNA Transcription by RNA Polymerase III (GO:0042796)
16,GO:0000154,rRNA modification,GO:0000154,0.03649238,6.315797,44.24697,FBL;DKC1;NHP2;NAT10;TFB1M;NOP10;FTSJ3,rRNA Modification (GO:0000154)
17,GO:0045892,negative regulation of DNA-templated transcription,GO:0045892,0.06459956,1.535876,9.796688,ATN1;ZC3H8;EHMT1;PHF6;RRP8;SCML2;VPS72;SCMH1;SAP130;CIC;YAF2;KLF10;ZHX2;ZGPAT;RING1;EED;DDX56;DICER1;PARP9;ETV5;ETV6;MED25;MDFIC;NFX1;KAT6A;BIRC5;CLOCK;VGLL4;DLX1;CIPC;BAZ2A;RNF2;MTDH;PURA;RBM15B;ATXN1;APBB2;TAF9B;LYAR;BPTF;JAZF1;SMAD2;CBX8;CBX6;PHC2;CREBBP;CBX5;PHC1;SMAD3;CBX4;MTERF3;USP9X;PCGF2;CBX2;NR2F1;LARP7;NR2F2;NFKB1;NR2F6;NFATC4;SP2;NMNAT1;YEATS2;PHF14;ZNF217;CTNNB1;NOP53;ZNF134,Negative Regulation of DNA-templated Transcription (GO:0045892)
18,GO:0031126,sno(s)RNA 3'-end processing,GO:0031126,0.09308224,8.104516,48.44535,EXOSC6;FBL;EXOSC5;PARN;LARP7,sno(s)RNA 3'-End Processing (GO:0031126)
19,GO:1901796,regulation of signal transduction by p53 class mediator,GO:1901796,0.1011135,3.388528,19.91581,RPS15;BOP1;PAK1IP1;KAT6A;NOP2;RRS1;URB2;RPF2;NOP53;AURKA,Regulation of Signal Transduction by P53 Class Mediator (GO:1901796)
