term,fdr,Odds Ratio,Combined Score,Genes,description
LEVOTHYROXINE,0.9999079,inf,inf,THBD;F9;SERPINE1,LEVOTHYROXINE
ACETYLDIGITOXIN,0.9999079,inf,inf,ATP1B3;ATP1A1;ATP1B1,ACETYLDIGITOXIN
DESLANOSIDE,0.9999079,inf,inf,ATP1B3;ATP1A1;ATP1B1,DESLANOSIDE
KETOCONAZOLE,0.9999079,inf,inf,HSP90AA1;CBX1;SNCA,KETOCONAZOLE
MYCOPHENOLIC ACID,0.9999079,2.962787,7.07841,IMPDH2;IL18;HPRT1;HSD17B10;CES2;SNCA;CES1,MYCOPHENOLIC ACID
TRIAMCINOLONE,0.9999079,2.962787,7.07841,G6PD;TGFB1;ANXA1;SLC2A1;LPL;APOE;NFKB1,TRIAMCINOLONE
CISPLATIN,0.9999079,1.467563,3.418453,HMGB1;HSD17B10;OSGEP;TMEM43;ANPEP;TGM2;HSPA8;NTRK2;G6PD;RARS1;UBE2I;WFS1;XRCC5;HSPA4;MDH2;STAT1;CBX1;ACTL6A;XRCC1;SMARCA4;GCLC;APEX1;GNAS;KRAS;TOP1;GCLM;FGFR3;CDH17;CD44;FGFR1,CISPLATIN
ATENOLOL,0.9999079,2.539715,5.854168,FTO;LRRC15;TGFB1;PLA2G4A;SLC4A1;SNX9;ARAP1;LDLR,ATENOLOL
NIFEDIPINE,0.9999079,2.285908,5.143766,CAMK2B;HSPA4;CBX1;MAPK1;NTS;HSD17B10;MMP9;ELANE;NFKB1,NIFEDIPINE
HYDROCHLOROTHIAZIDE,0.9999079,2.116735,4.686002,VASP;LRRC15;USP5;SERPINE1;PDE3A;CSK;HMGCS2;AGT;NUCB2;PTGS1,HYDROCHLOROTHIAZIDE
MLN 8054,0.9999079,1.995923,4.370597,LYN;HCK;PAK1;SRC;LCK;FLT4;TYRO3;BTK;FGFR3;PTK2;FGFR1,MLN 8054
LUSUTROMBOPAG,0.9999079,5.07661,10.66866,PROC;PROS1;F2;F5,LUSUTROMBOPAG
PD173074,0.9999079,5.07661,10.66866,SRC;FGFR3;FGFR2;FGFR1,PD173074
XL820,0.9999079,5.07661,10.66866,PDGFRB;PDGFRA;FLT4;KIT,XL820
MYCOPHENOLATE MOFETIL,0.9999079,5.07661,10.66866,IMPDH2;PRTN3;CES2;CES1,MYCOPHENOLATE MOFETIL
DABIGATRAN,0.9999079,5.07661,10.66866,ADK;HYOU1;HNRNPC;F2,DABIGATRAN
IUPHAR.LIGAND:1713,0.9999079,5.07661,10.66866,APCS;ITPR1;ATP1B1;APEH,IUPHAR.LIGAND:1713
MARIMASTAT,0.9999079,3.17311,6.209174,ADAM17;MMP7;MMP3;ADAM10;MMP9,MARIMASTAT
TANDUTINIB,0.9999079,3.17311,6.209174,PDGFRB;CSF1R;PDGFRA;FLT4;KIT,TANDUTINIB
DIGITOXIN,0.9999079,3.17311,6.209174,TOP2B;STAT3;ATP1B3;ATP1A1;ATP1B1,DIGITOXIN
BARASERTIB,0.9999079,3.17311,6.209174,PDGFRB;PDGFRA;LCK;KIT;FYN,BARASERTIB
VASOPRESSIN,0.9999079,3.17311,6.209174,CAMK2B;SERPINE1;HSPB1;MAPK14;THBS4,VASOPRESSIN
BUPROPION,0.9999079,3.17311,6.209174,EPB41;SACM1L;APOE;COMT;FKBP5,BUPROPION
JNJ 26483327,0.9999079,3.17311,6.209174,LYN;LCK;SRC;FLT4;FYN,JNJ 26483327
PEGINTERFERON ALFA 2A,0.9999079,2.53867,4.781999,HLA-B;IL18;HLA-A;CALR;SLC29A1;IFNAR1,PEGINTERFERON ALFA 2A
LAMIVUDINE,0.9999079,2.221496,4.096581,NT5C;PCYT2;HLA-B;PGK1;CMPK1;DCK;NME1,LAMIVUDINE
PRAVASTATIN,0.9999079,2.031229,3.702888,ADAMTS1;MTTP;MMP3;LPL;APOE;LDLR;RHOA;HLA-DRB1,PRAVASTATIN
AZD 1152 HQPA,0.9999079,2.031229,3.702888,PDGFRB;LYN;PDGFRA;PAK1;LCK;FLT4;BTK;MAP4K4,AZD 1152 HQPA
DASATINIB,0.9999079,1.376736,2.507509,CSF1R;SRC;CRKL;SLK;FYN;PDGFRB;LYN;PDGFRA;STAT5B;MAP2K2;SYK;IDH2;IRAK4;ARID1A;MAPK14;FGR;HCK;LCK;AXL;TAOK1;KIT;BTK;KRAS;FGFR3;DDR2;FGFR1,DASATINIB
HEPARIN,0.9999079,1.745965,3.166314,SRGN;LIPC;F10;VWF;HSPA4;SDC1;HPSE;TFPI;F2;SERPINA5;TGM2,HEPARIN
SIMVASTATIN,0.9999079,1.745965,3.166314,THBD;LIPC;TPM3;PON1;LEPR;CEL;THBS1;PLTP;APOA5;RHOA;HLA-DRB1,SIMVASTATIN
PONATINIB,0.9999079,1.813859,3.284551,PDGFRB;EML4;PDGFRA;SRC;KIT;KRAS;FGFR4;FGFR3;FGFR2;FGFR1,PONATINIB
LINIFANIB,0.9999079,1.391561,2.445113,PDGFRB;CAMK2B;LYN;PDGFRA;CSF1R;NTRK2;MAP2K2;ROCK1;SRC;ROCK2;FLT4;INSR;IRAK4;MAPK14;PTK2;SLK;AXL;TAOK1;KIT;CAMK1;CAMK2G;FGFR3;PRKG1,LINIFANIB
LABETALOL,0.9999079,inf,inf,LPL;HPSE,LABETALOL
BMS 582949,0.9999079,inf,inf,AHSA1;MAPK14,BMS 582949
IUPHAR.LIGAND:1052,0.9999079,inf,inf,ADH4;ATP5ME,IUPHAR.LIGAND:1052
TRETINOIN,0.9999079,inf,inf,NPM1;RARRES1,TRETINOIN
TESTOSTERONE PROPIONATE,0.9999079,inf,inf,LCAT;TARDBP,TESTOSTERONE PROPIONATE
FINASTERIDE,0.9999079,inf,inf,FGFR1;TGM2,FINASTERIDE
