Protein_Group	Genes	TRM_day15_vs_MoMacs_day15_logFC	TRM_day15_vs_MoMacs_day15_pval	Removed?	Contaminant?
P53994	Rab2a	3.07955064958963	0.002841359997475	No	No
P54818	Galc	3.69405857549238	0.0026978604041793	No	No
P55258	Rab8a	3.36578031980112	0.0063539267165579	No	No
P56395	Cyb5a	2.86343705977785	0.0016988185974001	No	No
P56399	Usp5	4.38983201655103	0.0022001348763754	No	No
P56480	Atp5f1b	3.16761814093637	0.0098150310249051	No	No
P56565	S100a1	6.93658604390345	2.02756414480148e-13	No	No
P57759	Erp29	4.45705849494529	0.0001355178154249	No	No
P57780	Actn4	3.56632643870402	1.68164693812738e-06	No	No
P58252	Eef2	2.15413040997441	0.0081766842260922	No	No
P59999	Arpc4	2.15220832257251	0.0010219626192686	No	No
P60766	Cdc42	3.34231825968222	0.0005858237772317	No	No
P61027	Rab10	4.06962132288016	0.0012898974961354	No	No
P61089	Ube2n	2.56198877046432	0.0018075419228657	No	No
P61161	Actr2	2.57841426647638	0.000751672237141	No	No
P61164	Actr1a	3.16335149899722	0.0016641771636547	No	No
P61255	Rpl26	4.30006871339608	0.0025996403469174	No	No
P61290	Psme3	3.66884233836111	0.0012590136406132	No	No
P61514	Rpl37a	2.90245462578921	0.0058105957262125	No	No
P61924	Copz1	3.21227114500727	0.0056699525038315	No	No
P61957	Sumo2	2.5461060781371	0.0017761575537787	No	No
P61965	Wdr5	3.59071246304892	0.0072936311394001	No	No
P61982	Ywhag	3.40493617459812	9.39306904094962e-05	No	No
P62082	Rps7	2.77494252794793	0.0041869154382034	No	No
P62137	Ppp1ca	3.2289081923645	0.0007751962175424	No	No
P62259	Ywhae	3.14462693521834	0.0002702085413151	No	No
P62331	Arf6	3.376175231393	0.0092198102567765	No	No
P62488	Polr2g	2.39924902994754	0.0041375493962726	No	No
P62627	Dynlrb1	2.17822675492593	0.003232301783982	No	No
P62743	Ap2s1	4.21829085709372	0.0001710134702966	No	No
P62814	Atp6v1b2	2.79486156588404	0.0028543680904512	No	No
P62821	Rab1A	3.35708064528281	0.0037896091059606	No	No
P62827	Ran	2.71529501453833	0.0071402430854282	No	No
P62835	Rap1a	2.2653016648141	0.0057402973643705	No	No
P62878	Rbx1	6.46538023637028	1.4101684951199202e-09	No	No
P62880	Gnb2	3.25333113943047	0.0019588438594596	No	No
P62900	Rpl31	3.26372179211033	0.0018430645991449	No	No
P62962	Pfn1	2.18523870340002	0.0008879087435996	No	No
P63001	Rac1	2.70930984776165	0.0007611299910418	No	No
P63005	Pafah1b1	3.55894192515646	0.0008623297751885	No	No
P63017	Hspa8	2.63262345966449	0.0028786888283545	No	No
P63028	Tpt1	2.49233640422943	0.0089139057130773	No	No
P63101	Ywhaz	2.91455567272113	0.0002712075609306	No	No
P63242	Eif5a	2.98759714818297	0.001740482919293	No	No
P63328	Ppp3ca	3.19267297313971	0.0011119456457151	No	No
P63330	Ppp2ca	3.03989090974712	0.0031523044572123	No	No
P67984	Rpl22	3.26088274468538	0.0026007953367537	No	No
P68254	Ywhaq	3.52472011112007	0.0008062716262472	No	No
P68510	Ywhah	3.38836190306338	0.0002291446904906	No	No
P70124	Serpinb5	5.46935061195514	0.0011434976321961	No	No
P70158	Smpdl3a	3.30635688620045	0.0001115716158948	No	No
P70195	Psmb7	3.02632983308136	0.0002193889129826	No	No
P70261	Pald1	4.93557099194598	5.17251718362626e-06	No	No
P70296	Pebp1	3.00580579714963	0.004407980986574	No	No
P70388	Rad50	8.11772995254389	6.2251616509182095e-12	No	No
P70429	Evl	3.63978716771532	0.0041713461220157	No	No
P70670	Naca	3.74835746345985	0.0064575112070355	No	No
P82343	Renbp	4.67518188091552	1.76059738673101e-05	No	No
P84084	Arf5	2.59915739602896	0.0044632917853279	No	No
P84091	Ap2m1	3.41254752192693	6.56725902031032e-05	No	No
P85094	Isoc2a	4.25007708211264	0.0011109007152676	No	No
P97313	Prkdc	4.59264750327497	0.0046578087741495	No	No
P97315	Csrp1	3.28589796236865	0.0028713613513201	No	No
P97352	S100a13	2.36483291741792	0.0008575435599133	No	No
P97363	Sptlc2	2.22386863206151	0.0080513944492443	No	No
P97384	Anxa11	7.82632886272802	3.74945059923892e-08	No	No
P97390	Vps45	3.24707669977781	0.0046425629013715	No	No
P97797	Sirpa	3.70530286217494	1.55736488756895e-05	No	No
P97821	Ctsc	3.89350434722602	2.08644039916314e-07	No	No
P97823	Lypla1	3.24498672040954	0.0042392580673452	No	No
P97855	G3bp1	2.26714668357871	0.0070263272590792	No	No
P99026	Psmb4	2.13128208184116	0.0022523732973452	No	No
P99029	Prdx5	2.30759106060405	0.0098158629106599	No	No
Q01730	Rsu1	8.84952362651443	4.0655509360816206e-09	No	No
Q01768	Nme2	2.87771564189441	8.7446728678423e-05	No	No
Q01853	Vcp	3.20507099773329	0.0002617732553913	No	No
Q05816	Fabp5	3.18930423637113	0.0072493782649307	No	No
Q06138	Cab39	3.34444637759701	0.0001789221478486	No	No
Q06318	Scgb1a1	5.14123921927791	3.20068672534942e-05	No	No
Q07076	Anxa7	2.99486863841162	0.0055574572201195	No	No
Q07813	Bax	2.45113593458808	0.0005579102947758	No	No
Q11011	Npepps	3.48418544555411	0.0009807900512873	No	No
Q11136	Pepd	3.44890229032199	0.0001179145168082	No	No
Q3TCN2	Plbd2	5.55840161932375	1.95743450660556e-06	No	No
Q3TIX9	Usp39	2.84962625858778	0.0036577641534796	No	No
Q3TMH2	Scrn3	2.67700169295845	0.0033020829239216	No	No
Q3U1J4	Ddb1	3.26532815806269	0.0010965318570168	No	No
Q3U2P1	Sec24a	5.45243087638857	0.0001039367713968	No	No
Q3U7R1	Esyt1	2.78676979322808	0.0024127240675485	No	No
Q3UEB3	Puf60	4.65695034058182	0.0004519109167895	No	No
Q3UGR5	Hdhd2	6.65952496404544	1.19898113279389e-07	No	No
Q3UM45	Ppp1r7	3.82024407967244	0.0076391034328261	No	No
Q3UMW8	Cln5	3.76763921006708	0.0006754714401344	No	No
Q3UPH1	Prrc1	3.86604738979166	0.0008037902397941	No	No
Q3UPL0	Sec31a	4.16031324183089	0.0077018875658194	No	No
Q3UW53	Niban1	2.80097902818399	0.0003128958771794	No	No
Q3UZ39	Lrrfip1	3.40595014979062	0.0019895981190416	No	No
Q4QRL3	Ccdc88b	5.48066783005656	0.0029846073299202	No	No
Q569Z5	Ddx46	6.15188955971335	5.38088520723516e-05	No	No
Q571E4	Galns	3.99678368988156	4.49940426457818e-06	No	No
Q58A65	Spag9	4.82086114103877	0.0019486864648355	No	No
Q5SQ27	Sec14l3	3.62016549456924	0.0001390886908095	No	No
Q5SW19	Cluh	4.28121470717911	0.0066796095900998	No	No
Q5XJY5	Arcn1	2.48449000402149	0.0098168188637697	No	No
Q60605	Myl6	3.15983737017277	0.000182358310254	No	No
Q60631	Grb2	2.16183706987369	0.0084101955410261	No	No
Q60692	Psmb6	3.66159122340107	0.0001050799507598	No	No
Q60749	Khdrbs1	3.66918520432512	0.0036904168346148	No	No
Q60767	Ly75	5.25224615747801	1.15837545995132e-06	No	No
Q60854	Serpinb6	3.21056454389367	2.88678277947349e-05	No	No
Q60870	Reep5	3.64511240972047	7.01954882360342e-05	No	No
Q60931	Vdac3	4.75126676150777	0.0001833895372217	No	No
