,parent,parentTerm,term,ES,NES,fdr,Gene %,Genes,description
30,GO:0006470,protein dephosphorylation,GO:0006470,0.5372567664152905,1.582961301377148,0.6594265701475726,5.67%,PPM1E;PTPRU;PPP3CC;PPP2R5B;TNS2;SSH2;PTPRF,GO_Biological_Process_2023__Protein Dephosphorylation (GO:0006470)
31,GO:0089718,amino acid import across plasma membrane,GO:0089718,0.7179584013770817,1.5782832950983088,0.660712189588046,19.47%,SLC22A4;SLC7A2;SLC36A1;SLC38A2;SLC7A1;SLC6A6;SLC1A5;SLC3A2;SLC1A3;SLC1A4;SLC7A5,GO_Biological_Process_2023__Amino Acid Import Across Plasma Membrane (GO:0089718)
32,GO:1901796,regulation of signal transduction by p53 class mediator,GO:1901796,0.5997505893291031,1.5889464059211955,0.6623894389791398,13.79%,SGK1;MDM2;MLF1;SOX4;RNF34;RFFL;NUAK1;AURKA;EP300,GO_Biological_Process_2023__Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796)
33,GO:0050728,negative regulation of inflammatory response,GO:0050728,0.5760093708307725,1.5791914387710808,0.6664486815585331,8.96%,METRNL;PLK2;APOE;TNFAIP3;TYRO3;KLF4;GRN;ELF4;SELENOS;SMPDL3B,GO_Biological_Process_2023__Negative Regulation Of Inflammatory Response (GO:0050728)
34,GO:0045747,positive regulation of Notch signaling pathway,GO:0045747,0.6987750433411767,1.5836405496583164,0.666645652345266,17.29%,DLL1;TSPAN5;IL6ST;YAP1;ZMIZ1;ITGB1BP1;TGFB2;JAG1;TSPAN14,GO_Biological_Process_2023__Positive Regulation Of Notch Signaling Pathway (GO:0045747)
35,GO:0060284,regulation of cell development,GO:0060284,0.5727828102986673,1.4370023869601158,0.6702218766246519,14.27%,DLL1;BHLHE41;PER2;GRN;MYSM1;YAP1;HES1;BRPF1,GO_Biological_Process_2023__Regulation Of Cell Development (GO:0060284)
36,GO:0071219,cellular response to molecule of bacterial origin,GO:0071219,0.5126434662576711,1.4343575314880992,0.6717195407974325,8.43%,PPM1E;CCL2;TNFAIP3;TNIP1;SERPINE1;SBNO2;PDCD1LG2;TNIP2;SELENOS,GO_Biological_Process_2023__Cellular Response To Molecule Of Bacterial Origin (GO:0071219)
37,GO:0023057,negative regulation of signaling,GO:0023057,0.6443252428960978,1.4375297389011683,0.6724600183787107,9.12%,LIF;SOCS5;PCSK9;IGFBP3;IL11;LDLR,GO_Biological_Process_2023__Negative Regulation Of Signaling (GO:0023057)
38,GO:0030111,regulation of Wnt signaling pathway,GO:0030111,0.5037163048610621,1.4344622543659409,0.6754735737655808,2.24%,DACT1;MDFIC;FGFR2;TNFAIP3;SHISA2;FAM53B;VGLL4,GO_Biological_Process_2023__Regulation Of Wnt Signaling Pathway (GO:0030111)
39,GO:1900181,negative regulation of protein localization to nucleus,GO:1900181,0.6906927230007083,1.5510462787474837,0.6761373213709688,6.27%,MDFIC;LATS2;SIRT6;SIN3A,GO_Biological_Process_2023__Negative Regulation Of Protein Localization To Nucleus (GO:1900181)
40,GO:0045937,positive regulation of phosphate metabolic process,GO:0045937,0.6257239818544934,1.4375619856485242,0.6766663837433712,0.09%,AMH,GO_Biological_Process_2023__Positive Regulation Of Phosphate Metabolic Process (GO:0045937)
41,GO:1902003,regulation of amyloid-beta formation,GO:1902003,0.6018192477357948,1.4384553723997324,0.6777295930388836,5.57%,APOE;ABCA7;RTN2;IFNGR1,GO_Biological_Process_2023__Regulation Of Amyloid-Beta Formation (GO:1902003)
42,GO:0042176,regulation of protein catabolic process,GO:0042176,0.4861203075186743,1.4386532849218017,0.6813206044778607,3.42%,DACT1;MDM4;PLK2;APOE;MDM2;TNFAIP3;GPX1;VGLL4;AXIN1,GO_Biological_Process_2023__Regulation Of Protein Catabolic Process (GO:0042176)
43,GO:0035088,establishment or maintenance of apical/basal cell polarity,GO:0035088,0.6420963178040275,1.4232882686796773,0.6846565309035294,5.26%,DLG3;PARD6B;PATJ;PARD3B,GO_Biological_Process_2023__Establishment Or Maintenance Of Apical/Basal Cell Polarity (GO:0035088)
44,GO:1902041,regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:1902041,0.6035863758365446,1.4388280671793603,0.6851074058055067,16.27%,TNFAIP3;GPX1;PMAIP1;SERPINE1;FGA;RNF34;RFFL;HMOX1;SP100;BRCA1;FEM1B,GO_Biological_Process_2023__Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041)
45,GO:0006367,transcription initiation at RNA polymerase II promoter,GO:0006367,0.5133384219289749,1.423951146624748,0.6860763305284239,23.62%,TAF11;MED9;MED7;GTF2A1;TAF4;GTF2E2;DR1;GTF2B;POLR2D;MED22;GTF2F2;MED29;TAF13;GTF2A2;GTF2E1;MED30;TAF10;TAF9;MED11;TAF8;MED21;MED28;ELOA;GTF2F1;POLR2I;MED15;ELOB;ELOC;MED10,GO_Biological_Process_2023__Transcription Initiation At RNA Polymerase II Promoter (GO:0006367)
46,GO:0045807,positive regulation of endocytosis,GO:0045807,0.5362532754809667,1.4260683130752168,0.6861178386006992,5.88%,APOA2;DLL1;APOE;ABCA7;SERPINE1;CAMK1D;F3,GO_Biological_Process_2023__Positive Regulation Of Endocytosis (GO:0045807)
47,GO:0090201,negative regulation of release of cytochrome c from mitochondria,GO:0090201,0.6981190606238419,1.4389184839378086,0.6892008811741751,27.98%,GPX1;FXN;PPIF;BCL2L1;BAK1;PRELID1;TRIAP1;PSMD10,GO_Biological_Process_2023__Negative Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090201)
48,GO:0006509,membrane protein ectodomain proteolysis,GO:0006509,0.6310853521942517,1.424155659976486,0.6894522373568739,10.11%,BACE2;BACE1;ADAM19;PSENEN,GO_Biological_Process_2023__Membrane Protein Ectodomain Proteolysis (GO:0006509)
49,GO:1904407,positive regulation of nitric oxide metabolic process,GO:1904407,0.731676375344291,1.6539956045840996,0.6897217112482515,5.93%,KLF2;HBB;PTGS2;KLF4;SMAD3,GO_Biological_Process_2023__Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407)
50,GO:0043691,reverse cholesterol transport,GO:0043691,0.6883461005932566,1.4166041008170516,0.6903963512868609,0.98%,APOC3;APOA2;APOE,GO_Biological_Process_2023__Reverse Cholesterol Transport (GO:0043691)
51,GO:0071396,cellular response to lipid,GO:0071396,0.5015549438950173,1.5367993740834287,0.6904358731673995,8.43%,PPM1E;ZNF35;NKX3-1;CCL2;TNFAIP3;ADCY3;TNIP1;NRIP1;SERPINE1;SBNO2;NCOA4;PDCD1LG2;SPP1;ZNF703;TNIP2;WNT7B;SELENOS,GO_Biological_Process_2023__Cellular Response To Lipid (GO:0071396)
52,GO:0050994,regulation of lipid catabolic process,GO:0050994,0.7703803050102854,1.5460531451094102,0.6905244993218682,7.70%,APOC3;APOA2;SIRT6;LONP2,GO_Biological_Process_2023__Regulation Of Lipid Catabolic Process (GO:0050994)
53,GO:0019229,regulation of vasoconstriction,GO:0019229,0.718296300871678,1.5421885893156582,0.6914788241182416,4.40%,ADM;CHRM3;PER2;FGA,GO_Biological_Process_2023__Regulation Of Vasoconstriction (GO:0019229)
54,GO:0080009,mRNA methylation,GO:0080009,0.6548029274183107,1.4404730540859796,0.6921075410670348,17.79%,METTL4;TRMT6;TRMT61A;METTL16;NSUN2;METTL14;METTL3;CMTR1,GO_Biological_Process_2023__mRNA Methylation (GO:0080009)
55,GO:0061041,regulation of wound healing,GO:0061041,0.5591394751946399,1.4175162978000575,0.6950292257114271,4.41%,HBEGF;PRKCE;TNFAIP3;F2;SERPINE1;TNFRSF12A,GO_Biological_Process_2023__Regulation Of Wound Healing (GO:0061041)
56,GO:0001933,negative regulation of protein phosphorylation,GO:0001933,0.4587061066831464,1.4185593436444297,0.6950734650644571,5.99%,PPM1E;SPRY2;CDKN1A;PMEPA1;WWTR1;SPRED2;IGFBP3,GO_Biological_Process_2023__Negative Regulation Of Protein Phosphorylation (GO:0001933)
57,GO:0070613,regulation of protein processing,GO:0070613,0.6727458674519219,1.4194161450872569,0.6958412098094164,16.69%,GAS1;RUNX1;PLAU;PLAUR,GO_Biological_Process_2023__Regulation Of Protein Processing (GO:0070613)
