Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2023__Regulation Of Brown Fat Cell Differentiation (GO:0090335),0.8026472464855364,1.6854381821137399,0.014141414141414142,0.7122696104825859,1.0,7/12,14.49%,METRNL;NAPEPLD;PTGS2;SIX1;SIRT1;RREB1;TFE3
prerank,GO_Biological_Process_2023__Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429),0.7504514187933374,1.6812730455845055,0.012048192771084338,0.7096325455540974,1.0,5/16,5.93%,KLF2;HBB;PTGS2;KLF4;SMAD3
prerank,GO_Biological_Process_2023__Anterograde Axonal Transport (GO:0008089),-0.6441868706783467,-1.6774524314065182,0.008032128514056224,0.946351672977891,0.999,21/33,27.25%,TRAK1;KIF5C;TRAK2;BLOC1S6;BLOC1S5;DTNBP1;KIF1C;KIF5A;KIF1B;KIF3A;HSPB1;AP3M1;KIF5B;NEFL;AP3M2;BLOC1S3;AP3D1;KIF3B;SPAST;BLOC1S1;RAB27B
prerank,GO_Biological_Process_2023__Receptor Signaling Pathway Via JAK-STAT (GO:0007259),-0.7168847707172914,-1.6766915403492006,0.008113590263691683,0.8596551532046539,0.999,11/18,18.68%,SOCS6;JAK2;IFNAR2;STAT2;PKD1;FER;IL31RA;STAT3;STAT1;STAMBP;STAT5B
prerank,GO_Biological_Process_2023__Smoothened Signaling Pathway (GO:0007224),-0.6922014491078147,-1.6745482715342617,0.017578125,0.8034044020406128,0.999,12/21,14.84%,TTBK2;HIPK1;GPC2;STK36;TTC26;DISP1;B9D1;GLI3;KIAA0586;GLI2;IFT27;ULK3
prerank,GO_Biological_Process_2023__Cellular Response To Virus (GO:0098586),-0.6607830896010756,-1.669147933235564,0.014344262295081968,0.7855002770940872,0.999,8/27,7.60%,MAPK11;JAK2;HIF1A;ZC3H12A;IRF5;IFIH1;RIOK3;IFNAR2
prerank,GO_Biological_Process_2023__Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),0.6134388817027365,1.6675313567514845,0.01171875,0.7748941673663532,1.0,8/46,8.70%,AMH;SPRY2;LIF;AXIN1;IL11;TENM1;CAPRIN2;BDNF
prerank,GO_Biological_Process_2023__Prostaglandin Metabolic Process (GO:0006693),0.7828725525745017,1.6660877038779223,0.014314928425357873,0.7558742653145147,1.0,3/14,3.67%,AMH;PTGS2;PRXL2B
prerank,GO_Biological_Process_2023__Regulation Of Hippo Signaling (GO:0035330),0.7317266377978436,1.6620282830566309,0.023391812865497075,0.7569974644175133,1.0,7/18,15.49%,WWC3;VGLL4;WWC1;ARRDC3;FRMD6;SOX11;LIMD1
prerank,GO_Biological_Process_2023__Regulation Of ERK1 And ERK2 Cascade (GO:0070372),0.5364622530042856,1.660038794733572,0.0,0.743720743510368,1.0,23/106,6.92%,AMH;SPRY2;FGFR2;CCL2;APOE;MAP3K12;FGFR3;TNIP1;ROR1;RGS14;SEMA7A;MFAP3;CCNA2;FGA;TRAF7;TIMP3;KDR;CCN2;SPRED2;DENND2B;PRXL2C;CCL26;DDR1
prerank,GO_Biological_Process_2023__Cholesterol Efflux (GO:0033344),0.7653304511216793,1.659436995757324,0.012244897959183673,0.7225087967881972,1.0,4/14,1.97%,APOC3;APOA2;APOE;ABCA7
prerank,GO_Biological_Process_2023__Negative Regulation Of Hippo Signaling (GO:0035331),0.8112164099015529,1.6560992586730037,0.013725490196078431,0.7205415949776951,1.0,3/10,3.31%,WWC3;VGLL4;WWC1
prerank,GO_Biological_Process_2023__Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),0.5733245516256332,1.6541024873897467,0.0018867924528301887,0.7104960532782819,1.0,17/67,6.92%,AMH;SPRY2;FGFR2;CCL2;APOE;MAP3K12;FGFR3;ROR1;SEMA7A;MFAP3;FGA;KDR;CCN2;DENND2B;PRXL2C;CCL26;DDR1
prerank,GO_Biological_Process_2023__Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407),0.731676375344291,1.6539956045840996,0.01818181818181818,0.6897217112482515,1.0,5/17,5.93%,KLF2;HBB;PTGS2;KLF4;SMAD3
prerank,GO_Biological_Process_2023__Activation Of GTPase Activity (GO:0090630),-0.5683822948399115,-1.65385749093919,0.0,0.865600364922864,0.999,29/57,18.76%,TBC1D9;EVI5L;RALGAPA1;TBCK;TBC1D12;AGAP1;TBC1D8;SIPA1;ARHGAP42;TBC1D8B;BCAS3;TSC1;TBC1D7;TBC1D16;ARHGAP22;BCR;SYDE1;TBC1D9B;TBC1D22A;TBC1D1;MTSS2;AGAP3;TBC1D5;ARHGEF10;RALGAPA2;TBC1D15;TBC1D17;TBC1D10B;TBC1D13
prerank,GO_Biological_Process_2023__Potassium Ion Transmembrane Transport (GO:0071805),0.6922877898406762,1.6511895181546008,0.021739130434782608,0.6863088263470509,1.0,5/24,9.25%,KCNJ2;KCNQ5;SLC9A1;KCNH1;KCNE4
prerank,GO_Biological_Process_2023__Response To Ionizing Radiation (GO:0010212),0.5798768562629508,1.6502282795159147,0.003703703703703704,0.672773024094038,1.0,24/66,19.02%,CDKN1A;MYC;AEN;COP1;RAD9A;RNF8;SWI5;EYA1;BRCA2;ANXA1;LIG4;NABP1;FIGNL1;ECT2;PAXIP1;SIRT1;BLM;ERCC4;HUS1;UIMC1;BRCA1;XRCC4;MSH2;ATM
prerank,GO_Biological_Process_2023__Cellular Response To Xenobiotic Stimulus (GO:0071466),0.759270112681143,1.6495092545013283,0.003929273084479371,0.6585733775030257,1.0,3/14,1.49%,PPM1E;NKX3-1;MYC
prerank,GO_Biological_Process_2023__Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),0.6816985093776148,1.6483353494686501,0.023529411764705882,0.6479843443938613,1.0,5/26,5.82%,CEMIP;SPRY2;AXIN1;SPHK1;SPRED2
prerank,GO_Biological_Process_2023__Metal Ion Transport (GO:0030001),0.6160325451963228,1.647262980448553,0.029644268774703556,0.6373818561328388,1.0,9/44,7.49%,SGK1;KCNJ2;NDFIP2;SLC9B2;NDFIP1;SLC41A2;KCNH1;SELENOK;CALCRL
prerank,GO_Biological_Process_2023__Negative Regulation Of Stress-Activated MAPK Cascade (GO:0032873),0.6820655045629168,1.6464909706104158,0.022181146025878003,0.6250707283966074,1.0,3/24,2.55%,DACT1;MYC;SH3RF2
prerank,GO_Biological_Process_2023__Positive Regulation Of Viral Process (GO:0048524),0.6506961154667964,1.6453501886895758,0.026168224299065422,0.6161134389982909,1.0,2/32,2.18%,MDFIC;TYRO3
prerank,GO_Biological_Process_2023__Cell Morphogenesis Involved In Differentiation (GO:0000904),0.741119414358462,1.6450151563500246,0.01,0.6027526597608972,1.0,3/16,2.67%,RILPL2;POF1B;SIPA1L3
prerank,GO_Biological_Process_2023__Receptor Signaling Pathway Via STAT (GO:0097696),-0.71021351477848,-1.6439227813593562,0.016293279022403257,0.8993223197353796,1.0,10/17,18.68%,SOCS6;JAK2;IFNAR2;STAT2;PKD1;IL31RA;STAT3;STAT1;STAMBP;STAT5B
prerank,GO_Biological_Process_2023__DNA Methylation (GO:0006306),0.7281915984550806,1.641865869256961,0.03076923076923077,0.6030417252996,1.0,2/17,2.56%,FOS;METTL4
prerank,GO_Biological_Process_2023__Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155),-0.8049926189653572,-1.6415670974073986,0.011764705882352941,0.8609630529883924,1.0,2/11,2.38%,PIEZO1;ATP11A
prerank,GO_Biological_Process_2023__Polyol Metabolic Process (GO:0019751),-0.7573113272725758,-1.6377277582674734,0.012448132780082987,0.8414852314997525,1.0,8/13,16.70%,PPIP5K1;SYNJ1;IMPA2;INPP5B;PPIP5K2;IPPK;INPP4A;IP6K2
