Protein_Group	Genes	Piezo1_OE_YODA1+_vs_Piezo1_OE_YODA1-_logFC	Piezo1_OE_YODA1+_vs_Piezo1_OE_YODA1-_pval
Q9HA38	ZMAT3	1.99288215550083	0.0028057028673587
Q9NWC5	TMEM45A	1.92162944789347	0.0010618817047313
Q9ULX9	MAFF	1.78817995462438	7.93863676161845e-19
Q9UPV9	TRAK1	3.30991350500113	0.004714930227609
Q9UPY3	DICER1	1.69328342380217	2.04644794667348e-05
O14917	PCDH17	-2.1210109854761	3.2188648324245e-05
O75473	LGR5	-5.24615787339268	1.57168991301662e-07
O75771	RAD51D	-2.11212997882926	0.0058351741452112
O95185	UNC5C	-1.82299735524188	3.0197504661506197e-12
O95259	KCNH1	-1.36807568592861	0.0051004684626534
P02452	COL1A1	-1.72056123510438	2.69513291121655e-05
P02461	COL3A1	-1.60970477322001	0.0001047964734059
P05062	ALDOB	-2.13881026281314	0.000144051498181
P32754	HPD	-1.57827301842289	0.0053215981321248
P43699	NKX2-1	-3.39450950979523	0.0066361740105461
P52799	EFNB2	-1.76052662863056	3.22515323304435e-10
P54756	EPHA5	-1.43591364264271	0.0002558970368601
P56730	PRSS12	-1.66324385869834	0.0055508345355129
P58005	SESN3	-1.71966704498282	0.0001660731498199
Q02297	NRG1	-1.97509144869224	6.67607807181571e-14
Q06418	TYRO3	-1.5243705617052	0.0034932786833038
Q09019	DMWD	-1.60934915975716	0.0001011152538553
Q0VF96	CGNL1	-1.52923335066267	0.0001537908817907
Q10587	TEF	-3.60359947920982	9.45442625544122e-07
Q12860	CNTN1	-1.6436526871134	0.0002078575832053
Q13470	TNK1	-2.60419789442587	0.0009404744852239
Q4KMG0	CDON	-2.16517549057589	0.0001999601695405
Q5T7W7	TSTD2	-1.78556731964692	0.0017627751893288
Q6EMK4	VASN	-3.05823038671768	6.70818321500338e-07
Q6UX71	PLXDC2	-1.98974592097205	5.84914902716016e-07
Q6ZTN6	ANKRD13D	-1.64637070958891	8.44230091060734e-05
Q8IX30	SCUBE3	-1.84850686976775	0.0007000016495848
Q8N441	FGFRL1	-1.83870509681834	2.1035537493764698e-11
Q8NFZ4	NLGN2	-1.86934276888375	1.50233812922079e-06
Q8TC05	MDM1	-3.49339337721579	0.0001975138246525
Q92608	DOCK2	-1.87228795647793	0.0065160107509442
Q92823	NRCAM	-1.49406772453187	2.33984853491525e-07
Q96BM1	ANKRD9	-2.22370223792811	0.0038943479275153
Q96CN4	EVI5L	-2.95682237580434	7.90772039149844e-05
Q96ED9	HOOK2	-2.6536335631801	0.0060581509297319
Q96JH8	RADIL	-2.26957995377884	0.0002342203698929
Q96MH2	HEXIM2	-1.60561669337229	0.0075300725529822
Q9BQ89	FAM110A	-1.47089237375695	0.0049395583538862
Q9BXX0	EMILIN2	-1.38389866218323	0.0092329056871223
Q9H336	CRISPLD1	-1.52066499243208	0.0013930340220984
Q9H3T3	SEMA6B	-2.97433165962568	0.0001052600306572
Q9HCB6	SPON1	-1.64547113443161	0.0028005352188355
Q9HCL0	PCDH18	-2.16784605915522	1.97297028119021e-05
Q9NQ88	TIGAR	-1.65613132942225	0.0060458986564472
Q9UBG0	MRC2	-1.66826873197588	3.4850251827122797e-22
Q9UIF7	MUTYH	-1.45872666437151	0.0008127097449953
Q9UKI2	CDC42EP3	-1.62346570864485	0.0002704554807852
Q9UNN8	PROCR	-1.59225326918024	1.51535944704228e-08
Q9Y2K2	SIK3	-2.10411519487615	0.0064593745848745
Q9Y2S2	CRYL1	-4.93408279846707	0.005609022759266
Q9Y6N7	ROBO1	-2.21959348386719	2.8368460451002897e-22
